DLiP-ID,P000EM
AATSC7c,-0.002761630647685735
AATSC7d,0.2036363636363637
AATSC7i,0.12338792799734478
AATSC7m,-9.776287700909087
AATSC7p,0.024076425819709753
AATSC7s,-1.8286679292929298
AATSC7v,1.8431395956590968
AATSC8Z,0.3900000000000013
AATSC8c,-0.005127819899941401
AATSC8d,0.4800000000000001
AATSC8i,0.8218552846814271
AATSC8m,2.5728591900000097
AATSC8p,0.14480678105942962
AATSC8s,-1.4032638888888889
AATSC8v,24.948701629678602
ATS0are,140.54000000000002
ATS1are,141.45
ATS2are,217.75
ATS3are,274.56999999999994
ATS4are,242.37999999999997
ATS5are,185.87
ATS6are,120.23000000000002
ATS7are,74.48000000000002
ATS8are,30.580000000000005
ATSC0dv,89.8
ATSC0pe,3.7968199999999994
ATSC0se,3.073488799999999
ATSC1dv,12.510000000000005
ATSC1pe,-0.4361109999999999
ATSC1se,-0.3673852400000001
ATSC2dv,10.120000000000003
ATSC2pe,0.5939779999999999
ATSC2se,0.4110607199999995
ATSC3dv,-5.3
ATSC3pe,0.4414399999999998
ATSC3se,0.38571839999999996
ATSC4dv,-27.749999999999996
ATSC4pe,-1.1483550000000002
ATSC4se,-0.8546429999999994
ATSC5dv,0.9699999999999966
ATSC5pe,0.8668929999999999
ATSC5se,0.7164373199999999
ATSC6dv,-28.72
ATSC6pe,-1.0415879999999997
ATSC6se,-0.8526707199999998
ATSC7dv,-16.589999999999996
ATSC7pe,-1.0511509999999997
ATSC7se,-0.8185228399999994
ATSC8dv,1.4499999999999984
ATSC8pe,-0.30244499999999963
ATSC8se,-0.24049140000000005
AXp-0dv,0.5041935580599769
AXp-1dv,0.2629869278037971
AXp-2dv,0.13220062676395916
AXp-3dv,0.06834842297528694
AXp-4dv,0.03556873954388579
AXp-5dv,0.018577606215580505
AXp-6dv,0.009361375671898455
AXp-7dv,0.0050109879385184155
BertzCT,553.2957081415927
ECIndex,157
ETA_eta,6.633819294275467
GATS1dv,0.4584261321455085
GATS1pe,0.7280616535993405
GATS1se,0.7902151860158149
GATS2dv,0.6149081291759465
GATS2pe,0.6008387446600051
GATS2se,0.6622928193198557
GATS3dv,0.970629175946548
GATS3pe,0.8730556096944284
GATS3se,0.8802778132785127
GATS4dv,1.1818326439707285
GATS4pe,1.2088616263083316
GATS4se,1.203143606705188
GATS5dv,1.061824630866947
GATS5pe,0.9080098608835814
GATS5se,0.8864171267229317
GATS6dv,1.4751917842118287
GATS6pe,1.414558762332689
GATS6se,1.3695044392403695
GATS7dv,1.6253290139704393
GATS7pe,1.8429286038890913
GATS7se,1.7510096491825664
GATS8dv,1.4810690423162582
GATS8pe,1.6001891056199655
GATS8se,1.4091047281512787
LogEE_A,3.571058144680138
LogEE_D,41.675481266316375
MATS1dv,0.13267578746420625
MATS1pe,-0.10939254679542604
MATS1se,-0.11384154214647048
MATS2dv,0.07043429844097998
MATS2pe,0.09777557271611506
MATS2se,0.08359000690030163
MATS3dv,-0.02951002227171493
MATS3pe,0.05813285855004975
MATS3se,0.06274927697800625
MATS4dv,-0.1765828825962456
MATS4pe,-0.17282959348688046
MATS4se,-0.15889676532136002
MATS5dv,0.008001319805328685
MATS5pe,0.16912652244851295
MATS5se,0.1726683731891625
MATS6dv,-0.3553575847562484
MATS6pe,-0.30481297506861
MATS6se,-0.30825292453029635
MATS7dv,-0.33589795505162984
MATS7pe,-0.5033642986403454
MATS7se,-0.484213036811634
MATS8dv,0.06458797327394203
MATS8pe,-0.3186298007279773
MATS8se,-0.31298815860334367
MAXaaCH,1.6941406840513984
MAXaaaC,0.3865740740740744
MAXaasC,-0.3391666666666666
MAXdssC,-1.2427286470143606
MDEC-22,4.508797713853318
MDEC-23,9.723227775252276
MDEC-33,5.085675264759766
MDEO-11,0.814325284978472
MDEO-12,0.9085602964160698
MINaaCH,0.9768518518518516
MINaaaC,0.28925925925925955
MINaasC,-0.3391666666666666
MINdssC,-1.2427286470143606
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,1.0
SM1_Dzi,0.6925367435132048
SM1_Dzm,0.9970623163947749
SM1_Dzp,-4.329177057356608
SM1_Dzv,-1.5959779122321027
SddssSe,0
SpAD_Dt,206.46960786604856
SpAbs_A,17.683996835988744
SpAbs_D,83.3509625326327
SpMAD_A,1.2631426311420528
SpMAD_D,5.9536401809023385
SpMax_A,2.402186522123202
SpMax_D,41.675481266316375
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,67.50999999999999
TpiPC10,8.239308797902888
VAdjMat,4.906890595608519
VE1_DzZ,3.6852858436895866
VE1_Dzi,3.6844523416605583
VE1_Dzm,3.6852784451248732
VE1_Dzp,3.6612279145969695
VE1_Dzv,3.6758678345142357
VE2_DzZ,0.26323470312068475
VE2_Dzi,0.26317516726146845
VE2_Dzm,0.2632341746517767
VE2_Dzp,0.26151627961406926
VE2_Dzv,0.26256198817958826
VE3_DzZ,1.6408203287764291
VE3_Dzi,1.6405941329437903
VE3_Dzm,1.6408183211785239
VE3_Dzp,1.6342708235598808
VE3_Dzv,1.6382614868541165
VR1_DzZ,60.925055109967964
VR1_Dzi,60.951781095440076
VR1_Dzm,60.92528285534314
VR1_Dzp,62.1883278411149
VR1_Dzv,61.39532378553327
VR2_DzZ,4.351789650711997
VR2_Dzi,4.353698649674291
VR2_Dzm,4.351805918238796
VR2_Dzp,4.442023417222493
VR2_Dzv,4.385380270395234
VR3_DzZ,4.446116740686328
VR3_Dzi,4.44655531436009
VR3_Dzm,4.446120478802759
VR3_Dzp,4.466639563469348
VR3_Dzv,4.453805909029266
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.0
Xch-6dv,0.04250916905249752
Xch-7dv,0.05561922555696452
Xpc-4dv,0.5581591217096872
Xpc-5dv,0.6746996698912076
Xpc-6dv,0.8168725206619609
Zagreb1,72.0
Zagreb2,84.0
fragCpx,43.04
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,0
n5aRing,0
n6ARing,0
n6FRing,0
n6HRing,1
n6aRing,2
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,11
nBondsD,2
nBondsM,13
nBondsO,15
nBondsS,8
nBondsT,0
nFARing,0
nFHRing,1
nFaRing,1
nHetero,4
naHRing,1
AATS0are,7.027000000000001
AATS1are,6.735714285714285
AATS2are,6.8046875
AATS3are,6.864249999999998
AATS4are,6.925142857142856
AATS5are,6.884074074074074
AATS6are,6.679444444444446
AATS7are,6.770909090909092
AATS8are,6.116000000000001
AATSC0dv,4.49
AATSC0pe,0.18984099999999998
AATSC0se,0.15367443999999994
AATSC1dv,0.595714285714286
AATSC1pe,-0.020767190476190474
AATSC1se,-0.017494535238095243
AATSC2dv,0.3162500000000001
AATSC2pe,0.018561812499999997
AATSC2se,0.012845647499999984
AATSC3dv,-0.1325
AATSC3pe,0.011035999999999994
AATSC3se,0.009642959999999999
AATSC4dv,-0.7928571428571427
AATSC4pe,-0.032810142857142864
AATSC4se,-0.024418371428571412
AATSC5dv,0.0359259259259258
AATSC5pe,0.03210714814814814
AATSC5se,0.026534715555555553
AATSC6dv,-1.5955555555555554
AATSC6pe,-0.05786599999999999
AATSC6se,-0.04737059555555554
AATSC7dv,-1.5081818181818178
AATSC7pe,-0.0955591818181818
AATSC7se,-0.07441116727272722
AATSC8dv,0.2899999999999997
AATSC8pe,-0.060488999999999925
AATSC8se,-0.04809828000000001
AETA_eta,0.4738442353053905
ATSC0are,4.297999999999998
ATSC1are,-0.5078999999999998
ATSC2are,0.6501999999999999
ATSC3are,0.5199999999999997
ATSC4are,-1.2635000000000005
ATSC5are,1.0036999999999998
ATSC6are,-1.1871999999999998
ATSC7are,-1.1839
ATSC8are,-0.34849999999999964
BCUTZ-1h,8.030100765617712
BCUTZ-1l,5.673837930740935
BCUTc-1h,0.5088073499666023
BCUTc-1l,-0.5211003075351929
BCUTd-1h,3.2445024487051364
BCUTd-1l,0.9727716014769033
BCUTi-1h,13.643924275844762
BCUTi-1l,10.934801001756718
BCUTm-1h,16.015269248103575
BCUTm-1l,11.68708097813794
BCUTp-1h,2.008670100002218
BCUTp-1l,0.7394518042335999
BCUTs-1h,7.009374066403385
BCUTs-1l,1.406829760608135
BCUTv-1h,20.909227967548432
BCUTv-1l,14.70039477414523
BalabanJ,2.002389306756594
Diameter,7
ETA_beta,20.25
GATS1are,0.7515123313168918
GATS2are,0.6209646928804096
GATS3are,0.8752908329455562
GATS4are,1.2081034368144654
GATS5are,0.8980490495148477
GATS6are,1.3986479499508817
GATS7are,1.8144803079656502
GATS8are,1.5339692880409492
HybRatio,0.0
Lipinski,True
LogEE_Dt,103.23480393302427
MATS1are,-0.11254404041746993
MATS2are,0.09454979060027922
MATS3are,0.060493252675663085
MATS4are,-0.16798510935318767
MATS5are,0.17298312738052157
MATS6are,-0.30691277596815064
MATS7are,-0.500824907991032
MATS8are,-0.324336900884132
NsssssAs,0
RotRatio,0.06666666666666667
SM1_Dzpe,1.0348837209302326
SM1_Dzse,0.9939792008757524
SMR_VSA1,14.318215515965875
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,46.31541033715485
SMR_VSA8,0.0
SMR_VSA9,0.0
SpAD_DzZ,53.86306794185081
SpAD_Dzi,55.506891836228505
SpAD_Dzm,53.87874221684556
SpAD_Dzp,77.6890445184554
SpAD_Dzv,66.01092666341037
SpAbs_Dt,206.46960786604848
SpDiam_A,4.804373044246402
SpDiam_D,60.05066277446463
SpMAD_Dt,14.747829133289184
SpMax_Dt,103.23480393302427
SsssssAs,0
VE1_Dzpe,3.685372799878367
VE1_Dzse,3.685270667761033
VE2_Dzpe,0.26324091427702623
VE2_Dzse,0.2632336191257881
VE3_Dzpe,1.6408439240052923
VE3_Dzse,1.6408162107892648
VMcGowan,127.71999999999997
VR1_Dzpe,60.922393789940664
VR1_Dzse,60.92552247713434
VR2_Dzpe,4.3515995564243335
VR2_Dzse,4.351823034081025
VR3_Dzpe,4.446073057867332
VR3_Dzse,4.446124411838581
mZagreb1,5.055555555555555
mZagreb2,3.083333333333333
n10ARing,0
n10FRing,1
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,0
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,1
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,6
nBondsKS,15
nFAHRing,0
nFaHRing,1
nG12Ring,0
AATSC0are,0.21489999999999992
AATSC1are,-0.024185714285714276
AATSC2are,0.020318749999999997
AATSC3are,0.012999999999999992
AATSC4are,-0.036100000000000014
AATSC5are,0.03717407407407407
AATSC6are,-0.06595555555555555
AATSC7are,-0.10762727272727272
AATSC8are,-0.06969999999999993
AETA_beta,1.4464285714285714
BCUTdv-1h,6.0254013906513375
BCUTdv-1l,2.7519974853407683
BCUTpe-1h,3.5043490792399576
BCUTpe-1l,2.218993803773295
BCUTse-1h,3.717151747290253
BCUTse-1l,2.4151494702417646
ETA_alpha,6.333333333333333
ETA_dBeta,2.75
ETA_eta_B,0.2326730120210394
ETA_eta_F,12.880637291680381
ETA_eta_L,2.4151278313957913
ETA_eta_R,19.51445658595585
ETA_psi_1,0.4922279792746115
LabuteASA,78.40010454192137
LogEE_DzZ,27.00296254236874
LogEE_Dzi,27.802912828371657
LogEE_Dzm,27.01058984532277
LogEE_Dzp,37.83979414444407
LogEE_Dzv,32.66346806479835
PEOE_VSA1,9.523678331894054
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,12.13273413692322
PEOE_VSA8,6.06636706846161
PEOE_VSA9,5.386224214464796
SM1_Dzare,1.1428571428571428
SpAD_Dzpe,53.67699111565169
SpAD_Dzse,53.89519313525352
SpAbs_DzZ,53.13345284523574
SpAbs_Dzi,54.984519946194744
SpAbs_Dzm,53.15102136596023
SpAbs_Dzp,80.00876534624476
SpAbs_Dzv,66.9229140418287
SpDiam_Dt,133.86345883673317
SpMAD_DzZ,3.8473619958464864
SpMAD_Dzi,3.964777988302036
SpMAD_Dzm,3.84848158691754
SpMAD_Dzp,5.549217465603958
SpMAD_Dzv,4.715066190243598
SpMax_DzZ,27.002962542353973
SpMax_Dzi,27.802912828365194
SpMax_Dzm,27.01058984530812
SpMax_Dzp,37.83979414444407
SpMax_Dzv,32.66346806479831
VE1_Dzare,3.6856310995422903
VE2_Dzare,0.2632593642530207
VE3_Dzare,1.640914009347141
VR1_Dzare,60.91467204355827
VR2_Dzare,4.351048003111305
VR3_Dzare,4.445946302575912
n10AHRing,0
n10FARing,0
n10FHRing,1
n10FaRing,1
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,10
nAromBond,11
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.4523809523809524
AETA_dBeta,0.19642857142857142
AETA_eta_B,0.01661950085864567
AETA_eta_F,0.9200455208343129
AETA_eta_L,0.17250913081398508
AETA_eta_R,1.3938897561397035
BCUTare-1h,3.557677087215346
BCUTare-1l,2.169872908495499
ETA_beta_s,8.75
ETA_dPsi_A,0.22177202072538849
ETA_dPsi_B,0.0
ETA_eta_BR,0.4046730120210394
ETA_eta_FL,4.266412718956264
ETA_eta_RL,6.6815405503520555
LogEE_Dzpe,26.91241582362279
LogEE_Dzse,27.01859508198956
PEOE_VSA10,5.583020141642242
PEOE_VSA11,5.428790391900541
PEOE_VSA12,5.760247418874442
PEOE_VSA13,0.0
SlogP_VSA1,5.428790391900541
SlogP_VSA2,11.075832682792555
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,10.554784602946263
SlogP_VSA6,39.543523463433225
SlogP_VSA7,0.0
SlogP_VSA8,10.969244356107037
SlogP_VSA9,0.0
SpAD_Dzare,53.10161289287072
SpAbs_Dzpe,52.92501659151267
SpAbs_Dzse,53.169462178355786
SpDiam_DzZ,38.65626079714661
SpDiam_Dzi,39.990303605097886
SpDiam_Dzm,38.668951951148706
SpDiam_Dzp,55.71962440653383
SpDiam_Dzv,47.66210277680737
SpMAD_Dzpe,3.8340707939751204
SpMAD_Dzse,3.849656652518109
SpMax_Dzpe,26.912415823606576
SpMax_Dzse,27.018595081975032
n10FAHRing,0
n10FaHRing,1
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,14
AETA_beta_s,0.625
AETA_eta_BR,0.028905215144359956
AETA_eta_FL,0.30474376563973316
AETA_eta_RL,0.47725289645371827
DetourIndex,719
EState_VSA1,5.969305287951849
EState_VSA2,16.772057952417228
EState_VSA3,5.386224214464796
EState_VSA4,6.06636706846161
EState_VSA5,0.0
EState_VSA6,24.26546827384644
EState_VSA7,0.0
EState_VSA8,0.0
EState_VSA9,9.523678331894054
ETA_beta_ns,11.5
ETA_shape_p,0.15789473684210528
ETA_shape_x,0.0
ETA_shape_y,0.39473684210526316
GhoseFilter,True
LogEE_Dzare,26.632439099518262
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SpAbs_Dzare,52.282030176981735
SpDiam_Dzpe,38.5056440688736
SpDiam_Dzse,38.68227258102981
SpMAD_Dzare,3.7929723494907654
SpMax_Dzare,26.63243909949658
TopoPSA(NO),67.50999999999999
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.00449074074074
VSA_EState9,36.8288425925926
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.8214285714285714
EState_VSA10,9.589074368143644
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.04761904761904764
FilterItLogS,-2.2304471274508337
SpDiam_Dzare,38.040467094486246
ETA_beta_ns_d,0.5
ETA_epsilon_1,0.7333333333333334
ETA_epsilon_2,0.9190476190476188
ETA_epsilon_3,0.4400000000000004
ETA_epsilon_4,0.6095238095238098
ETA_epsilon_5,0.8777777777777777
AETA_beta_ns_d,0.03571428571428571
ETA_dEpsilon_A,0.293333333333333
ETA_dEpsilon_B,0.12380952380952359
ETA_dEpsilon_C,-0.1695238095238094
ETA_dEpsilon_D,0.04126984126984112
PetitjeanIndex,0.42857142857142855
TopoShapeIndex,0.75
CDK Descriptors
FMFDescriptor,0.7142857142857143
MDEDescriptor,"0.0,0.0,0.0,0.0,4.508797713853318,9.723227775252276,0.0,5.085675264759766,0.0,0.0,0.814325284978472,0.9085602964160698,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
APolDescriptor,24.808757999999997
BCUTDescriptor,"11.99673894310046,15.99896641972161,-0.3264619734870439,0.31436697595565233,4.150922829868995,8.989230454372068"
BPolDescriptor,10.391241999999998
TPSADescriptor,67.50999999999999
ALOGPDescriptor,"1.7606000000000004,3.099712360000001,43.6259"
XLogPDescriptor,2.2649999999999997
VAdjMaDescriptor,4.906890595608519
WeightDescriptor,190.02660872
ChiPathDescriptor,"10.129392033067417,6.681540550352056,6.161176312508806,4.921615432214444,3.9598806357328464,3.3215355728523637,2.014488342168819,1.346929352737219,7.058709812839678,3.9448039170569573,2.7762131620431427,1.845407420332748,1.209337144492117,0.798837067269962,0.3744550268759382,0.19041754166369967"
ChiChainDescriptor,"0.0,0.0,0.0,0.1388888888888889,0.27323607817372114,0.0,0.0,0.0,0.04250916905249752,0.05561922555696452"
AtomCountDescriptor,20
BondCountDescriptor,15
SmallRingDescriptor,"2,2,1,1,0,0,0,2,0,0,0"
ChiClusterDescriptor,"1.0384516905501369,0.0,0.33093309327558146,0.0,0.294589025404104,0.0,0.04477897794478697,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,1,8,1,0,0,0,0"
ZagrebIndexDescriptor,72.0
LargestChainDescriptor,8
MannholdLogPDescriptor,2.12
WeightedPathDescriptor,"28.213920069587658,2.015280004970547,10.516068263776667,10.516068263776667,0.0"
FractionalPSADescriptor,0.35526603592381356
WienerNumbersDescriptor,"283.0,21.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"2.385155430569911,3.321503932242125,4.874401357571017,0.5581591217096872,0.6746996698912078,0.7454690882984484"
FractionalCSP3Descriptor,0.0
KierHallSmartsDescriptor,"0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,1
LargestPiSystemDescriptor,14
PetitjeanNumberDescriptor,0.42857142857142855
AcidicGroupCountDescriptor,1
KappaShapeIndicesDescriptor,"10.515555555555556,4.244897959183674,2.1728395061728394"
AromaticAtomsCountDescriptor,10
AromaticBondsCountDescriptor,11
FragmentComplexityDescriptor,259.04
HBondAcceptorCountDescriptor,3
HybridizationRatioDescriptor,0.0
AutocorrelationDescriptorMass,"17.097876142163784,16.660459885662824,24.43120485260146,25.205673888142403,19.43120485260146"
PetitjeanShapeIndexDescriptor,"0.75,NaN"
RotatableBondsCountDescriptor,1
AutocorrelationDescriptorCharge,"0.4675936314913226,-0.16971922794857366,-0.11751947113112919,0.08148046741990932,-0.1067463684138266"
EccentricConnectivityIndexDescriptor,157
AutocorrelationDescriptorPolarizability,"725.9578697738647,846.6068092482913,1165.2066673953248,1102.7802118129885,738.4681754885255"
