DLiP-ID,T007RU
AATSC4i,0.027835521694669633
AATSC4m,2.0466806088709677
AATSC4p,0.015663801828441605
AATSC4s,0.0163241249612815
AATSC4v,4.881367391805904
AATSC5Z,-1.1239257731958767
AATSC5c,0.0008052773739144023
AATSC5d,-0.1430432989690722
AATSC5i,-0.037358328295619386
AATSC5m,-5.096208801546391
AATSC5p,-0.008347934088436284
AATSC5s,-0.21915819156307892
AATSC5v,-1.9082038607777727
AATSC6Z,-2.1974204081632656
AATSC6c,0.00035723444510975483
AATSC6d,0.03840000000000001
AATSC6i,0.10178437150951312
AATSC6m,-10.375027045918367
AATSC6p,-0.020340875611876336
AATSC6s,-0.26081428011533825
AATSC6v,-8.980643120182364
AATSC7Z,1.0525473684210531
AATSC7c,-0.0003706950218860829
AATSC7d,0.07503157894736842
AATSC7i,0.42639340302750295
AATSC7m,4.88889132368421
AATSC7p,0.04317154579955367
AATSC7s,0.0875122807017544
AATSC7v,7.175561894566707
AATSC8Z,0.7190320987654324
AATSC8c,0.0007458652283728505
AATSC8d,-0.07764938271604939
AATSC8i,-0.12593321670535348
AATSC8m,3.1431149290123455
AATSC8p,-0.013797885770614315
AATSC8s,0.11380610001862865
AATSC8v,-2.905062464887283
ATS0are,320.70320000000004
ATS1are,343.17470000000003
ATS2are,577.2168999999999
ATS3are,748.2447999999999
ATS4are,782.1210000000001
ATS5are,627.1987999999999
ATS6are,623.3847000000001
ATS7are,569.7849
ATS8are,484.3139
ATSC0dv,212.27555555555557
ATSC0pe,6.5376499999999975
ATSC0se,4.488952499999998
ATSC1dv,38.99680000000001
ATSC1pe,-0.04699699999999904
ATSC1se,0.2378097299999991
ATSC2dv,51.9184
ATSC2pe,2.729858999999999
ATSC2se,1.5158166899999985
ATSC3dv,-52.06488888888889
ATSC3pe,-2.8491149999999976
ATSC3se,-1.7776778500000023
ATSC4dv,18.458844444444438
ATSC4pe,0.09153399999999834
ATSC4se,-0.5646303600000009
ATSC5dv,-89.28124444444444
ATSC5pe,-1.9293629999999984
ATSC5se,-1.3014182300000017
ATSC6dv,-88.02008888888889
ATSC6pe,-2.2120919999999966
ATSC6se,-0.7465588200000003
ATSC7dv,25.80533333333334
ATSC7pe,1.0750449999999987
ATSC7se,0.7972842500000029
ATSC8dv,-0.4908444444444433
ATSC8pe,0.8320009999999989
ATSC8se,0.40058781000000265
AXp-0dv,0.5739651199288607
AXp-1dv,0.3246500595743263
AXp-2dv,0.18666945409221028
AXp-3dv,0.09656606810321122
AXp-4dv,0.051914632721934625
AXp-5dv,0.02866330310265323
AXp-6dv,0.016006032177315593
AXp-7dv,0.008496664368763068
BertzCT,1207.7587041362904
ECIndex,828
ETA_eta,23.030420410127444
GATS1dv,0.5947433540360894
GATS1pe,0.6870484157872779
GATS1se,0.6658935611454425
GATS2dv,0.7773650859669833
GATS2pe,0.6105558666795795
GATS2se,0.6877375792777263
GATS3dv,1.12104083107728
GATS3pe,1.2638377904040108
GATS3se,1.3027569523760545
GATS4dv,1.0362621249718027
GATS4pe,1.075119290422745
GATS4se,1.1085671434482771
GATS5dv,1.2542403118210268
GATS5pe,1.2407240503283086
GATS5se,1.2788951561076718
GATS6dv,1.1638436413885513
GATS6pe,1.1683900178198587
GATS6se,1.0883210504009566
GATS7dv,0.837204868878364
GATS7pe,0.6747949428150384
GATS7se,0.5720650102434225
GATS8dv,0.8656993187931311
GATS8pe,0.6379118558571418
GATS8se,0.6154238669651416
LogEE_A,4.342646132802931
LogEE_D,194.4251361833388
MATS1dv,0.173309799453738
MATS1pe,-0.006781762935126429
MATS1se,0.04997798526199413
MATS2dv,0.13740461247693972
MATS2pe,0.2345840862825929
MATS2se,0.18970626445977298
MATS3dv,-0.10663926024509204
MATS3pe,-0.18947873504606585
MATS3se,-0.1721790134877746
MATS4dv,0.03506330447609179
MATS4pe,0.005645586864965435
MATS4se,-0.050718632522412516
MATS5dv,-0.2167996211455684
MATS5pe,-0.1521214825371927
MATS5se,-0.14944113112697424
MATS6dv,-0.21155619401983816
MATS6pe,-0.1726336477705196
MATS6se,-0.08485216921828811
MATS7dv,0.063981716361168
MATS7pe,0.08654687202507574
MATS7se,0.09347911110079377
MATS8dv,-0.0014273447407179907
MATS8pe,0.07855741194428126
MATS8se,0.05508555190234864
MAXaaCH,1.7025686652762506
MAXaasC,0.7939898451162188
MAXsCH3,1.9360375307990194
MAXssNH,2.422526220248047
MDEC-11,0.4999999999999999
MDEC-12,2.6471610228043745
MDEC-13,2.6005807165386567
MDEC-14,2.0
MDEC-22,10.601115894789356
MDEC-23,16.236937310726688
MDEC-24,1.575806847747435
MDEC-33,5.091259250223724
MDEC-34,1.6638552410986085
MDEN-22,1.4056675524550777
MDEO-11,0.454280148208035
MDEO-12,0.4205513644711583
MINaaCH,1.4514850770555134
MINaasC,0.07360222455347842
MINsCH3,1.9360375307990194
MINssNH,2.422526220248047
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,2.1964285714285716
SM1_Dzi,1.506634590074004
SM1_Dzm,2.1924217327564635
SM1_Dzp,-5.977766399049397
SM1_Dzv,-2.7156975500343496
SddssSe,0
SpAD_Dt,640.7815506833829
SpAbs_A,38.00492143541472
SpAbs_D,388.8502723666776
SpMAD_A,1.2668307145138238
SpMAD_D,12.961675745555919
SpMax_A,2.494980718682526
SpMax_D,194.4251361833388
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,121.62
TpiPC10,8.858790664403584
VAdjMat,6.044394119358453
VE1_DzZ,5.390283748813387
VE1_Dzi,5.392959532997961
VE1_Dzm,5.390279643423873
VE1_Dzp,5.394866605964162
VE1_Dzv,5.395918325445925
VE2_DzZ,0.17967612496044622
VE2_Dzi,0.17976531776659868
VE2_Dzm,0.1796759881141291
VE2_Dzp,0.17982888686547208
VE2_Dzv,0.17986394418153084
VE3_DzZ,2.7832103157680272
VE3_Dzi,2.783706601378871
VE3_Dzm,2.7832095541400186
VE3_Dzp,2.784060161579323
VE3_Dzv,2.784255090769698
VR1_DzZ,192.27088497893703
VR1_Dzi,192.6690459572457
VR1_Dzm,192.27133813381974
VR1_Dzp,192.2616669124163
VR1_Dzv,192.19050603226853
VR2_DzZ,6.409029499297901
VR2_Dzi,6.4223015319081895
VR2_Dzm,6.409044604460658
VR2_Dzp,6.4087222304138765
VR2_Dzv,6.406350201075617
VR3_DzZ,6.357517525634382
VR3_Dzi,6.3595862178551865
VR3_Dzm,6.357519882488092
VR3_Dzp,6.357469581362943
VR3_Dzv,6.357099387690137
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.03608439182435161
Xch-6dv,0.18170948633416362
Xch-7dv,0.254981391798875
Xpc-4dv,2.521875299839718
Xpc-5dv,3.2792423704630336
Xpc-6dv,3.9891627798698313
Zagreb1,164.0
Zagreb2,192.0
fragCpx,219.09
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,1
n5FRing,0
n5HRing,1
n5aRing,0
n6ARing,0
n6FRing,0
n6HRing,1
n6aRing,3
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,1
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,18
nBondsD,3
nBondsM,21
nBondsO,33
nBondsS,32
nBondsT,0
nFARing,1
nFHRing,1
nFaRing,0
nHetero,9
naHRing,1
AATS0are,6.414064000000001
AATS1are,6.474994339622642
AATS2are,6.485583146067414
AATS3are,6.50647652173913
AATS4are,6.307427419354839
AATS5are,6.465967010309277
AATS6are,6.361068367346939
AATS7are,5.997735789473684
AATS8are,5.9791839506172835
AATSC0dv,4.245511111111111
AATSC0pe,0.13075299999999995
AATSC0se,0.08977904999999996
AATSC1dv,0.7357886792452831
AATSC1pe,-0.0008867358490565856
AATSC1se,0.004486976037735832
AATSC2dv,0.5833528089887641
AATSC2pe,0.030672573033707854
AATSC2se,0.017031648202247174
AATSC3dv,-0.4527381642512077
AATSC3pe,-0.02477491304347824
AATSC3se,-0.015458068260869585
AATSC4dv,0.14886164874551966
AATSC4pe,0.0007381774193548253
AATSC4se,-0.004553470645161297
AATSC5dv,-0.9204252004581901
AATSC5pe,-0.01989034020618555
AATSC5se,-0.013416682783505171
AATSC6dv,-0.898164172335601
AATSC6pe,-0.02257236734693874
AATSC6se,-0.007617947142857146
AATSC7dv,0.27163508771929834
AATSC7pe,0.011316263157894723
AATSC7se,0.008392465789473716
AATSC8dv,-0.006059807956104239
AATSC8pe,0.010271617283950603
AATSC8se,0.004945528518518551
AETA_eta,0.7676806803375815
ATSC0are,7.102231999999998
ATSC1are,-0.3207899199999998
ATSC2are,2.911899039999999
ATSC3are,-3.0100855999999974
ATSC4are,-0.13935936000000013
ATSC5are,-2.0647580799999985
ATSC6are,-1.9108867199999982
ATSC7are,1.1809151999999985
ATSC8are,0.8555081599999984
BCUTZ-1h,16.013123459865177
BCUTZ-1l,5.69141199280897
BCUTc-1h,0.46314052191411986
BCUTc-1l,-0.5170255495823035
BCUTd-1h,4.043915392235004
BCUTd-1l,0.9715335551452513
BCUTi-1h,14.737104975309023
BCUTi-1l,10.319766927572308
BCUTm-1h,32.06654430151667
BCUTm-1l,11.703568070260264
BCUTp-1h,2.954586797967443
BCUTp-1l,0.7609399326272369
BCUTs-1h,7.0142112615796535
BCUTs-1l,0.2989386522842721
BCUTv-1h,24.441832882311967
BCUTv-1l,14.701613034797795
BalabanJ,1.2202598210009485
Diameter,16
ETA_beta,43.0
GATS1are,0.7380298804604333
GATS2are,0.6292300280319536
GATS3are,1.2820526916290416
GATS4are,1.0901577455941245
GATS5are,1.2575073248644364
GATS6are,1.1419262282617633
GATS7are,0.6449772261363528
GATS8are,0.6153440283818827
HybRatio,0.19047619047619047
Lipinski,True
LogEE_Dt,320.39077534169144
MATS1are,-0.042610829947543234
MATS2are,0.23033580669832407
MATS3are,-0.18427064471636756
MATS4are,-0.007912060648339946
MATS5are,-0.14985546637448527
MATS6are,-0.13727264951097512
MATS7are,0.08751253349502988
MATS8are,0.07435570350139542
MAXddssS,-3.752056791220976
MAXssCH2,0.5986696798743779
MAXssssC,-0.42851690875499093
MINddssS,-3.752056791220976
MINssCH2,0.5986696798743779
MINssssC,-0.42851690875499093
NsssssAs,0
RotRatio,0.15151515151515152
SM1_Dzpe,1.69124847001224
SM1_Dzse,1.6263872774837145
SMR_VSA1,18.26118733296969
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,10.228500251258795
SMR_VSA5,30.76483030880872
SMR_VSA6,4.722094864452088
SMR_VSA7,66.35759867946456
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
SpAD_DzZ,256.734465685512
SpAD_Dzi,280.5935180545233
SpAD_Dzm,256.77262743536016
SpAD_Dzp,374.15930813515484
SpAD_Dzv,353.8321225511125
SpAbs_Dt,640.7815506833829
SpDiam_A,4.879062262923867
SpDiam_D,303.63446153172407
SpMAD_Dt,21.359385022779428
SpMax_Dt,320.39077534169144
SsssssAs,0
VE1_Dzpe,5.393882480645983
VE1_Dzse,5.393809548608772
VE2_Dzpe,0.17979608268819944
VE2_Dzse,0.1797936516202924
VE3_Dzpe,2.7838777260971352
VE3_Dzse,2.783864204755033
VMcGowan,300.0600000000007
VR1_Dzpe,192.32707297401726
VR1_Dzse,192.29167696541072
VR2_Dzpe,6.410902432467242
VR2_Dzse,6.4097225655136905
VR3_Dzpe,6.357809716449846
VR3_Dzse,6.3576256588150475
mZagreb1,9.902777777777777
mZagreb2,6.291666666666667
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,1
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,0
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,1
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,1
n9FHRing,1
n9FaRing,0
n9aHRing,0
nBondsKD,12
nBondsKS,41
nFAHRing,1
nFaHRing,0
nG12Ring,0
AATSC0are,0.14204463999999997
AATSC1are,-0.006052639999999996
AATSC2are,0.03271796674157302
AATSC3are,-0.026174657391304326
AATSC4are,-0.001123865806451614
AATSC5are,-0.02128616577319586
AATSC6are,-0.019498844081632632
AATSC7are,0.012430686315789459
AATSC8are,0.01056182913580245
AETA_beta,1.4333333333333333
BCUTdv-1h,6.017912978081576
BCUTdv-1l,0.6442312979114331
BCUTpe-1h,3.5369565611669143
BCUTpe-1l,2.2391895691147514
BCUTse-1h,3.768272713730919
BCUTse-1l,2.435126510605907
ETA_alpha,14.266666666666667
ETA_dBeta,5.0
ETA_eta_B,0.6803002107786167
ETA_eta_F,33.326086718374924
ETA_eta_L,6.056365258631439
ETA_eta_R,56.35650712850237
ETA_psi_1,0.5501285347043704
LabuteASA,173.88437171884382
LogEE_DzZ,128.0525440905708
LogEE_Dzi,140.34550919115182
LogEE_Dzm,128.07118182776944
LogEE_Dzp,185.90036763053342
LogEE_Dzv,176.4634450172172
PEOE_VSA1,9.843390348640755
PEOE_VSA2,4.722094864452088
PEOE_VSA3,13.401775505276145
PEOE_VSA4,10.228500251258795
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,62.37841094707412
PEOE_VSA8,18.18111668623608
PEOE_VSA9,16.2702560248849
SM1_Dzare,1.8609379886947033
SpAD_Dzpe,283.36009251214784
SpAD_Dzse,283.48486309185773
SpAbs_DzZ,254.88292841314913
SpAbs_Dzi,279.2877680764592
SpAbs_Dzm,254.92437740507876
SpAbs_Dzp,377.7785016601163
SpAbs_Dzv,355.64258758446863
SpDiam_Dt,462.40731339241734
SpMAD_DzZ,8.557815522850401
SpMAD_Dzi,9.35311726848411
SpMAD_Dzm,8.559087581178671
SpMAD_Dzp,12.471976937838495
SpMAD_Dzv,11.794404085037083
SpMax_DzZ,128.0525440905708
SpMax_Dzi,140.34550919115182
SpMax_Dzm,128.07118182776944
SpMax_Dzp,185.90036763053342
SpMax_Dzv,176.4634450172172
VE1_Dzare,5.393930128756039
VE2_Dzare,0.17979767095853463
VE3_Dzare,2.7838865597897073
VR1_Dzare,192.3326404967564
VR2_Dzare,6.411088016558547
VR3_Dzare,6.357838664231714
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,1
n9FaHRing,0
nAromAtom,18
nAromBond,18
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.47555555555555556
AETA_dBeta,0.16666666666666666
AETA_eta_B,0.022676673692620556
AETA_eta_F,1.110869557279164
AETA_eta_L,0.2018788419543813
AETA_eta_R,1.8785502376167458
BCUTare-1h,3.5809352449023977
BCUTare-1l,2.187854460661462
ETA_beta_s,19.0
ETA_dPsi_A,0.16387146529562957
ETA_dPsi_B,0.0
ETA_eta_BR,1.0243002107786165
ETA_eta_FL,8.17754809296304
ETA_eta_RL,14.23391335159448
LogEE_Dzpe,141.73642120507435
LogEE_Dzse,141.79664445517832
PEOE_VSA10,11.418913588818716
PEOE_VSA11,11.49902366656781
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
SlogP_VSA1,9.458957818252138
SlogP_VSA2,24.10935371110054
SlogP_VSA3,16.444112776333593
SlogP_VSA4,0.0
SlogP_VSA5,19.410925891078243
SlogP_VSA6,75.91813091454415
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
SpAD_Dzare,281.2829588210602
SpAbs_Dzpe,281.8435900598598
SpAbs_Dzse,282.0176252627949
SpDiam_DzZ,199.53887378973002
SpDiam_Dzi,217.87147394728015
SpDiam_Dzm,199.56680796857367
SpDiam_Dzp,290.81045496368006
SpDiam_Dzv,275.24129570464953
SpMAD_Dzpe,9.445336417071594
SpMAD_Dzse,9.449495436395258
SpMax_Dzpe,141.73642120507435
SpMax_Dzse,141.79664445517832
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,30
AETA_beta_s,0.6333333333333333
AETA_eta_BR,0.03414334035928722
AETA_eta_FL,0.2725849364321013
AETA_eta_RL,0.4744637783864826
DetourIndex,4663
EState_VSA1,15.624341964391272
EState_VSA2,16.462858086636707
EState_VSA3,23.545106005577036
EState_VSA4,5.563451491696996
EState_VSA5,24.395944776997904
EState_VSA6,36.39820241076966
EState_VSA7,13.847474399381248
EState_VSA8,19.93457363665809
EState_VSA9,4.736862953800049
ETA_beta_ns,24.0
ETA_shape_p,0.14018691588785046
ETA_shape_x,0.09345794392523366
ETA_shape_y,0.24532710280373832
GhoseFilter,True
LogEE_Dzare,140.70351067681992
SlogP_VSA10,17.192635327202154
SlogP_VSA11,11.49902366656781
SpAbs_Dzare,279.6226412178463
SpDiam_Dzpe,220.8514359053445
SpDiam_Dzse,220.95505253635991
SpMAD_Dzare,9.376098627368673
SpMax_Dzare,140.70351067681992
TopoPSA(NO),113.24000000000001
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,24.940503018680815
VSA_EState9,53.144887105873494
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.8
EState_VSA10,13.524324379169643
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.024444444444444418
FilterItLogS,-5.998581021138958
SpDiam_Dzare,219.29867357577683
ETA_beta_ns_d,2.0
ETA_epsilon_1,0.6386666666666667
ETA_epsilon_2,0.8644444444444441
ETA_epsilon_3,0.44285714285714245
ETA_epsilon_4,0.5565656565656559
ETA_epsilon_5,0.8291666666666664
AETA_beta_ns_d,0.06666666666666667
ETA_dEpsilon_A,0.19580952380952427
ETA_dEpsilon_B,0.08210101010101079
ETA_dEpsilon_C,-0.11370851370851348
ETA_dEpsilon_D,0.03527777777777774
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.8333333333333334
MDEDescriptor,"0.4999999999999999,2.6471610228043745,2.6005807165386567,2.0,10.601115894789356,16.236937310726688,1.575806847747435,5.091259250223724,1.6638552410986085,0.0,0.454280148208035,0.4205513644711583,0.0,0.0,0.0,0.0,1.4056675524550777,0.0,0.0"
APolDescriptor,60.803859999999965
BCUTDescriptor,"11.996648115759333,31.972072527303578,-0.3595844291808768,0.24627581818369235,5.273301707466311,11.599864501725234"
BPolDescriptor,33.55614
TPSADescriptor,121.62000000000002
ALOGPDescriptor,"4.6943,22.036452490000002,111.1096"
XLogPDescriptor,4.2730000000000015
VAdjMaDescriptor,6.044394119358453
WeightDescriptor,424.12052628
ChiPathDescriptor,"21.35516038331214,14.233913351594481,14.206625704652868,10.892869712002682,9.04950549832628,7.527207351164755,4.907453798867216,3.1444456333080453,16.606198787836338,9.600384948587191,7.8842136819781325,4.861912073954051,3.3964624295496892,2.342619056061852,1.1951446912638666,0.6170242793102468"
ChiChainDescriptor,"0.0,0.0,0.08333333333333333,0.503842673036459,0.7999034970569829,0.0,0.0,0.036084391824351615,0.18170948633416362,0.2379604248536116"
AtomCountDescriptor,50
BondCountDescriptor,33
SmallRingDescriptor,"4,3,3,3,0,0,1,3,0,0,0"
ChiClusterDescriptor,"3.4847039086378575,0.45412414523193156,0.5682836946938083,0.10206207261596577,1.582875456223362,0.16983715318749415,0.11268049937431006,0.008499861963362563"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,2,14,1,2,1,1,0"
ZagrebIndexDescriptor,164.0
LargestChainDescriptor,17
MannholdLogPDescriptor,2.7800000000000002
WeightedPathDescriptor,"61.202121443496566,2.040070714783219,26.387484221919504,10.589834475764,12.311414013893549"
FractionalPSADescriptor,0.2867581087544623
WienerNumbersDescriptor,"2827.0,47.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"5.659254910323909,8.843339117164337,12.523223289782912,1.9384886308194074,2.5855936202316907,3.023191926056339"
FractionalCSP3Descriptor,0.19047619047619047
KierHallSmartsDescriptor,"0,0,0,0,0,0,2,0,1,0,0,10,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,2
LargestPiSystemDescriptor,26
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"23.168044077134986,9.46938775510204,5.688793335124966"
AromaticAtomsCountDescriptor,18
AromaticBondsCountDescriptor,18
FragmentComplexityDescriptor,1939.09
HBondAcceptorCountDescriptor,6
HybridizationRatioDescriptor,0.19047619047619047
AutocorrelationDescriptorMass,"40.66555038571971,44.08320527745603,60.901375270607105,60.54474675607387,53.984843374349744"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,5
AutocorrelationDescriptorCharge,"0.5218795407288422,-0.21348336718769023,-0.022931756661985978,-0.054163919563534196,0.035240103651951016"
EccentricConnectivityIndexDescriptor,828
AutocorrelationDescriptorPolarizability,"2173.9940636121887,2552.5137821814437,3666.930079179071,3471.884409312227,2997.208166366921"
