DLiP-ID,J000DB
AATSC6p,-0.07017121048007328
AATSC6s,-0.10426210472736526
AATSC6v,-17.961077014512966
AATSC7Z,-1.1332257486103645
AATSC7c,-0.0003798494341181281
AATSC7d,-0.028868567330105788
AATSC7i,-0.22113855022920798
AATSC7m,-5.493709531827148
AATSC7p,-0.045569838365876816
AATSC7s,-0.03848021636483173
AATSC7v,-10.298446606938384
AATSC8Z,0.9147928994082838
AATSC8c,0.0004373286256231794
AATSC8d,0.13159763313609465
AATSC8i,-0.08568076339818133
AATSC8m,4.335416677869819
AATSC8p,0.0077695412690839795
AATSC8s,0.02998520710059175
AATSC8v,3.5692038186081567
ATS0are,151.9298
ATS1are,173.125
ATS2are,299.50690000000003
ATS3are,356.233
ATS4are,285.1240000000001
ATS5are,210.261
ATS6are,180.36700000000002
ATS7are,179.81400000000002
ATS8are,130.33
ATSC0dv,82.61538461538463
ATSC0pe,1.551415384615383
ATSC0se,0.6511421538461535
ATSC1dv,30.721893491124256
ATSC1pe,0.2127295857988156
ATSC1se,0.05189244970414339
ATSC2dv,11.763313609467456
ATSC2pe,0.21180177514792792
ATSC2se,0.14184717159763532
ATSC3dv,-28.213017751479285
ATSC3pe,-0.4940591715976331
ATSC3se,-0.2354968994082833
ATSC4dv,-28.852071005917157
ATSC4pe,-0.48286745562130157
ATSC4se,-0.21208359763313553
ATSC5dv,-21.46745562130178
ATSC5pe,-0.15946745562130202
ATSC5se,-0.10922882840236642
ATSC6dv,-41.65680473372781
ATSC6pe,-0.6349414201183422
ATSC6se,-0.1933371834319524
ATSC7dv,-8.934911242603555
ATSC7pe,-0.14931952662721773
ATSC7se,-0.009174887573966195
ATSC8dv,18.792899408284022
ATSC8pe,0.29298520710059256
ATSC8se,0.11511346745561907
AXp-0dv,0.5699892249783797
AXp-1dv,0.31550994854531134
AXp-2dv,0.1684247330298241
AXp-3dv,0.09093738415370638
AXp-4dv,0.050072010283953985
AXp-5dv,0.026550184855746572
AXp-6dv,0.014521739616671933
AXp-7dv,0.00851312166820733
BertzCT,421.10021837205187
ECIndex,195
ETA_eta,7.9823904741504315
GATS1dv,0.5457734769885607
GATS1pe,0.7684515132583647
GATS1se,0.8831404887601055
GATS2dv,0.947962984076312
GATS2pe,1.007950556315821
GATS2se,1.0928489206185394
GATS3dv,1.202987147785206
GATS3pe,1.2154686230464087
GATS3se,1.30075597805705
GATS4dv,1.2629213696651842
GATS4pe,1.2770596576823152
GATS4se,1.3615306500482938
GATS5dv,1.2692685702462239
GATS5pe,1.1493089299211752
GATS5se,1.25849162061478
GATS6dv,1.2494743797681263
GATS6pe,1.1856758832565282
GATS6se,1.0619082510972282
GATS7dv,0.8115371593025223
GATS7pe,0.7405505492240181
GATS7se,0.47294983735661694
GATS8dv,0.5386405959031657
GATS8pe,0.47376093294460586
GATS8se,0.21853292581272563
LogEE_A,3.611615336959904
LogEE_D,43.83967306720793
MATS1dv,0.34530460228784243
MATS1pe,0.12732541996390348
MATS1se,0.07400203760303989
MATS2dv,0.07555200851290236
MATS2pe,0.07244005473909651
MATS2se,0.11559049849448162
MATS3dv,-0.14555667490917967
MATS3pe,-0.13573579314629847
MATS3se,-0.15415332431443426
MATS4dv,-0.18530764261011662
MATS4pe,-0.1651494417008787
MATS4se,-0.17282578494026082
MATS5dv,-0.18766811504241676
MATS5pe,-0.07423604362379892
MATS5se,-0.12115248062733433
MATS6dv,-0.4228990208445965
MATS6pe,-0.3432552744600142
MATS6se,-0.2490297484068153
MATS7dv,-0.08520963828226401
MATS7pe,-0.07583119828017733
MATS7se,-0.011101568617547339
MATS8dv,0.23657355679702044
MATS8pe,0.19640427599611351
MATS8se,0.1838584792071837
MAXaaCH,2.1643518518518516
MAXaasC,1.2396787603930464
MAXaasN,2.2662037037037037
MDEC-22,11.153372086063639
MDEC-23,10.31665823702101
MDEC-33,1.6509636244473134
MDEN-23,0.4999999999999999
MINaaCH,2.034989449483497
MINaasC,1.111388888888889
MINaasN,2.2662037037037037
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,0.2857142857142858
SM1_Dzi,0.4504991709152957
SM1_Dzm,0.2850003569643751
SM1_Dzp,-1.0363636363636362
SM1_Dzv,-0.6386492564868576
SddssSe,0
SpAD_Dt,205.49175105237092
SpAbs_A,18.85477149504259
SpAbs_D,87.67934613441588
SpMAD_A,1.3467693925030422
SpMAD_D,6.262810438172562
SpMax_A,2.430510815180149
SpMax_D,43.83967306720793
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,17.82
TpiPC10,7.854129554038002
VAdjMat,5.0
VE1_DzZ,3.686391115281433
VE1_Dzi,3.6853845096434235
VE1_Dzm,3.6863952171032324
VE1_Dzp,3.6928127955498904
VE1_Dzv,3.6913468049441844
VE2_DzZ,0.26331365109153093
VE2_Dzi,0.26324175068881595
VE2_Dzm,0.2633139440788023
VE2_Dzp,0.2637723425392779
VE2_Dzv,0.2636676289245846
VE3_DzZ,1.641120198563529
VE3_Dzi,1.6408471013626698
VE3_Dzm,1.641121311255967
VE3_Dzp,1.6428606795062275
VE3_Dzv,1.6424636158715604
VR1_DzZ,63.70539988489562
VR1_Dzi,63.77320462674386
VR1_Dzm,63.705118724828424
VR1_Dzp,63.25829391193051
VR1_Dzv,63.369761198686156
VR2_DzZ,4.550385706063973
VR2_Dzi,4.555228901910276
VR2_Dzm,4.550365623202031
VR2_Dzp,4.518449565137893
VR2_Dzv,4.526411514191868
VR3_DzZ,4.49074156617002
VR3_Dzi,4.491805348574952
VR3_Dzm,4.490737152718599
VR3_Dzp,4.4836984846745604
VR3_Dzv,4.4854590315841625
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.10792445496369077
Xch-6dv,0.1683324862491974
Xch-7dv,0.1573297161388101
Xpc-4dv,0.7090313293347169
Xpc-5dv,1.000497586137729
Xpc-6dv,1.0382881359234781
Zagreb1,76.0
Zagreb2,90.0
fragCpx,74.02
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,1
n5FRing,0
n5HRing,2
n5aRing,1
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,1
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,1
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,11
nBondsD,0
nBondsM,11
nBondsO,16
nBondsS,17
nBondsT,0
nFARing,1
nFHRing,1
nFaRing,0
nHetero,2
naHRing,1
AATS0are,5.843453846153846
AATS1are,6.183035714285714
AATS2are,6.112385714285715
AATS3are,5.839885245901639
AATS4are,5.818857142857144
AATS5are,5.840583333333333
AATS6are,5.818290322580646
AATS7are,5.448909090909091
AATS8are,5.2132000000000005
AATSC0dv,3.1775147928994087
AATSC0pe,0.05966982248520704
AATSC0se,0.025043928994082826
AATSC1dv,1.0972104818258663
AATSC1pe,0.007597485207100557
AATSC1se,0.0018533017751479783
AATSC2dv,0.24006762468300932
AATSC2pe,0.004322485207100569
AATSC2se,0.0028948402366864353
AATSC3dv,-0.4625084877291686
AATSC3pe,-0.008099330681928411
AATSC3se,-0.003860604908332513
AATSC4dv,-0.5888177756309624
AATSC4pe,-0.00985443786982248
AATSC4se,-0.004328236686390521
AATSC5dv,-0.5963182117028273
AATSC5pe,-0.004429651545036167
AATSC5se,-0.003034134122287956
AATSC6dv,-1.343767894636381
AATSC6pe,-0.02048198129414007
AATSC6se,-0.006236683336514593
AATSC7dv,-0.27075488613950166
AATSC7pe,-0.004524834140218719
AATSC7se,-0.0002780268961807938
AATSC8dv,0.7517159763313609
AATSC8pe,0.011719408284023703
AATSC8se,0.004604538698224763
AETA_eta,0.5701707481536022
ATSC0are,1.4970461538461524
ATSC1are,0.1796964497041419
ATSC2are,0.26225147928994064
ATSC3are,-0.5132928994082835
ATSC4are,-0.48211775147928954
ATSC5are,-0.20090236686390522
ATSC6are,-0.5493781065088751
ATSC7are,-0.09026627218934896
ATSC8are,0.2819556213017749
BCUTZ-1h,7.073668426546621
BCUTZ-1l,5.692049615022657
BCUTc-1h,0.3556495253066537
BCUTc-1l,-0.4441962837677375
BCUTd-1h,3.188851967798519
BCUTd-1l,1.7343902345272766
BCUTi-1h,14.557726275818773
BCUTi-1l,10.952948369412692
BCUTm-1h,14.045121973855876
BCUTm-1l,11.703468071593345
BCUTp-1h,1.9854213586605804
BCUTp-1l,0.9965448340529648
BCUTs-1h,3.0338959886336885
BCUTs-1l,1.3490059660234668
BCUTv-1h,20.892293917221576
BCUTv-1l,15.584928678363129
BalabanJ,1.586555519116931
Diameter,8
ETA_beta,19.25
GATS1are,0.8064988967285028
GATS2are,1.0411829826270134
GATS3are,1.2555872952335903
GATS4are,1.3173901636126153
GATS5are,1.1996540623586964
GATS6are,1.1354617927511848
GATS7are,0.6241837072164486
GATS8are,0.36071032186459484
HybRatio,0.25
Lipinski,True
LogEE_Dt,102.74587552618546
MATS1are,0.11146015009777499
MATS2are,0.09295227524972255
MATS3are,-0.14614150640150897
MATS4are,-0.17088156017123832
MATS5are,-0.0969216302873351
MATS6are,-0.307785256525008
MATS7are,-0.04750613796118787
MATS8are,0.19587495375508696
MAXssCH2,1.2474236268581507
MINssCH2,1.1317793367346938
NsssssAs,0
RotRatio,0.0625
SM1_Dzpe,0.32236842105263164
SM1_Dzse,0.28052598622417024
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,19.386399651764595
SMR_VSA6,0.0
SMR_VSA7,42.353083411921055
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
SpAD_DzZ,65.27971619054155
SpAD_Dzi,63.63412441039053
SpAD_Dzm,65.28685706180404
SpAD_Dzp,78.49595766904316
SpAD_Dzv,74.5041522616512
SpAbs_Dt,205.49175105237094
SpDiam_A,4.661105228887635
SpDiam_D,67.14521002420096
SpMAD_Dt,14.677982218026495
SpMax_Dt,102.74587552618546
SsssssAs,0
VE1_Dzpe,3.6861776039546834
VE1_Dzse,3.686420875266304
VE2_Dzpe,0.26329840028247736
VE2_Dzse,0.263315776804736
VE3_Dzpe,1.6410622780924042
VE3_Dzse,1.6411282714629627
VMcGowan,145.81999999999985
VR1_Dzpe,63.71997683311041
VR1_Dzse,63.7033590041757
VR2_Dzpe,4.551426916650743
VR2_Dzse,4.550239928869693
VR3_Dzpe,4.490970358089712
VR3_Dzse,4.490709529428781
mZagreb1,2.9444444444444446
mZagreb2,3.055555555555555
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,1
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,1
n8FHRing,1
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,5
nBondsKS,23
nFAHRing,1
nFaHRing,0
nG12Ring,0
AATSC0are,0.05757869822485202
AATSC1are,0.006417730346576496
AATSC2are,0.0053520710059171556
AATSC3are,-0.008414637695217763
AATSC4are,-0.009839137785291623
AATSC5are,-0.005580621301775145
AATSC6are,-0.0177218744035121
AATSC7are,-0.002735341581495423
AATSC8are,0.011278224852070995
AETA_beta,1.375
BCUTdv-1h,5.063648233256445
BCUTdv-1l,1.857221319387808
BCUTpe-1h,3.174570843538046
BCUTpe-1l,2.2413329826792845
BCUTse-1h,3.337577760097278
BCUTse-1l,2.437219917610092
ETA_alpha,6.8
ETA_dBeta,0.75
ETA_eta_B,-0.018439428004476177
ETA_eta_F,9.61143021926614
ETA_eta_L,3.277806100955876
ETA_eta_R,17.59382069341657
ETA_psi_1,0.6415094339622641
LabuteASA,83.21627240377775
LogEE_DzZ,32.660266258536126
LogEE_Dzi,31.84924071740361
LogEE_Dzm,32.66378569925667
LogEE_Dzp,39.02590091244367
LogEE_Dzv,37.11522271872129
PEOE_VSA1,4.567099647791355
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,6.4208216229260096
PEOE_VSA8,24.725873092148657
PEOE_VSA9,5.693927994848461
SM1_Dzare,0.37133550488599343
SpAD_Dzpe,64.91322270506888
SpAD_Dzse,65.33161287079798
SpAbs_DzZ,65.0348182313579
SpAbs_Dzi,63.2479822638917
SpAbs_Dzm,65.04257104154891
SpAbs_Dzp,79.08816546125101
SpAbs_Dzv,74.86909469392944
SpDiam_Dt,145.2762544694663
SpMAD_DzZ,4.662836870752968
SpMAD_Dzi,4.545294600742181
SpMAD_Dzm,4.663346932986003
SpMAD_Dzp,5.606854119217369
SpMAD_Dzv,5.321725161546515
SpMax_DzZ,32.660266258536076
SpMax_Dzi,31.8492407174035
SpMax_Dzm,32.66378569925662
SpMax_Dzp,39.02590091244367
SpMax_Dzv,37.11522271872129
VE1_Dzare,3.6858832595495694
VE2_Dzare,0.2632773756821121
VE3_Dzare,1.6409824240568176
VR1_Dzare,63.739893240597155
VR2_Dzare,4.5528495171855115
VR3_Dzare,4.491282870688969
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,1
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,11
nAromBond,11
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.4857142857142857
AETA_dBeta,0.05357142857142857
AETA_eta_B,-0.001317102000319727
AETA_eta_F,0.6865307299475815
AETA_eta_L,0.234129007211134
AETA_eta_R,1.2567014781011836
BCUTare-1h,3.1898486242724022
BCUTare-1l,2.1915121428607995
ETA_beta_s,9.25
ETA_dPsi_A,0.07249056603773585
ETA_dPsi_B,0.0
ETA_eta_BR,0.23956057199552383
ETA_eta_FL,3.654846889421695
ETA_eta_RL,6.932652990377571
LogEE_Dzpe,32.47963766832396
LogEE_Dzse,32.68584400584361
PEOE_VSA10,5.824404497999927
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
SlogP_VSA1,0.0
SlogP_VSA2,9.551078168738563
SlogP_VSA3,12.965578028838586
SlogP_VSA4,0.0
SlogP_VSA5,12.245226120925937
SlogP_VSA6,36.52867891392113
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
SpAD_Dzare,64.4240164053794
SpAbs_Dzpe,64.63690691559518
SpAbs_Dzse,65.09116202546298
SpDiam_DzZ,49.97875566972407
SpDiam_Dzi,48.72134804701781
SpDiam_Dzm,49.984242430819876
SpDiam_Dzp,60.13851977928829
SpDiam_Dzv,57.03600120353584
SpMAD_Dzpe,4.636658764647777
SpMAD_Dzse,4.66654377648557
SpMax_Dzpe,32.4796376683239
SpMax_Dzse,32.68584400584357
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,14
AETA_beta_s,0.6607142857142857
AETA_eta_BR,0.017111469428251702
AETA_eta_FL,0.26106049210154963
AETA_eta_RL,0.49518949931268363
DetourIndex,708
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,0.0
EState_VSA4,18.659506023687047
EState_VSA5,17.808677612622933
EState_VSA6,0.0
EState_VSA7,6.06636706846161
EState_VSA8,40.01339001419808
EState_VSA9,0.0
ETA_beta_ns,10.0
ETA_shape_p,0.0
ETA_shape_x,0.0
ETA_shape_y,0.27941176470588236
GhoseFilter,True
LogEE_Dzare,32.23853216732449
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SpAbs_Dzare,64.10572882976282
SpDiam_Dzpe,49.69750298877322
SpDiam_Dzse,50.0186368524648
SpMAD_Dzare,4.6017154575271
SpMax_Dzare,32.23853216732442
TopoPSA(NO),17.82
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,2.2662037037037037
VSA_EState9,24.233796296296298
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.7142857142857143
EState_VSA10,0.0
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.0142857142857143
FilterItLogS,-2.848774227490454
SpDiam_Dzare,49.32314991307707
ETA_beta_ns_d,0.0
ETA_epsilon_1,0.5461538461538464
ETA_epsilon_2,0.7571428571428571
ETA_epsilon_3,0.44736842105263197
ETA_epsilon_4,0.48823529411764743
ETA_epsilon_5,0.7571428571428571
AETA_beta_ns_d,0.0
ETA_dEpsilon_A,0.09878542510121446
ETA_dEpsilon_B,0.057918552036199
ETA_dEpsilon_C,-0.04086687306501546
ETA_dEpsilon_D,0.0
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,1.0
MDEDescriptor,"0.0,0.0,0.0,0.0,11.153372086063639,10.31665823702101,0.0,1.6509636244473134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0"
APolDescriptor,31.321516000000006
BCUTDescriptor,"11.849999999999993,14.004086203719575,-0.23939735713728236,0.09137626418989946,6.584170780579138,9.376614990345724"
BPolDescriptor,16.418483999999996
TPSADescriptor,17.82
ALOGPDescriptor,"1.6948000000000016,2.8723470400000055,55.4256"
XLogPDescriptor,2.7440000000000007
VAdjMaDescriptor,5.0
WeightDescriptor,184.10004848
ChiPathDescriptor,"9.38046888862398,6.932652990377571,6.080637243086757,5.343990882473936,4.598669303248234,3.312145654710542,2.1868900427595626,1.6067601848939257,7.979849149697316,5.048159176724981,3.705344126656131,2.728121524611192,2.0028804113581593,1.1682081336528491,0.6680000223669089,0.4256560834103662"
ChiChainDescriptor,"0.0,0.0,0.21407617506269555,0.4603670583261423,0.5155485826237792,0.0,0.0,0.10792445496369077,0.1683324862491974,0.1573297161388101"
AtomCountDescriptor,26
BondCountDescriptor,16
SmallRingDescriptor,"3,2,2,2,0,0,2,1,0,0,0"
ChiClusterDescriptor,"0.6666666666666666,0.0,0.16666666666666666,0.0,0.309880826806306,0.0,0.050384087605078044,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,2,6,1,1,2,0,0"
ZagrebIndexDescriptor,76.0
LargestChainDescriptor,9
MannholdLogPDescriptor,2.56
WeightedPathDescriptor,"29.26892655543503,2.090637611102502,6.601353762447178,0.0,6.601353762447178"
FractionalPSADescriptor,0.09679519449955987
WienerNumbersDescriptor,"298.0,17.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"1.7991137418328451,2.9191893158360345,3.3289937561381935,0.7090313293347167,1.0004975861377292,0.9237944056857952"
FractionalCSP3Descriptor,0.25
KierHallSmartsDescriptor,"0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,0
LargestPiSystemDescriptor,11
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"9.2421875,3.8677685950413223,1.76"
AromaticAtomsCountDescriptor,11
AromaticBondsCountDescriptor,11
FragmentComplexityDescriptor,602.02
HBondAcceptorCountDescriptor,1
HybridizationRatioDescriptor,0.25
AutocorrelationDescriptorMass,"14.71996060255296,16.83090966590223,23.35707190035916,17.83090966590223,12.664727732721783"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,1
AutocorrelationDescriptorCharge,"0.13901444391911383,-0.08342321404565672,0.017302030476730235,-0.009048924849485326,0.00466858981395621"
EccentricConnectivityIndexDescriptor,195
AutocorrelationDescriptorPolarizability,"874.8024414417268,1028.7493569656374,1427.636051478699,1086.6503634445803,760.034603378174"
