DLiP-ID,C001XZ
AATSC4d,-0.014761904761904747
AATSC4i,-0.19041619608458296
AATSC4m,-7.117432688304763
AATSC4p,-0.04761960650986535
AATSC4s,-0.25754618361747994
AATSC4v,-7.696798504075714
AATSC5Z,0.5325090909090908
AATSC5c,-0.0034312350637215184
AATSC5d,0.014242424242424237
AATSC5i,0.07986515526856373
AATSC5m,2.615654263094949
AATSC5p,0.04414500807254752
AATSC5s,-0.21048948642806664
AATSC5v,4.108187365385959
AATSC6Z,-1.9237012048192765
AATSC6c,0.00832888947504207
AATSC6d,-0.034096385542168664
AATSC6i,0.2345832672403245
AATSC6m,-7.7080856141108445
AATSC6p,-0.00858909625428683
AATSC6s,0.34529375816021285
AATSC6v,3.442419600399623
AATSC7Z,-2.6559
AATSC7c,-0.0076138447906745205
AATSC7d,-0.1075
AATSC7i,-0.032978652856404896
AATSC7m,-12.071901737900003
AATSC7p,-0.009613203538485411
AATSC7s,-0.3512210776748971
AATSC7v,-2.509599342799316
AATSC8Z,-0.9464519480519484
AATSC8c,0.007840742528651159
AATSC8d,0.001688311688311692
AATSC8i,0.16842744341311688
AATSC8m,-5.066009638607792
AATSC8p,-0.029468348725134274
AATSC8s,-0.6288700439135624
AATSC8v,-8.244691123039356
ATS0are,324.6953
ATS1are,340.3827
ATS2are,557.7618
ATS3are,653.5483
ATS4are,690.2388000000001
ATS5are,631.5508
ATS6are,525.1929
ATS7are,519.6574
ATS8are,507.3194000000001
ATSC0dv,216.05333333333334
ATSC0pe,6.693049999999999
ATSC0se,4.62935818
ATSC1dv,27.664533333333324
ATSC1pe,-0.15182800000000057
ATSC1se,0.09972851279999916
ATSC2dv,37.40266666666666
ATSC2pe,2.632764999999999
ATSC2se,1.970219833999998
ATSC3dv,-16.291022222222225
ATSC3pe,-1.3216280000000014
ATSC3se,-1.5113591072000003
ATSC4dv,-95.27200000000002
ATSC4pe,-2.242625
ATSC4se,-1.2010232980000033
ATSC5dv,12.054399999999996
ATSC5pe,-1.2401210000000005
ATSC5se,-1.1086832964000002
ATSC6dv,74.2848
ATSC6pe,2.3954229999999987
ATSC6se,1.2728521612
ATSC7dv,-79.74755555555555
ATSC7pe,-3.3174900000000003
ATSC7se,-2.5269008880000015
ATSC8dv,-132.98880000000003
ATSC8pe,-1.9528029999999976
ATSC8se,-0.2698321572000023
AXp-0dv,0.6137923839268933
AXp-1dv,0.3554232405084338
AXp-2dv,0.20160554316149862
AXp-3dv,0.11899854005152398
AXp-4dv,0.06759925016513495
AXp-5dv,0.03905769017811916
AXp-6dv,0.023987930258910557
AXp-7dv,0.01428073332479749
BertzCT,1176.0121336095183
ECIndex,984
ETA_eta,24.20599787511758
GATS1dv,0.6421036432916216
GATS1pe,0.6918511337535548
GATS1se,0.6667149728867034
GATS2dv,0.817947396188789
GATS2pe,0.6619069737396603
GATS2se,0.6725456727923147
GATS3dv,0.9829055562815927
GATS3pe,1.0277537674066644
GATS3se,1.1066269100472352
GATS4dv,1.226497572615815
GATS4pe,1.2685980233227
GATS4se,1.2685131008808652
GATS5dv,0.9832911107287805
GATS5pe,1.1270758096047013
GATS5se,1.1404512805804246
GATS6dv,0.7160616050972588
GATS6pe,0.6591305870871447
GATS6se,0.6688299338508311
GATS7dv,1.2848615053896157
GATS7pe,1.4040311405114259
GATS7se,1.4889723195926912
GATS8dv,1.4124832626437167
GATS8pe,1.3334062266761106
GATS8se,1.2554538784506368
LogEE_A,4.346681504379063
LogEE_D,222.8263368021113
MATS1dv,0.12312012228699462
MATS1pe,-0.021811948444799025
MATS1se,0.020714059496089794
MATS2dv,0.10183396982589626
MATS2pe,0.23138707974953823
MATS2se,0.25034849291557965
MATS3dv,-0.03696214765014045
MATS3pe,-0.09679546137337967
MATS3se,-0.16003564179840166
MATS4dv,-0.20998342560919706
MATS4pe,-0.1595560569047993
MATS4se,-0.12354106853543956
MATS5dv,0.028178601617258728
MATS5pe,-0.09357822478148792
MATS5se,-0.12095436062972319
MATS6dv,0.20712422635493838
MATS6pe,0.21560064598568027
MATS6se,0.16563384826737385
MATS7dv,-0.2306940673084835
MATS7pe,-0.3097886987247967
MATS7se,-0.3411516226640301
MATS8dv,-0.39969928861560566
MATS8pe,-0.1894583031807464
MATS8se,-0.03784880747626834
MAXaaCH,1.670057647832761
MAXaasC,0.7383773391841946
MAXdssC,0.07917144799942544
MAXsCH3,1.9110915644013562
MAXssNH,2.8437157204734764
MDEC-11,0.04999999999999999
MDEC-12,2.2481451719131456
MDEC-13,1.9404618028441984
MDEC-22,6.916276453181821
MDEC-23,15.706687145199783
MDEC-33,5.081553222351153
MDEN-22,2.158167923982477
MDEO-11,0.5129927840030091
MDEO-12,0.2842183719925995
MINaaCH,1.4170053405889447
MINaasC,0.05507893929298957
MINdssC,-0.3823547768877431
MINsCH3,1.5408494320873278
MINssNH,2.4069179777743
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,3.5892857142857144
SM1_Dzi,1.5580831849920673
SM1_Dzm,3.5856393161045275
SM1_Dzp,-5.647672355162251
SM1_Dzv,-2.7198644279348425
SddssSe,0
SpAD_Dt,571.3656183984895
SpAbs_A,39.105185137672876
SpAbs_D,445.6526736042225
SpMAD_A,1.2614575850862217
SpMAD_D,14.375892696910407
SpMax_A,2.394116521531986
SpMax_D,222.8263368021113
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,191.02000000000004
TpiPC10,8.173425658715644
VAdjMat,6.044394119358453
VE1_DzZ,5.473139301790983
VE1_Dzi,5.470604747057133
VE1_Dzm,5.473132702326109
VE1_Dzp,5.466992984422394
VE1_Dzv,5.475810799827299
VE2_DzZ,0.17655288070293493
VE2_Dzi,0.17647112087281075
VE2_Dzm,0.17655266781697126
VE2_Dzp,0.17635461240072237
VE2_Dzv,0.17663905805894511
VE3_DzZ,2.8312544758761997
VE3_Dzi,2.830791278862846
VE3_Dzm,2.8312532700839683
VE3_Dzp,2.83013084814402
VE3_Dzv,2.8317424675218894
VR1_DzZ,195.40271367521848
VR1_Dzi,196.29833315277742
VR1_Dzm,195.40326228997847
VR1_Dzp,196.43741911534946
VR1_Dzv,195.786489787007
VR2_DzZ,6.303313344361887
VR2_Dzi,6.332204295250884
VR2_Dzm,6.303331041612209
VR2_Dzp,6.336690939204821
VR2_Dzv,6.31569321893571
VR3_DzZ,6.406464738798735
VR3_Dzi,6.4110377214118275
VR3_Dzm,6.406467546405546
VR3_Dzp,6.411746014291116
VR3_Dzv,6.408426839140538
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.06123724356957946
Xch-6dv,0.12947544752956722
Xch-7dv,0.17559060422426215
Xpc-4dv,2.455419361680743
Xpc-5dv,3.010869953742522
Xpc-6dv,3.332344139410541
Zagreb1,158.0
Zagreb2,181.0
fragCpx,159.12
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,1
n5aRing,1
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,2
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,17
nBondsD,4
nBondsM,21
nBondsO,33
nBondsS,31
nBondsT,0
nFARing,0
nFHRing,0
nFaRing,0
nHetero,12
naHRing,1
AATS0are,6.493905999999999
AATS1are,6.545821153846154
AATS2are,6.561903529411764
AATS3are,6.407336274509804
AATS4are,6.573702857142858
AATS5are,6.37930101010101
AATS6are,6.32762530120482
AATS7are,6.4957175000000005
AATS8are,6.588563636363637
AATSC0dv,4.321066666666667
AATSC0pe,0.13386099999999998
AATSC0se,0.0925871636
AATSC1dv,0.5320102564102562
AATSC1pe,-0.002919769230769242
AATSC1se,0.001917856015384599
AATSC2dv,0.44003137254901953
AATSC2pe,0.03097370588235293
AATSC2se,0.02317905687058821
AATSC3dv,-0.15971590413943357
AATSC3pe,-0.012957137254901973
AATSC3se,-0.014817246149019612
AATSC4dv,-0.9073523809523811
AATSC4pe,-0.021358333333333333
AATSC4se,-0.011438317123809555
AATSC5dv,0.12176161616161611
AATSC5pe,-0.012526474747474751
AATSC5se,-0.011198821175757578
AATSC6dv,0.8949975903614459
AATSC6pe,0.02886051807228914
AATSC6se,0.015335568207228917
AATSC7dv,-0.9968444444444444
AATSC7pe,-0.041468625
AATSC7se,-0.03158626110000002
AATSC8dv,-1.727127272727273
AATSC8pe,-0.025361077922077892
AATSC8se,-0.0035043137298701598
AETA_eta,0.7808386411328251
ATSC0are,7.326481999999998
ATSC1are,-0.44475528000000025
ATSC2are,2.7858485999999982
ATSC3are,-1.4735292799999997
ATSC4are,-2.4777881999999996
ATSC5are,-1.4721323599999994
ATSC6are,2.9217838799999996
ATSC7are,-3.4909711999999993
ATSC8are,-1.9425422799999996
BCUTZ-1h,16.013435405912837
BCUTZ-1l,5.693779710739177
BCUTc-1h,0.46427323295306944
BCUTc-1l,-0.5293597228829269
BCUTd-1h,4.043824887302115
BCUTd-1l,0.9712696475936234
BCUTi-1h,14.690980635772092
BCUTi-1l,10.311804941086175
BCUTm-1h,32.06711789596104
BCUTm-1l,11.705371645025107
BCUTp-1h,2.9550278137141412
BCUTp-1l,0.7517419787843409
BCUTs-1h,7.01457862235333
BCUTs-1l,0.2989348417059313
BCUTv-1h,24.44345550278232
BCUTv-1l,14.701019577785681
BalabanJ,1.351678208689472
Diameter,20
ETA_beta,42.5
GATS1are,0.7487740784311362
GATS2are,0.6875135818736661
GATS3are,1.0379715533267924
GATS4are,1.2929848186346462
GATS5are,1.1367011073009123
GATS6are,0.6295122599037102
GATS7are,1.4123023164460105
GATS8are,1.3423861795904477
HybRatio,0.15789473684210525
Lipinski,True
LogEE_Dt,285.68280919924473
MATS1are,-0.05837034851000904
MATS2are,0.22367276280597356
MATS3are,-0.09859005652505581
MATS4are,-0.1610457983595869
MATS5are,-0.10148133741667445
MATS6are,0.2402395544115631
MATS7are,-0.2978041848734495
MATS8are,-0.17216872858066004
MAXddssS,-3.796944073635507
MAXssCH2,0.6752720692930544
MINddssS,-3.796944073635507
MINssCH2,0.6752720692930544
NsssssAs,0
RotRatio,0.21212121212121213
SM1_Dzpe,1.8756884944920444
SM1_Dzse,1.9093624789150416
SMR_VSA1,17.949197122200808
SMR_VSA2,0.0
SMR_VSA3,15.514152220608405
SMR_VSA4,0.0
SMR_VSA5,18.24004229813441
SMR_VSA6,17.148681009735952
SMR_VSA7,59.10201173624264
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
SpAD_DzZ,303.53776488847757
SpAD_Dzi,340.1636589371177
SpAD_Dzm,303.5854621109842
SpAD_Dzp,451.0685994652698
SpAD_Dzv,428.1255034849437
SpAbs_Dt,571.3656183984896
SpDiam_A,4.7658619948897964
SpDiam_D,346.30992410694313
SpMAD_Dt,18.431148980596433
SpMax_Dt,285.68280919924473
SsssssAs,0
VE1_Dzpe,5.474188977601848
VE1_Dzse,5.474777325698754
VE2_Dzpe,0.17658674121296283
VE2_Dzse,0.17660572018383078
VE3_Dzpe,2.831446244276177
VE3_Dzse,2.8315537152613226
VMcGowan,325.42000000000087
VR1_Dzpe,195.77205356245588
VR1_Dzse,195.68342263011712
VR2_Dzpe,6.31522753427277
VR2_Dzse,6.312368471939262
VR3_Dzpe,6.40835310189331
VR3_Dzse,6.407900274232216
mZagreb1,10.95138888888889
mZagreb2,6.9027777777777795
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,12
nBondsKS,40
nFAHRing,0
nFaHRing,0
nG12Ring,0
AATSC0are,0.14652963999999996
AATSC1are,-0.008552986153846158
AATSC2are,0.03277468941176469
AATSC3are,-0.014446365490196076
AATSC4are,-0.023597982857142853
AATSC5are,-0.014870023838383832
AATSC6are,0.03520221542168674
AATSC7are,-0.04363713999999999
AATSC8are,-0.025227821818181815
AETA_beta,1.3709677419354838
BCUTdv-1h,6.022691876956781
BCUTdv-1l,0.6440853053174278
BCUTpe-1h,3.5370236312025773
BCUTpe-1l,2.2416123768085043
BCUTse-1h,3.768320551238401
BCUTse-1l,2.4385473188833124
ETA_alpha,15.333333333333336
ETA_dBeta,3.5
ETA_eta_B,0.6130200842859299
ETA_eta_F,34.080098432978716
ETA_eta_L,6.505563810797106
ETA_eta_R,58.28609630809629
ETA_psi_1,0.5562273276904478
LabuteASA,188.46262492431205
LogEE_DzZ,151.37267778011403
LogEE_Dzi,170.13209021646182
LogEE_Dzm,151.3949778023055
LogEE_Dzp,224.15621194593055
LogEE_Dzv,213.6240639315146
PEOE_VSA1,10.05365155780638
PEOE_VSA2,14.83342065253024
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,10.197363616602075
PEOE_VSA6,18.26052307762536
PEOE_VSA7,67.16963161366559
PEOE_VSA8,11.250837766380558
PEOE_VSA9,12.005281016795308
SM1_Dzare,1.997425413268848
SpAD_Dzpe,342.7393370007452
SpAD_Dzse,342.2611347992593
SpAbs_DzZ,301.0216875565336
SpAbs_Dzi,338.7060972479316
SpAbs_Dzm,301.072432419577
SpAbs_Dzp,454.01404722502446
SpAbs_Dzv,429.96799229096405
SpDiam_Dt,416.88451280675804
SpMAD_DzZ,9.791540802854115
SpMAD_Dzi,10.973021256036056
SpMAD_Dzm,9.793079422934975
SpMAD_Dzp,14.550599982750638
SpMAD_Dzv,13.810500112417538
SpMax_DzZ,151.37267778011403
SpMax_Dzi,170.13209021646182
SpMax_Dzm,151.3949778023055
SpMax_Dzp,224.15621194593055
SpMax_Dzv,213.6240639315146
VE1_Dzare,5.473716378623974
VE2_Dzare,0.17657149608464434
VE3_Dzare,2.8313599083127596
VR1_Dzare,195.81745762776194
VR2_Dzare,6.3166921815407076
VR3_Dzare,6.408584998122458
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,17
nAromBond,17
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.49462365591397855
AETA_dBeta,0.11290322580645161
AETA_eta_B,0.019774841428578386
AETA_eta_F,1.0993580139670553
AETA_eta_L,0.2098568971224873
AETA_eta_R,1.8801966550998803
BCUTare-1h,3.5810136428489545
BCUTare-1l,2.1878717546037127
ETA_beta_s,19.5
ETA_dPsi_A,0.15777267230955216
ETA_dPsi_B,0.0
ETA_eta_BR,0.8710200842859299
ETA_eta_FL,8.29562966729006
ETA_eta_RL,14.801193478087166
LogEE_Dzpe,171.4301745808401
LogEE_Dzse,171.19215973765918
PEOE_VSA10,10.75713553013667
PEOE_VSA11,5.112436884724758
PEOE_VSA12,5.131558479839333
PEOE_VSA13,15.930470882759089
SlogP_VSA1,20.092535026264798
SlogP_VSA2,36.744574756284806
SlogP_VSA3,16.444112776333593
SlogP_VSA4,0.0
SlogP_VSA5,22.289349572312204
SlogP_VSA6,53.42642002321065
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
SpAD_Dzare,340.5401695690373
SpAbs_Dzpe,340.984660667188
SpAbs_Dzse,340.4749569964033
SpDiam_DzZ,240.45817233277464
SpDiam_Dzi,265.6631020975715
SpDiam_Dzm,240.49625441418607
SpDiam_Dzp,354.6632447542057
SpDiam_Dzv,336.6749940288951
SpMAD_Dzpe,11.056107645185328
SpMAD_Dzse,11.040681767718043
SpMax_Dzpe,171.4301745808401
SpMax_Dzse,171.19215973765918
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,31
AETA_beta_s,0.6290322580645161
AETA_eta_BR,0.028097422073739674
AETA_eta_FL,0.26760095700935677
AETA_eta_RL,0.47745785413184405
DetourIndex,4273
EState_VSA1,10.023291153407584
EState_VSA2,21.046658569433372
EState_VSA3,23.42117122259047
EState_VSA4,5.007623696852765
EState_VSA5,35.60225415178118
EState_VSA6,31.375265815123974
EState_VSA7,6.923737199690624
EState_VSA8,25.553035689066824
EState_VSA9,16.954736396846744
ETA_beta_ns,23.0
ETA_shape_p,0.18478260869565216
ETA_shape_x,0.05434782608695651
ETA_shape_y,0.26086956521739124
GhoseFilter,True
LogEE_Dzare,170.33451786236603
SlogP_VSA10,10.818944754522896
SlogP_VSA11,5.749511833283905
SpAbs_Dzare,338.67161031146316
SpDiam_Dzpe,268.85077777032274
SpDiam_Dzse,268.7882292861478
SpMAD_Dzare,10.985166760291525
SpMax_Dzare,170.33451786236603
TopoPSA(NO),122.31000000000002
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,24.992810637112413
VSA_EState9,51.7159783834912
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.7419354838709677
EState_VSA10,13.212334168400758
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.005376344086021429
FilterItLogS,-5.692651020980803
SpDiam_Dzare,266.9619941692918
ETA_beta_ns_d,1.5
ETA_epsilon_1,0.665333333333333
ETA_epsilon_2,0.8892473118279566
ETA_epsilon_3,0.4393258426966286
ETA_epsilon_4,0.5946236559139777
ETA_epsilon_5,0.837254901960784
AETA_beta_ns_d,0.04838709677419355
ETA_dEpsilon_A,0.2260074906367044
ETA_dEpsilon_B,0.0707096774193553
ETA_dEpsilon_C,-0.1552978132173491
ETA_dEpsilon_D,0.05199240986717257
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.7419354838709677
MDEDescriptor,"0.04999999999999999,2.2481451719131456,1.9404618028441984,0.0,6.916276453181821,15.706687145199783,0.0,5.081553222351153,0.0,0.0,0.5129927840030091,0.2842183719925995,0.0,0.0,0.0,0.0,2.158167923982477,0.0,0.0"
APolDescriptor,63.51706699999997
BCUTDescriptor,"11.99794308219331,31.974564664852664,-0.34876154035852247,0.2468983923617808,4.756009885113351,11.95207322760952"
BPolDescriptor,36.84093299999999
TPSADescriptor,191.02
ALOGPDescriptor,"3.353100000000001,11.243279610000005,122.14699999999999"
XLogPDescriptor,3.8160000000000003
VAdjMaDescriptor,6.044394119358453
WeightDescriptor,477.05991724
ChiPathDescriptor,"22.43251065250176,14.801193478087168,13.606620344199971,10.777235666262808,8.482909733056225,5.925930411593361,4.193212776771072,2.8514445207598365,18.414809091704207,10.61589991941274,8.011265416888758,5.536126623421915,3.6080497220548935,2.1984793311316606,1.25444520396674,0.7179801183045063"
ChiChainDescriptor,"0.0,0.0,0.11785113019775793,0.3333333333333333,0.3915558843957724,0.0,0.0,0.061237243569579464,0.12947544752956722,0.1398079295038952"
AtomCountDescriptor,50
BondCountDescriptor,33
SmallRingDescriptor,"3,3,3,3,0,0,1,2,0,0,0"
ChiClusterDescriptor,"2.7023550255340774,0.20412414523193154,0.46631284272709594,0.10206207261596577,1.0983306356159162,0.025499585890087693,0.07565071875137838,0.008499861963362563"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,2,11,1,1,1,0,0"
ZagrebIndexDescriptor,158.0
LargestChainDescriptor,21
MannholdLogPDescriptor,2.2299999999999995
WeightedPathDescriptor,"62.24343477847734,2.0078527347895916,34.507703919335725,10.312406627797747,15.124363561397448"
FractionalPSADescriptor,0.4004109192512633
WienerNumbersDescriptor,"3325.0,45.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"5.073144962595752,7.322411575315183,8.46948783314945,1.8276809376514074,2.1680120961406164,2.090726655510153"
FractionalCSP3Descriptor,0.15789473684210525
KierHallSmartsDescriptor,"0,0,0,0,0,0,2,0,1,0,0,8,0,0,0,2,6,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,3
LargestPiSystemDescriptor,28
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"25.619834710743802,11.9234404536862,7.5"
AromaticAtomsCountDescriptor,17
AromaticBondsCountDescriptor,17
FragmentComplexityDescriptor,1774.12
HBondAcceptorCountDescriptor,8
HybridizationRatioDescriptor,0.15789473684210525
AutocorrelationDescriptorMass,"54.28103676389621,49.42492475747586,69.22496502054236,67.4311276469566,67.61439474940946"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,10
AutocorrelationDescriptorCharge,"0.6156201991627569,-0.34889104757873296,0.15399462569981204,-0.16725414534134933,0.07758366423039549"
EccentricConnectivityIndexDescriptor,984
AutocorrelationDescriptorPolarizability,"2503.2268660064096,2866.9610120795032,3897.5642032375554,3693.5444303530976,3395.0473871611193"
