DLiP-ID,C002VL
AATSC4s,-0.21120897586508552
AATSC4v,-8.556959462676184
AATSC5Z,-0.03759520337060446
AATSC5c,0.0015981363029991355
AATSC5d,-0.04594069032571705
AATSC5i,0.020454527140657094
AATSC5m,-0.3243857152811542
AATSC5p,0.021092901023276378
AATSC5s,-0.09379620387292081
AATSC5v,-0.7325783377830898
AATSC6Z,-3.3895829329233136
AATSC6c,-0.0007181568602421306
AATSC6d,0.0437247741687488
AATSC6i,-0.11898267465551149
AATSC6m,-15.082306944647318
AATSC6p,-0.05651548641905573
AATSC6s,-0.18853605783680508
AATSC6v,-9.71698084202666
AATSC7Z,-0.07939787485242063
AATSC7c,-0.0037493428270879816
AATSC7d,0.038961038961038946
AATSC7i,0.18164974720228594
AATSC7m,0.17911437573789576
AATSC7p,0.005712546865249107
AATSC7s,-0.12323107442267794
AATSC7v,7.1058586877444245
AATSC8Z,3.6014497828827574
AATSC8c,0.008989230026235008
AATSC8d,-0.0951113601344726
AATSC8i,0.09388756926030489
AATSC8m,15.44543179510436
AATSC8p,0.05610030044054461
AATSC8s,1.1399161545391223
AATSC8v,2.0576194877108773
ATS0are,294.19699999999995
ATS1are,302.4828
ATS2are,500.541
ATS3are,589.8878000000003
ATS4are,656.039
ATS5are,666.4467999999999
ATS6are,539.4449
ATS7are,479.01100000000025
ATS8are,390.46360000000016
ATSC0dv,208.21212121212125
ATSC0pe,7.180772727272727
ATSC0se,5.396071727272726
ATSC1dv,22.889348025711648
ATSC1pe,-0.5141987603305803
ATSC1se,-0.14543716942148785
ATSC2dv,33.44651056014692
ATSC2pe,0.9733373966942114
ATSC2se,0.5403566012396689
ATSC3dv,-35.72199265381085
ATSC3pe,-1.1786857438016565
ATSC3se,-0.9573994483471072
ATSC4dv,-58.92676767676769
ATSC4pe,-1.7739022727272769
ATSC4se,-1.5407158863636357
ATSC5dv,-82.98163452708907
ATSC5pe,-1.7366913223140485
ATSC5se,-0.9000483223140493
ATSC6dv,16.85812672176309
ATSC6pe,-0.6129103305785074
ATSC6se,-0.5890556942148751
ATSC7dv,58.50757575757578
ATSC7pe,0.9872159090909132
ATSC7se,0.45521115909090937
ATSC8dv,25.215564738292013
ATSC8pe,3.2570683884297513
ATSC8se,2.5216851838842973
AXp-0dv,0.5899207728244059
AXp-1dv,0.34122061089626293
AXp-2dv,0.1877973058585819
AXp-3dv,0.10136189925106505
AXp-4dv,0.05458283587897049
AXp-5dv,0.030703527995749727
AXp-6dv,0.017351986881547602
AXp-7dv,0.009300952825178786
BertzCT,1217.2946754076886
ECIndex,681
ETA_eta,21.179294779249595
GATS1dv,0.6120778571564166
GATS1pe,0.6922635133182569
GATS1se,0.6847124029979922
GATS2dv,0.8094060382606444
GATS2pe,0.798256801095518
GATS2se,0.8582201412546088
GATS3dv,0.9641474753850655
GATS3pe,0.9292563495767019
GATS3se,0.9758577845637768
GATS4dv,1.055083900666785
GATS4pe,1.061271718175571
GATS4se,1.103581162758353
GATS5dv,1.2142620352851756
GATS5pe,1.172862058475377
GATS5se,1.1509615471446815
GATS6dv,0.8959879687575798
GATS6pe,0.8947783538109975
GATS6se,0.8781717496544499
GATS7dv,0.8152033044334017
GATS7pe,0.8208207523880056
GATS7se,0.7991701649687091
GATS8dv,0.8968653153719841
GATS8pe,0.6464733173451659
GATS8se,0.6548889637944006
LogEE_A,4.256252397320357
LogEE_D,163.96310127236325
MATS1dv,0.10515314311989682
MATS1pe,-0.06849434053553775
MATS1se,-0.025780571730754202
MATS2dv,0.09424020440175292
MATS2pe,0.07952133116424093
MATS2se,0.05874814533290647
MATS3dv,-0.08481884182393899
MATS3pe,-0.08115018592167439
MATS3se,-0.08771586063155598
MATS4dv,-0.12578362090805695
MATS4pe,-0.10979333841142865
MATS4se,-0.12690020644104882
MATS5dv,-0.17192082285783858
MATS5pe,-0.1043287388447089
MATS5se,-0.0719516267871526
MATS6dv,0.04142452437443519
MATS6pe,-0.043669677555357646
MATS6se,-0.055851246454096205
MATS7dv,0.16057134540615842
MATS7pe,0.0785602605804284
MATS7se,0.04820556054193376
MATS8dv,0.09031572144286105
MATS8pe,0.33826445235591573
MATS8se,0.3485088553765997
MAXaaCH,1.669135518762142
MAXaaaC,0.538076911664574
MAXaasC,0.4226364195591843
MAXdssC,-0.4980180513563448
MAXsCH3,1.4728016421342538
MAXsNH2,5.045594704401072
MAXssNH,2.620953719450743
MDEC-11,0.19999999999999996
MDEC-12,1.8881549281821597
MDEC-13,3.5203552851147037
MDEC-22,5.333271694750067
MDEC-23,16.669195068350582
MDEC-33,10.65805354800495
MDEN-12,0.16666666666666669
MDEO-11,0.9190173130779571
MDEO-12,0.9055655388697227
MDEO-22,0.33333333333333337
MINaaCH,1.2826740963194787
MINaaaC,0.334171598136245
MINaasC,-0.06768205144422645
MINdssC,-0.4980180513563448
MINsCH3,1.4377205284371035
MINsNH2,5.045594704401072
MINssNH,2.620953719450743
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,3.0357142857142856
SM1_Dzi,1.3155032956455184
SM1_Dzm,3.031311236422414
SM1_Dzp,-6.681853360329583
SM1_Dzv,-2.7174583744920757
SddssSe,0
SpAD_Dt,559.3507412562742
SpAbs_A,34.94882640951975
SpAbs_D,327.9262025447266
SpMAD_A,1.2481723717685624
SpMAD_D,11.711650090883088
SpMax_A,2.4761596220039874
SpMax_D,163.96310127236325
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,161.41
TpiPC10,9.118424016473346
VAdjMat,5.906890595608519
VE1_DzZ,5.220441716817383
VE1_Dzi,5.203886496595427
VE1_Dzm,5.220423563950603
VE1_Dzp,5.175029754709902
VE1_Dzv,5.1951560599732165
VE2_DzZ,0.18644434702919227
VE2_Dzi,0.18585308916412238
VE2_Dzm,0.18644369871252153
VE2_Dzp,0.18482249123963937
VE2_Dzv,0.18554128785618632
VE3_DzZ,2.682201435575587
VE3_Dzi,2.6790251667932945
VE3_Dzm,2.682197958303102
VE3_Dzp,2.6734645060184583
VE3_Dzv,2.6773460816994734
VR1_DzZ,169.43627126660914
VR1_Dzi,171.26525321384935
VR1_Dzm,169.43928328511905
VR1_Dzp,175.11053167123893
VR1_Dzv,172.75072852870744
VR2_DzZ,6.051295402378898
VR2_Dzi,6.116616186208906
VR2_Dzm,6.051402974468537
VR2_Dzp,6.253947559687105
VR2_Dzv,6.169668876025265
VR3_DzZ,6.162096292575218
VR3_Dzi,6.172832960218902
VR3_Dzm,6.16211406912162
VR3_Dzp,6.195036801273247
VR3_Dzv,6.181469097062925
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.0
Xch-6dv,0.09280528493527034
Xch-7dv,0.17511661036198212
Xpc-4dv,2.454540744706133
Xpc-5dv,2.9842144163166147
Xpc-6dv,3.812923351505794
Zagreb1,148.0
Zagreb2,175.0
fragCpx,144.1
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,0
n5aRing,0
n6ARing,0
n6FRing,0
n6HRing,1
n6aRing,3
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,17
nBondsD,4
nBondsM,21
nBondsO,30
nBondsS,25
nBondsT,0
nFARing,0
nFHRing,1
nFaRing,1
nHetero,10
naHRing,1
AATS0are,6.686295454545453
AATS1are,6.5757130434782605
AATS2are,6.67388
AATS3are,6.627952808988767
AATS4are,6.626656565656566
AATS5are,6.533792156862744
AATS6are,6.272615116279069
AATS7are,6.220922077922081
AATS8are,6.61802711864407
AATSC0dv,4.732093663911846
AATSC0pe,0.16319938016528923
AATSC0se,0.12263799380165286
AATSC1dv,0.4975945222980793
AATSC1pe,-0.011178233920230008
AATSC1se,-0.003161677596119301
AATSC2dv,0.44595347413529224
AATSC2pe,0.012977831955922819
AATSC2se,0.007204754683195585
AATSC3dv,-0.4013707039754028
AATSC3pe,-0.013243660042715242
AATSC3se,-0.010757297172439407
AATSC4dv,-0.5952198755229059
AATSC4pe,-0.017918204775022997
AATSC4se,-0.015562786730945815
AATSC5dv,-0.8135454365400889
AATSC5pe,-0.017026385512882828
AATSC5se,-0.00882400315994166
AATSC6dv,0.1960247293228266
AATSC6pe,-0.007126864309052411
AATSC6se,-0.0068494848164520365
AATSC7dv,0.7598386462022828
AATSC7pe,0.012820985832349521
AATSC7se,0.0059118332349468745
AATSC8dv,0.42738245319139007
AATSC8pe,0.055204548956436464
AATSC8se,0.04274042684549657
AETA_eta,0.7564033849731998
ATSC0are,7.984990909090908
ATSC1are,-0.8659450413223132
ATSC2are,1.0959200413223142
ATSC3are,-1.3829179752066099
ATSC4are,-2.042034090909089
ATSC5are,-1.8325743801652885
ATSC6are,-0.20809586776859662
ATSC7are,0.9920568181818159
ATSC8are,3.7555667355371902
BCUTZ-1h,16.013492510438716
BCUTZ-1l,5.665434052995259
BCUTc-1h,0.4812436561767818
BCUTc-1l,-0.527784231647238
BCUTd-1h,4.042881816086268
BCUTd-1l,0.9681258449534735
BCUTi-1h,14.540657089429956
BCUTi-1l,10.31081018554396
BCUTm-1h,32.06689909241145
BCUTm-1l,11.677399928187496
BCUTp-1h,2.955806107488984
BCUTp-1l,0.7512529144935838
BCUTs-1h,7.01503410143411
BCUTs-1l,0.3002077787011607
BCUTv-1h,24.44275162511155
BCUTv-1l,14.700811709242004
BalabanJ,1.5324980867340428
Diameter,15
ETA_beta,39.5
GATS1are,0.746035806208951
GATS2are,0.8146260996483172
GATS3are,0.9504404592779089
GATS4are,1.0772871729928661
GATS5are,1.168775932537781
GATS6are,0.8514129918745279
GATS7are,0.8057058510585524
GATS8are,0.6381438550612027
HybRatio,0.1111111111111111
Lipinski,True
LogEE_Dt,279.6753706281371
MATS1are,-0.10373152159434289
MATS2are,0.0805185334455135
MATS3are,-0.08562186147476036
MATS4are,-0.11365957925355147
MATS5are,-0.09900102462733167
MATS6are,-0.013333472071426286
MATS7are,0.07099439646752828
MATS8are,0.3507532651155941
MAXddssS,-3.8166451784416116
MINddssS,-3.8166451784416116
NsssssAs,0
RotRatio,0.16666666666666666
SM1_Dzpe,1.8979498164014692
SM1_Dzse,1.9142069958570413
SMR_VSA1,22.686060076000857
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.138973737607942
SMR_VSA5,4.895483475517775
SMR_VSA6,19.536383686561397
SMR_VSA7,56.878739950909235
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
SpAD_DzZ,211.01398605783993
SpAD_Dzi,242.02427394818648
SpAD_Dzm,211.04069439612573
SpAD_Dzp,305.2381193560043
SpAD_Dzv,282.97670189524194
SpAbs_Dt,559.3507412562742
SpDiam_A,4.952319244007974
SpDiam_D,252.12337026711623
SpMAD_Dt,19.97681218772408
SpMax_Dt,279.6753706281371
SsssssAs,0
VE1_Dzpe,5.209423843950207
VE1_Dzse,5.210674548888293
VE2_Dzpe,0.18605085156965023
VE2_Dzse,0.18609551960315332
VE3_Dzpe,2.6800886802574313
VE3_Dzse,2.68032873652119
VMcGowan,281.0800000000004
VR1_Dzpe,170.4850955127511
VR1_Dzse,170.38476385103573
VR2_Dzpe,6.088753411169682
VR2_Dzse,6.08517013753699
VR3_Dzpe,6.168267293736197
VR3_Dzse,6.167678613558959
mZagreb1,10.8125
mZagreb2,6.138888888888888
n10ARing,0
n10FRing,1
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,0
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,1
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,11
nBondsKS,35
nFAHRing,0
nFaHRing,1
nG12Ring,0
AATSC0are,0.18147706611570247
AATSC1are,-0.018824892202658983
AATSC2are,0.014612267217630856
AATSC3are,-0.015538404215804606
AATSC4are,-0.020626606978879684
AATSC5are,-0.017966415491816556
AATSC6are,-0.0024197193926581003
AATSC7are,0.012883854781582025
AATSC8are,0.06365367348368119
AETA_beta,1.4107142857142858
BCUTdv-1h,6.024668766047501
BCUTdv-1l,0.6420414731202582
BCUTpe-1h,3.5375111651379165
BCUTpe-1l,2.2009349094935926
BCUTse-1h,3.7688290208406405
BCUTse-1l,2.4025201144371353
ETA_alpha,13.466666666666669
ETA_dBeta,4.5
ETA_eta_B,0.6744815938651865
ETA_eta_F,32.20571426757479
ETA_eta_L,5.50122889575047
ETA_eta_R,53.385009046824386
ETA_psi_1,0.5274151436031335
LabuteASA,164.1165024629669
LogEE_DzZ,105.02414829637651
LogEE_Dzi,121.05911923465202
LogEE_Dzm,105.03651788083202
LogEE_Dzp,150.79089151755784
LogEE_Dzv,140.86992537085413
PEOE_VSA1,14.790514511606428
PEOE_VSA2,9.589074368143644
PEOE_VSA3,13.556770721936878
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,17.403152946396347
PEOE_VSA7,41.78442662523445
PEOE_VSA8,5.687386274683562
PEOE_VSA9,29.378449966238936
SM1_Dzare,2.0364408913028553
SpAD_Dzpe,239.42574046171643
SpAD_Dzse,237.91852897788476
SpAbs_DzZ,208.62878197620725
SpAbs_Dzi,240.8027351736585
SpAbs_Dzm,208.6589498532224
SpAbs_Dzp,308.60670791001417
SpAbs_Dzv,284.52953525209455
SpDiam_Dt,393.6975717383742
SpMAD_DzZ,7.536213787779998
SpMAD_Dzi,8.643724069578088
SpMAD_Dzm,7.53716765700449
SpMAD_Dzp,10.901361405571581
SpMAD_Dzv,10.106310781972926
SpMax_DzZ,105.02414829637651
SpMax_Dzi,121.05911923465202
SpMax_Dzm,105.03651788083202
SpMax_Dzp,150.79089151755784
SpMax_Dzv,140.86992537085413
VE1_Dzare,5.209407806089333
VE2_Dzare,0.18605027878890473
VE3_Dzare,2.680085601628001
VR1_Dzare,170.44449241832305
VR2_Dzare,6.087303300654395
VR3_Dzare,6.1680291032355345
n10AHRing,0
n10FARing,0
n10FHRing,1
n10FaRing,1
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,16
nAromBond,17
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.480952380952381
AETA_dBeta,0.16071428571428573
AETA_eta_B,0.024088628352328088
AETA_eta_F,1.150204080984814
AETA_eta_L,0.19647246056251677
AETA_eta_R,1.906607465958014
BCUTare-1h,3.5814488715075496
BCUTare-1l,2.1447505128288475
ETA_beta_s,17.5
ETA_dPsi_A,0.1865848563968665
ETA_dPsi_B,0.0
ETA_eta_BR,0.9324815938651865
ETA_eta_FL,7.73850307275744
ETA_eta_RL,13.23973196850791
LogEE_Dzpe,119.78065415287256
LogEE_Dzse,119.0276290245087
PEOE_VSA10,0.0
PEOE_VSA11,11.49902366656781
PEOE_VSA12,14.76577724731243
PEOE_VSA13,5.907179729351506
SlogP_VSA1,24.671974343119217
SlogP_VSA2,28.54457179623551
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,9.671684377773122
SlogP_VSA6,52.154590138820865
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
SpAD_Dzare,238.43374713326983
SpAbs_Dzpe,237.6667203032701
SpAbs_Dzse,236.16649838782303
SpDiam_DzZ,164.18716745896242
SpDiam_Dzi,187.44897522534745
SpDiam_Dzm,164.2036783646215
SpDiam_Dzp,229.41830588801326
SpDiam_Dzv,217.74668391355237
SpMAD_Dzpe,8.550919302204159
SpMAD_Dzse,8.497090320638742
SpMax_Dzpe,119.78065415287256
SpMax_Dzse,119.0276290245087
n10FAHRing,0
n10FaHRing,1
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,28
AETA_beta_s,0.625
AETA_eta_BR,0.0333029140666138
AETA_eta_FL,0.2763751097413371
AETA_eta_RL,0.4728475703038539
DetourIndex,3845
EState_VSA1,15.930470882759089
EState_VSA2,14.51511676312392
EState_VSA3,27.958858370180963
EState_VSA4,11.336785877934737
EState_VSA5,38.485063356401504
EState_VSA6,18.19910120538483
EState_VSA7,0.0
EState_VSA8,5.316788604006331
EState_VSA9,14.612699645208039
ETA_beta_ns,22.0
ETA_shape_p,0.20297029702970296
ETA_shape_x,0.061881188118811874
ETA_shape_y,0.3341584158415841
GhoseFilter,True
LogEE_Dzare,119.28960359846717
SlogP_VSA10,5.687386274683562
SlogP_VSA11,11.49902366656781
SpAbs_Dzare,236.54276630563135
SpDiam_Dzpe,186.9229626592471
SpDiam_Dzse,185.81327706769696
SpMAD_Dzare,8.51549096904535
SpMax_Dzare,119.28960359846717
TopoPSA(NO),124.78999999999998
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,22.572044663883485
VSA_EState9,57.72333726079984
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.7857142857142857
EState_VSA10,18.00687135247258
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.01904761904761898
FilterItLogS,-4.850456255836887
SpDiam_Dzare,186.14266416934566
ETA_beta_ns_d,2.0
ETA_epsilon_1,0.6893939393939393
ETA_epsilon_2,0.9119047619047614
ETA_epsilon_3,0.43999999999999984
ETA_epsilon_4,0.5954022988505743
ETA_epsilon_5,0.8526881720430104
AETA_beta_ns_d,0.07142857142857142
ETA_dEpsilon_A,0.2493939393939395
ETA_dEpsilon_B,0.09399164054336506
ETA_dEpsilon_C,-0.15540229885057444
ETA_dEpsilon_D,0.059216589861751046
PetitjeanIndex,0.4666666666666667
TopoShapeIndex,0.875
CDK Descriptors
FMFDescriptor,0.6428571428571429
MDEDescriptor,"0.19999999999999996,1.8881549281821597,3.5203552851147037,0.0,5.333271694750067,16.669195068350582,0.0,10.65805354800495,0.0,0.0,0.9190173130779571,0.9055655388697227,0.33333333333333337,0.0,0.16666666666666669,0.0,0.0,0.0,0.0"
APolDescriptor,55.160687999999986
BCUTDescriptor,"11.996163338326426,31.973073781131866,-0.374285490434622,0.24260488358620388,5.0579650483435294,11.98485527024599"
BPolDescriptor,31.99531199999999
TPSADescriptor,161.41
ALOGPDescriptor,"2.8146,7.92197316,97.9633"
XLogPDescriptor,1.1659999999999997
VAdjMaDescriptor,5.906890595608519
WeightDescriptor,420.0449783599999
ChiPathDescriptor,"20.474327015758657,13.239731968507913,12.660640016564203,10.066701312539896,8.339289384364061,6.687244135318962,4.555599885919199,3.2739344366583247,15.905026829053883,9.076154560019292,7.0912829330769895,5.080269663040037,3.597725763541978,2.5723515887112507,1.5049149549890504,0.926180693330605"
ChiChainDescriptor,"0.0,0.0,0.0,0.19444444444444442,0.409507672449716,0.0,0.0,0.0,0.09280528493527032,0.15809564341671867"
AtomCountDescriptor,44
BondCountDescriptor,30
SmallRingDescriptor,"3,3,2,2,0,0,0,3,0,0,0"
ChiClusterDescriptor,"2.933085511703874,0.2886751345948129,0.7983891106840001,0.14433756729740646,1.0480647269327774,0.029444385555732224,0.17803581903706917,0.009814795185244073"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,2,12,2,0,0,0,0"
ZagrebIndexDescriptor,148.0
LargestChainDescriptor,16
MannholdLogPDescriptor,2.34
WeightedPathDescriptor,"56.33396099896594,2.011927178534498,27.344699700362273,15.543379963093175,5.4530033902738095"
FractionalPSADescriptor,0.38426837199720887
WienerNumbersDescriptor,"2213.0,48.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"5.503359008937383,8.287611159313716,11.25894156872941,1.9685352046929152,2.5624721293881203,3.0824734736675903"
FractionalCSP3Descriptor,0.1111111111111111
KierHallSmartsDescriptor,"0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,1,5,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,2
LargestPiSystemDescriptor,26
PetitjeanNumberDescriptor,0.4666666666666667
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"22.68,9.427685950413224,5.201600492459218"
AromaticAtomsCountDescriptor,16
AromaticBondsCountDescriptor,17
FragmentComplexityDescriptor,1360.1
HBondAcceptorCountDescriptor,6
HybridizationRatioDescriptor,0.1111111111111111
AutocorrelationDescriptorMass,"45.622280892698654,44.560525517141876,60.66164285094024,65.60366192218538,61.81857455969349"
PetitjeanShapeIndexDescriptor,"0.875,NaN"
RotatableBondsCountDescriptor,6
AutocorrelationDescriptorCharge,"0.7824628051375958,-0.3970652905327725,0.0017741693995312145,0.10209989012163276,-0.2112624523756397"
EccentricConnectivityIndexDescriptor,681
AutocorrelationDescriptorPolarizability,"2239.3568234051845,2638.8166714175154,3777.571172912721,3911.961600567211,3365.454389365672"
