DLiP-ID,I001ER
AATSC5d,-0.01733770491803279
AATSC5i,0.18231904192264664
AATSC5m,-6.289747412686477
AATSC5p,0.006262289190626875
AATSC5s,-0.335376320582878
AATSC5v,-4.011443194797266
AATSC6Z,-0.13909999999999997
AATSC6c,0.00031705540167734227
AATSC6d,-0.036600000000000014
AATSC6i,-0.19839744205904733
AATSC6m,-0.7061028994025428
AATSC6p,-0.03308730935603321
AATSC6s,0.21804841269841274
AATSC6v,-6.943602740918361
AATSC7Z,0.3701431192660553
AATSC7c,0.0019708616316080874
AATSC7d,-0.022517431192660566
AATSC7i,-0.13013537416060195
AATSC7m,1.5578115252166487
AATSC7p,-0.011768486065196704
AATSC7s,0.22247665647298678
AATSC7v,-1.0631392877549917
AATSC8Z,-0.025178947368420898
AATSC8c,-9.099183477776934e-05
AATSC8d,-0.007915789473684208
AATSC8i,0.07446373903858546
AATSC8m,-0.24573648835937248
AATSC8p,0.0046867292635747225
AATSC8s,-0.02974502923976612
AATSC8v,1.6082664245588094
ATS0are,328.3847
ATS1are,345.40400000000005
ATS2are,593.8309999999999
ATS3are,755.2268999999999
ATS4are,825.369
ATS5are,809.7129
ATS6are,703.595
ATS7are,679.0280000000001
ATS8are,603.5869
ATSC0dv,232.07999999999998
ATSC0pe,8.377767999999996
ATSC0se,5.748353999999997
ATSC1dv,65.9152
ATSC1pe,-0.12978607999999914
ATSC1se,-0.283633
ATSC2dv,32.01440000000003
ATSC2pe,-0.6880057599999984
ATSC2se,-0.5565910000000002
ATSC3dv,16.89280000000002
ATSC3pe,1.4612508799999997
ATSC3se,0.7774029999999994
ATSC4dv,-98.39999999999996
ATSC4pe,-2.345703999999996
ATSC4se,-2.0639010000000013
ATSC5dv,-96.39519999999999
ATSC5pe,-1.5775259199999936
ATSC5se,-0.401006000000001
ATSC6dv,19.3808
ATSC6pe,2.6900716799999986
ATSC6se,2.044912
ATSC7dv,19.70559999999998
ATSC7pe,1.4194577599999971
ATSC7se,1.157227
ATSC8dv,-44.112000000000016
ATSC8pe,-1.1638712000000004
ATSC8se,-0.775911
AXp-0dv,0.5450871368042598
AXp-1dv,0.2886233103545168
AXp-2dv,0.1485435562744812
AXp-3dv,0.08000094295516157
AXp-4dv,0.04311980221916237
AXp-5dv,0.023320351312738078
AXp-6dv,0.011800755486709679
AXp-7dv,0.006456171575119487
BertzCT,1118.1180020026695
ECIndex,804
ETA_eta,23.248995010550548
GATS1dv,0.4322273386535547
GATS1pe,0.6047065888472878
GATS1se,0.6524596596416337
GATS2dv,0.7900127277066263
GATS2pe,0.8146239868698646
GATS2se,0.8224156260811625
GATS3dv,0.9058915729029483
GATS3pe,0.7993802943185643
GATS3se,0.8158430779511531
GATS4dv,1.2127542226818337
GATS4pe,1.2224534267360951
GATS4se,1.3160780425144314
GATS5dv,1.2607474245737762
GATS5pe,1.2724308834650133
GATS5se,1.2818912318489668
GATS6dv,0.8916645122371596
GATS6pe,0.7340469442457703
GATS6se,0.7120237810684589
GATS7dv,0.9287963024455346
GATS7pe,0.8734478108329157
GATS7se,0.806272399770774
GATS8dv,1.161237504308859
GATS8pe,1.1962731538243145
GATS8se,1.157258549234497
LogEE_A,4.3374380193135575
LogEE_D,183.49319683942684
MATS1dv,0.26794273932866347
MATS1pe,-0.014614835134275238
MATS1se,-0.04654868191603938
MATS2dv,0.07579425056157225
MATS2pe,-0.0451224171947877
MATS2se,-0.05320118259404883
MATS3dv,0.03110627929655855
MATS3pe,0.07453849140178961
MATS3se,0.0577945450599431
MATS4dv,-0.1695966907962771
MATS4pe,-0.11199660816580251
MATS4se,-0.1436168336188065
MATS5dv,-0.17022677313080284
MATS5pe,-0.07717174984953513
MATS5se,-0.028590222750978087
MATS6dv,0.03728086374156695
MATS6pe,0.14334663566034023
MATS6se,0.1588119212660082
MATS7dv,0.03894892302243133
MATS7pe,0.07772086943014365
MATS7se,0.09234610001306386
MATS8dv,-0.1000380993849671
MATS8pe,-0.0731177790401554
MATS8se,-0.07104193835771352
MAXaaCH,1.8354475403947026
MAXaaNH,2.8179320936830092
MAXaaaC,0.325858424835628
MAXaasC,0.5801555405740111
MAXdssC,-0.11127756907296771
MAXsCH3,1.4408582275785904
MAXsssN,1.6525941200120493
MDEC-12,1.3119431287261591
MDEC-13,1.6653959108745096
MDEC-22,13.338075702378816
MDEC-23,21.319574149314565
MDEC-33,10.440645785422522
MDEN-23,0.31622776601683794
MDEN-33,0.33333333333333337
MDEO-11,0.5436901865014462
MDEO-12,0.3769737205645769
MINaaCH,1.1986383873261581
MINaaNH,2.8179320936830092
MINaaaC,0.03295495188664499
MINaasC,-0.6097434270162234
MINdssC,-0.7951491058110827
MINsCH3,1.4408582275785904
MINsssN,1.3968421674225246
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,1.7619047619047619
SM1_Dzi,1.72198869340269
SM1_Dzm,1.7923518247588088
SM1_Dzp,-7.881927179765617
SM1_Dzv,-3.1006114622630965
SddssSe,0
SpAD_Dt,628.993299588089
SpAbs_A,39.68499857934907
SpAbs_D,366.98639367885346
SpMAD_A,1.3228332859783023
SpMAD_D,12.23287978929512
SpMax_A,2.5025476990292987
SpMax_D,183.49319683942684
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,82.71000000000001
TpiPC10,8.640128901438253
VAdjMat,6.044394119358453
VE1_DzZ,5.404126624509939
VE1_Dzi,5.401101703277552
VE1_Dzm,5.404183995769984
VE1_Dzp,5.391029732627966
VE1_Dzv,5.403307297485701
VE2_DzZ,0.18013755415033128
VE2_Dzi,0.1800367234425851
VE2_Dzm,0.18013946652566615
VE2_Dzp,0.17970099108759888
VE2_Dzv,0.18011024324952335
VE3_DzZ,2.7857751401181075
VE3_Dzi,2.7852152405547392
VE3_Dzm,2.7857857562563852
VE3_Dzp,2.7833487003567057
VE3_Dzv,2.7856235172570805
VR1_DzZ,191.01389927313926
VR1_Dzi,191.48476081651933
VR1_Dzm,190.99074958598212
VR1_Dzp,194.005800463594
VR1_Dzv,191.9780533912175
VR2_DzZ,6.3671299757713085
VR2_Dzi,6.382825360550644
VR2_Dzm,6.366358319532737
VR2_Dzp,6.4668600154531335
VR2_Dzv,6.399268446373916
VR3_DzZ,6.350958485130611
VR3_Dzi,6.353420516140693
VR3_Dzm,6.350837284054893
VR3_Dzp,6.366500346581339
VR3_Dzv,6.355993348908473
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.03608439182435161
Xch-6dv,0.15703493602483995
Xch-7dv,0.18171869888545844
Xpc-4dv,1.7701744939298594
Xpc-5dv,2.3899960639338427
Xpc-6dv,2.9688113260085314
Zagreb1,160.0
Zagreb2,193.0
fragCpx,219.08
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,1
n5aRing,1
n6ARing,1
n6FRing,0
n6HRing,1
n6aRing,2
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,1
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,16
nBondsD,3
nBondsM,19
nBondsO,33
nBondsS,34
nBondsT,0
nFARing,0
nFHRing,1
nFaRing,1
nHetero,8
naHRing,1
AATS0are,6.567694
AATS1are,6.517056603773586
AATS2are,6.525615384615383
AATS3are,6.454930769230768
AATS4are,6.602952
AATS5are,6.636990983606557
AATS6are,6.282098214285715
AATS7are,6.229614678899083
AATS8are,6.353546315789474
AATSC0dv,4.6415999999999995
AATSC0pe,0.16755535999999993
AATSC0se,0.11496707999999994
AATSC1dv,1.2436830188679244
AATSC1pe,-0.0024487939622641346
AATSC1se,-0.0053515660377358495
AATSC2dv,0.35180659340659376
AATSC2pe,-0.007560502857142839
AATSC2se,-0.006116384615384617
AATSC3dv,0.14438290598290615
AATSC3pe,0.012489323760683757
AATSC3se,0.00664447008547008
AATSC4dv,-0.7871999999999997
AATSC4pe,-0.01876563199999997
AATSC4se,-0.01651120800000001
AATSC5dv,-0.7901245901639343
AATSC5pe,-0.0129305403278688
AATSC5se,-0.003286934426229516
AATSC6dv,0.17304285714285714
AATSC6pe,0.024018497142857132
AATSC6se,0.018258142857142858
AATSC7dv,0.18078532110091725
AATSC7pe,0.013022548256880708
AATSC7se,0.010616761467889908
AATSC8dv,-0.4643368421052633
AATSC8pe,-0.012251275789473689
AATSC8se,-0.008167484210526316
AETA_eta,0.7749665003516849
ATSC0are,9.300377999999998
ATSC1are,-0.2847446800000005
ATSC2are,-0.8763939600000006
ATSC3are,1.4224614799999993
ATSC4are,-2.731991000000001
ATSC5are,-1.1811323200000012
ATSC6are,3.2424272799999994
ATSC7are,1.5158119600000015
ATSC8are,-1.415264199999999
BCUTZ-1h,9.004071510919843
BCUTZ-1l,5.674902401802498
BCUTc-1h,0.47053320701079315
BCUTc-1l,-0.5266353485617965
BCUTd-1h,3.3001944141083324
BCUTd-1l,0.9762359017986029
BCUTi-1h,17.424773045112886
BCUTi-1l,10.936185052997137
BCUTm-1h,19.000142817880374
BCUTm-1l,11.686969420490493
BCUTp-1h,2.0140775476787374
BCUTp-1l,0.5458478855170121
BCUTs-1h,8.001921761466274
BCUTs-1l,1.3658755856255784
BCUTv-1h,20.913390707358207
BCUTv-1l,13.304118603113784
BalabanJ,1.30838284591516
Diameter,16
ETA_beta,39.5
GATS1are,0.6275651802783084
GATS2are,0.8263601262724521
GATS3are,0.8115540007469558
GATS4are,1.2419277582050965
GATS5are,1.2609559313910346
GATS6are,0.7122939653635582
GATS7are,0.8668422949233148
GATS8are,1.2052567280485516
HybRatio,0.22727272727272727
Lipinski,True
LogEE_Dt,314.4966497940446
MATS1are,-0.028883455769622923
MATS2are,-0.05177586791172824
MATS3are,0.06536180802194504
MATS4are,-0.11750021343218531
MATS5are,-0.05204848909913341
MATS6are,0.15564014479534363
MATS7are,0.07476326092939062
MATS8are,-0.08009092692112532
MAXssCH2,0.32223828593778103
MINssCH2,0.23343805114638494
NsssssAs,0
RotRatio,0.12121212121212122
SM1_Dzpe,1.8777328349212405
SM1_Dzse,1.7282681802120077
SMR_VSA1,23.510889553690333
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,33.288823164927834
SMR_VSA7,65.60553687528423
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
SpAD_DzZ,298.74227030030204
SpAD_Dzi,290.89228511186036
SpAD_Dzm,298.65263285931053
SpAD_Dzp,412.9306682813685
SpAD_Dzv,368.40385168314253
SpAbs_Dt,628.993299588089
SpDiam_A,4.910292882972059
SpDiam_D,282.01308212862
SpMAD_Dt,20.966443319602966
SpMax_Dt,314.4966497940446
SsssssAs,0
VE1_Dzpe,5.4038276355340065
VE1_Dzse,5.4041362703110005
VE2_Dzpe,0.18012758785113356
VE2_Dzse,0.18013787567703335
VE3_Dzpe,2.785719812538287
VE3_Dzse,2.7857769250119717
VMcGowan,289.58000000000067
VR1_Dzpe,191.0282152729412
VR1_Dzse,191.02403136271218
VR2_Dzpe,6.367607175764706
VR2_Dzse,6.367467712090406
VR3_Dzpe,6.351033429746733
VR3_Dzse,6.35101152745318
mZagreb1,9.722222222222223
mZagreb2,6.666666666666668
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,1
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,1
n9FaRing,1
n9aHRing,0
nBondsKD,10
nBondsKS,43
nFAHRing,0
nFaHRing,1
nG12Ring,0
AATSC0are,0.18600755999999996
AATSC1are,-0.005372541132075481
AATSC2are,-0.009630702857142863
AATSC3are,0.01215779042735042
AATSC4are,-0.02185592800000001
AATSC5are,-0.009681412459016403
AATSC6are,0.028950243571428565
AATSC7are,0.01390653174311928
AATSC8are,-0.014897517894736832
AETA_beta,1.3166666666666667
BCUTdv-1h,7.004065898758907
BCUTdv-1l,0.9975702776425704
BCUTpe-1h,3.9886815753820555
BCUTpe-1l,2.2229714981218667
BCUTse-1h,4.0099690894061775
BCUTse-1l,2.41876872033773
ETA_alpha,13.81904761904762
ETA_dBeta,-0.5
ETA_eta_B,0.40697450932555057
ETA_eta_F,33.630249309388205
ETA_eta_L,6.255316142817079
ETA_eta_R,56.87924431993875
ETA_psi_1,0.5238267148014443
LabuteASA,171.5763423129253
LogEE_DzZ,149.39252247766657
LogEE_Dzi,145.4085609422377
LogEE_Dzm,149.34997594522724
LogEE_Dzp,204.8489877046839
LogEE_Dzv,183.5818035491187
PEOE_VSA1,19.520660936448213
PEOE_VSA2,14.383611552215466
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,24.26546827384644
PEOE_VSA8,37.93932068696037
PEOE_VSA9,23.576173965055588
SM1_Dzare,2.090104302625157
SpAD_Dzpe,296.40893887701634
SpAD_Dzse,299.1454519972303
SpAbs_DzZ,297.2152861733181
SpAbs_Dzi,289.39989491091137
SpAbs_Dzm,297.09926127785286
SpAbs_Dzp,417.57990258913355
SpAbs_Dzv,370.26421856050035
SpDiam_Dt,449.3374441425655
SpMAD_DzZ,9.958075676676735
SpMAD_Dzi,9.69640950372868
SpMAD_Dzm,9.955087761977017
SpMAD_Dzp,13.764355609378951
SpMAD_Dzv,12.280128389438085
SpMax_DzZ,149.39252247766657
SpMax_Dzi,145.4085609422377
SpMax_Dzm,149.34997594522724
SpMax_Dzp,204.8489877046839
SpMax_Dzv,183.5818035491187
VE1_Dzare,5.403581066486872
VE2_Dzare,0.18011936888289573
VE3_Dzare,2.785674182905139
VR1_Dzare,191.00803120281049
VR2_Dzare,6.366934373427016
VR3_Dzare,6.350927764012994
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,1
nAromAtom,15
nAromBond,16
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.4606349206349207
AETA_dBeta,-0.016666666666666666
AETA_eta_B,0.013565816977518352
AETA_eta_F,1.1210083103129402
AETA_eta_L,0.20851053809390263
AETA_eta_R,1.895974810664625
BCUTare-1h,4.1077269725879555
BCUTare-1l,2.1733725630201626
ETA_beta_s,20.0
ETA_dPsi_A,0.1901732851985557
ETA_dPsi_B,0.0
ETA_eta_BR,0.7509745093255505
ETA_eta_FL,8.251922910230466
ETA_eta_RL,14.507239053047545
LogEE_Dzpe,148.22111707968102
LogEE_Dzse,149.59363199775004
PEOE_VSA10,11.5667326743298
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,17.59760440506795
SlogP_VSA1,4.736862953800049
SlogP_VSA2,65.67022555264394
SlogP_VSA3,4.794537184071822
SlogP_VSA4,5.817220841045895
SlogP_VSA5,20.715977351537635
SlogP_VSA6,48.661413050844345
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
SpAD_Dzare,293.01582709481477
SpAbs_Dzpe,294.78157042008456
SpAbs_Dzse,297.6476195743801
SpDiam_DzZ,235.89353123406465
SpDiam_Dzi,228.47354773609112
SpDiam_Dzm,235.86576038526363
SpDiam_Dzp,320.32801387555446
SpDiam_Dzv,290.143090062247
SpMAD_Dzpe,9.88029796256721
SpMAD_Dzse,9.971515066574343
SpMax_Dzpe,148.22111707968102
SpMax_Dzse,149.59363199775004
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,30
AETA_beta_s,0.6666666666666666
AETA_eta_BR,0.02503248364418502
AETA_eta_FL,0.2750640970076822
AETA_eta_RL,0.4835746351015848
DetourIndex,4571
EState_VSA1,17.507645516762338
EState_VSA2,29.946368247338448
EState_VSA3,29.91917685442231
EState_VSA4,0.0
EState_VSA5,30.339284980664306
EState_VSA6,29.165378004696915
EState_VSA7,6.06636706846161
EState_VSA8,4.9839785209472085
EState_VSA9,4.736862953800049
ETA_beta_ns,19.5
ETA_shape_p,0.12922122674017916
ETA_shape_x,0.0
ETA_shape_y,0.3835286009648518
GhoseFilter,True
LogEE_Dzare,146.52201472302187
SlogP_VSA10,4.39041504767482
SlogP_VSA11,5.749511833283905
SpAbs_Dzare,291.20440336587296
SpDiam_Dzpe,233.94560796494278
SpDiam_Dzse,236.2050078431207
SpMAD_Dzare,9.767194236493825
SpMax_Dzare,146.52201472302187
TopoPSA(NO),82.71000000000001
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,14.36683028769463
VSA_EState9,63.63316971230537
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.65
EState_VSA10,18.774026599890284
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.039365079365079346
FilterItLogS,-4.538329209729198
SpDiam_Dzare,231.20632484383938
ETA_beta_ns_d,1.0
ETA_epsilon_1,0.6476190476190475
ETA_epsilon_2,0.8793650793650791
ETA_epsilon_3,0.44285714285714245
ETA_epsilon_4,0.5715773809523803
ETA_epsilon_5,0.8606758832565282
AETA_beta_ns_d,0.03333333333333333
ETA_dEpsilon_A,0.2047619047619051
ETA_dEpsilon_B,0.07604166666666723
ETA_dEpsilon_C,-0.12872023809523786
ETA_dEpsilon_D,0.01868919610855091
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.8
MDEDescriptor,"0.0,1.3119431287261591,1.6653959108745096,0.0,13.338075702378816,21.319574149314565,0.0,10.440645785422522,0.0,0.0,0.5436901865014462,0.3769737205645769,0.0,0.0,0.0,0.0,0.0,0.31622776601683794,0.33333333333333337"
APolDescriptor,59.12085999999997
BCUTDescriptor,"11.85000000000002,18.9984083270667,-0.3471322587477365,0.2745973355676364,4.823817976795336,10.179020189798026"
BPolDescriptor,32.47714
TPSADescriptor,82.71000000000001
ALOGPDescriptor,"2.757699999999999,7.604909289999994,108.47899999999998"
XLogPDescriptor,2.9079999999999995
VAdjMaDescriptor,6.044394119358453
WeightDescriptor,409.14378450000004
ChiPathDescriptor,"21.250347897697544,14.507239053047547,12.855672073348975,11.803577560409819,9.5456453819744,7.4516285904176085,5.033706497007347,3.526536533726096,16.352614104127795,9.524569241699057,6.981547144900616,5.280062235040661,3.6651831886288013,2.4253165365247575,1.3098838590247732,0.794109103739697"
ChiChainDescriptor,"0.0,0.0,0.09622504486493763,0.4076176281715213,0.678610901734976,0.0,0.0,0.036084391824351615,0.15703493602483998,0.1817186988854584"
AtomCountDescriptor,50
BondCountDescriptor,33
SmallRingDescriptor,"4,3,3,2,0,0,1,3,0,0,0"
ChiClusterDescriptor,"1.8629958343388282,0.0,0.7156843100388812,0.0,0.7599070816154031,0.0,0.14694360845263238,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,3,11,3,4,0,0,0"
ZagrebIndexDescriptor,160.0
LargestChainDescriptor,17
MannholdLogPDescriptor,3.0
WeightedPathDescriptor,"61.318641475001094,2.0439547158333697,23.06903598872444,10.511731236742055,9.987417606088565"
FractionalPSADescriptor,0.20215387140996638
WienerNumbersDescriptor,"2659.0,52.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"5.492954413493262,8.796727978468551,12.4269103057579,1.7701744939298591,2.389996063933842,2.676818710112882"
FractionalCSP3Descriptor,0.22727272727272727
KierHallSmartsDescriptor,"0,0,0,0,0,0,1,0,4,0,0,8,0,0,0,3,4,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,1
LargestPiSystemDescriptor,15
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"23.168044077134986,10.29244001810774,4.859504132231405"
AromaticAtomsCountDescriptor,15
AromaticBondsCountDescriptor,16
FragmentComplexityDescriptor,1939.08
HBondAcceptorCountDescriptor,5
HybridizationRatioDescriptor,0.22727272727272727
AutocorrelationDescriptorMass,"35.679861185035875,36.57170046263153,52.75868267860292,60.636831213066976,58.62048320648897"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,6
AutocorrelationDescriptorCharge,"0.8134724373896154,-0.40244474921684503,-0.05695290540504813,0.2637898934840315,-0.3807863511192491"
EccentricConnectivityIndexDescriptor,804
AutocorrelationDescriptorPolarizability,"1942.5941864316053,2312.282401477307,3278.8713101850253,3361.9666488610137,3015.159365464517"
