DLiP-ID,C101TN
AATSC4Z,-0.5843129793685711
AATSC4c,0.0006280174269816546
AATSC4d,0.010324038290029128
AATSC4i,-0.18072568152371113
AATSC4m,-2.402311402166599
AATSC4p,-0.0242799448228669
AATSC4s,0.023976777357830104
AATSC4v,-1.1084070206628138
AATSC5Z,-0.9757067175248993
AATSC5c,0.0004779928904990063
AATSC5d,0.01528007346189164
AATSC5i,0.13635851211306063
AATSC5m,-3.871100372488524
AATSC5p,0.006307601807659837
AATSC5s,-0.007504581436493151
AATSC5v,3.1551911235366297
AATSC6Z,-3.0489290278606114
AATSC6c,-0.0028244561155809094
AATSC6d,-0.032621623924341835
AATSC6i,-0.17641280725490413
AATSC6m,-13.584865261252448
AATSC6p,-0.08373549700818084
AATSC6s,-0.12016219912571748
AATSC6v,-7.655569642518136
AATSC7Z,-0.2905410241117832
AATSC7c,0.005231849762894477
AATSC7d,-0.04124392945386385
AATSC7i,-0.13624841858557574
AATSC7m,-1.3461011984595732
AATSC7p,-0.039670688147086734
AATSC7s,0.1763608138730496
AATSC7v,-4.918441738683688
AATSC8Z,-1.7805785123966935
AATSC8c,-0.004420493771802142
AATSC8d,-0.0207603305785124
AATSC8i,-0.054304708878553
AATSC8m,-7.920753221074385
AATSC8p,-0.028572199870661615
AATSC8s,-0.03527082837352197
AATSC8v,-3.973261583498568
ATS0are,326.66529999999983
ATS1are,357.187
ATS2are,624.1649000000001
ATS3are,787.5880000000002
ATS4are,799.5306
ATS5are,686.1028000000001
ATS6are,579.0835
ATS7are,568.1184
ATS8are,571.7770000000002
ATSC0dv,171.07878787878778
ATSC0pe,4.643883636363633
ATSC0se,2.599294836363635
ATSC1dv,40.43955922865011
ATSC1pe,-0.0012775867768526454
ATSC1se,-0.17635188495868506
ATSC2dv,0.6740863177226759
ATSC2pe,0.4919503471074469
ATSC2se,0.7483088852892464
ATSC3dv,4.70964187327824
ATSC3pe,-1.0288507438016532
ATSC3se,-0.7303101801652874
ATSC4dv,22.134214876033067
ATSC4pe,-0.005078644628103868
ATSC4se,-0.2533082228099126
ATSC5dv,17.232396694214867
ATSC5pe,-0.060248826446281926
ATSC5se,-0.46981910644628433
ATSC6dv,-13.005619834710743
ATSC6pe,-1.0113493223140453
ATSC6se,-0.4961512386776938
ATSC7dv,19.491349862258957
ATSC7pe,1.7611997685950411
ATSC7se,1.2907380522314063
ATSC8dv,-9.2099173553719
ATSC8pe,-0.8417957024793423
ATSC8se,-0.5425025388429693
AXp-0dv,0.6614469889671091
AXp-1dv,0.3926189021183348
AXp-2dv,0.25182621442382913
AXp-3dv,0.15379976317844937
AXp-4dv,0.09299291279334178
AXp-5dv,0.059108983642399866
AXp-6dv,0.03460881353452363
AXp-7dv,0.021554990316473892
BertzCT,788.7220076688446
ECIndex,904
ETA_eta,29.065172363285342
GATS1dv,0.7232740168403157
GATS1pe,0.8664537790758537
GATS1se,0.8949974144330904
GATS2dv,1.0273904091890411
GATS2pe,0.9285572383726771
GATS2se,0.8036949099373013
GATS3dv,0.9121203533134954
GATS3pe,1.0014376681586261
GATS3se,1.002519130782995
GATS4dv,0.8786813541939588
GATS4pe,0.9570550999994075
GATS4se,0.992410007724194
GATS5dv,0.9884484581593841
GATS5pe,1.1765599916250473
GATS5se,1.3340023955545024
GATS6dv,1.0539546169702094
GATS6pe,1.2865702377730643
GATS6se,1.3774433875092709
GATS7dv,0.8742580664953573
GATS7pe,0.7834888237389388
GATS7se,0.75055315420609
GATS8dv,0.8902915544849092
GATS8pe,0.9791931400677178
GATS8se,0.9624186933328827
LogEE_A,4.241048082487461
LogEE_D,207.45803790537562
MATS1dv,0.2280857130782177
MATS1pe,-0.00026545866933319514
MATS1se,-0.065465485923711
MATS2dv,0.002124622934998933
MATS2pe,0.05712187574024602
MATS2se,0.15523436721439546
MATS3dv,0.011215551671836228
MATS3pe,-0.09026096409031392
MATS3se,-0.11446711351938073
MATS4dv,0.05119362070213467
MATS4pe,-0.00043272738973867064
MATS4se,-0.0385604091281454
MATS5dv,0.0473506938010268
MATS5pe,-0.006098795775226574
MATS5se,-0.08496732745328318
MATS6dv,-0.0431048209790966
MATS6pe,-0.12348403554805053
MATS6se,-0.10823045672073174
MATS7dv,0.06460062320223108
MATS7pe,0.21503950221155765
MATS7se,0.2815616650925704
MATS8dv,-0.029608898965566118
MATS8pe,-0.09969837158240644
MATS8se,-0.11479128577081935
MAXaaCH,1.9439077227340005
MAXaaaC,1.0675557593307223
MAXaasC,0.784441368064915
MAXdssC,0.9015873301977477
MAXsCH3,2.1721468423774795
MAXssNH,3.3312960117216974
MAXsssN,2.3694505382087754
MDEC-12,1.6398673983033327
MDEC-13,0.5651408543058668
MDEC-22,11.22973700186708
MDEC-23,13.803904502429218
MDEC-33,2.8333513919279008
MDEN-22,1.080007310765206
MDEN-23,0.3588145480459296
MINaaCH,1.8060539271629694
MINaaaC,0.9540358947993894
MINaasC,0.784441368064915
MINdssC,-0.17577095861325476
MINsCH3,2.1721468423774795
MINssNH,2.8672234423219547
MINsssN,2.3694505382087754
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,2.8392857142857144
SM1_Dzi,1.0386806273571636
SM1_Dzm,2.8378425788084467
SM1_Dzp,-2.4007895621447943
SM1_Dzv,-1.5228809937607657
SddssSe,0
SpAD_Dt,591.7990460293165
SpAbs_A,36.08273735111666
SpAbs_D,414.91607581075124
SpMAD_A,1.2886691911113093
SpMAD_D,14.818431278955401
SpMax_A,2.3695732216374945
SpMax_D,207.45803790537562
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,154.92
TpiPC10,7.882484421123402
VAdjMat,5.906890595608519
VE1_DzZ,5.234460438295633
VE1_Dzi,5.22725088787452
VE1_Dzm,5.234467444941348
VE1_Dzp,5.236937840485065
VE1_Dzv,5.2339320967815235
VE2_DzZ,0.18694501565341545
VE2_Dzi,0.1866875317098043
VE2_Dzm,0.18694526589076244
VE2_Dzp,0.18703349430303803
VE2_Dzv,0.18692614631362583
VE3_DzZ,2.6848831880534028
VE3_Dzi,2.683504914205534
VE3_Dzm,2.6848845266137205
VE3_Dzp,2.6853563631098183
VE3_Dzv,2.684782247720341
VR1_DzZ,163.95417798604782
VR1_Dzi,164.80878173147548
VR1_Dzm,163.9535642634815
VR1_Dzp,163.89059065768743
VR1_Dzv,164.13799264753368
VR2_DzZ,5.8555063566445655
VR2_Dzi,5.886027918981267
VR2_Dzm,5.855484437981482
VR2_Dzp,5.853235380631694
VR2_Dzv,5.8620711659833455
VR3_DzZ,6.129206403441101
VR3_Dzi,6.134405320442372
VR3_Dzm,6.129202660177449
VR3_Dzp,6.128818492238974
VR3_Dzv,6.130326909793709
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.07905694150420949
Xch-6dv,0.17989307657055237
Xch-7dv,0.27138226507020974
Xpc-4dv,2.230151395712344
Xpc-5dv,2.9481549961023252
Xpc-6dv,3.588793813770299
Zagreb1,138.0
Zagreb2,154.0
fragCpx,144.09
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,1
n5aRing,1
n6ARing,1
n6FRing,0
n6HRing,1
n6aRing,1
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,1
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,10
nBondsD,2
nBondsM,12
nBondsO,30
nBondsS,45
nBondsT,0
nFARing,0
nFHRing,1
nFaRing,1
nHetero,9
naHRing,1
AATS0are,5.9393690909090875
AATS1are,6.266438596491228
AATS2are,6.119263725490197
AATS3are,5.8339851851851865
AATS4are,5.7520187050359715
AATS5are,5.864126495726497
AATS6are,5.969932989690721
AATS7are,5.856890721649484
AATS8are,5.717770000000002
AATSC0dv,3.11052341597796
AATSC0pe,0.08443424793388422
AATSC0se,0.04725990611570245
AATSC1dv,0.7094659513798265
AATSC1pe,-2.2413803102677988e-05
AATSC1se,-0.003093892718573422
AATSC2dv,0.006608689389437999
AATSC2pe,0.004823042618700459
AATSC2se,0.007336361620482808
AATSC3dv,0.03488623609835734
AATSC3pe,-0.007621116620752987
AATSC3se,-0.005409705038261388
AATSC4dv,0.15923895594268392
AATSC4pe,-3.6537011712977464e-05
AATSC4se,-0.0018223613151792273
AATSC5dv,0.14728544183089629
AATSC5pe,-0.0005149472345836062
AATSC5se,-0.004015547918344311
AATSC6dv,-0.13407855499701796
AATSC6pe,-0.010426281673340672
AATSC6se,-0.00511496122348138
AATSC7dv,0.20094175115730883
AATSC7pe,0.018156698645309704
AATSC7se,0.013306577858055734
AATSC8dv,-0.092099173553719
AATSC8pe,-0.008417957024793423
AATSC8se,-0.005425025388429693
AETA_eta,1.0380418701173337
ATSC0are,4.708483636363634
ATSC1are,-0.09649213223139633
ATSC2are,0.5610485289256294
ATSC3are,-1.017812561983471
ATSC4are,-0.13739864462810444
ATSC5are,0.008836628099173863
ATSC6are,-0.9877656859504084
ATSC7are,2.0799706776859486
ATSC8are,-0.7495266115702524
BCUTZ-1h,16.007311226081715
BCUTZ-1l,5.696249960897471
BCUTc-1h,0.42493322371347086
BCUTc-1l,-0.37703352213201735
BCUTd-1h,3.1915952820600655
BCUTd-1l,0.9771866736376379
BCUTi-1h,14.549603844294312
BCUTi-1l,10.30186523906436
BCUTm-1h,32.06461466579599
BCUTm-1l,11.70940297868411
BCUTp-1h,2.945830433852171
BCUTp-1l,0.7509655128062934
BCUTs-1h,7.0082720379495935
BCUTs-1l,0.6098659163790484
BCUTv-1h,24.445081123322765
BCUTv-1l,14.70270193807077
BalabanJ,1.1562261788522825
Diameter,19
ETA_beta,29.0
GATS1are,0.9076941724693858
GATS2are,0.9440337888678896
GATS3are,0.9900045025111344
GATS4are,0.95535591609611
GATS5are,1.1921868570042502
GATS6are,1.3117191699943056
GATS7are,0.7498493954572065
GATS8are,0.9444785929923006
HybRatio,0.5263157894736842
Lipinski,True
LogEE_Dt,295.8995230146582
MATS1are,-0.019774188586344558
MATS2are,0.06425129424291227
MATS3are,-0.08806749882317161
MATS4are,-0.011546471088211168
MATS5are,0.0008822310524538074
MATS6are,-0.1189498297838045
MATS7are,0.25047656704939397
MATS8are,-0.08755252607865317
MAXssCH2,1.2062997040854437
MAXsssCH,0.6442056253506435
MINssCH2,0.6440274120820657
MINsssCH,0.6442056253506435
NsssssAs,0
RotRatio,0.23333333333333334
SM1_Dzpe,1.0995257037943702
SM1_Dzse,1.1638780782582274
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,20.517465459810346
SMR_VSA4,0.0
SMR_VSA5,30.933224521686213
SMR_VSA6,38.54348621033382
SMR_VSA7,23.70964047900221
SMR_VSA8,0.0
SMR_VSA9,0.0
SpAD_DzZ,327.6221992271867
SpAD_Dzi,352.89852185474376
SpAD_Dzm,327.66805415693045
SpAD_Dzp,457.75242789149445
SpAD_Dzv,436.1937951559527
SpAbs_Dt,591.7990460293165
SpDiam_A,4.65521259705057
SpDiam_D,331.54826035446746
SpMAD_Dt,21.135680215332734
SpMax_Dt,295.8995230146582
SsssssAs,0
VE1_Dzpe,5.228723782727331
VE1_Dzse,5.229479739386437
VE2_Dzpe,0.1867401350974047
VE2_Dzse,0.1867671335495156
VE3_Dzpe,2.6837866468816265
VE3_Dzse,2.6839312140931604
VMcGowan,325.0100000000009
VR1_Dzpe,164.61703614387844
VR1_Dzse,164.53418439565527
VR2_Dzpe,5.879179862281373
VR2_Dzse,5.876220871273403
VR3_Dzpe,6.133241200334921
VR3_Dzse,6.132737773673843
mZagreb1,8.277777777777779
mZagreb2,6.2777777777777795
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,1
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,1
n9FaRing,1
n9aHRing,0
nBondsKD,6
nBondsKS,51
nFAHRing,0
nFaHRing,1
nG12Ring,0
AATSC0are,0.08560879338842971
AATSC1are,-0.0016928444251122163
AATSC2are,0.0055004757737806805
AATSC3are,-0.007539352310988674
AATSC4are,-0.000988479457756147
AATSC5are,7.552673589037489e-05
AATSC6are,-0.010183151401550601
AATSC7are,0.02144299667717473
AATSC8are,-0.0074952661157025235
AETA_beta,1.0357142857142858
BCUTdv-1h,6.021953276810022
BCUTdv-1l,0.649207399510983
BCUTpe-1h,3.4896737812866356
BCUTpe-1l,2.229310488961195
BCUTse-1h,3.702436810462786
BCUTse-1l,2.4313138556786864
ETA_alpha,14.333333333333336
ETA_dBeta,-7.0
ETA_eta_B,0.3168567740490751
ETA_eta_F,17.564424688681846
ETA_eta_L,8.611490556172127
ETA_eta_R,46.62959705196719
ETA_psi_1,0.6187050359712234
LabuteASA,179.39938571546165
LogEE_DzZ,163.59971235894525
LogEE_Dzi,176.4842686282885
LogEE_Dzm,163.6210184668813
LogEE_Dzp,228.48428648645583
LogEE_Dzv,217.93373175721626
PEOE_VSA1,20.85027554286947
PEOE_VSA2,0.0
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,23.97975839243781
PEOE_VSA7,64.0195724915912
PEOE_VSA8,24.026837116490885
PEOE_VSA9,15.727159907702744
SM1_Dzare,1.1402825561259908
SpAD_Dzpe,358.4920462246066
SpAD_Dzse,358.8484373139804
SpAbs_DzZ,325.6239700860897
SpAbs_Dzi,352.0082241741519
SpAbs_Dzm,325.67070100053854
SpAbs_Dzp,459.4283418226832
SpAbs_Dzv,437.3903445081933
SpDiam_Dt,440.44452855538213
SpMAD_DzZ,11.700792829542381
SpMAD_Dzi,12.60351863766942
SpMAD_Dzm,11.702430505604658
SpMAD_Dzp,16.348300996124802
SpMAD_Dzv,15.578349826998311
SpMax_DzZ,163.59971235894525
SpMax_Dzi,176.4842686282885
SpMax_Dzm,163.6210184668813
SpMax_Dzp,228.48428648645583
SpMax_Dzv,217.93373175721626
VE1_Dzare,5.228101989183546
VE2_Dzare,0.18671792818512664
VE3_Dzare,2.683667721012901
VR1_Dzare,164.67973378294718
VR2_Dzare,5.881419063676685
VR3_Dzare,6.133621997509702
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,1
nAromAtom,9
nAromBond,10
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.511904761904762
AETA_dBeta,-0.25
AETA_eta_B,0.011316313358895538
AETA_eta_F,0.6273008817386374
AETA_eta_L,0.30755323414900454
AETA_eta_R,1.665342751855971
BCUTare-1h,3.5443293340709925
BCUTare-1l,2.171191274186326
ETA_beta_s,18.0
ETA_dPsi_A,0.09529496402877657
ETA_dPsi_B,0.0
ETA_eta_BR,0.5748567740490751
ETA_eta_FL,4.985866232151894
ETA_eta_RL,13.59735678832402
LogEE_Dzpe,179.2852918874388
LogEE_Dzse,179.4657857312137
PEOE_VSA10,4.320534085558971
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
SlogP_VSA1,15.950365812018994
SlogP_VSA2,58.71217248600439
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,25.683286491704038
SlogP_VSA6,23.70964047900221
SlogP_VSA7,0.0
SlogP_VSA8,10.216620634085363
SlogP_VSA9,0.0
SpAD_Dzare,356.16745429005323
SpAbs_Dzpe,357.5096347004184
SpAbs_Dzse,357.79651499815884
SpDiam_DzZ,267.22251788051517
SpDiam_Dzi,285.6791009630606
SpDiam_Dzm,267.2598611815522
SpDiam_Dzp,374.72073565088
SpDiam_Dzv,355.57651246748986
SpMAD_Dzpe,12.803287365164522
SpMAD_Dzse,12.816015618356444
SpMax_Dzpe,179.2852918874388
SpMax_Dzse,179.4657857312137
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,28
AETA_beta_s,0.6428571428571429
AETA_eta_BR,0.020530599073181253
AETA_eta_FL,0.17806665114828193
AETA_eta_RL,0.48561988529728645
DetourIndex,3957
EState_VSA1,0.0
EState_VSA2,6.031114512338072
EState_VSA3,11.79469443589475
EState_VSA4,52.70045345791763
EState_VSA5,12.841643245852019
EState_VSA6,28.609210100943233
EState_VSA7,18.19910120538483
EState_VSA8,32.88192604649387
EState_VSA9,12.217873443046695
ETA_beta_ns,11.0
ETA_shape_p,0.11627906976744184
ETA_shape_x,0.0
ETA_shape_y,0.23720930232558135
GhoseFilter,True
LogEE_Dzare,178.12445152203108
SlogP_VSA10,10.481923458755384
SlogP_VSA11,0.0
SpAbs_Dzare,355.16060599820906
SpDiam_Dzpe,290.6623131624651
SpDiam_Dzse,291.1612097442977
SpMAD_Dzare,12.720266224644758
SpMax_Dzare,178.12445152203108
TopoPSA(NO),69.28999999999999
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.9015873301977477
VSA_EState9,48.79106481337648
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.39285714285714285
EState_VSA10,4.794537184071822
ETA_dAlpha_A,0.011904761904761989
ETA_dAlpha_B,0.0
FilterItLogS,-5.118798503944663
SpDiam_Dzare,288.6364924363382
ETA_beta_ns_d,0.5
ETA_epsilon_1,0.5684848484848487
ETA_epsilon_2,0.827380952380952
ETA_epsilon_3,0.43999999999999984
ETA_epsilon_4,0.5420765027322405
ETA_epsilon_5,0.7763440860215052
AETA_beta_ns_d,0.017857142857142856
ETA_dEpsilon_A,0.12848484848484887
ETA_dEpsilon_B,0.026408345752608198
ETA_dEpsilon_C,-0.10207650273224067
ETA_dEpsilon_D,0.05103686635944682
PetitjeanIndex,0.47368421052631576
TopoShapeIndex,0.9
CDK Descriptors
FMFDescriptor,0.8928571428571429
MDEDescriptor,"0.0,1.6398673983033327,0.5651408543058668,0.0,11.22973700186708,13.803904502429218,0.0,2.8333513919279008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.080007310765206,0.3588145480459296,0.0"
APolDescriptor,66.44541099999996
BCUTDescriptor,"11.994305315358867,31.9740748826024,-0.3356936000720695,0.2764380505393995,4.882439828118681,12.663481894363741"
BPolDescriptor,41.454589
TPSADescriptor,154.92
ALOGPDescriptor,"1.5951999999999964,2.5446630399999886,114.16499999999999"
XLogPDescriptor,2.246
VAdjMaDescriptor,5.906890595608519
WeightDescriptor,437.1377737000001
ChiPathDescriptor,"19.769373945685235,13.59735678832402,11.929350345009231,9.148964958267742,7.291575092053923,5.474094165793718,3.4692789058359335,2.479102186421156,18.520515691079055,11.778567063550044,9.821222362529333,7.074789106208675,5.207603116427139,3.723865969471192,2.076528812071418,1.3579643899378548"
ChiChainDescriptor,"0.0,0.0,0.11785113019775793,0.31804138174397717,0.45256011835984555,0.0,0.0,0.07905694150420949,0.17989307657055237,0.27138226507020974"
AtomCountDescriptor,55
BondCountDescriptor,30
SmallRingDescriptor,"3,2,2,1,0,0,1,2,0,0,0"
ChiClusterDescriptor,"1.6076070275816352,0.0,0.08333333333333333,0.0,1.327850975717996,0.0,0.04564354645876384,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,0,6,0,4,5,0,0"
ZagrebIndexDescriptor,138.0
LargestChainDescriptor,20
MannholdLogPDescriptor,2.5599999999999996
WeightedPathDescriptor,"56.834873210483565,2.029816900374413,26.49400592001535,2.5396976396762856,15.313232294085484"
FractionalPSADescriptor,0.3543962780629405
WienerNumbersDescriptor,"2823.0,35.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"2.8575789629957953,4.159291845514893,4.970219682001642,2.2301513957123436,2.9481549961023266,3.397317866025306"
FractionalCSP3Descriptor,0.5263157894736842
KierHallSmartsDescriptor,"0,0,0,0,0,0,1,0,8,0,0,4,1,0,0,2,1,2,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,1
HBondDonorCountDescriptor,3
LargestPiSystemDescriptor,13
PetitjeanNumberDescriptor,0.47368421052631576
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"22.68,12.0,7.986767485822306"
AromaticAtomsCountDescriptor,9
AromaticBondsCountDescriptor,10
FragmentComplexityDescriptor,2493.09
HBondAcceptorCountDescriptor,6
HybridizationRatioDescriptor,0.5263157894736842
AutocorrelationDescriptorMass,"48.95762965727337,40.509019264882376,60.943618630581625,49.01449971794044,45.0677498948309"
PetitjeanShapeIndexDescriptor,"0.9,NaN"
RotatableBondsCountDescriptor,11
AutocorrelationDescriptorCharge,"0.4635086713334275,-0.3468444350724191,0.19480414257057338,-0.08582806778328547,0.012751024362414435"
EccentricConnectivityIndexDescriptor,904
AutocorrelationDescriptorPolarizability,"2245.7781156190053,2505.609427969934,3166.703985740326,2801.555058484609,2319.4576597247915"
