DLiP-ID,J000AA
AATSC5Z,0.7249654703951092
AATSC5c,0.0023848667914693846
AATSC5d,0.05383222008377673
AATSC5i,0.12988819034358895
AATSC5m,3.490372777117626
AATSC5p,0.02628446278186977
AATSC5s,0.05643634350981801
AATSC5v,5.960973832427085
AATSC6Z,0.18792154927840146
AATSC6c,-0.002851134736200892
AATSC6d,-0.03416800296040459
AATSC6i,0.2105931583749202
AATSC6m,1.0560560823387193
AATSC6p,0.03816973780735596
AATSC6s,-0.07106231925770594
AATSC6v,6.793244547250314
AATSC7Z,-0.8501577761081892
AATSC7c,0.0010952437112753649
AATSC7d,-0.10217881292261456
AATSC7i,0.007961326066854388
AATSC7m,-4.109874008444776
AATSC7p,-0.016681452062547827
AATSC7s,0.016578178479004925
AATSC7v,-5.624317636005912
AATSC8Z,-0.9944025773917916
AATSC8c,0.0012484677690329728
AATSC8d,-0.022692253817061213
AATSC8i,-0.17703691671019411
AATSC8m,-4.878488537758792
AATSC8p,-0.049181744628855835
AATSC8s,-0.04892320742089619
AATSC8v,-10.67412268995932
ATS0are,339.1944999999999
ATS1are,377.354
ATS2are,634.0978
ATS3are,801.3228
ATS4are,835.614
ATS5are,890.5340000000001
ATS6are,811.3049999999998
ATS7are,732.3470000000001
ATS8are,692.9848999999999
ATSC0dv,207.7090909090909
ATSC0pe,5.336883636363636
ATSC0se,3.1931124363636343
ATSC1dv,61.057520661157
ATSC1pe,0.1818720991735626
ATSC1se,-0.11062243173554151
ATSC2dv,-4.076363636363638
ATSC2pe,0.22176400000001495
ATSC2se,0.07808488727271816
ATSC3dv,-68.54644628099173
ATSC3pe,-1.2439967603305644
ATSC3se,-0.6884876985124063
ATSC4dv,-34.18214876033058
ATSC4pe,-1.4118837685950294
ATSC4se,-0.7492251358677756
ATSC5dv,66.68132231404958
ATSC5pe,0.8435670743801653
ATSC5se,0.3463746961983442
ATSC6dv,-34.34578512396695
ATSC6pe,-1.6480001322314048
ATSC6se,-1.2089286267768595
ATSC7dv,-67.85090909090908
ATSC7pe,-0.04740945454545275
ATSC7se,0.5704865309090925
ATSC8dv,-33.903140495867774
ATSC8pe,0.2245314710743723
ATSC8se,0.46571971834711506
AXp-0dv,0.5524943300982826
AXp-1dv,0.2920015819490936
AXp-2dv,0.1506485663356338
AXp-3dv,0.08020386805681527
AXp-4dv,0.04205917067284552
AXp-5dv,0.021947295044127398
AXp-6dv,0.011265817187852231
AXp-7dv,0.006089788245386158
BertzCT,1220.5879580152011
ECIndex,861
ETA_eta,23.79527927742511
GATS1dv,0.5331772539524284
GATS1pe,0.7424147922085655
GATS1se,0.8263649301990081
GATS2dv,0.9900210084033615
GATS2pe,0.9827900926860276
GATS2se,1.037112242677968
GATS3dv,1.2047057996426918
GATS3pe,1.2285086804858745
GATS3se,1.2775241354701414
GATS4dv,1.0447663207073876
GATS4pe,1.183999286560405
GATS4se,1.2455530940075983
GATS5dv,0.9143781656498217
GATS5pe,1.0609762616396787
GATS5se,1.1384781930360872
GATS6dv,1.0864793678665496
GATS6pe,1.1561702838364616
GATS6se,1.2350066909549642
GATS7dv,1.0549560733384264
GATS7pe,0.8717386560380388
GATS7se,0.8003315611608472
GATS8dv,0.9473810710724969
GATS8pe,0.7823176258041871
GATS8se,0.691480467837959
LogEE_A,4.41094295415206
LogEE_D,205.5300073200532
MATS1dv,0.27402761952238514
MATS1pe,0.03176793779238276
MATS1se,-0.0322953256142159
MATS2dv,-0.010902972300031127
MATS2pe,0.023085049369031434
MATS2se,0.013585645289299689
MATS3dv,-0.14291848629215465
MATS3pe,-0.10094631833512188
MATS3se,-0.09337722045962445
MATS4dv,-0.06754632823278565
MATS4pe,-0.10858481679036071
MATS4se,-0.09630659294836087
MATS5dv,0.12093681650742488
MATS5pe,0.05954450925176003
MATS5se,0.040864085130519194
MATS6dv,-0.06786968518750786
MATS6pe,-0.12674399721083904
MATS6se,-0.15539761226479623
MATS7dv,-0.1484832569391393
MATS7pe,-0.0040378905620655665
MATS7se,0.08120981164053263
MATS8dv,-0.07607905450315722
MATS8pe,0.019609664808222838
MATS8se,0.067981555426921
MAXaaCH,1.9368608418977495
MAXaasC,0.9591697455521132
MAXaasN,2.0429949112335475
MAXdssC,-0.070134802250152
MAXsCH3,1.9668850883548685
MAXssNH,3.4647071819089383
MAXsssN,1.7393817484523653
MDEC-12,1.930728285963669
MDEC-13,1.040289859657869
MDEC-22,21.015303837135203
MDEC-23,27.238727051666114
MDEC-33,7.428395329278726
MDEN-22,0.3864019448872137
MDEN-23,1.234209623787079
MDEN-33,0.12499999999999997
MDEO-12,0.14285714285714285
MINaaCH,1.73521930203568
MINaasC,0.6349162712693279
MINaasN,2.0429949112335475
MINdssC,-0.070134802250152
MINsCH3,1.9668850883548685
MINssNH,3.4647071819089383
MINsssN,1.7393817484523653
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,1.2142857142857144
SM1_Dzi,1.4725162990448417
SM1_Dzm,1.2110320506083252
SM1_Dzp,-4.755497619587395
SM1_Dzv,-2.3946120973331952
SddssSe,0
SpAD_Dt,800.5586988678376
SpAbs_A,43.03913551153613
SpAbs_D,411.0600146401064
SpMAD_A,1.344972984735504
SpMAD_D,12.845625457503324
SpMax_A,2.5038805909282833
SpMax_D,205.5300073200532
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,72.28
TpiPC10,8.881871026623566
VAdjMat,6.169925001442312
VE1_DzZ,5.564985289669828
VE1_Dzi,5.564372381062445
VE1_Dzm,5.564985928088841
VE1_Dzp,5.563373892269357
VE1_Dzv,5.5652517668120876
VE2_DzZ,0.17390579030218212
VE2_Dzi,0.17388663690820141
VE2_Dzm,0.1739058102527763
VE2_Dzp,0.17385543413341742
VE2_Dzv,0.17391411771287774
VE3_DzZ,2.8796451511639862
VE3_Dzi,2.879535008489784
VE3_Dzm,2.8796452658846805
VE3_Dzp,2.879355549186662
VE3_Dzv,2.879693034626119
VR1_DzZ,217.15406357772764
VR1_Dzi,217.29258997128036
VR1_Dzm,217.15396852777886
VR1_Dzp,217.1493388708142
VR1_Dzv,216.98770906439793
VR2_DzZ,6.786064486803989
VR2_Dzi,6.790393436602511
VR2_Dzm,6.786061516493089
VR2_Dzp,6.785916839712944
VR2_Dzv,6.780865908262435
VR3_DzZ,6.543757881840653
VR3_Dzi,6.54439559603233
VR3_Dzm,6.543757444133119
VR3_Dzp,6.543736124208146
VR3_Dzv,6.542991521485789
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.03333333333333333
Xch-6dv,0.1534417452876357
Xch-7dv,0.14748129229376883
Xpc-4dv,1.6865219489880456
Xpc-5dv,2.295742342835241
Xpc-6dv,2.8637814623897766
Zagreb1,172.0
Zagreb2,205.0
fragCpx,304.07
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,1
n5aRing,1
n6ARing,1
n6FRing,0
n6HRing,2
n6aRing,3
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,23
nBondsD,1
nBondsM,24
nBondsO,36
nBondsS,35
nBondsT,0
nFARing,1
nFHRing,1
nFaRing,0
nHetero,7
naHRing,2
AATS0are,6.1671727272727255
AATS1are,6.395830508474576
AATS2are,6.405028282828283
AATS3are,6.309628346456694
AATS4are,6.235925373134329
AATS5are,6.09954794520548
AATS6are,6.054514925373133
AATS7are,6.052454545454546
AATS8are,5.872753389830508
AATSC0dv,3.7765289256198344
AATSC0pe,0.0970342479338843
AATSC0se,0.058056589752066075
AATSC1dv,1.034873231545034
AATSC1pe,0.003082577952094281
AATSC1se,-0.001874956470093924
AATSC2dv,-0.04117539026629937
AATSC2pe,0.002240040404040555
AATSC2se,0.0007887362350779612
AATSC3dv,-0.5397357974881238
AATSC3pe,-0.009795250081343026
AATSC3se,-0.005421162980412648
AATSC4dv,-0.2550906623905267
AATSC4pe,-0.010536446034291264
AATSC4se,-0.0055912323572222065
AATSC5dv,0.45672138571266835
AATSC5pe,0.005777856673836749
AATSC5se,0.0023724294260160563
AATSC6dv,-0.25631182928333546
AATSC6pe,-0.012298508449488096
AATSC6se,-0.009021855423707906
AATSC7dv,-0.5607513148009016
AATSC7pe,-0.00039181367392936156
AATSC7se,0.004714764718256963
AATSC8dv,-0.28731474996498113
AATSC8pe,0.0019028090769014601
AATSC8se,0.003946777274128094
AETA_eta,0.7436024774195347
ATSC0are,5.618090909090908
ATSC1are,0.04179338842975814
ATSC2are,0.24105454545455612
ATSC3are,-1.3136008264462697
ATSC4are,-1.4289396694214784
ATSC5are,0.7707859504132237
ATSC6are,-1.947994214876032
ATSC7are,0.2766909090909094
ATSC8are,0.544350413223133
BCUTZ-1h,8.022164008056615
BCUTZ-1l,5.692977790306133
BCUTc-1h,0.41465025182780163
BCUTc-1l,-0.5227505903583889
BCUTd-1h,3.230906355796696
BCUTd-1l,0.978038377568742
BCUTi-1h,14.558618864980016
BCUTi-1l,10.954410579146451
BCUTm-1h,16.01026833893656
BCUTm-1l,11.704939721305243
BCUTp-1h,1.9926202558684647
BCUTp-1l,0.7517908540805552
BCUTs-1h,7.0082721295812505
BCUTs-1l,1.2805939215206392
BCUTv-1h,20.89577811421779
BCUTv-1l,14.702506945947205
BalabanJ,1.1694548107071165
Diameter,15
ETA_beta,45.75
GATS1are,0.7848854172123346
GATS2are,1.0139338824252815
GATS3are,1.2605467331033688
GATS4are,1.2030645692233337
GATS5are,1.0804887896621103
GATS6are,1.1761228204194965
GATS7are,0.8388286659537
GATS8are,0.7291980343053105
HybRatio,0.16
Lipinski,True
LogEE_Dt,400.2793494339188
MATS1are,0.0069347290738355095
MATS2are,0.023837135084890965
MATS3are,-0.10125899649524098
MATS4are,-0.10439579880174782
MATS5are,0.05168385045021127
MATS6are,-0.14231700363214103
MATS7are,0.022386358119946072
MATS8are,0.045161720295511826
MAXssCH2,0.7228674492363929
MAXsssCH,-0.40779207786828686
MINssCH2,0.5324233713483352
MINsssCH,-0.40779207786828686
NsssssAs,0
RotRatio,0.16666666666666666
SM1_Dzpe,1.3233629130966955
SM1_Dzse,1.1983045659983018
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,14.53505668968577
SMR_VSA4,0.0
SMR_VSA5,19.634269217737728
SMR_VSA6,16.823580299369727
SMR_VSA7,102.40235245246235
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
SpAD_DzZ,313.4212755775207
SpAD_Dzi,306.1008963801227
SpAD_Dzm,313.50758499585993
SpAD_Dzp,473.09031570137364
SpAD_Dzv,409.1567796442382
SpAbs_Dt,800.5586988678373
SpDiam_A,5.00773632743627
SpDiam_D,308.9137718148494
SpMAD_Dt,25.017459339619926
SpMax_Dt,400.2793494339188
SsssssAs,0
VE1_Dzpe,5.564909551073006
VE1_Dzse,5.564995032201905
VE2_Dzpe,0.17390342347103144
VE2_Dzse,0.17390609475630953
VE3_Dzpe,2.879631541224646
VE3_Dzse,2.8796469018466997
VMcGowan,318.85000000000105
VR1_Dzpe,217.16992966642604
VR1_Dzse,217.15198474598964
VR2_Dzpe,6.786560302075814
VR2_Dzse,6.785999523312176
VR3_Dzpe,6.543830942914655
VR3_Dzse,6.5437483087216695
mZagreb1,8.11111111111111
mZagreb2,7.027777777777778
n10ARing,0
n10FRing,1
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,1
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,1
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,12
nBondsKS,47
nFAHRing,1
nFaHRing,0
nG12Ring,0
AATSC0are,0.10214710743801651
AATSC1are,0.0007083625157586125
AATSC2are,0.00243489439853087
AATSC3are,-0.010343313594065116
AATSC4are,-0.01066372887627969
AATSC5are,0.005279355824748108
AATSC6are,-0.014537270260268896
AATSC7are,0.0022867017280240446
AATSC8are,0.004613139095111297
AETA_beta,1.4296875
BCUTdv-1h,6.022127317528009
BCUTdv-1l,0.9959509979373784
BCUTpe-1h,3.489223003913803
BCUTpe-1l,2.241177130093777
BCUTse-1h,3.70212682673394
BCUTse-1l,2.4369890692400706
ETA_alpha,15.166666666666668
ETA_dBeta,2.25
ETA_eta_B,0.21070362416642574
ETA_eta_F,35.644584034461566
ETA_eta_L,6.359301593116382
ETA_eta_R,59.439863311886675
ETA_psi_1,0.584832904884319
LabuteASA,185.86475620900754
LogEE_DzZ,156.73127549251873
LogEE_Dzi,153.0619475696208
LogEE_Dzm,156.77485052797107
LogEE_Dzp,235.80211134762627
LogEE_Dzv,204.2042316819108
PEOE_VSA1,14.620751205597735
PEOE_VSA2,14.678425435869507
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,55.4546737473835
PEOE_VSA8,29.96530326420635
PEOE_VSA9,17.802135892458033
SM1_Dzare,1.4997673336435549
SpAD_Dzpe,310.587991531426
SpAD_Dzse,313.8374883901669
SpAbs_DzZ,312.4108227337016
SpAbs_Dzi,304.90447688714875
SpAbs_Dzm,312.499793777419
SpAbs_Dzp,476.35972031484005
SpAbs_Dzv,410.8030754611548
SpDiam_Dt,576.1024963200314
SpMAD_DzZ,9.794414861797522
SpMAD_Dzi,9.565653011878835
SpMAD_Dzm,9.797112031120623
SpMAD_Dzp,14.784072365667926
SpMAD_Dzv,12.786149363882444
SpMax_DzZ,156.73127549251873
SpMax_Dzi,153.0619475696208
SpMax_Dzm,156.77485052797107
SpMax_Dzp,235.80211134762627
SpMax_Dzv,204.2042316819108
VE1_Dzare,5.564803501714023
VE2_Dzare,0.1739001094285632
VE3_Dzare,2.879612484244743
VR1_Dzare,217.1925282705808
VR2_Dzare,6.78726650845565
VR3_Dzare,6.5439349970462315
n10AHRing,0
n10FARing,1
n10FHRing,1
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,23
nAromBond,23
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.47395833333333337
AETA_dBeta,0.0703125
AETA_eta_B,0.006584488255200804
AETA_eta_F,1.113893251076924
AETA_eta_L,0.19872817478488694
AETA_eta_R,1.8574957284964586
BCUTare-1h,3.5439714734535146
BCUTare-1l,2.1915998965239267
ETA_beta_s,21.75
ETA_dPsi_A,0.12916709511568092
ETA_dPsi_B,0.0
ETA_eta_BR,0.6407036241664257
ETA_eta_FL,9.344208345090287
ETA_eta_RL,15.70350993820667
LogEE_Dzpe,155.2889519404237
LogEE_Dzse,156.94288995938874
PEOE_VSA10,18.180798295796748
PEOE_VSA11,6.165775612134527
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
SlogP_VSA1,14.953561288656857
SlogP_VSA2,27.049118383550194
SlogP_VSA3,6.544756405912575
SlogP_VSA4,6.923737199690624
SlogP_VSA5,28.042096780751734
SlogP_VSA6,85.32056846791694
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
SpAD_Dzare,305.6330258151951
SpAbs_Dzpe,309.4920208262978
SpAbs_Dzse,312.83967898572666
SpDiam_DzZ,236.30255055423584
SpDiam_Dzi,231.75615369161116
SpDiam_Dzm,236.37177456012824
SpDiam_Dzp,363.5131236996191
SpDiam_Dzv,310.8017751257987
SpMAD_Dzpe,9.705874735357062
SpMAD_Dzse,9.807421512192716
SpMax_Dzpe,155.2889519404237
SpMax_Dzse,156.94288995938874
n10FAHRing,1
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,32
AETA_beta_s,0.6796875
AETA_eta_BR,0.020021988255200802
AETA_eta_FL,0.29200651078407147
AETA_eta_RL,0.49073468556895844
DetourIndex,6255
EState_VSA1,6.165775612134527
EState_VSA2,5.907179729351506
EState_VSA3,12.170333456209914
EState_VSA4,35.187373281411986
EState_VSA5,0.0
EState_VSA6,17.29359687407663
EState_VSA7,84.41771817217278
EState_VSA8,15.284745645900749
EState_VSA9,4.736862953800049
ETA_beta_ns,24.0
ETA_shape_p,0.05494505494505494
ETA_shape_x,0.0
ETA_shape_y,0.31648351648351647
GhoseFilter,True
LogEE_Dzare,152.82083388234955
SlogP_VSA10,11.374772549367124
SlogP_VSA11,5.749511833283905
SpAbs_Dzare,304.39724222454765
SpDiam_Dzpe,234.16499149464636
SpDiam_Dzse,236.61840859985242
SpMAD_Dzare,9.551032056724846
SpMax_Dzare,152.82083388234955
TopoPSA(NO),72.28
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,2.0429949112335475
VSA_EState9,66.95700508876645
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.75
EState_VSA10,4.794537184071822
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.02604166666666663
FilterItLogS,-5.90320106085019
SpDiam_Dzare,230.34998605214926
ETA_beta_ns_d,0.5
ETA_epsilon_1,0.5969696969696969
ETA_epsilon_2,0.8104166666666663
ETA_epsilon_3,0.44545454545454477
ETA_epsilon_4,0.5237442922374421
ETA_epsilon_5,0.7949494949494946
AETA_beta_ns_d,0.015625
ETA_dEpsilon_A,0.15151515151515216
ETA_dEpsilon_B,0.0732254047322548
ETA_dEpsilon_C,-0.07828974678289735
ETA_dEpsilon_D,0.015467171717171713
PetitjeanIndex,0.4666666666666667
TopoShapeIndex,0.875
CDK Descriptors
FMFDescriptor,0.9375
MDEDescriptor,"0.0,1.930728285963669,1.040289859657869,0.0,21.015303837135203,27.238727051666114,0.0,7.428395329278726,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.3864019448872137,1.234209623787079,0.12499999999999997"
APolDescriptor,66.44023899999998
BCUTDescriptor,"11.850000000000007,15.995932339356205,-0.3442156408613437,0.24137452656928182,5.9209241736153215,11.668224512869351"
BPolDescriptor,35.277761
TPSADescriptor,72.28
ALOGPDescriptor,"3.7970000000000015,14.417209000000012,124.01749999999998"
XLogPDescriptor,3.5650000000000013
VAdjMaDescriptor,6.169925001442312
WeightDescriptor,425.1851751600001
ChiPathDescriptor,"21.915638315627206,15.70350993820667,13.822481765834707,12.23712014589513,10.432783213083976,8.351255448386532,5.703768785133051,4.580652503178018,17.679818563145044,10.512056950167372,7.53242831678169,5.534066895920255,3.869443701901788,2.567833520162907,1.4645562344207919,0.9682763310163987"
ChiChainDescriptor,"0.0,0.0,0.11785113019775793,0.5152741239763751,0.5771498697542891,0.0,0.0,0.03333333333333333,0.1534417452876357,0.14748129229376883"
AtomCountDescriptor,55
BondCountDescriptor,36
SmallRingDescriptor,"5,4,4,4,0,0,1,4,0,0,0"
ChiClusterDescriptor,"1.6822198001110094,0.0,0.4975678204457163,0.0,0.7274802317912418,0.0,0.14233114763591712,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,5,15,1,4,0,0,0"
ZagrebIndexDescriptor,172.0
LargestChainDescriptor,16
MannholdLogPDescriptor,3.44
WeightedPathDescriptor,"66.63489332459402,2.082340416393563,21.92745051321329,5.711788972045595,16.21566154116765"
FractionalPSADescriptor,0.16999651968768795
WienerNumbersDescriptor,"3159.0,52.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"4.635323091348981,7.784227912332815,10.874478257056492,1.6865219489880454,2.295742342835241,2.5784259511455137"
FractionalCSP3Descriptor,0.16
KierHallSmartsDescriptor,"0,0,0,0,0,0,1,0,2,0,0,14,1,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,1
LargestPiSystemDescriptor,17
PetitjeanNumberDescriptor,0.4666666666666667
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"23.728395061728396,11.16,5.482041587901701"
AromaticAtomsCountDescriptor,23
AromaticBondsCountDescriptor,23
FragmentComplexityDescriptor,2489.07
HBondAcceptorCountDescriptor,5
HybridizationRatioDescriptor,0.16
AutocorrelationDescriptorMass,"35.3488395774643,38.990459129563035,55.09451910585648,57.26015726058027,54.70292641183377"
PetitjeanShapeIndexDescriptor,"0.875,NaN"
RotatableBondsCountDescriptor,6
AutocorrelationDescriptorCharge,"0.6130111781138751,-0.35627666232491206,-3.226169243578053E-4,0.13445109908036937,-0.17692089842801345"
EccentricConnectivityIndexDescriptor,861
AutocorrelationDescriptorPolarizability,"2262.7170327402,2692.1890140463624,3818.4484960630894,4006.967091628063,3699.6057747451996"
