DLiP-ID,J000NI
AATSC3d,-0.0800278142625357
AATSC3i,-0.28087418865701086
AATSC3m,-7.026191281396494
AATSC3p,-0.02918571514108328
AATSC3s,-0.0354422857545908
AATSC3v,-9.663949810678059
AATSC4Z,0.025564935217626195
AATSC4c,0.00011556626057129383
AATSC4d,0.00019752157452909968
AATSC4i,0.2633372674344781
AATSC4m,0.15793617184296768
AATSC4p,0.013077292676176584
AATSC4s,-0.23741074029098744
AATSC4v,0.9262216066713377
AATSC5Z,0.5567094479344344
AATSC5c,-2.1940671036559408e-05
AATSC5d,-0.07832196197528815
AATSC5i,-0.3042922572652976
AATSC5m,2.7846340216696728
AATSC5p,-0.017187500066140768
AATSC5s,-0.07912541592740693
AATSC5v,1.6860249336716846
AATSC6Z,-1.1770740941049214
AATSC6c,-0.0005987374311864422
AATSC6d,-0.010459707950243395
AATSC6i,-0.09804345920521591
AATSC6m,-5.963469270072261
AATSC6p,-0.0260058559068364
AATSC6s,-0.6438831296080738
AATSC6v,-8.132616017694714
AATSC7Z,2.6352946424091037
AATSC7c,-0.0012063552410844119
AATSC7d,0.019235808712427416
AATSC7i,-0.07339723839663857
AATSC7m,12.589824300283606
AATSC7p,0.031100811514233894
AATSC7s,0.23083261859724036
AATSC7v,9.134420852561867
AATSC8Z,-2.9255237065080215
AATSC8c,0.0010673387739604915
AATSC8d,0.03620695871642327
AATSC8i,0.46665856568334635
AATSC8m,-13.96882074067243
AATSC8p,-0.014502051120863536
AATSC8s,0.5435087851477831
AATSC8v,-3.3895664790738733
ATS0are,278.6235999999999
ATS1are,290.329
ATS2are,490.8510000000001
ATS3are,678.741
ATS4are,722.7461
ATS5are,640.038
ATS6are,644.5879000000002
ATS7are,595.5740000000002
ATS8are,477.1591
ATSC0dv,183.08699397071487
ATSC0pe,6.793869767441858
ATSC0se,4.60989865116279
ATSC1dv,47.13003358505431
ATSC1pe,-0.438784640346133
ATSC1se,-0.3604742163331528
ATSC2dv,-5.888768703803839
ATSC2pe,0.5063099513250394
ATSC2se,0.0769554153596537
ATSC3dv,-79.90263672722658
ATSC3pe,-1.4623215251487265
ATSC3se,-0.5131897528393726
ATSC4dv,-22.593554073272845
ATSC4pe,-0.6384237966468355
ATSC4se,-0.24106036938885853
ATSC5dv,14.51023910154971
ATSC5pe,0.3226056787452649
ATSC5se,-0.5939869469983776
ATSC6dv,-73.95023002089884
ATSC6pe,-3.5296692266089753
ATSC6se,-1.9260118399134658
ATSC7dv,57.27605178641774
ATSC7pe,2.5014495943753343
ATSC7se,1.2846127636560296
ATSC8dv,13.926359927621865
ATSC8pe,0.05974575446187269
ATSC8se,0.45297095727420206
AXp-0dv,0.5710449587576172
AXp-1dv,0.30166084075520416
AXp-2dv,0.16795602010868618
AXp-3dv,0.09013678550335644
AXp-4dv,0.049974935343133645
AXp-5dv,0.02709754784053758
AXp-6dv,0.014971815464194257
AXp-7dv,0.008305098429453426
BertzCT,908.1426256534432
ECIndex,599
ETA_eta,21.188008792754434
GATS1dv,0.48781146175060475
GATS1pe,0.6540945713486349
GATS1se,0.6886872879947591
GATS2dv,0.8629593482861205
GATS2pe,0.6459272262732564
GATS2se,0.6738010881192016
GATS3dv,1.1134691982963565
GATS3pe,1.0511064009825546
GATS3se,1.0416798206157407
GATS4dv,1.0400289876890274
GATS4pe,0.9936640793701905
GATS4se,0.9623434730266499
GATS5dv,0.952439437244602
GATS5pe,0.897130458580307
GATS5se,0.9667355178169206
GATS6dv,1.232623915620707
GATS6pe,1.4806025644185385
GATS6se,1.4747538231204216
GATS7dv,0.8920201983557846
GATS7pe,0.8272976624095534
GATS7se,0.8458341352454092
GATS8dv,1.0177014608933466
GATS8pe,1.2119360956046559
GATS8se,1.1839424970055088
LogEE_A,4.187215352959795
LogEE_D,141.85243400137253
MATS1dv,0.24597796079890888
MATS1pe,-0.061714915817862266
MATS1se,-0.07472032817137862
MATS2dv,-0.017961588100463867
MATS2pe,0.04161759467739817
MATS2se,0.009322352905333942
MATS3dv,-0.17872395779661354
MATS3pe,-0.0881464470510545
MATS3se,-0.04558959718959353
MATS4dv,-0.04614213376554418
MATS4pe,-0.03513682084062814
MATS4se,-0.01955262429846398
MATS5dv,0.032768170213833624
MATS5pe,0.019633146471200378
MATS5se,-0.053274654285528446
MATS6dv,-0.17368027198083089
MATS6pe,-0.22340106881579966
MATS6se,-0.17965364400232334
MATS7dv,0.13867951053641833
MATS7pe,0.1632192055971819
MATS7se,0.12353146064111876
MATS8dv,0.04361012317336059
MATS8pe,0.00504193246716272
MATS8se,0.05633602135086033
MAXaaCH,1.7204364894382862
MAXaasC,0.9874835687534101
MAXdssC,-0.6082153880070547
MAXsCH3,1.407617787855883
MAXssNH,2.600110229276896
MAXsssN,1.7953877934791234
MDEC-12,1.9936730893519035
MDEC-13,1.5387445816369196
MDEC-14,1.0
MDEC-22,9.402528992121082
MDEC-23,17.656657998114916
MDEC-24,2.5665217443678667
MDEC-33,4.71843343359573
MDEC-34,2.0506848901692853
MDEN-12,0.16666666666666669
MDEN-13,0.09999999999999998
MDEN-23,0.25
MDEO-11,0.33333333333333337
MINaaCH,1.404589101967765
MINaasC,-0.3546584977865155
MINdssC,-0.6082153880070547
MINsCH3,1.407617787855883
MINssNH,2.600110229276896
MINsssN,1.7953877934791234
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,1.9089635854341738
SM1_Dzi,1.5073812342415267
SM1_Dzm,1.9550054338392775
SM1_Dzp,-5.483393696958872
SM1_Dzv,-2.2193338764094355
SddssSe,0
SpAD_Dt,475.7292815348644
SpAbs_A,32.33828312408405
SpAbs_D,283.704868002745
SpMAD_A,1.2437801201570788
SpMAD_D,10.911725692413269
SpMax_A,2.4496346898566883
SpMax_D,141.85243400137253
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,76.36
TpiPC10,7.8710488644516285
VAdjMat,5.807354922057604
VE1_DzZ,5.03980137168065
VE1_Dzi,5.036905355845324
VE1_Dzm,5.040051535614628
VE1_Dzp,5.03620339357819
VE1_Dzv,5.04386329647495
VE2_DzZ,0.1938385142954096
VE2_Dzi,0.193727129070974
VE2_Dzm,0.193848135985178
VE2_Dzp,0.19370013052223808
VE2_Dzv,0.1939947421721135
VE3_DzZ,2.5728781159532805
VE3_Dzi,2.5723033218279046
VE3_Dzm,2.572927752378798
VE3_Dzp,2.5721639483165624
VE3_Dzv,2.5736837605572376
VR1_DzZ,151.0866443067979
VR1_Dzi,151.74985804686244
VR1_Dzm,151.0478027880891
VR1_Dzp,152.0440487625917
VR1_Dzv,151.1709429475656
VR2_DzZ,5.811024781030688
VR2_Dzi,5.836533001802402
VR2_Dzm,5.809530876464965
VR2_Dzp,5.84784802933045
VR2_Dzv,5.814267036444831
VR3_DzZ,5.97336492063644
VR3_Dzi,5.977744939525832
VR3_Dzm,5.973107806498703
VR3_Dzp,5.9796817183821345
VR3_Dzv,5.973922714031929
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.05590169943749474
Xch-6dv,0.15219071562136385
Xch-7dv,0.20700755416670275
Xpc-4dv,2.0069351935780078
Xpc-5dv,2.4596405832423867
Xpc-6dv,2.9461124802458163
Zagreb1,138.0
Zagreb2,162.0
fragCpx,134.07
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,1
n5FRing,0
n5HRing,1
n5aRing,0
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,2
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,1
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,12
nBondsD,1
nBondsM,14
nBondsO,28
nBondsS,31
nBondsT,1
nFARing,1
nFHRing,1
nFaRing,0
nHetero,7
naHRing,0
AATS0are,6.479618604651161
AATS1are,6.451755555555556
AATS2are,6.374688311688313
AATS3are,6.4642
AATS4are,6.284748695652174
AATS5are,6.154211538461539
AATS6are,6.445879000000002
AATS7are,6.139938144329899
AATS8are,6.3621213333333335
AATSC0dv,4.257837069086392
AATSC0pe,0.15799697133585716
AATSC0se,0.10720694537587883
AATSC1dv,1.0473340796678736
AATSC1pe,-0.009750769785469623
AATSC1se,-0.008010538140736729
AATSC2dv,-0.07647751563381609
AATSC2pe,0.0065754539133122
AATSC2se,0.0009994209786968013
AATSC3dv,-0.7609774926402532
AATSC3pe,-0.01392687166808311
AATSC3se,-0.004887521455613073
AATSC4dv,-0.1964656875936769
AATSC4pe,-0.005551511275189874
AATSC4se,-0.002096177125120509
AATSC5dv,0.13952152982259336
AATSC5pe,0.003101977680242932
AATSC5se,-0.005711412951907477
AATSC6dv,-0.7395023002089884
AATSC6pe,-0.03529669226608975
AATSC6se,-0.01926011839913466
AATSC7dv,0.5904747606847189
AATSC7pe,0.025788140148199322
AATSC7se,0.013243430553154944
AATSC8dv,0.18568479903495821
AATSC8pe,0.0007966100594916359
AATSC8se,0.006039612763656027
AETA_eta,0.8149234151059398
ATSC0are,7.166818604651161
ATSC1are,-0.5118752839372636
ATSC2are,0.3920550567874522
ATSC3are,-1.1356128718226066
ATSC4are,-0.8350009194158997
ATSC5are,0.05438290968090895
ATSC6are,-3.9892502433747965
ATSC7are,2.0025905895078413
ATSC8are,0.9586303407247159
BCUTZ-1h,17.001103248107682
BCUTZ-1l,5.691693125907114
BCUTc-1h,0.414788128227002
BCUTc-1l,-0.4306138495809346
BCUTd-1h,4.02303996130818
BCUTd-1l,0.911323075125295
BCUTi-1h,17.424772133366552
BCUTi-1l,10.953303397711341
BCUTm-1h,35.45051748076244
BCUTm-1l,11.704296467092085
BCUTp-1h,2.2080311975579754
BCUTp-1l,0.5458603531548418
BCUTs-1h,8.00191993061227
BCUTs-1l,1.1794105115992248
BCUTv-1h,22.455865697165713
BCUTv-1l,13.304120170797976
BalabanJ,1.523826610241418
Diameter,14
ETA_beta,34.5
GATS1are,0.6781846918118337
GATS2are,0.6655482578096873
GATS3are,1.048356378815549
GATS4are,1.0022737157574684
GATS5are,0.9107420512481043
GATS6are,1.5593224297245831
GATS7are,0.8597965883450651
GATS8are,1.1175005873320587
HybRatio,0.2777777777777778
Lipinski,True
LogEE_Dt,237.86464076743218
MATS1are,-0.0682485909438805
MATS2are,0.030549097024053284
MATS3are,-0.06489078837732128
MATS4are,-0.04356434176851084
MATS5are,0.0031374090434060815
MATS6are,-0.239349940228417
MATS7are,0.12386895675388108
MATS8are,0.0766888014056165
MAXssCH2,0.7346648848747791
MAXssssC,-1.7000954664273111
MINssCH2,0.02708128621819128
MINssssC,-1.7000954664273111
NsssssAs,0
RotRatio,0.14285714285714285
SM1_Dzpe,1.5533289491396687
SM1_Dzse,1.441062752436002
SMR_VSA1,14.291479626587346
SMR_VSA2,5.261891554738487
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,18.94560963360032
SMR_VSA6,23.30621114668196
SMR_VSA7,58.36495954895087
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
SpAD_DzZ,226.3588098034812
SpAD_Dzi,220.68816868381828
SpAD_Dzm,226.18265249132156
SpAD_Dzp,313.9898126129897
SpAD_Dzv,282.88931165432933
SpAbs_Dt,475.7292815348643
SpDiam_A,4.822735718992533
SpDiam_D,215.8330058601067
SpMAD_Dt,18.29728005903325
SpMax_Dt,237.86464076743218
SsssssAs,0
VE1_Dzpe,5.038243239653182
VE1_Dzse,5.038587834783592
VE2_Dzpe,0.193778586140507
VE2_Dzse,0.19379183979936893
VE3_Dzpe,2.572568902787439
VE3_Dzse,2.5726372963385464
VMcGowan,262.9700000000001
VR1_Dzpe,151.4291802830807
VR1_Dzse,151.3905306319642
VR2_Dzpe,5.824199241656951
VR2_Dzse,5.822712716614007
VR3_Dzpe,5.975629503807478
VR3_Dzse,5.975374238711229
mZagreb1,9.70138888888889
mZagreb2,5.624999999999999
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,1
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,0
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,1
n9FHRing,1
n9FaRing,0
n9aHRing,0
nBondsKD,7
nBondsKS,37
nFAHRing,1
nFaHRing,0
nG12Ring,0
AATSC0are,0.16667020010816655
AATSC1are,-0.011375006309716967
AATSC2are,0.005091624114122756
AATSC3are,-0.010815360684024824
AATSC4are,-0.0072608775601382585
AATSC5are,0.000522912593085663
AATSC6are,-0.039892502433747964
AATSC7are,0.020645263809359188
AATSC8are,0.012781737876329545
AETA_beta,1.3269230769230769
BCUTdv-1h,7.004058338839524
BCUTdv-1l,0.7740027549595133
BCUTpe-1h,3.9886692740581777
BCUTpe-1l,2.236887284631104
BCUTse-1h,4.009948653176922
BCUTse-1l,2.4326617517201163
ETA_alpha,12.366666666666667
ETA_dBeta,1.5
ETA_eta_B,0.6173513819355012
ETA_eta_F,26.58332656417301
ETA_eta_L,5.646224898097617
ETA_eta_R,47.771335356927445
ETA_psi_1,0.5439882697947216
LabuteASA,155.16409399013585
LogEE_DzZ,113.25282657810345
LogEE_Dzi,110.40206054322613
LogEE_Dzm,113.1665187623469
LogEE_Dzp,155.94040751861812
LogEE_Dzv,141.0178608509321
PEOE_VSA1,15.323225729697516
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.39041504767482
PEOE_VSA4,5.261891554738487
PEOE_VSA5,0.0
PEOE_VSA6,17.667306958694127
PEOE_VSA7,49.239845656621675
PEOE_VSA8,17.9195289552797
PEOE_VSA9,17.130841211350898
SM1_Dzare,1.635283505048176
SpAD_Dzpe,226.29675269102182
SpAD_Dzse,228.55892398286778
SpAbs_DzZ,224.5966895707728
SpAbs_Dzi,219.2967398522106
SpAbs_Dzm,224.37803209085456
SpAbs_Dzp,317.36420873419513
SpAbs_Dzv,284.25505557827364
SpDiam_Dt,340.6422894238215
SpMAD_DzZ,8.706108069364662
SpMAD_Dzi,8.488006487839165
SpMAD_Dzm,8.699332788127752
SpMAD_Dzp,12.076531254345756
SpMAD_Dzv,10.880358140551127
SpMax_DzZ,113.25282657810345
SpMax_Dzi,110.40206054322613
SpMax_Dzm,113.1665187623469
SpMax_Dzp,155.94040751861812
SpMax_Dzv,141.0178608509321
VE1_Dzare,5.037312665392002
VE2_Dzare,0.1937427948227693
VE3_Dzare,2.5723841835972334
VR1_Dzare,151.5303950981296
VR2_Dzare,5.82809211915883
VR3_Dzare,5.976297677564239
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,1
n9FaHRing,0
nAromAtom,12
nAromBond,12
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.47564102564102567
AETA_dBeta,0.057692307692307696
AETA_eta_B,0.0237442839205962
AETA_eta_F,1.0224356370835772
AETA_eta_L,0.21716249608067756
AETA_eta_R,1.8373590521895171
BCUTare-1h,4.107717026087127
BCUTare-1l,2.1866345718875317
ETA_beta_s,16.5
ETA_dPsi_A,0.17001173020527838
ETA_dPsi_B,0.0
ETA_eta_BR,0.8753513819355012
ETA_eta_FL,6.650637282339978
ETA_eta_RL,12.296862180437595
LogEE_Dzpe,113.20811976663167
LogEE_Dzse,114.3348874819122
PEOE_VSA10,11.886442153838168
PEOE_VSA11,5.601050810983688
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
SlogP_VSA1,10.216698334856808
SlogP_VSA2,29.70427074700105
SlogP_VSA3,11.21535880699783
SlogP_VSA4,17.148333708576654
SlogP_VSA5,18.050640183084614
SlogP_VSA6,36.39820241076966
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
SpAD_Dzare,223.92759645579815
SpAbs_Dzpe,224.86291058412368
SpAbs_Dzse,227.22871221138843
SpDiam_DzZ,175.94960163677789
SpDiam_Dzi,170.29284547878913
SpDiam_Dzm,175.86782779133597
SpDiam_Dzp,242.80059838476876
SpDiam_Dzv,220.38668150385757
SpMAD_Dzpe,8.703721257346993
SpMAD_Dzse,8.790727845494915
SpMax_Dzpe,113.20811976663167
SpMax_Dzse,114.3348874819122
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,26
AETA_beta_s,0.6346153846153846
AETA_eta_BR,0.033667360843673125
AETA_eta_FL,0.2557937416284607
AETA_eta_RL,0.47295623770913825
DetourIndex,2978
EState_VSA1,11.508230540335195
EState_VSA2,17.384610560699798
EState_VSA3,23.482980446976693
EState_VSA4,11.984273114623004
EState_VSA5,31.18920547353706
EState_VSA6,17.032643867773697
EState_VSA7,6.069221312792274
EState_VSA8,5.316788604006331
EState_VSA9,16.862831444971
ETA_beta_ns,18.0
ETA_shape_p,0.20754716981132076
ETA_shape_x,0.04043126684636118
ETA_shape_y,0.31536388140161725
GhoseFilter,True
LogEE_Dzare,112.02669374732402
SlogP_VSA10,15.765187597041944
SlogP_VSA11,0.0
SpAbs_Dzare,222.41810398959979
SpDiam_Dzpe,175.34110629245913
SpDiam_Dzse,177.20954118663823
SpMAD_Dzare,8.612599863684544
SpMax_Dzare,112.02669374732402
TopoPSA(NO),76.36
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,13.510052019558556
VSA_EState9,50.06201180884881
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.6923076923076923
EState_VSA10,14.291479626587346
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.024358974358974342
FilterItLogS,-5.0844931473714166
SpDiam_Dzare,173.3073738035696
ETA_beta_ns_d,1.5
ETA_epsilon_1,0.6472868217054265
ETA_epsilon_2,0.8743589743589741
ETA_epsilon_3,0.44054054054054076
ETA_epsilon_4,0.5715151515151518
ETA_epsilon_5,0.8333333333333331
AETA_beta_ns_d,0.057692307692307696
ETA_dEpsilon_A,0.20674628116488575
ETA_dEpsilon_B,0.07577167019027475
ETA_dEpsilon_C,-0.130974610974611
ETA_dEpsilon_D,0.04102564102564099
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.7307692307692307
MDEDescriptor,"0.0,1.9936730893519035,1.5387445816369196,1.0,9.402528992121082,17.656657998114916,2.5665217443678667,4.71843343359573,2.0506848901692853,0.0,0.33333333333333337,0.0,0.0,0.0,0.16666666666666669,0.09999999999999998,0.0,0.25,0.0"
APolDescriptor,52.41648099999998
BCUTDescriptor,"11.850000000000007,34.96885382013545,-0.3791341889648091,0.23726087782367034,4.297629828542295,10.188049131249706"
BPolDescriptor,24.465518999999993
TPSADescriptor,76.36
ALOGPDescriptor,"3.7800000000000002,14.288400000000001,96.55799999999999"
XLogPDescriptor,2.9450000000000003
VAdjMaDescriptor,5.807354922057604
WeightDescriptor,373.09933282000003
ChiPathDescriptor,"18.896976746569035,12.296862180437596,11.833733370528067,9.613211713139295,7.405938598052197,5.779030251233542,3.9079984017023666,2.658494744441493,14.847168927698046,8.446503541145717,6.886196824456132,4.687112846174533,3.1983958619605537,2.1136087315619307,1.1977452371355397,0.7142384649329943"
ChiChainDescriptor,"0.0,0.0,0.09622504486493763,0.34020690871988585,0.5854585315190632,0.0,0.0,0.05590169943749474,0.15219071562136383,0.20700755416670275"
AtomCountDescriptor,43
BondCountDescriptor,28
SmallRingDescriptor,"3,2,2,2,0,0,1,2,0,0,0"
ChiClusterDescriptor,"2.6191852645940963,0.20412414523193154,0.7467331735124567,0.14433756729740646,1.2373567624138855,0.07905694150420949,0.18091632984221614,0.01613743060919757"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"1,0,1,10,2,3,1,1,0"
ZagrebIndexDescriptor,138.0
LargestChainDescriptor,15
MannholdLogPDescriptor,2.78
WeightedPathDescriptor,"52.33997509025558,2.01307596500983,19.037917935168537,4.989829821154419,8.9663829003754"
FractionalPSADescriptor,0.2046639950354441
WienerNumbersDescriptor,"1784.0,41.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"5.417775102257142,7.216410506085827,9.741582123162939,2.0069351935780078,2.4596405832423844,2.75829386150939"
FractionalCSP3Descriptor,0.2631578947368421
KierHallSmartsDescriptor,"0,0,0,0,0,0,1,0,3,0,0,6,0,0,1,1,6,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,2
LargestPiSystemDescriptor,11
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"20.727040816326532,8.566329565734682,4.899408284023669"
AromaticAtomsCountDescriptor,12
AromaticBondsCountDescriptor,12
FragmentComplexityDescriptor,1375.07
HBondAcceptorCountDescriptor,5
HybridizationRatioDescriptor,0.2777777777777778
AutocorrelationDescriptorMass,"37.843873021802764,32.19483130431105,49.27839647296693,52.558369634240904,46.501437668135786"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,5
AutocorrelationDescriptorCharge,"0.5324789018361694,-0.1641881715486842,-0.1555784631105422,-0.05354807412176872,0.2658350779567938"
EccentricConnectivityIndexDescriptor,599
AutocorrelationDescriptorPolarizability,"1715.3479346738634,2018.17550861083,2852.6945610139073,2702.6756620568235,2285.2170985287935"
