DLiP-ID,C003NW
AATSC5s,-0.010924946110131308
AATSC5v,0.20067528335197146
AATSC6Z,0.3485280151946819
AATSC6c,0.00021658732525209687
AATSC6d,-0.03952991452991455
AATSC6i,0.0923481872320899
AATSC6m,1.6505282274026576
AATSC6p,0.005512229539372687
AATSC6s,0.008652527171045674
AATSC6v,1.9455312887933802
AATSC7Z,0.053497942386831324
AATSC7c,0.002265418193899114
AATSC7d,-0.11522633744855967
AATSC7i,-0.10544054360747607
AATSC7m,0.17617943791495283
AATSC7p,-0.022304685720027653
AATSC7s,0.060509068739521395
AATSC7v,-2.9596090446645653
AATSC8Z,-0.6172839506172837
AATSC8c,-0.0017912945005727056
AATSC8d,-0.1378340365682138
AATSC8i,-0.05235165465186148
AATSC8m,-2.8811581347335533
AATSC8p,-0.003614527783628986
AATSC8s,-0.03056033060721293
AATSC8v,-1.9467842936652748
ATS0are,267.1646999999999
ATS1are,301.904
ATS2are,511.6169999999999
ATS3are,617.8928999999999
ATS4are,716.0859999999999
ATS5are,721.6380000000001
ATS6are,599.1039
ATS7are,479.03090000000003
ATS8are,469.408
ATSC0dv,157.77777777777783
ATSC0pe,3.531564444444442
ATSC0se,1.9031825777777773
ATSC1dv,61.03703703703705
ATSC1pe,0.29009348148148173
ATSC1se,0.01090933925925915
ATSC2dv,2.49382716049385
ATSC2pe,-0.6880463209876536
ATSC2se,-0.6088675417283946
ATSC3dv,-41.123456790123434
ATSC3pe,-0.7408624197530844
ATSC3se,-0.3283028523456789
ATSC4dv,-17.58024691358024
ATSC4pe,-0.401204395061727
ATSC4se,0.015949601975308727
ATSC5dv,8.222222222222216
ATSC5pe,0.4219862222222216
ATSC5se,0.34566495999999985
ATSC6dv,9.1358024691358
ATSC6pe,0.44201995061728305
ATSC6se,0.17407128691358015
ATSC7dv,-6.33333333333333
ATSC7pe,0.4022039999999998
ATSC7se,0.1544439822222221
ATSC8dv,-66.87654320987654
ATSC8pe,-1.0437242469135792
ATSC8se,-0.6109066587654318
AXp-0dv,0.5897303517729028
AXp-1dv,0.29876248857397153
AXp-2dv,0.16024217953251765
AXp-3dv,0.08330866493650058
AXp-4dv,0.04353344349214715
AXp-5dv,0.022645082930797488
AXp-6dv,0.012223041562033394
AXp-7dv,0.006654678900632977
BertzCT,864.8454039140222
ECIndex,480
ETA_eta,17.40998916388234
GATS1dv,0.5926056338028167
GATS1pe,0.8644256810327687
GATS1se,0.9852821559153033
GATS2dv,1.1444005496392988
GATS2pe,1.3143100755273038
GATS2se,1.506256727256744
GATS3dv,1.1472458513456976
GATS3pe,1.0801209751909924
GATS3se,1.0890850032793935
GATS4dv,0.9403329065300893
GATS4pe,0.9195512630565649
GATS4se,0.817766666687613
GATS5dv,0.8819919517102612
GATS5pe,0.7597509732635241
GATS5se,0.6429914342043656
GATS6dv,0.9465601300108339
GATS6pe,0.8466954695074242
GATS6se,0.8222376979541585
GATS7dv,1.0259780907668228
GATS7pe,0.9920186458126206
GATS7se,1.074885526640351
GATS8dv,1.3149402745587446
GATS8pe,1.4124403303696758
GATS8se,1.5563812987456644
LogEE_A,4.133170776390676
LogEE_D,113.23647186252458
MATS1dv,0.36267605633802813
MATS1pe,0.07700911116508653
MATS1se,0.005373896164758636
MATS2dv,0.008673995190656208
MATS2pe,-0.10691760028843397
MATS2se,-0.17556624911332083
MATS3dv,-0.11612745781620407
MATS3pe,-0.09346770302915937
MATS3se,-0.07685733874550361
MATS4dv,-0.04143871493423347
MATS4pe,-0.042249900417946004
MATS4se,0.0031167110425278158
MATS5dv,0.018611670020120704
MATS5pe,0.04267495820908721
MATS5se,0.06486596339733101
MATS6dv,0.02505417118093173
MATS6pe,0.05415691416292968
MATS6se,0.03957544994214494
MATS7dv,-0.022300469483568057
MATS7pe,0.06327129808382059
MATS7se,0.04508354235034277
MATS8dv,-0.2414423248350864
MATS8pe,-0.16834648754496273
MATS8se,-0.1828436271375488
MAXaaCH,2.1899855914588056
MAXaasC,1.244462868480726
MAXaasN,2.245830498866213
MAXsCH3,2.057084285747255
MAXssNH,3.664532785336357
MAXsssN,2.1120440234302067
MDEC-11,0.454280148208035
MDEC-12,4.808484549951383
MDEC-13,3.620855194745908
MDEC-22,11.581950073260119
MDEC-23,22.25089501518495
MDEC-33,7.0002999783690605
MDEN-23,0.47140452079103173
MDEN-33,0.14285714285714285
MINaaCH,1.9965249433106576
MINaasC,0.8597794737729803
MINaasN,2.245830498866213
MINsCH3,1.6975176705209172
MINssNH,3.664532785336357
MINsssN,2.1120440234302067
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,0.6785714285714287
SM1_Dzi,0.8488829422512447
SM1_Dzm,0.6767661145452564
SM1_Dzp,-2.636839718884606
SM1_Dzv,-1.356968362788312
SddssSe,0
SpAD_Dt,543.851145441516
SpAbs_A,31.96992929224386
SpAbs_D,226.47294372504908
SpMAD_A,1.3320803871768276
SpMAD_D,9.436372655210382
SpMax_A,2.5218673554881335
SpMax_D,113.23647186252458
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,29.43
TpiPC10,9.040182968473648
VAdjMat,5.754887502163468
VE1_DzZ,4.8156875308906235
VE1_Dzi,4.8144222667758
VE1_Dzm,4.815663428024741
VE1_Dzp,4.772094989070936
VE1_Dzv,4.79276053181824
VE2_DzZ,0.20065364712044265
VE2_Dzi,0.200600927782325
VE2_Dzm,0.2006526428343642
VE2_Dzp,0.198837291211289
VE2_Dzv,0.19969835549242665
VE3_DzZ,2.447347561795939
VE3_Dzi,2.447084789273364
VE3_Dzm,2.447342556710778
VE3_Dzp,2.4382541468966834
VE3_Dzv,2.4425752942173693
VR1_DzZ,143.06386341129988
VR1_Dzi,143.2308147581321
VR1_Dzm,143.06605791894904
VR1_Dzp,146.50691055884823
VR1_Dzv,144.93827446279653
VR2_DzZ,5.960994308804161
VR2_Dzi,5.967950614922171
VR2_Dzm,5.961085746622877
VR2_Dzp,6.104454606618677
VR2_Dzv,6.039094769283189
VR3_DzZ,5.83875986520074
VR3_Dzi,5.839926155589539
VR3_Dzm,5.838775204439915
VR3_Dzp,5.862541335748662
VR3_Dzv,5.85177669578131
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.04303314829119352
Xch-6dv,0.11433324349880417
Xch-7dv,0.16685265405227281
Xpc-4dv,1.742639039393832
Xpc-5dv,2.2453559133606307
Xpc-6dv,2.9436059141909148
Zagreb1,132.0
Zagreb2,160.0
fragCpx,177.04
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,1
n5aRing,1
n6ARing,1
n6FRing,0
n6HRing,1
n6aRing,2
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,17
nBondsD,0
nBondsM,17
nBondsO,27
nBondsS,31
nBondsT,0
nFARing,1
nFHRing,1
nFaRing,0
nHetero,4
naHRing,1
AATS0are,5.936993333333332
AATS1are,6.289666666666666
AATS2are,6.239231707317072
AATS3are,6.117751485148514
AATS4are,5.918066115702478
AATS5are,5.727285714285715
AATS6are,5.760614423076922
AATS7are,5.913961728395062
AATS8are,5.941873417721519
AATSC0dv,3.5061728395061738
AATSC0pe,0.07847920987654315
AATSC0se,0.0422929461728395
AATSC1dv,1.2716049382716053
AATSC1pe,0.006043614197530869
AATSC1se,0.0002272779012345656
AATSC2dv,0.030412526347485973
AATSC2pe,-0.00839080879253236
AATSC2se,-0.007425213923517008
AATSC3dv,-0.4071629385160736
AATSC3pe,-0.007335271482703807
AATSC3se,-0.003250523290551276
AATSC4dv,-0.14529129680644826
AATSC4pe,-0.003315738802163033
AATSC4se,0.00013181489235792338
AATSC5dv,0.06525573192239854
AATSC5pe,0.0033490970017636635
AATSC5se,0.0027433726984126975
AATSC6dv,0.08784425451092116
AATSC6pe,0.004250191832858491
AATSC6se,0.0016737623741690398
AATSC7dv,-0.0781893004115226
AATSC7pe,0.004965481481481479
AATSC7se,0.0019067158299039767
AATSC8dv,-0.8465385216440069
AATSC8pe,-0.01321169932801999
AATSC8se,-0.007732995680575086
AETA_eta,0.7254162151617641
ATSC0are,3.5782977777777747
ATSC1are,0.2007112592592591
ATSC2are,-0.9177626172839503
ATSC3are,-0.6857816790123449
ATSC4are,-0.2589029135802464
ATSC5are,0.5037462222222219
ATSC6are,0.421058469135802
ATSC7are,0.4029128888888885
ATSC8are,-1.1133183209876532
BCUTZ-1h,8.011086096455893
BCUTZ-1l,5.692143136459521
BCUTc-1h,0.3911964277460556
BCUTc-1l,-0.5291449759471909
BCUTd-1h,3.2461394253737192
BCUTd-1l,0.9871870677209893
BCUTi-1h,14.55138906051353
BCUTi-1l,10.953541649903343
BCUTm-1h,16.004553751679502
BCUTm-1l,11.703924734947616
BCUTp-1h,1.994964728451879
BCUTp-1l,0.7766505636891715
BCUTs-1h,3.513554019654485
BCUTs-1l,1.265940653770508
BCUTv-1h,20.897012043882395
BCUTv-1l,14.70645852434324
BalabanJ,1.4496822747424525
Diameter,12
ETA_beta,33.0
GATS1are,0.9166031924552583
GATS2are,1.4072647129577927
GATS3are,1.0943324921338227
GATS4are,0.8968764223652645
GATS5are,0.7196145759826567
GATS6are,0.8321377155790354
GATS7are,1.0062664460224071
GATS8are,1.4629309400003396
HybRatio,0.2
Lipinski,True
LogEE_Dt,271.61637769430234
MATS1are,0.05258556365099731
MATS2are,-0.1407513426998658
MATS3are,-0.08538872715590919
MATS4are,-0.02690838312222305
MATS5are,0.05027791879050765
MATS6are,0.05091492435738674
MATS7are,0.06255502133368332
MATS8are,-0.17722635265071857
MAXsssCH,0.12112811791383171
MINsssCH,0.12112811791383171
NsssssAs,0
RotRatio,0.1111111111111111
SM1_Dzpe,0.7422735618115056
SM1_Dzse,0.6692837795551935
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,0.0
SMR_VSA5,6.041840829147961
SMR_VSA6,31.421839841488723
SMR_VSA7,72.05152667431302
SMR_VSA8,0.0
SMR_VSA9,11.436898107967467
SpAD_DzZ,172.66985170933958
SpAD_Dzi,168.29646827222635
SpAD_Dzm,172.70367872219066
SpAD_Dzp,236.6816669798411
SpAD_Dzv,212.85600937521815
SpAbs_Dt,543.8511454415161
SpDiam_A,4.998962257445587
SpDiam_D,165.35586219682327
SpMAD_Dt,22.6604643933965
SpMax_Dt,271.61637769430234
SsssssAs,0
VE1_Dzpe,4.816153042214413
VE1_Dzse,4.815614388369803
VE2_Dzpe,0.20067304342560055
VE2_Dzse,0.20065059951540845
VE3_Dzpe,2.4474442227239557
VE3_Dzse,2.447332373294647
VMcGowan,250.63
VR1_Dzpe,143.02867977824476
VR1_Dzse,143.06956513655962
VR2_Dzpe,5.959528324093532
VR2_Dzse,5.961231880689984
VR3_Dzpe,5.838513905394586
VR3_Dzse,5.838799718812319
mZagreb1,7.0
mZagreb2,5.250000000000001
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,1
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,8
nBondsKS,40
nFAHRing,1
nFaHRing,0
nG12Ring,0
AATSC0are,0.07951772839506166
AATSC1are,0.004181484567901231
AATSC2are,-0.011192227040048174
AATSC3are,-0.0067899176139836126
AATSC4are,-0.0021396935006631934
AATSC5are,0.003997985890652554
AATSC6are,0.0040486391263057885
AATSC7are,0.004974233196159117
AATSC8are,-0.014092636974527254
AETA_beta,1.375
BCUTdv-1h,6.0074608465926005
BCUTdv-1l,0.9943824900977942
BCUTpe-1h,3.4650068967228718
BCUTpe-1l,2.2405463938461256
BCUTse-1h,3.678502894257612
BCUTse-1l,2.4362719496531735
ETA_alpha,11.533333333333333
ETA_dBeta,1.0
ETA_eta_B,0.24517846677707666
ETA_eta_F,23.48462678815225
ETA_eta_L,4.891797400396516
ETA_eta_R,40.89461595203459
ETA_psi_1,0.6145648312611015
LabuteASA,141.84190182661018
LogEE_DzZ,86.33000197006895
LogEE_Dzi,84.11465560625717
LogEE_Dzm,86.34694008968648
LogEE_Dzp,117.79149188181957
LogEE_Dzv,106.1453029453615
PEOE_VSA1,19.520660936448213
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,41.96165390246666
PEOE_VSA8,37.73986887496109
PEOE_VSA9,24.526410919792617
SM1_Dzare,0.8427175430432758
SpAD_Dzpe,171.33462866198576
SpAD_Dzse,172.86269174079115
SpAbs_DzZ,172.1043755188635
SpAbs_Dzi,167.5890658203504
SpAbs_Dzm,172.13970696006962
SpAbs_Dzp,238.2198234825238
SpAbs_Dzv,213.64757425351144
SpDiam_Dt,368.5237272868277
SpMAD_DzZ,7.194577154555816
SpMAD_Dzi,7.012352844676098
SpMAD_Dzm,7.195986613424611
SpMAD_Dzp,9.861736124160046
SpMAD_Dzv,8.86900039063409
SpMax_DzZ,86.33000197006895
SpMax_Dzi,84.11465560625717
SpMax_Dzm,86.34694008968648
SpMax_Dzp,117.79149188181957
SpMax_Dzv,106.1453029453615
VE1_Dzare,4.81718576204657
VE2_Dzare,0.2007160734186071
VE3_Dzare,2.4476586281044983
VR1_Dzare,142.93994022423365
VR2_Dzare,5.955830842676402
VR3_Dzare,5.83789328095783
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,17
nAromBond,17
nG12ARing,0
nG12FRing,1
nG12HRing,0
nG12aRing,0
AETA_alpha,0.48055555555555557
AETA_dBeta,0.041666666666666664
AETA_eta_B,0.010215769449044862
AETA_eta_F,0.9785261161730104
AETA_eta_L,0.20382489168318818
AETA_eta_R,1.7039423313347746
BCUTare-1h,3.522235593603274
BCUTare-1l,2.1909819973362588
ETA_beta_s,16.0
ETA_dPsi_A,0.09943516873889846
ETA_dPsi_B,0.0
ETA_eta_BR,0.5891784667770766
ETA_eta_FL,6.777237695199503
ETA_eta_RL,11.66903509559602
LogEE_Dzpe,85.65858602905107
LogEE_Dzse,86.42691753359576
PEOE_VSA10,5.749511833283905
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
SlogP_VSA1,14.953561288656857
SlogP_VSA2,25.77224115442327
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,17.299220315693418
SlogP_VSA6,60.794147187767564
SlogP_VSA7,0.0
SlogP_VSA8,5.687386274683562
SlogP_VSA9,0.0
SpAD_Dzare,169.34114406784127
SpAbs_Dzpe,170.71606736047633
SpAbs_Dzse,172.3049552578285
SpDiam_DzZ,127.96654058399187
SpDiam_Dzi,124.45509994579328
SpDiam_Dzm,127.98946092761139
SpDiam_Dzp,171.1179526382219
SpDiam_Dzv,155.59842865935138
SpMAD_Dzpe,7.138942860916074
SpMAD_Dzse,7.202612155866298
SpMax_Dzpe,85.65858602905107
SpMax_Dzse,86.42691753359576
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,1
nG12FHRing,1
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,24
AETA_beta_s,0.6666666666666666
AETA_eta_BR,0.024549102782378193
AETA_eta_FL,0.28238490396664595
AETA_eta_RL,0.48620979564983413
DetourIndex,3224
EState_VSA1,0.0
EState_VSA2,6.041840829147961
EState_VSA3,0.0
EState_VSA4,17.12428438265103
EState_VSA5,16.944765761229018
EState_VSA6,7.109797541277533
EState_VSA7,6.06636706846161
EState_VSA8,83.6069220673085
EState_VSA9,4.736862953800049
ETA_beta_ns,17.0
ETA_shape_p,0.13005780346820808
ETA_shape_x,0.0
ETA_shape_y,0.37283236994219654
GhoseFilter,True
LogEE_Dzare,84.65765234981828
SlogP_VSA10,11.374772549367124
SlogP_VSA11,5.749511833283905
SpAbs_Dzare,168.63887944863856
SpDiam_Dzpe,126.99714006209402
SpDiam_Dzse,128.10582409118146
SpMAD_Dzare,7.05588100282672
SpMax_Dzare,84.65765234981828
TopoPSA(NO),29.43
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,2.245830498866213
VSA_EState9,45.08750283446713
nBridgehead,0
nG12FAHRing,1
nG12FaHRing,0
AETA_beta_ns,0.7083333333333334
EState_VSA10,0.0
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.019444444444444448
FilterItLogS,-4.613916566051589
SpDiam_Dzare,125.5960676955967
ETA_beta_ns_d,1.0
ETA_epsilon_1,0.5570370370370372
ETA_epsilon_2,0.7819444444444441
ETA_epsilon_3,0.4454545454545458
ETA_epsilon_4,0.4896174863387981
ETA_epsilon_5,0.7626666666666664
AETA_beta_ns_d,0.041666666666666664
ETA_dEpsilon_A,0.1115824915824914
ETA_dEpsilon_B,0.06741955069823913
ETA_dEpsilon_C,-0.044162940884252266
ETA_dEpsilon_D,0.019277777777777727
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.7916666666666666
MDEDescriptor,"0.454280148208035,4.808484549951383,3.620855194745908,0.0,11.581950073260119,22.25089501518495,0.0,7.0002999783690605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47140452079103173,0.14285714285714285"
APolDescriptor,53.30465299999999
BCUTDescriptor,"11.994297725063259,15.994921199313563,-0.348684201237927,0.07985316902834033,4.899241079104675,11.4148396962457"
BPolDescriptor,29.493346999999993
TPSADescriptor,29.43
ALOGPDescriptor,"4.445200000000001,19.759803040000005,99.2165"
XLogPDescriptor,4.726
VAdjMaDescriptor,5.754887502163469
WeightDescriptor,319.16846246
ChiPathDescriptor,"16.681433796945207,11.669035095596021,10.58830702648857,9.39164449479184,7.9769114303255275,6.544822497844983,5.129754657038898,4.079020844421997,14.153528442549666,8.066587191497232,6.249445001768187,4.581976571507533,3.265008261911033,2.264508293079749,1.491211070568074,0.9915471561943136"
ChiChainDescriptor,"0.0,0.0,0.11785113019775793,0.33281839972791627,0.6002991747223532,0.0,0.0,0.04303314829119352,0.1143332434988042,0.16685265405227281"
AtomCountDescriptor,45
BondCountDescriptor,27
SmallRingDescriptor,"4,3,2,3,0,0,1,3,0,0,0"
ChiClusterDescriptor,"1.5817885325170824,0.0,0.46941609682128765,0.0,0.8103814350298668,0.0,0.17601013404931892,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,1,14,1,0,1,0,0"
ZagrebIndexDescriptor,132.0
LargestChainDescriptor,13
MannholdLogPDescriptor,3.22
WeightedPathDescriptor,"49.80704991094236,2.075293746289265,12.621206812325648,2.8045215684452502,9.816685243880395"
FractionalPSADescriptor,0.09220835847366446
WienerNumbersDescriptor,"1305.0,41.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"4.163955181664817,6.545970330370579,9.225588673203879,1.742639039393833,2.2453559133606276,2.6421837314418495"
FractionalCSP3Descriptor,0.2
KierHallSmartsDescriptor,"0,0,0,0,0,0,3,0,0,0,0,10,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,1
LargestPiSystemDescriptor,13
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"17.415637860082306,7.3188691650230115,3.36"
AromaticAtomsCountDescriptor,17
AromaticBondsCountDescriptor,17
FragmentComplexityDescriptor,1752.04
HBondAcceptorCountDescriptor,2
HybridizationRatioDescriptor,0.2
AutocorrelationDescriptorMass,"25.854409939370388,28.993639419708703,41.49218521925001,43.68598358734605,40.38119097282318"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,3
AutocorrelationDescriptorCharge,"0.3407870875997636,-0.19411477339382682,-0.03612895220919795,0.035050620619816085,0.04331863008678569"
EccentricConnectivityIndexDescriptor,480
AutocorrelationDescriptorPolarizability,"1829.35591091125,2207.157121888055,3234.5397626882695,3330.4521752550654,2963.6354047711857"
