DLiP-ID,I000FS
AATSC4c,0.0023640837764179507
AATSC4d,-0.018065154649129552
AATSC4i,0.013143742810016252
AATSC4m,1.807787211385243
AATSC4p,0.005065783524101764
AATSC4s,0.13494566878527448
AATSC4v,1.7627590319223823
AATSC5Z,-1.151516439909297
AATSC5c,-0.0012974845169279995
AATSC5d,0.05196680524061477
AATSC5i,-0.16190847382145251
AATSC5m,-5.027284547003338
AATSC5p,-0.02283447980893376
AATSC5s,-0.18335315105821842
AATSC5v,-2.042788007828243
AATSC6Z,0.5735677918966328
AATSC6c,-0.0029869078967958915
AATSC6d,0.002804755724791673
AATSC6i,0.026964653251396627
AATSC6m,2.6364377578640106
AATSC6p,0.020120937040514316
AATSC6s,-0.299282095087251
AATSC6v,4.044413943677072
AATSC7Z,-0.6553770444347949
AATSC7c,0.005525803305618855
AATSC7d,-0.13757149826045464
AATSC7i,0.05006881144965257
AATSC7m,-2.9097653468154765
AATSC7p,-0.027069634731241136
AATSC7s,0.34889233725294205
AATSC7v,-4.123896070389432
AATSC8Z,-2.9463195534624096
AATSC8c,-0.002260993805536689
AATSC8d,-0.10064054111673158
AATSC8i,-0.09298701432177564
AATSC8m,-13.620417352210398
AATSC8p,-0.023806949344922217
AATSC8s,-0.3451640715239744
AATSC8v,-9.600499677895751
ATS0are,385.0331999999999
ATS1are,418.6488
ATS2are,770.2169999999996
ATS3are,984.6238999999996
ATS4are,1013.9109999999998
ATS5are,987.0760000000002
ATS6are,979.2906000000002
ATS7are,899.7937999999999
ATS8are,962.9839999999997
ATSC0dv,239.59082892416225
ATSC0pe,7.542993650793646
ATSC0se,4.896170888888889
ATSC1dv,56.78668010414042
ATSC1pe,0.6606463340892101
ATSC1se,0.6842057037036979
ATSC2dv,71.92407827328462
ATSC2pe,1.4200679516251182
ATSC2se,0.8463868518518435
ATSC3dv,-6.087175610985125
ATSC3pe,-1.2082360544217559
ATSC3se,-0.8225398888888938
ATSC4dv,58.022899694857365
ATSC4pe,1.8179501637692195
ATSC4se,0.9062136913580185
ATSC5dv,1.1608577587413667
ATSC5pe,-2.3702457797933767
ATSC5se,-2.3434792098765556
ATSC6dv,-64.02729486856467
ATSC6pe,-2.380937944066495
ATSC6se,-1.7793283703703828
ATSC7dv,5.801125388426999
ATSC7pe,5.116331670445993
ATSC7se,3.8667795185184994
ATSC8dv,-230.56353405559761
ATSC8pe,-6.382060468631865
ATSC8se,-3.6355278518518626
AXp-0dv,0.6171817455764818
AXp-1dv,0.36990720430904367
AXp-2dv,0.21012204117056274
AXp-3dv,0.12336545646291835
AXp-4dv,0.07295563374266648
AXp-5dv,0.041220173606728645
AXp-6dv,0.024387172580038766
AXp-7dv,0.01366361401434866
BertzCT,973.434993545108
ECIndex,715
ETA_eta,32.91117276412895
GATS1dv,0.6255895626662955
GATS1pe,0.684644777816808
GATS1se,0.6330054730586229
GATS2dv,0.8714646642373614
GATS2pe,0.8618597257257898
GATS2se,0.8649312126749066
GATS3dv,1.0314595888214932
GATS3pe,1.0550221406860998
GATS3se,1.0583264220368
GATS4dv,0.9770760875046328
GATS4pe,0.9763346714165724
GATS4se,1.0525765810312198
GATS5dv,1.13384568598728
GATS5pe,1.3297071380863057
GATS5se,1.5079013233084766
GATS6dv,1.3208169396873088
GATS6pe,1.3755026223677314
GATS6se,1.4991239207005622
GATS7dv,1.2050653922343746
GATS7pe,0.9408380531045804
GATS7se,1.0064661684486718
GATS8dv,1.4625183462965394
GATS8pe,1.478001223689328
GATS8se,1.5232816916754937
LogEE_A,4.367442742728388
LogEE_D,185.15079967646045
MATS1dv,0.22624182910311527
MATS1pe,0.08360300756724384
MATS1se,0.13339106401015574
MATS2dv,0.153758648475125
MATS2pe,0.09642748109500485
MATS2se,0.08854168423450257
MATS3dv,-0.009880323760542813
MATS3pe,-0.06229218775361608
MATS3se,-0.06533199733340661
MATS4dv,0.09135941649472974
MATS4pe,0.09092060348783881
MATS4se,0.06982293980356276
MATS5dv,0.0019077848036040447
MATS5pe,-0.12372863070028509
MATS5se,-0.18846256795957064
MATS6dv,-0.10588596244637451
MATS6pe,-0.1250684475971015
MATS6se,-0.14399352421857622
MATS7dv,0.010818411566368962
MATS7pe,0.30306541930643177
MATS7se,0.3528696274790365
MATS8dv,-0.3886300525927169
MATS8pe,-0.34169067258851255
MATS8se,-0.29986574682325445
MAXaaCH,1.876259763164525
MAXaasC,0.8237806618285517
MAXsCH3,1.8558250886016177
MAXssNH,3.3319019983823583
MAXsssN,2.319129587594144
MDEC-11,0.25
MDEC-12,3.153662710770689
MDEC-13,4.234218006457536
MDEC-22,15.641933384797431
MDEC-23,17.902305447518245
MDEC-33,7.32232107540351
MDEN-22,0.30958087539055784
MDEN-23,0.5047172597219922
MDEO-11,0.4999999999999999
MDEO-12,0.7559289460184545
MDEO-22,0.14285714285714285
MINaaCH,1.684489953388763
MINaasC,0.17797298857814714
MINsCH3,1.831519533046062
MINssNH,2.8879094230284705
MINsssN,2.319129587594144
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,2.1964285714285716
SM1_Dzi,1.506634590074004
SM1_Dzm,2.192421732756463
SM1_Dzp,-5.977766399049397
SM1_Dzv,-2.71569755003435
SddssSe,0
SpAD_Dt,600.6705021191963
SpAbs_A,40.09284997798504
SpAbs_D,370.30159935292096
SpMAD_A,1.2933177412253236
SpMAD_D,11.945212882352287
SpMax_A,2.474842641749875
SpMax_D,185.15079967646045
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,105.08000000000001
TpiPC10,8.557323947085957
VAdjMat,6.087462841250339
VE1_DzZ,5.435943371341856
VE1_Dzi,5.458452947266445
VE1_Dzm,5.4359321275352395
VE1_Dzp,5.438969845632733
VE1_Dzv,5.444542792564291
VE2_DzZ,0.17535301197876954
VE2_Dzi,0.17607912733117564
VE2_Dzm,0.1753526492753303
VE2_Dzp,0.17545064018170106
VE2_Dzv,0.1756304126633642
VE3_DzZ,2.8244351903861227
VE3_Dzi,2.828567518107211
VE3_Dzm,2.8244331219653396
VE3_Dzp,2.8249917878152013
VE3_Dzv,2.826015896042737
VR1_DzZ,207.1247193844366
VR1_Dzi,205.31638946593196
VR1_Dzm,207.12554281677623
VR1_Dzp,206.745649003593
VR1_Dzv,206.5524765205628
VR2_DzZ,6.681442560788277
VR2_Dzi,6.623109337610709
VR2_Dzm,6.681469123121814
VR2_Dzp,6.669214483986871
VR2_Dzv,6.6629831135665425
VR3_DzZ,6.4647232324242925
VR3_Dzi,6.455954264116897
VR3_Dzm,6.464727207955099
VR3_Dzp,6.462891400450812
VR3_Dzv,6.461956615194519
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.16715934052678835
Xch-6dv,0.20918117737588715
Xch-7dv,0.2380483624505918
Xpc-4dv,2.704990527534545
Xpc-5dv,4.041254924275965
Xpc-6dv,4.930038548036538
Zagreb1,164.0
Zagreb2,192.0
fragCpx,226.09
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,1
n5FRing,0
n5HRing,1
n5aRing,1
n6ARing,1
n6FRing,0
n6HRing,1
n6aRing,1
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,11
nBondsD,2
nBondsM,13
nBondsO,34
nBondsS,53
nBondsT,0
nFARing,0
nFHRing,0
nFaRing,0
nHetero,9
naHRing,1
AATS0are,6.111638095238094
AATS1are,6.343163636363636
AATS2are,6.2619268292682895
AATS3are,6.077925308641973
AATS4are,6.071323353293412
AATS5are,6.169225000000002
AATS6are,6.159060377358491
AATS7are,6.381516312056737
AATS8are,6.172974358974357
AATSC0dv,3.803029030542258
AATSC0pe,0.11973005794910549
AATSC0se,0.07771699823633157
AATSC1dv,0.8604042440021277
AATSC1pe,0.010009792940745608
AATSC1se,0.010366753086419666
AATSC2dv,0.5847486038478424
AATSC2pe,0.011545267899391205
AATSC2se,0.006881193917494663
AATSC3dv,-0.03757515809250077
AATSC3pe,-0.0074582472495170115
AATSC3se,-0.0050774067215363814
AATSC4dv,0.34744251314285846
AATSC4pe,0.010885929124366584
AATSC4se,0.005426429289568973
AATSC5dv,0.007255360992133542
AATSC5pe,-0.014814036123708605
AATSC5se,-0.014646745061728472
AATSC6dv,-0.4026873891104696
AATSC6pe,-0.014974452478405629
AATSC6se,-0.011190744467738257
AATSC7dv,0.04114273325125531
AATSC7pe,0.03628604021592902
AATSC7se,0.02742396821644326
AATSC8dv,-1.4779713721512668
AATSC8pe,-0.04091064402969144
AATSC8se,-0.02330466571699912
AETA_eta,1.0616507343267403
ATSC0are,8.001860317460315
ATSC1are,0.394146334089209
ATSC2are,1.4785552532124207
ATSC3are,-1.4784963718820725
ATSC4are,1.9060369362559935
ATSC5are,-2.7025214411690346
ATSC6are,-2.9931617535902992
ATSC7are,6.277566591080915
ATSC8are,-6.3317811035525
BCUTZ-1h,16.013123568636956
BCUTZ-1l,5.686034244080416
BCUTc-1h,0.4616334713343056
BCUTc-1l,-0.521295439315792
BCUTd-1h,4.043950097493161
BCUTd-1l,0.971604579097971
BCUTi-1h,14.565161556409201
BCUTi-1l,10.319764546784082
BCUTm-1h,32.066544353577555
BCUTm-1l,11.69762308086451
BCUTp-1h,2.954587773510059
BCUTp-1l,0.7157120204889512
BCUTs-1h,7.014209518386805
BCUTs-1l,0.29891710219726725
BCUTv-1h,24.441833133217195
BCUTv-1l,14.681697103304199
BalabanJ,1.3961677870742613
Diameter,13
ETA_beta,33.75
GATS1are,0.7232062576646138
GATS2are,0.8746014984939718
GATS3are,1.0695574582876977
GATS4are,0.9859791039657058
GATS5are,1.3631429370491626
GATS6are,1.42543456763401
GATS7are,0.9278439912258837
GATS8are,1.478167485350934
HybRatio,0.5909090909090909
Lipinski,True
LogEE_Dt,300.33525105959814
MATS1are,0.04701789042851216
MATS2are,0.09464159060341007
MATS3are,-0.07185464235521181
MATS4are,0.0898595883494087
MATS5are,-0.13298380317116612
MATS6are,-0.148211753813641
MATS7are,0.3505272608762345
MATS8are,-0.31955887058985954
MAXddssS,-3.7185257884017804
MAXssCH2,1.0559064169489853
MAXsssCH,-0.012573861207068937
MINddssS,-3.7185257884017804
MINssCH2,0.44108796296296293
MINsssCH,-0.012573861207068937
NsssssAs,0
RotRatio,0.23529411764705882
SM1_Dzpe,1.69124847001224
SM1_Dzse,1.6263872774837143
SMR_VSA1,17.677754875102334
SMR_VSA2,0.0
SMR_VSA3,20.09545645643434
SMR_VSA4,0.0
SMR_VSA5,50.46808519575103
SMR_VSA6,39.33066399407579
SMR_VSA7,29.653276619107732
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
SpAD_DzZ,277.0144471783704
SpAD_Dzi,304.37475896241205
SpAD_Dzm,277.0674368682429
SpAD_Dzp,415.2050733321166
SpAD_Dzv,373.85215957299545
SpAbs_Dt,600.6705021191963
SpDiam_A,4.920722970275719
SpDiam_D,256.1697328440933
SpMAD_Dt,19.376467810296653
SpMax_Dt,300.33525105959814
SsssssAs,0
VE1_Dzpe,5.452997769782761
VE1_Dzse,5.4513301331196855
VE2_Dzpe,0.17590315386396002
VE2_Dzse,0.17584935913289307
VE3_Dzpe,2.827567618445901
VE3_Dzse,2.8272617515110605
VMcGowan,335.65000000000117
VR1_Dzpe,205.7478412924087
VR1_Dzse,205.8858187699566
VR2_Dzpe,6.637027138464797
VR2_Dzse,6.641478024837309
VR3_Dzpe,6.458053459097291
VR3_Dzse,6.458723848796202
mZagreb1,9.45138888888889
mZagreb2,6.736111111111112
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,1
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,7
nBondsKS,59
nFAHRing,0
nFaHRing,0
nG12Ring,0
AATSC0are,0.1270136558327034
AATSC1are,0.0059719141528668035
AATSC2are,0.012020774416361143
AATSC3are,-0.009126520814086866
AATSC4are,0.0114133948278802
AATSC5are,-0.016890759007306466
AATSC6are,-0.018824916689247163
AATSC7are,0.04452174887291429
AATSC8are,-0.040588340407387825
AETA_beta,1.0887096774193548
BCUTdv-1h,6.033548964519007
BCUTdv-1l,0.644230109104079
BCUTpe-1h,3.5372542619984033
BCUTpe-1l,2.230409049030037
BCUTse-1h,3.768397259749655
BCUTse-1l,2.428499364758672
ETA_alpha,14.76666666666667
ETA_dBeta,-6.75
ETA_eta_B,0.47672338944220627
ETA_eta_F,26.61705195855928
ETA_eta_L,8.80650770990963
ETA_eta_R,59.52822472268823
ETA_psi_1,0.5544430538172719
LabuteASA,183.92029521579255
LogEE_DzZ,138.16327960473464
LogEE_Dzi,152.13333602268102
LogEE_Dzm,138.18945182651575
LogEE_Dzp,206.66690014773863
LogEE_Dzv,186.5756671993965
PEOE_VSA1,14.576746494779727
PEOE_VSA2,4.899909730850478
PEOE_VSA3,13.139891848781026
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.064673571439076
PEOE_VSA7,44.38530327385348
PEOE_VSA8,44.32907435040783
PEOE_VSA9,5.693927994848461
SM1_Dzare,1.8609379886947037
SpAD_Dzpe,300.8450353661711
SpAD_Dzse,300.60125667821194
SpAbs_DzZ,275.24313381431506
SpAbs_Dzi,303.0625288355733
SpAbs_Dzm,275.2993548256973
SpAbs_Dzp,419.3115666945265
SpAbs_Dzv,375.86703194882756
SpDiam_Dt,406.4992806065676
SpMAD_DzZ,8.93594990897969
SpMAD_Dzi,9.818540611690711
SpMAD_Dzm,8.937659253814287
SpMAD_Dzp,13.393712042971504
SpMAD_Dzv,12.059747082999854
SpMax_DzZ,138.16327960473464
SpMax_Dzi,152.13333602268102
SpMax_Dzm,138.18945182651575
SpMax_Dzp,206.66690014773863
SpMax_Dzv,186.5756671993965
VE1_Dzare,5.453970526042984
VE2_Dzare,0.1759345330981608
VE3_Dzare,2.827745991800699
VR1_Dzare,205.65813748681367
VR2_Dzare,6.63413346731657
VR3_Dzare,6.457617374977742
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,11
nAromBond,11
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.47634408602150546
AETA_dBeta,-0.21774193548387097
AETA_eta_B,0.015378173852974396
AETA_eta_F,0.8586145793083638
AETA_eta_L,0.2840808938680526
AETA_eta_R,1.9202653136351042
BCUTare-1h,3.5814665603967395
BCUTare-1l,2.1779729713121703
ETA_beta_s,20.25
ETA_dPsi_A,0.1595569461827281
ETA_dPsi_B,0.0
ETA_eta_BR,0.8207233894422062
ETA_eta_FL,6.13098246302126
ETA_eta_RL,14.93749017293089
LogEE_Dzpe,150.42365396168537
LogEE_Dzse,150.3116610095798
PEOE_VSA10,23.01212469218904
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
SlogP_VSA1,14.775746422258468
SlogP_VSA2,63.846874795528606
SlogP_VSA3,10.023291153407584
SlogP_VSA4,13.847474399381248
SlogP_VSA5,37.137461905426946
SlogP_VSA6,27.617679617875954
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
SpAD_Dzare,298.7456289083782
SpAbs_Dzpe,299.37201250519274
SpAbs_Dzse,299.1847258236295
SpDiam_DzZ,194.79432709055482
SpDiam_Dzi,210.0951540541206
SpDiam_Dzm,194.84189257689383
SpDiam_Dzp,305.4718524377159
SpDiam_Dzv,265.90190395752046
SpMAD_Dzpe,9.704678560199067
SpMAD_Dzse,9.696814731555223
SpMax_Dzpe,150.42365396168537
SpMax_Dzse,150.3116610095798
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,31
AETA_beta_s,0.6532258064516129
AETA_eta_BR,0.02647494804652278
AETA_eta_FL,0.19777362783939548
AETA_eta_RL,0.481854521707448
DetourIndex,4481
EState_VSA1,10.023291153407584
EState_VSA2,10.937324304665736
EState_VSA3,18.116641216671265
EState_VSA4,75.22789949950938
EState_VSA5,0.0
EState_VSA6,12.13273413692322
EState_VSA7,19.913841467842857
EState_VSA8,20.09545645643434
EState_VSA9,9.259957890773396
ETA_beta_ns,13.5
ETA_shape_p,0.11286681715575618
ETA_shape_x,0.0564334085778781
ETA_shape_y,0.2641083521444695
GhoseFilter,True
LogEE_Dzare,149.36839060719583
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SpAbs_Dzare,297.1248119504828
SpDiam_Dzpe,207.19883316286183
SpDiam_Dzse,207.527680272504
SpMAD_Dzare,9.636955771238005
SpMax_Dzare,149.36839060719583
TopoPSA(NO),96.70000000000002
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,31.921396028473467
VSA_EState9,40.04712975992832
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.43548387096774194
EState_VSA10,8.417796984328938
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.02365591397849454
FilterItLogS,-6.134435877368555
SpDiam_Dzare,205.23623642926154
ETA_beta_ns_d,0.5
ETA_epsilon_1,0.5751322751322745
ETA_epsilon_2,0.8591397849462362
ETA_epsilon_3,0.4425287356321833
ETA_epsilon_4,0.5441314553990602
ETA_epsilon_5,0.8252525252525249
AETA_beta_ns_d,0.016129032258064516
ETA_dEpsilon_A,0.13260353950009118
ETA_dEpsilon_B,0.031000819733214335
ETA_dEpsilon_C,-0.10160271976687685
ETA_dEpsilon_D,0.033887259693711314
PetitjeanIndex,0.46153846153846156
TopoShapeIndex,0.8571428571428571
CDK Descriptors
FMFDescriptor,0.8709677419354839
MDEDescriptor,"0.25,3.153662710770689,4.234218006457536,0.0,15.641933384797431,17.902305447518245,0.0,7.32232107540351,0.0,0.0,0.4999999999999999,0.7559289460184545,0.14285714285714285,0.0,0.0,0.0,0.30958087539055784,0.5047172597219922,0.0"
APolDescriptor,70.56537599999997
BCUTDescriptor,"11.85000000000001,31.972072577655677,-0.34289829440883274,0.24375550304349797,6.2602016748137235,13.056879170779354"
BPolDescriptor,48.590624
TPSADescriptor,105.08000000000001
ALOGPDescriptor,"0.16870000000000168,0.02845969000000057,113.06649999999999"
XLogPDescriptor,2.299
VAdjMaDescriptor,6.08746284125034
WeightDescriptor,448.21442676000004
ChiPathDescriptor,"21.846724214874857,14.937490172930893,13.827100518953058,11.175101956204104,9.573182983680462,6.745820599886645,4.292193099566614,3.5267736270291863,18.519879302841453,11.46377792914191,8.823268407646836,6.491661225926062,4.802131944052476,2.7253891342000856,1.5244546327301762,1.0401239618016827"
ChiChainDescriptor,"0.0,0.0,0.2405626121623441,0.5201711722613396,0.5305203194349501,0.0,0.0,0.16715934052678838,0.20918117737588718,0.17908600336429828"
AtomCountDescriptor,63
BondCountDescriptor,34
SmallRingDescriptor,"4,2,4,2,0,0,2,2,0,0,0"
ChiClusterDescriptor,"2.4924252015490467,0.20412414523193154,0.5561337577825364,0.08333333333333333,1.0363292686225174,0.025499585890087693,0.14590407887892734,0.007361096388933056"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,0,7,2,8,5,0,0"
ZagrebIndexDescriptor,164.0
LargestChainDescriptor,14
MannholdLogPDescriptor,2.8899999999999997
WeightedPathDescriptor,"63.258714121227115,2.040603681329907,26.998733494493347,11.093733441262536,12.401526155696217"
FractionalPSADescriptor,0.2344413604880816
WienerNumbersDescriptor,"2758.0,46.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"4.970057442512771,8.596785817927794,11.024618593480813,2.0411523264343243,2.934034815220221,2.937840640474941"
FractionalCSP3Descriptor,0.5909090909090909
KierHallSmartsDescriptor,"0,0,0,0,0,0,2,0,10,0,0,3,1,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,2
HBondDonorCountDescriptor,2
LargestPiSystemDescriptor,16
PetitjeanNumberDescriptor,0.46153846153846156
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"24.134948096885815,10.950520833333334,6.118626430801249"
AromaticAtomsCountDescriptor,11
AromaticBondsCountDescriptor,11
FragmentComplexityDescriptor,3426.09
HBondAcceptorCountDescriptor,5
HybridizationRatioDescriptor,0.5909090909090909
AutocorrelationDescriptorMass,"41.66555038571971,45.60905043960706,59.37548492537851,60.46699353861556,62.765612992719404"
PetitjeanShapeIndexDescriptor,"0.8571428571428571,NaN"
RotatableBondsCountDescriptor,8
AutocorrelationDescriptorCharge,"0.5938011850066731,-0.25386828035260367,-0.1388975993351737,0.09093765711277578,0.182063677543263"
EccentricConnectivityIndexDescriptor,715
AutocorrelationDescriptorPolarizability,"2388.4796804707776,2803.0978671470134,3974.6361695144637,3888.6896229798626,3856.783746244928"
