DLiP-ID,I000K1
AATSC4i,-0.030943489630036226
AATSC4m,-1.0832919153910432
AATSC4p,-0.002084483630251794
AATSC4s,-0.14120685311161496
AATSC4v,-0.23087504861809965
AATSC5Z,-0.20990016376921147
AATSC5c,0.0011036144032198069
AATSC5d,-0.03892274502393548
AATSC5i,0.06943501505684567
AATSC5m,-0.9354807420310486
AATSC5p,0.012348284700129239
AATSC5s,-0.018930894116906058
AATSC5v,1.1309175024592708
AATSC6Z,-0.8882005646855918
AATSC6c,0.0007772935300595942
AATSC6d,-0.09166660173042109
AATSC6i,-0.11707133037506386
AATSC6m,-4.256033654927916
AATSC6p,-0.02241894161927138
AATSC6s,-0.1160732143181824
AATSC6v,-5.978086632434279
AATSC7Z,-0.6847776147496039
AATSC7c,-0.001550110751798409
AATSC7d,-0.031504339627588945
AATSC7i,-0.12216013222802792
AATSC7m,-3.242629840306579
AATSC7p,-0.01983919056763086
AATSC7s,-0.08360552198087216
AATSC7v,-4.45186225895415
AATSC8Z,0.23501210208499737
AATSC8c,0.0012768192591749439
AATSC8d,0.03656537215553235
AATSC8i,0.09943487088446822
AATSC8m,1.1446829193808208
AATSC8p,0.005885547731814023
AATSC8s,-0.0481578799678551
AATSC8v,1.1867628661595995
ATS0are,387.0644999999999
ATS1are,418.191
ATS2are,762.5130000000001
ATS3are,1046.8397
ATS4are,1161.752
ATS5are,1185.1157999999994
ATS6are,1170.5017999999993
ATS7are,1304.6719999999998
ATS8are,1231.5549000000005
ATSC0dv,240.3174603174603
ATSC0pe,8.262431746031744
ATSC0se,4.981559746031743
ATSC1dv,83.31821617535901
ATSC1pe,-0.23191262282689162
ATSC1se,-0.3030221466364367
ATSC2dv,52.8722600151172
ATSC2pe,0.7085237339380367
ATSC2se,0.31209192441420536
ATSC3dv,-15.877551020408152
ATSC3pe,0.24657891156464118
ATSC3se,0.2541417687074782
ATSC4dv,-56.687578735197796
ATSC4pe,-1.94683066263541
ATSC4se,-1.488206472159241
ATSC5dv,-66.90400604686319
ATSC5pe,-1.1449777021919663
ATSC5se,-0.49997643235072986
ATSC6dv,-94.86646510456036
ATSC6pe,-1.8717279163517169
ATSC6se,-0.888892170319981
ATSC7dv,-41.57394809775763
ATSC7pe,-2.043855807508199
ATSC7se,-1.1384836805240548
ATSC8dv,66.3018392542202
ATSC8pe,1.2833333585285716
ATSC8se,0.7046221204333682
AXp-0dv,0.5979515382223489
AXp-1dv,0.32631763847186546
AXp-2dv,0.1821339168677877
AXp-3dv,0.09829245084689772
AXp-4dv,0.05278944158575845
AXp-5dv,0.02912764341645814
AXp-6dv,0.016705535008552694
AXp-7dv,0.009246037600627132
BertzCT,974.0275756265369
ECIndex,747
ETA_eta,35.466431640464286
GATS1dv,0.5081662063168009
GATS1pe,0.7118760497540179
GATS1se,0.7111938645511432
GATS2dv,0.8138286561201148
GATS2pe,0.7228611673287425
GATS2se,0.6914813141443846
GATS3dv,1.0266877563790586
GATS3pe,0.899528800973997
GATS3se,0.8850134717127656
GATS4dv,1.1324494194535215
GATS4pe,1.074240452916962
GATS4se,1.137395792402233
GATS5dv,1.1777606918758259
GATS5pe,1.1152236603256043
GATS5se,1.174940515299945
GATS6dv,1.0465967124705498
GATS6pe,0.9170239047746921
GATS6se,0.9143119505644083
GATS7dv,0.9584230440474129
GATS7pe,0.9209016318328347
GATS7se,0.9000017426389646
GATS8dv,0.8601773651292519
GATS8pe,0.9131431484456385
GATS8se,0.9072009615199736
LogEE_A,4.374561447600994
LogEE_D,176.63056571225533
MATS1dv,0.33094151555181933
MATS1pe,-0.02679249242542225
MATS1se,-0.058063824875096405
MATS2dv,0.112688081966685
MATS2pe,0.04392198464865018
MATS2se,0.032088737149576704
MATS3dv,-0.024341236181603266
MATS3pe,0.010994930420941126
MATS3se,0.018795554548843057
MATS4dv,-0.07821490648682475
MATS4pe,-0.07812809614206462
MATS4se,-0.09905691403149702
MATS5dv,-0.09134948811096434
MATS5pe,-0.0454703675721348
MATS5se,-0.032932409773016875
MATS6dv,-0.12819356112707517
MATS6pe,-0.07356540875561021
MATS6se,-0.05794587923265447
MATS7dv,-0.0493155884445029
MATS7pe,-0.07051648307588353
MATS7se,-0.0651492982405529
MATS8dv,0.0823755532877973
MATS8pe,0.046375616132262286
MATS8se,0.04223271715226949
MAXaaCH,1.9405869726346818
MAXaaNH,3.1806460512072956
MAXaaaC,0.9904688021647803
MAXaasC,1.1005904801467574
MAXdssC,-0.02894557823129218
MAXsCH3,1.9573740780372344
MAXssNH,3.57494456868555
MAXsssN,1.951069066515495
MDEC-11,1.2804902574870265
MDEC-12,3.176179859219251
MDEC-13,8.814478614135396
MDEC-22,5.496140450032395
MDEC-23,21.17311616574074
MDEC-33,17.16459133305411
MDEN-22,0.9318012782472668
MDEN-23,0.9867770726563803
MDEO-11,0.19999999999999996
MINaaCH,1.4765515110642204
MINaaNH,3.1806460512072956
MINaaaC,0.7663861068708308
MINaasC,-0.27101082542602817
MINdssC,-0.1758804476943283
MINsCH3,1.7255731386446853
MINssNH,2.9239052696205614
MINsssN,1.951069066515495
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,1.547619047619048
SM1_Dzi,1.826219492561383
SM1_Dzm,1.5788210235257965
SM1_Dzp,-6.753702287450949
SM1_Dzv,-2.9412717626339027
SddssSe,0
SpAD_Dt,670.1484387877877
SpAbs_A,39.61349358413756
SpAbs_D,353.26113142451067
SpMAD_A,1.2778546317463728
SpMAD_D,11.395520368532603
SpMax_A,2.5541392975178927
SpMax_D,176.63056571225533
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,89.25999999999999
TpiPC10,8.589473154493271
VAdjMat,6.087462841250339
VE1_DzZ,5.484634908599377
VE1_Dzi,5.484797459737299
VE1_Dzm,5.48487423558616
VE1_Dzp,5.4680947060866
VE1_Dzv,5.478908970546622
VE2_DzZ,0.17692370672901217
VE2_Dzi,0.17692895031410644
VE2_Dzm,0.17693142695439226
VE2_Dzp,0.17639015180924514
VE2_Dzv,0.17673899904989104
VE3_DzZ,2.833352641216156
VE3_Dzi,2.83338227832635
VE3_Dzm,2.8333962761652995
VE3_Dzp,2.8303323502625424
VE3_Dzv,2.8323080996634444
VR1_DzZ,204.5735111138541
VR1_Dzi,204.66891775164405
VR1_Dzm,204.54099022051528
VR1_Dzp,206.56092563154868
VR1_Dzv,205.25652498443785
VR2_DzZ,6.599145519801745
VR2_Dzi,6.60222315327884
VR2_Dzm,6.5980964587263
VR2_Dzp,6.663255665533828
VR2_Dzv,6.621178225304447
VR3_DzZ,6.452329489930385
VR3_Dzi,6.452795749696182
VR3_Dzm,6.452170508064422
VR3_Dzp,6.46199751975459
VR3_Dzv,6.455662649741904
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.17866137281832176
Xch-6dv,0.3166872530343875
Xch-7dv,0.46332477280063844
Xpc-4dv,2.9655343269081476
Xpc-5dv,4.141174037417011
Xpc-6dv,5.518028006731253
Zagreb1,168.0
Zagreb2,204.0
fragCpx,226.08
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,2
n5FRing,0
n5HRing,3
n5aRing,1
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,1
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,1
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,1
n9HRing,0
n9aRing,0
nAHRing,2
nBondsA,10
nBondsD,2
nBondsM,12
nBondsO,34
nBondsS,54
nBondsT,0
nFARing,1
nFHRing,2
nFaRing,1
nHetero,8
naHRing,1
AATS0are,6.14388095238095
AATS1are,6.336227272727272
AATS2are,6.1992926829268304
AATS3are,6.121869590643275
AATS4are,6.1144842105263155
AATS5are,6.172478124999997
AATS6are,6.033514432989687
AATS7are,5.903493212669682
AATS8are,5.836753080568723
AATSC0dv,3.8145628621819094
AATSC0pe,0.13114971025447214
AATSC0se,0.07907237692113878
AATSC1dv,1.2623972147781668
AATSC1pe,-0.0035138276185892672
AATSC1se,-0.004591244646006617
AATSC2dv,0.4298557724806276
AATSC2pe,0.005760355560471843
AATSC2se,0.0025373327188146777
AATSC3dv,-0.09285117555794241
AATSC3pe,0.0014419819389745099
AATSC3se,0.0014862091737279425
AATSC4dv,-0.2983556775536726
AATSC4pe,-0.010246477171765316
AATSC4se,-0.007832665642943373
AATSC5dv,-0.34845836482741244
AATSC5pe,-0.005963425532249825
AATSC5se,-0.0026040439184933845
AATSC6dv,-0.48900239744618745
AATSC6pe,-0.009648082043050087
AATSC6se,-0.004581918403711242
AATSC7dv,-0.18811741220704808
AATSC7pe,-0.009248216323566512
AATSC7se,-0.005151509866624682
AATSC8dv,0.3142267263233185
AATSC8pe,0.006082148618618823
AATSC8se,0.003339441329068096
AETA_eta,1.144078440014977
ATSC0are,8.907
ATSC1are,-0.39149999999998447
ATSC2are,0.6120000000000158
ATSC3are,0.37120000000001374
ATSC4are,-2.2919999999999825
ATSC5are,-1.1496999999999762
ATSC6are,-1.7496999999999936
ATSC7are,-2.15800000000001
ATSC8are,1.4833999999999739
BCUTZ-1h,9.004070238569497
BCUTZ-1l,5.67533233101152
BCUTc-1h,0.40551871728682454
BCUTc-1l,-0.40764570402666295
BCUTd-1h,3.2573555818979423
BCUTd-1l,0.9772464686194671
BCUTi-1h,17.424773354686494
BCUTi-1l,10.936389235794392
BCUTm-1h,19.000142640944638
BCUTm-1l,11.686921937549732
BCUTp-1h,2.011228637449165
BCUTp-1l,0.545856172414515
BCUTs-1h,8.00192097992385
BCUTs-1l,1.1636746877572421
BCUTv-1h,20.912058327199958
BCUTv-1l,13.304118968140617
BalabanJ,1.4708127935839859
Diameter,15
ETA_beta,32.0
GATS1are,0.7214728967002454
GATS2are,0.7239844244181745
GATS3are,0.893858500148053
GATS4are,1.0822678791961373
GATS5are,1.118619660098798
GATS6are,0.8964438371765975
GATS7are,0.9043944287044553
GATS8are,0.9009079072479863
HybRatio,0.5652173913043478
Lipinski,True
LogEE_Dt,335.0742193938938
MATS1are,-0.04195627545240043
MATS2are,0.03519292855441276
MATS3are,0.01535397942481724
MATS4are,-0.08532378436829631
MATS5are,-0.04235380178511195
MATS6are,-0.06379269635025828
MATS7are,-0.06906662968319728
MATS8are,0.049726159253836964
MAXssCH2,0.8844942575795749
MAXsssCH,0.22138353489543916
MINssCH2,0.662025830393886
MINsssCH,-0.5691066910515872
NsssssAs,0
RotRatio,0.17647058823529413
SM1_Dzpe,1.6826593955087557
SM1_Dzse,1.5118045659983017
SMR_VSA1,13.979489415818463
SMR_VSA2,0.0
SMR_VSA3,25.83425406381668
SMR_VSA4,5.917906046161393
SMR_VSA5,57.27730258475111
SMR_VSA6,20.13718479450234
SMR_VSA7,35.7766171097408
SMR_VSA8,0.0
SMR_VSA9,0.0
SpAD_DzZ,302.78028774394454
SpAD_Dzi,292.3464417128879
SpAD_Dzm,302.6627241113965
SpAD_Dzp,406.5684283795997
SpAD_Dzv,369.94148942331367
SpAbs_Dt,670.1484387877874
SpDiam_A,4.932895718666584
SpDiam_D,258.1220451311671
SpMAD_Dt,21.6176915737996
SpMax_Dt,335.0742193938938
SsssssAs,0
VE1_Dzpe,5.484749136797915
VE1_Dzse,5.484506549372213
VE2_Dzpe,0.17692739150961018
VE2_Dzse,0.17691956610878107
VE3_Dzpe,2.83337346794591
VE3_Dzse,2.833329237519948
VMcGowan,329.0900000000012
VR1_Dzpe,204.56406663412488
VR1_Dzse,204.5902253919431
VR2_Dzpe,6.5988408591653185
VR2_Dzse,6.599684690062681
VR3_Dzpe,6.452283322185135
VR3_Dzse,6.452411189634475
mZagreb1,11.194444444444443
mZagreb2,6.777777777777775
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,2
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,1
n8FHRing,1
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,1
n9FaRing,1
n9aHRing,0
nBondsKD,6
nBondsKS,60
nFAHRing,1
nFaHRing,1
nG12Ring,0
AATSC0are,0.14138095238095238
AATSC1are,-0.005931818181817946
AATSC2are,0.004975609756097689
AATSC3are,0.002170760233918209
AATSC4are,-0.01206315789473675
AATSC5are,-0.005988020833333209
AATSC6are,-0.00901907216494842
AATSC7are,-0.009764705882352988
AATSC8are,0.0070303317535543785
AETA_beta,1.032258064516129
BCUTdv-1h,7.004059889196803
BCUTdv-1l,0.9884956620596603
BCUTpe-1h,3.988675178918489
BCUTpe-1l,2.224325892869076
BCUTse-1h,4.009955741464443
BCUTse-1l,2.420144407548044
ETA_alpha,14.452380952380953
ETA_dBeta,-9.0
ETA_eta_B,0.6024440566852398
ETA_eta_F,26.491436155863482
ETA_eta_L,8.881600255792335
ETA_eta_R,61.95786779632777
ETA_psi_1,0.5485270196999822
LabuteASA,181.68269730517835
LogEE_DzZ,151.44006706705676
LogEE_Dzi,146.2321311626556
LogEE_Dzm,151.38229176613456
LogEE_Dzp,202.60230771900487
LogEE_Dzv,184.6861055088213
PEOE_VSA1,25.83425406381668
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,13.847474399381248
PEOE_VSA7,50.07268954853704
PEOE_VSA8,42.14902819082864
PEOE_VSA9,12.083681658295921
SM1_Dzare,1.8900112360825794
SpAD_Dzpe,300.2602603194913
SpAD_Dzse,303.21629821306726
SpAbs_DzZ,301.3325150864945
SpAbs_Dzi,290.6380428327498
SpAbs_Dzm,301.18576250874327
SpAbs_Dzp,411.9583177254608
SpAbs_Dzv,372.3134827802765
SpDiam_Dt,490.6308616171315
SpMAD_DzZ,9.767106056256276
SpMAD_Dzi,9.430530377835094
SpMAD_Dzm,9.763313681012791
SpMAD_Dzp,13.115110592890312
SpMAD_Dzv,11.933596433010118
SpMax_DzZ,151.44006706705676
SpMax_Dzi,146.2321311626556
SpMax_Dzm,151.38229176613456
SpMax_Dzp,202.60230771900487
SpMax_Dzv,184.6861055088213
VE1_Dzare,5.4847997795966235
VE2_Dzare,0.17692902514827819
VE3_Dzare,2.8333827012879724
VR1_Dzare,204.55106307598646
VR2_Dzare,6.59842138954795
VR3_Dzare,6.452219752997889
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,1
n8FaHRing,0
n9FAHRing,0
n9FaHRing,1
nAromAtom,9
nAromBond,10
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.4662058371735791
AETA_dBeta,-0.2903225806451613
AETA_eta_B,0.01943367924791096
AETA_eta_F,0.8545624566407575
AETA_eta_L,0.28650323405781725
AETA_eta_R,1.9986408966557345
BCUTare-1h,4.107722492609673
BCUTare-1l,2.174561059228207
ETA_beta_s,20.5
ETA_dPsi_A,0.16547298030001778
ETA_dPsi_B,0.0
ETA_eta_BR,0.9464440566852398
ETA_eta_FL,5.9301692498955205
ETA_eta_RL,14.811769505687856
LogEE_Dzpe,150.18440949508465
LogEE_Dzse,151.6569169957594
PEOE_VSA10,11.859061670193856
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
SlogP_VSA1,15.950365812018994
SlogP_VSA2,66.00279582159487
SlogP_VSA3,9.589074368143644
SlogP_VSA4,11.735126887207288
SlogP_VSA5,38.67339075985627
SlogP_VSA6,24.395944776997904
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
SpAD_Dzare,296.8604542818231
SpAbs_Dzpe,298.68615959466047
SpAbs_Dzse,301.80202942552035
SpDiam_DzZ,223.71743125653285
SpDiam_Dzi,215.59714920675992
SpDiam_Dzm,223.66925125136004
SpDiam_Dzp,300.32854257218446
SpDiam_Dzv,274.45998003362155
SpMAD_Dzpe,9.685814849015848
SpMAD_Dzse,9.781170910098943
SpMax_Dzpe,150.18440949508465
SpMax_Dzse,151.6569169957594
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,31
AETA_beta_s,0.6612903225806451
AETA_eta_BR,0.030530453441459347
AETA_eta_FL,0.1912957822546942
AETA_eta_RL,0.4777990163125115
DetourIndex,5052
EState_VSA1,6.041840829147961
EState_VSA2,47.59291487951557
EState_VSA3,6.544756405912575
EState_VSA4,29.431954452616637
EState_VSA5,12.13273413692322
EState_VSA6,20.037776250829424
EState_VSA7,24.944227701844802
EState_VSA8,20.9343443329662
EState_VSA9,0.0
ETA_beta_ns,11.5
ETA_shape_p,0.20428336079077428
ETA_shape_x,0.0
ETA_shape_y,0.442833607907743
GhoseFilter,True
LogEE_Dzare,148.49119524530127
SlogP_VSA10,4.39041504767482
SlogP_VSA11,0.0
SpAbs_Dzare,295.09237925452
SpDiam_Dzpe,221.80229138372425
SpDiam_Dzse,224.02946681224927
SpMAD_Dzare,9.576143686510422
SpMax_Dzare,148.49119524530127
TopoPSA(NO),89.25999999999999
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,13.63281982506605
VSA_EState9,58.86718017493396
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.3709677419354839
EState_VSA10,13.979489415818463
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.033794162826420886
FilterItLogS,-4.904401209741353
SpDiam_Dzare,219.2307991963702
ETA_beta_ns_d,0.5
ETA_epsilon_1,0.5705971277399844
ETA_epsilon_2,0.8499231950844851
ETA_epsilon_3,0.4425287356321833
ETA_epsilon_4,0.540107310529845
ETA_epsilon_5,0.7870748299319725
AETA_beta_ns_d,0.016129032258064516
ETA_dEpsilon_A,0.12806839210780108
ETA_dEpsilon_B,0.030489817210139436
ETA_dEpsilon_C,-0.09757857489766164
ETA_dEpsilon_D,0.06284836515251258
PetitjeanIndex,0.4666666666666667
TopoShapeIndex,0.875
CDK Descriptors
FMFDescriptor,0.5483870967741935
MDEDescriptor,"1.2804902574870265,3.176179859219251,8.814478614135396,0.0,5.496140450032395,21.17311616574074,0.0,17.16459133305411,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.9318012782472668,0.9867770726563803,0.0"
APolDescriptor,69.47837599999997
BCUTDescriptor,"11.889999999999995,18.99840820160891,-0.3118380846919457,0.2212054040607374,4.2286098411680335,11.707980067326174"
BPolDescriptor,42.72162399999999
TPSADescriptor,89.25999999999999
ALOGPDescriptor,"-0.06919999999999998,0.004788639999999998,112.75130000000001"
XLogPDescriptor,1.6500000000000004
VAdjMaDescriptor,6.08746284125034
WeightDescriptor,429.25400374000003
ChiPathDescriptor,"22.283728092517162,14.81176950568786,13.768709696740055,12.015084867113515,9.90213671719357,7.548388856108868,5.7627528983218905,4.208381242029392,18.536497684892815,11.094799708043425,9.106695843389378,6.880471559282844,5.014996950647048,3.3788066363091467,2.3554804362059323,1.5440882793047315"
ChiChainDescriptor,"0.0,0.0,0.28867513459481287,0.6179846864976635,1.060089174937763,0.0,0.0,0.17866137281832178,0.3166872530343875,0.46332477280063855"
AtomCountDescriptor,63
BondCountDescriptor,34
SmallRingDescriptor,"4,2,2,1,0,0,3,1,0,0,0"
ChiClusterDescriptor,"2.4107213403332692,0.0,0.7853141611542449,0.0,1.3763550560934665,0.0,0.31972458385370817,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,3,5,2,5,5,2,0"
ZagrebIndexDescriptor,168.0
LargestChainDescriptor,16
MannholdLogPDescriptor,3.11
WeightedPathDescriptor,"62.98851299888749,2.031887516093145,23.07411041451379,5.077542590880612,15.45154535917163"
FractionalPSADescriptor,0.20794214898940103
WienerNumbersDescriptor,"2640.0,52.0"
AminoAcidCountDescriptor,"2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0"
ChiPathClusterDescriptor,"6.139551353879427,9.708465422266244,13.303214197060093,2.9655343269081493,4.141174037417009,4.964543279973876"
FractionalCSP3Descriptor,0.5652173913043478
KierHallSmartsDescriptor,"0,0,0,0,0,0,4,0,3,0,0,4,6,0,0,2,2,2,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,2
HBondDonorCountDescriptor,4
LargestPiSystemDescriptor,9
PetitjeanNumberDescriptor,0.4666666666666667
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"24.134948096885815,10.092,4.8"
AromaticAtomsCountDescriptor,9
AromaticBondsCountDescriptor,10
FragmentComplexityDescriptor,3426.08
HBondAcceptorCountDescriptor,6
HybridizationRatioDescriptor,0.5652173913043478
AutocorrelationDescriptorMass,"35.85088371650694,37.07397033077519,55.427406369155335,58.83889547166066,58.90799112265934"
PetitjeanShapeIndexDescriptor,"0.875,NaN"
RotatableBondsCountDescriptor,8
AutocorrelationDescriptorCharge,"0.6222173376964356,-0.3047110218149434,-0.07269297933166015,0.23100460692926197,-0.29854726169781903"
EccentricConnectivityIndexDescriptor,747
AutocorrelationDescriptorPolarizability,"2309.5450026097433,2797.488573308654,4123.621524340665,4085.9580646310387,4030.403165819237"
