DLiP-ID,C101QY
AATSC4s,-0.19023722988116953
AATSC4v,-5.94082120500243
AATSC5Z,0.600103419878322
AATSC5c,0.0028619342386164218
AATSC5d,0.01983491123127111
AATSC5i,-0.18245309853453817
AATSC5m,2.6647950637903675
AATSC5p,-0.020018366256277842
AATSC5s,0.2041118622884166
AATSC5v,-1.3004265178647152
AATSC6Z,0.22292179823232663
AATSC6c,-0.000875633878507838
AATSC6d,0.04485701866462941
AATSC6i,0.04741934218815156
AATSC6m,1.1360606568424045
AATSC6p,0.02297669547167879
AATSC6s,-0.24568436242720681
AATSC6v,4.545776189568746
AATSC7Z,-0.14722522758440096
AATSC7c,1.5198861571124622e-06
AATSC7d,0.0062779527396269064
AATSC7i,0.2284465120607254
AATSC7m,-0.623060811631292
AATSC7p,0.010536359986772052
AATSC7s,0.1504647017340748
AATSC7v,0.8352870649027858
AATSC8Z,0.6076237048575424
AATSC8c,0.000779677980706214
AATSC8d,-0.03656722611288089
AATSC8i,0.07874041289978383
AATSC8m,2.9338628047981183
AATSC8p,0.017055726981082736
AATSC8s,0.012762388928256513
AATSC8v,4.96440366878944
ATS0are,380.10469999999987
ATS1are,406.562
ATS2are,680.1329999999998
ATS3are,896.8339
ATS4are,981.7769999999999
ATS5are,983.5658999999999
ATS6are,981.1319000000001
ATS7are,938.046
ATS8are,970.178
ATSC0dv,235.41935483870964
ATSC0pe,7.35658709677419
ATSC0se,4.487436193548388
ATSC1dv,66.09261186264311
ATSC1pe,-0.2512542143600294
ATSC1se,-0.21139007388137515
ATSC2dv,-2.7346514047866877
ATSC2pe,1.4505553590010498
ATSC2se,0.8871272018730482
ATSC3dv,-113.21331945889696
ATSC3pe,-1.2813438085327633
ATSC3se,-0.5450456170655595
ATSC4dv,-75.87929240374613
ATSC4pe,-3.03382778355878
ATSC4se,-1.714636373569202
ATSC5dv,62.68782518210199
ATSC5pe,2.2360016649323624
ATSC5se,1.1944490395421414
ATSC6dv,2.157127991675339
ATSC6pe,-1.7123993756503466
ATSC6se,-1.4563801061394457
ATSC7dv,30.63995837669096
ATSC7pe,0.5020540062435142
ATSC7se,0.6008064318418256
ATSC8dv,-30.31217481789803
ATSC8pe,-0.07201123829344985
ATSC8se,-0.4946644443288229
AXp-0dv,0.5682745557929922
AXp-1dv,0.3071236199373852
AXp-2dv,0.1680333594364058
AXp-3dv,0.09245778734607699
AXp-4dv,0.05083498024361762
AXp-5dv,0.027634011351810105
AXp-6dv,0.01589002686361985
AXp-7dv,0.008413092354260722
BertzCT,1307.9927847062916
ECIndex,832
ETA_eta,30.22431642457324
GATS1dv,0.5082583215633367
GATS1pe,0.6537197331565512
GATS1se,0.638453611947263
GATS2dv,0.8928862405842403
GATS2pe,0.5815004297895645
GATS2se,0.5456010403837857
GATS3dv,1.185526528191248
GATS3pe,1.0303835742219558
GATS3se,1.02552180638226
GATS4dv,1.1104803664409038
GATS4pe,1.1581656645629805
GATS4se,1.163497566979144
GATS5dv,0.9251732132679431
GATS5pe,0.9253900185486528
GATS5se,0.9725986547023896
GATS6dv,1.1323854116439047
GATS6pe,1.3572850600616162
GATS6se,1.5240559425225857
GATS7dv,0.9772472363833693
GATS7pe,1.043778532233545
GATS7se,1.0851805500482334
GATS8dv,1.0404224537523519
GATS8pe,0.858693730071368
GATS8se,0.9081125536588317
LogEE_A,4.449426905133403
LogEE_D,222.22669373398926
MATS1dv,0.26778674874043484
MATS1pe,-0.03257731647193294
MATS1se,-0.04493291943022917
MATS2dv,-0.00648826409308735
MATS2pe,0.11013532495092655
MATS2se,0.11042218089890576
MATS3dv,-0.2042180818914546
MATS3pe,-0.07396531776157961
MATS3se,-0.05157905713015635
MATS4dv,-0.1241214729126844
MATS4pe,-0.1588109181694957
MATS4se,-0.14714298411728038
MATS5dv,0.10128499782275004
MATS5pe,0.11561117806173443
MATS5se,0.10124496258515941
MATS6dv,0.003595574997138112
MATS6pe,-0.09134047847763925
MATS6se,-0.12735354957185596
MATS7dv,0.05343929843792823
MATS7pe,0.028021333443791797
MATS7se,0.05497320139249984
MATS8dv,-0.04897551560474592
MATS8pe,-0.0037232995946994765
MATS8se,-0.041929192037759924
MAXaaCH,1.9934465826563659
MAXaaNH,3.225717588939922
MAXaaaC,1.0151684857317074
MAXaasC,0.9552083301260168
MAXdssC,-0.2585573612160912
MAXsCH3,1.9393413000750108
MAXssNH,3.012257381717609
MDEC-11,0.25
MDEC-12,3.96064495084235
MDEC-13,4.384167407490789
MDEC-22,17.227941678632185
MDEC-23,31.874010802207025
MDEC-33,12.453303874092502
MDEN-22,0.6694329500821695
MDEO-11,0.19999999999999996
MINaaCH,1.373706380978935
MINaaNH,3.225717588939922
MINaaaC,0.9757751710599212
MINaasC,-0.3304637835303694
MINdssC,-0.27612344629209695
MINsCH3,1.9393413000750108
MINssNH,2.905194633408919
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,1.261904761904762
SM1_Dzi,1.3757203216460874
SM1_Dzm,1.2938206665614214
SM1_Dzp,-5.717338651087313
SM1_Dzv,-2.302622506147045
SddssSe,0
SpAD_Dt,715.8334519739105
SpAbs_A,43.85348103931111
SpAbs_D,444.4533874679786
SpMAD_A,1.2898082658620915
SpMAD_D,13.072158454940547
SpMax_A,2.420798629320181
SpMax_D,222.22669373398926
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,73.99000000000001
TpiPC10,8.477115548703678
VAdjMat,6.20945336562895
VE1_DzZ,5.749832331133063
VE1_Dzi,5.748331603666422
VE1_Dzm,5.750034928410939
VE1_Dzp,5.749830305977372
VE1_Dzv,5.755839658701243
VE2_DzZ,0.16911271562156066
VE2_Dzi,0.16906857657842417
VE2_Dzm,0.16911867436502762
VE2_Dzp,0.16911265605815798
VE2_Dzv,0.16928940172650714
VE3_DzZ,2.972946126203274
VE3_Dzi,2.972685088443911
VE3_Dzm,2.9729813609191753
VE3_Dzp,2.9729457739919516
VE3_Dzv,2.9739903638835017
VR1_DzZ,228.73746921163286
VR1_Dzi,229.0121057992707
VR1_Dzm,228.7085544851121
VR1_Dzp,229.2173852358257
VR1_Dzv,228.33536676704458
VR2_DzZ,6.727572623871555
VR2_Dzi,6.735650170566785
VR2_Dzm,6.726722190738592
VR2_Dzp,6.741687801053697
VR2_Dzv,6.715746081383664
VR3_DzZ,6.656350354874602
VR3_Dzi,6.65755029753139
VR3_Dzm,6.656223936783455
VR3_Dzp,6.658446265400345
VR3_Dzv,6.654590886725678
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.03608439182435161
Xch-6dv,0.14679400159244804
Xch-7dv,0.19833786463897948
Xpc-4dv,1.9430902859776937
Xpc-5dv,2.559471396602063
Xpc-6dv,2.966797224506128
Zagreb1,176.0
Zagreb2,204.0
fragCpx,247.06
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,1
n5aRing,1
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,3
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,1
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,22
nBondsD,2
nBondsM,24
nBondsO,37
nBondsS,41
nBondsT,0
nFARing,0
nFHRing,1
nFaRing,1
nHetero,6
naHRing,1
AATS0are,6.130720967741933
AATS1are,6.2548
AATS2are,6.127324324324323
AATS3are,6.142697945205479
AATS4are,6.097993788819875
AATS5are,6.034146625766871
AATS6are,6.209695569620254
AATS7are,6.212225165562915
AATS8are,5.95201226993865
AATSC0dv,3.7970863683662843
AATSC0pe,0.1186546305931321
AATSC0se,0.07237800312174819
AATSC1dv,1.0168094132714325
AATSC1pe,-0.0038654494516927604
AATSC1se,-0.003252154982790387
AATSC2dv,-0.02463649914222241
AATSC2pe,0.013068066297306755
AATSC2se,0.007992136953811244
AATSC3dv,-0.7754336949239518
AATSC3pe,-0.008776327455703859
AATSC3se,-0.0037331891579832845
AATSC4dv,-0.47129995281829895
AATSC4pe,-0.01884365082955764
AATSC4se,-0.010649915363783864
AATSC5dv,0.38458788455277293
AATSC5pe,0.013717801625351916
AATSC5se,0.007327908218049947
AATSC6dv,0.013652708808071767
AATSC6pe,-0.010837970731964219
AATSC6se,-0.009217595608477505
AATSC7dv,0.20291363163371495
AATSC7pe,0.0033248609685000937
AATSC7se,0.003978850541998845
AATSC8dv,-0.18596426268649097
AATSC8pe,-0.00044178673799662486
AATSC8se,-0.0030347511922013673
AETA_eta,0.8889504830756835
ATSC0are,7.900698387096768
ATSC1are,-0.3350999219562862
ATSC2are,1.5801948231009435
ATSC3are,-1.1660203954214232
ATSC4are,-3.2222200052029017
ATSC5are,2.2427123048907394
ATSC6are,-2.0798878251820825
ATSC7are,0.7474684443288411
ATSC8are,-0.4134812434963627
BCUTZ-1h,9.00407114881796
BCUTZ-1l,5.6761014456589995
BCUTc-1h,0.40528436515600097
BCUTc-1l,-0.363535144721235
BCUTd-1h,3.2422027575122323
BCUTd-1l,0.9772069935694461
BCUTi-1h,17.424773497504088
BCUTi-1l,10.937032731400473
BCUTm-1h,19.000143000052002
BCUTm-1l,11.68754387297424
BCUTp-1h,2.015669664037669
BCUTp-1l,0.545855499620874
BCUTs-1h,8.001921597757642
BCUTs-1l,1.2538231160479871
BCUTv-1h,20.91832468696825
BCUTv-1l,13.304119137194576
BalabanJ,1.3554294781514329
Diameter,14
ETA_beta,44.75
GATS1are,0.6550892154224078
GATS2are,0.5682013940906122
GATS3are,1.0257950886944114
GATS4are,1.1595233688327453
GATS5are,0.9341146331460033
GATS6are,1.3924113156135207
GATS7are,1.0437292581238948
GATS8are,0.8589477905391355
HybRatio,0.21428571428571427
Lipinski,False
LogEE_Dt,357.9167259869552
MATS1are,-0.04045639461875524
MATS2are,0.11171561036609774
MATS3are,-0.06267285773236968
MATS4are,-0.15705635730411308
MATS5are,0.10797225413938226
MATS6are,-0.10330207200568188
MATS7are,0.03884562580813963
MATS8are,-0.019906477441310542
MAXssCH2,0.3907929981374243
MAXsssCH,-0.7655354518350557
MINssCH2,0.15725245653817077
MINsssCH,-0.7655354518350557
NsssssAs,0
RotRatio,0.21621621621621623
SM1_Dzpe,1.360290974456124
SM1_Dzse,1.2312785797741315
SMR_VSA1,13.979489415818463
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,39.15178009730724
SMR_VSA6,5.316788604006331
SMR_VSA7,100.99790813252469
SMR_VSA8,0.0
SMR_VSA9,0.0
SpAD_DzZ,371.46525007155844
SpAD_Dzi,362.1519137007747
SpAD_Dzm,371.3406645344068
SpAD_Dzp,466.6117747604045
SpAD_Dzv,432.1789194434567
SpAbs_Dt,715.8334519739103
SpDiam_A,4.774054200386589
SpDiam_D,306.1673661988712
SpMAD_Dt,21.053925058056194
SpMax_Dt,357.9167259869552
SsssssAs,0
VE1_Dzpe,5.7494930248501595
VE1_Dzse,5.749790382665092
VE2_Dzpe,0.1691027360250047
VE2_Dzse,0.16911148184309094
VE3_Dzpe,2.9728871129529315
VE3_Dzse,2.9729388305781885
VMcGowan,353.78000000000134
VR1_Dzpe,228.77514969856733
VR1_Dzse,228.74537569972213
VR2_Dzpe,6.728680873487274
VR2_Dzse,6.727805167638886
VR3_Dzpe,6.656515073771796
VR3_Dzse,6.656384920053069
mZagreb1,10.722222222222221
mZagreb2,7.472222222222222
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,1
n9FaRing,1
n9aHRing,0
nBondsKD,12
nBondsKS,53
nFAHRing,0
nFaHRing,1
nG12Ring,0
AATSC0are,0.12743061914672207
AATSC1are,-0.005155383414712095
AATSC2are,0.014235989397305797
AATSC3are,-0.007986441064530296
AATSC4are,-0.020013788852191936
AATSC5are,0.013758971195648707
AATSC6are,-0.013163846994823307
AATSC7are,0.0049501221478731195
AATSC8are,-0.0025366947453764584
AETA_beta,1.3161764705882353
BCUTdv-1h,7.004061062329162
BCUTdv-1l,0.9950302600096809
BCUTpe-1h,3.988677685996498
BCUTpe-1l,2.225342770183892
BCUTse-1h,4.009958631078707
BCUTse-1l,2.4212237322713324
ETA_alpha,16.152380952380952
ETA_dBeta,3.25
ETA_eta_B,0.5123263214087643
ETA_eta_F,36.922792525847136
ETA_eta_L,7.388428593808418
ETA_eta_R,67.14710895042037
ETA_psi_1,0.5842232173613506
LabuteASA,197.94425736977723
LogEE_DzZ,185.76973988171758
LogEE_Dzi,181.11641921278868
LogEE_Dzm,185.7083858162199
LogEE_Dzp,232.12878824615487
LogEE_Dzv,215.61539038222747
PEOE_VSA1,15.617555728959871
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,60.72120319448007
PEOE_VSA8,35.62879802422971
PEOE_VSA9,0.0
SM1_Dzare,1.518675731196586
SpAD_Dzpe,369.20496739435123
SpAD_Dzse,371.8651309903581
SpAbs_DzZ,370.2775750015303
SpAbs_Dzi,360.85711810393127
SpAbs_Dzm,370.1229509658782
SpAbs_Dzp,469.9749151433971
SpAbs_Dzv,433.533403270602
SpDiam_Dt,463.04815309065793
SpMAD_DzZ,10.925448531516425
SpMAD_Dzi,10.651526873552196
SpMAD_Dzm,10.921784251011966
SpMAD_Dzp,13.723875728247192
SpMAD_Dzv,12.711144689513432
SpMax_DzZ,185.76973988171758
SpMax_Dzi,181.11641921278868
SpMax_Dzm,185.7083858162199
SpMax_Dzp,232.12878824615487
SpMax_Dzv,215.61539038222747
VE1_Dzare,5.748916861167049
VE2_Dzare,0.16908579003432497
VE3_Dzare,2.972786896716199
VR1_Dzare,228.8282511774178
VR2_Dzare,6.730242681688758
VR3_Dzare,6.656747158931073
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,1
nAromAtom,21
nAromBond,22
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.47507002801120446
AETA_dBeta,0.09558823529411764
AETA_eta_B,0.015068421217904833
AETA_eta_F,1.0859644860543276
AETA_eta_L,0.2173067233473064
AETA_eta_R,1.974914969130011
BCUTare-1h,4.107724550997528
BCUTare-1l,2.175532237923417
ETA_beta_s,20.75
ETA_dPsi_A,0.12977678263864934
ETA_dPsi_B,0.0
ETA_eta_BR,0.8563263214087643
ETA_eta_FL,9.013458647155915
ETA_eta_RL,16.40188724096433
LogEE_Dzpe,184.64249225524787
LogEE_Dzse,185.96877957105474
PEOE_VSA10,11.859061670193856
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,22.84017880879818
SlogP_VSA3,22.43071761399566
SlogP_VSA4,19.664695240427143
SlogP_VSA5,28.674627589713992
SlogP_VSA6,72.9268813246908
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
SpAD_Dzare,366.1565249867734
SpAbs_Dzpe,367.9246935360397
SpAbs_Dzse,370.7062805623353
SpDiam_DzZ,261.04491601407216
SpDiam_Dzi,253.77867418760118
SpDiam_Dzm,260.97900710201077
SpDiam_Dzp,330.9312294658454
SpDiam_Dzv,306.7867216760461
SpMAD_Dzpe,10.858969629245625
SpMAD_Dzse,10.937209735010534
SpMax_Dzpe,184.64249225524787
SpMax_Dzse,185.96877957105474
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,34
AETA_beta_s,0.6102941176470589
AETA_eta_BR,0.02518606827672836
AETA_eta_FL,0.2651017249163504
AETA_eta_RL,0.4824084482636568
DetourIndex,5802
EState_VSA1,6.041840829147961
EState_VSA2,24.052401922674918
EState_VSA3,12.841643245852019
EState_VSA4,38.844117173552604
EState_VSA5,12.13273413692322
EState_VSA6,12.13273413692322
EState_VSA7,62.508887450225586
EState_VSA8,15.617555728959871
EState_VSA9,0.0
ETA_beta_ns,24.0
ETA_shape_p,0.12087264150943394
ETA_shape_x,0.0
ETA_shape_y,0.3405070754716981
GhoseFilter,False
LogEE_Dzare,183.12292942665718
SlogP_VSA10,10.077801322358383
SlogP_VSA11,0.0
SpAbs_Dzare,364.72718312211794
SpDiam_Dzpe,259.320827825485
SpDiam_Dzse,261.3361836203991
SpMAD_Dzare,10.76930955843451
SpMax_Dzare,183.12292942665718
TopoPSA(NO),73.99000000000001
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,13.46267802751052
VSA_EState9,66.5373219724895
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.7058823529411765
EState_VSA10,13.979489415818463
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.024929971988795534
FilterItLogS,-8.685860061776962
SpDiam_Dzare,257.0099183879618
ETA_beta_ns_d,1.0
ETA_epsilon_1,0.5814132104454679
ETA_epsilon_2,0.8131652661064422
ETA_epsilon_3,0.4416666666666657
ETA_epsilon_4,0.5127758420441335
ETA_epsilon_5,0.7715572715572713
AETA_beta_ns_d,0.029411764705882353
ETA_dEpsilon_A,0.1397465437788022
ETA_dEpsilon_B,0.06863736840133439
ETA_dEpsilon_C,-0.0711091753774678
ETA_dEpsilon_D,0.04160799454917097
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.8529411764705882
MDEDescriptor,"0.25,3.96064495084235,4.384167407490789,0.0,17.227941678632185,31.874010802207025,0.0,12.453303874092502,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.6694329500821695,0.0,0.0"
APolDescriptor,73.41120399999998
BCUTDescriptor,"11.849999999999996,18.998408520611,-0.2814799308323625,0.22206772735798128,4.1694499794622315,11.046034792226862"
BPolDescriptor,35.70879599999999
TPSADescriptor,73.99000000000001
ALOGPDescriptor,"5.359000000000001,28.71888100000001,130.4645"
XLogPDescriptor,4.838
VAdjMaDescriptor,6.20945336562895
WeightDescriptor,457.21655558000003
ChiPathDescriptor,"24.078775022443736,16.401887240964335,14.859942624510296,12.134371880942034,9.913914220216839,7.773192426782867,4.913232421755794,3.3372212213044365,19.321334896961737,11.36357393768325,8.569701331256695,6.009756177495001,4.168468379976645,2.68049910112558,1.5095525520438857,0.8665485124888535"
ChiChainDescriptor,"0.0,0.0,0.09622504486493763,0.4388321936425753,0.7133385941122465,0.0,0.0,0.036084391824351615,0.14679400159244804,0.19833786463897943"
AtomCountDescriptor,62
BondCountDescriptor,37
SmallRingDescriptor,"4,4,3,3,0,0,1,3,0,0,0"
ChiClusterDescriptor,"2.260746722584014,0.0,0.4463839834155875,0.0,1.0115764049043623,0.0,0.14329823286480936,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,3,14,5,2,4,0,0"
ZagrebIndexDescriptor,176.0
LargestChainDescriptor,15
MannholdLogPDescriptor,3.88
WeightedPathDescriptor,"69.31185622816506,2.038584006710737,16.881946361747293,5.119944477867617,9.239620665042565"
FractionalPSADescriptor,0.16182703600078593
WienerNumbersDescriptor,"3650.0,51.0"
AminoAcidCountDescriptor,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"4.935563112393845,7.513750946192208,10.043724126553284,1.943090285977694,2.5594713966020635,2.726497966639773"
FractionalCSP3Descriptor,0.21428571428571427
KierHallSmartsDescriptor,"0,0,0,0,0,0,2,0,3,0,0,12,1,0,0,2,6,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,3
LargestPiSystemDescriptor,9
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"27.04601899196494,12.9919261822376,7.5133727810650885"
AromaticAtomsCountDescriptor,21
AromaticBondsCountDescriptor,22
FragmentComplexityDescriptor,3103.06
HBondAcceptorCountDescriptor,4
HybridizationRatioDescriptor,0.21428571428571427
AutocorrelationDescriptorMass,"38.13092311395398,39.24306066487296,55.430314770072656,56.06719936172809,50.983851461602235"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,10
AutocorrelationDescriptorCharge,"0.44854136469428524,-0.20134027185021872,-0.00412839750229582,0.05373483285327955,-0.12060418323950926"
EccentricConnectivityIndexDescriptor,832
AutocorrelationDescriptorPolarizability,"2300.5766515939467,2668.4066147628296,3636.952679895711,3598.468318320651,3255.8789804958174"
