DLiP-ID,I001CG
AATSC5Z,-1.3449607182940506
AATSC5c,-0.0005259836782774363
AATSC5d,0.06399551066217729
AATSC5i,-0.07245204752141521
AATSC5m,-6.163588550280582
AATSC5p,-0.014040342718642868
AATSC5s,-0.2224491581721804
AATSC5v,-5.042514263705728
AATSC6Z,1.9073251028806584
AATSC6c,-0.002134494730228768
AATSC6d,-0.05094650205761317
AATSC6i,0.04452003300243708
AATSC6m,8.875864961934159
AATSC6p,0.027942448542085378
AATSC6s,-0.099066089885801
AATSC6v,8.583585967340708
AATSC7Z,-1.5310324243657585
AATSC7c,0.004895473929513803
AATSC7d,-0.20544837878171204
AATSC7i,-0.13534170385608474
AATSC7m,-6.571099320987652
AATSC7p,-0.06463775564402224
AATSC7s,0.490570852034044
AATSC7v,-4.3882235363825455
AATSC8Z,-4.825679012345678
AATSC8c,-0.002934501704386412
AATSC8d,0.05580246913580246
AATSC8i,0.14656105585347173
AATSC8m,-22.668127227160497
AATSC8p,-0.01777943749295311
AATSC8s,-0.7834312181408661
AATSC8v,-16.767345402557126
ATS0are,277.1033999999999
ATS1are,295.51980000000003
ATS2are,499.191
ATS3are,594.9460000000001
ATS4are,696.2509999999997
ATS5are,682.3510000000001
ATS6are,646.2938000000003
ATS7are,573.0009
ATS8are,561.925
ATSC0dv,181.14567901234565
ATSC0pe,5.062457777777775
ATSC0se,3.381107644444443
ATSC1dv,40.00587105624143
ATSC1pe,0.5243418765432065
ATSC1se,0.7679055935802467
ATSC2dv,58.57311385459537
ATSC2pe,2.579492839506167
ATSC2se,1.6403134320987651
ATSC3dv,-71.86139917695472
ATSC3pe,-1.1816165925925963
ATSC3se,-0.9353172192592593
ATSC4dv,-98.18727023319617
ATSC4pe,-2.3319682469135854
ATSC4se,-1.6737456928395065
ATSC5dv,-20.561042524005483
ATSC5pe,-2.562516790123462
ATSC5se,-1.823542441975309
ATSC6dv,50.647901234567925
ATSC6pe,0.3325924444444443
ATSC6se,-0.2589919688888891
ATSC7dv,16.446145404663937
ATSC7pe,3.8442053827160425
ATSC7se,2.5209601412345677
ATSC8dv,-189.73580246913585
ATSC8pe,-6.659359999999999
ATSC8se,-3.261798088888888
AXp-0dv,0.6089044909194677
AXp-1dv,0.3496620094678018
AXp-2dv,0.19807619230136186
AXp-3dv,0.11304156782283364
AXp-4dv,0.06473678892799208
AXp-5dv,0.036783025036480614
AXp-6dv,0.022037002862514057
AXp-7dv,0.01308786526050012
BertzCT,973.2636074885124
ECIndex,506
ETA_eta,19.846901224826436
GATS1dv,0.5971970715534434
GATS1pe,0.5692979447970318
GATS1se,0.46001125608162863
GATS2dv,0.7966730957963036
GATS2pe,0.568707459178809
GATS2se,0.5859878798166891
GATS3dv,1.1564382735401562
GATS3pe,1.0319489358704117
GATS3se,1.0864262761748218
GATS4dv,1.2624452826220725
GATS4pe,1.3102098692008686
GATS4se,1.3799403895543927
GATS5dv,1.0869091107355109
GATS5pe,1.401655146863228
GATS5se,1.475979686183576
GATS6dv,0.9274871417407269
GATS6pe,1.0467701385858839
GATS6se,1.1283793856535274
GATS7dv,1.0611606375196148
GATS7pe,0.8454421888520214
GATS7se,0.9429277293447434
GATS8dv,1.6004307289678865
GATS8pe,1.9635390100372854
GATS8se,1.8724267637106486
LogEE_A,4.148618648950268
LogEE_D,126.69639544909852
MATS1dv,0.21145132345042564
MATS1pe,0.09916713942158427
MATS1se,0.21745204149857275
MATS2dv,0.18188331470475996
MATS2pe,0.2866127059056948
MATS2se,0.27289172738159373
MATS3dv,-0.18595547543754432
MATS3pe,-0.10940985625778647
MATS3se,-0.129670508198155
MATS4dv,-0.21778185778155115
MATS4pe,-0.18507838858244574
MATS4se,-0.19889550391426733
MATS5dv,-0.046434094502629475
MATS5pe,-0.20707379088354388
MATS5se,-0.220636168321731
MATS6dv,0.1164990095051161
MATS6pe,0.027374092045468187
MATS6se,-0.03191655863062648
MATS7dv,0.044895960590306636
MATS7pe,0.375505489073953
MATS7se,0.3687042154124251
MATS8dv,-0.5237105392290499
MATS8pe,-0.6577200534127914
MATS8se,-0.4823564393532997
MAXaaCH,1.8980517321439594
MAXaasC,0.9079686318972036
MAXsCH3,1.8407904226505416
MAXssNH,2.667312216553288
MDEC-11,0.516459056608978
MDEC-12,4.017108913109649
MDEC-13,6.07656353670855
MDEC-22,9.708800280159792
MDEC-23,14.319555025657987
MDEC-33,6.943893025088861
MDEN-22,0.14285714285714285
MDEO-11,0.4999999999999999
MDEO-12,0.2857142857142857
MINaaCH,1.6757870370370371
MINaasC,0.2647510393046111
MINsCH3,1.7859058484504913
MINssNH,2.667312216553288
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,1.6607142857142858
SM1_Dzi,0.883001233280407
SM1_Dzm,1.6581557966933946
SM1_Dzp,-3.8591084983466093
SM1_Dzv,-1.6780538154894666
SddssSe,0
SpAD_Dt,422.089858520141
SpAbs_A,31.91461527424646
SpAbs_D,253.3927908981971
SpMAD_A,1.2765846109698584
SpMAD_D,10.135711635927883
SpMax_A,2.4608030822621934
SpMax_D,126.69639544909852
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,80.58
TpiPC10,8.469810005738198
VAdjMat,5.754887502163468
VE1_DzZ,4.904187598935444
VE1_Dzi,4.926953308511599
VE1_Dzm,4.904176057891585
VE1_Dzp,4.915020470466725
VE1_Dzv,4.923360263224694
VE2_DzZ,0.19616750395741775
VE2_Dzi,0.19707813234046395
VE2_Dzm,0.19616704231566343
VE2_Dzp,0.196600818818669
VE2_Dzv,0.19693441052898777
VE3_DzZ,2.5063801840454443
VE3_Dzi,2.511011538734207
VE3_Dzm,2.5063778307387636
VE3_Dzp,2.508586650361199
VE3_Dzv,2.510282009583669
VR1_DzZ,146.3691532704564
VR1_Dzi,144.67790499514695
VR1_Dzm,146.37030679084612
VR1_Dzp,145.95180330889391
VR1_Dzv,145.1394620449237
VR2_DzZ,5.8547661308182555
VR2_Dzi,5.787116199805878
VR2_Dzm,5.854812271633844
VR2_Dzp,5.838072132355757
VR2_Dzv,5.805578481796948
VR3_DzZ,5.902422609496111
VR3_Dzi,5.890800658587432
VR3_Dzm,5.90243049036321
VR3_Dzp,5.899567184760119
VR3_Dzv,5.893985819260916
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.02282177322938192
Xch-6dv,0.1131857092446684
Xch-7dv,0.14704733833124892
Xpc-4dv,2.495544607068786
Xpc-5dv,3.4859641980326694
Xpc-6dv,4.223617863385924
Zagreb1,132.0
Zagreb2,155.0
fragCpx,129.06
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,1
n5aRing,1
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,2
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,17
nBondsD,2
nBondsM,19
nBondsO,27
nBondsS,28
nBondsT,0
nFARing,0
nFHRing,0
nFaRing,0
nHetero,6
naHRing,1
AATS0are,6.157853333333331
AATS1are,6.287655319148937
AATS2are,6.2398875
AATS3are,6.197354166666668
AATS4are,6.216526785714284
AATS5are,6.20319090909091
AATS6are,5.9842018518518545
AATS7are,6.296713186813187
AATS8are,6.243611111111111
AATSC0dv,4.025459533607681
AATSC0pe,0.112499061728395
AATSC0se,0.07513572543209873
AATSC1dv,0.8511887458774773
AATSC1pe,0.01115621013921716
AATSC1se,0.0163384168846861
AATSC2dv,0.7321639231824422
AATSC2pe,0.032243660493827084
AATSC2se,0.020503917901234563
AATSC3dv,-0.7485562414266117
AATSC3pe,-0.012308506172839545
AATSC3se,-0.009742887700617283
AATSC4dv,-0.8766720556535372
AATSC4pe,-0.02082114506172844
AATSC4se,-0.014944157971781308
AATSC5dv,-0.18691856840004983
AATSC5pe,-0.02329560718294056
AATSC5se,-0.0165776585634119
AATSC6dv,0.46896204846822154
AATSC6pe,0.0030795596707818918
AATSC6se,-0.002398073786008232
AATSC7dv,0.18072687257872458
AATSC7pe,0.04224401519468179
AATSC7se,0.027702858694885358
AATSC8dv,-2.1081755829903983
AATSC8pe,-0.07399288888888887
AATSC8se,-0.03624220098765431
AETA_eta,0.7938760489930574
ATSC0are,5.371479999999999
ATSC1are,0.3563875555555561
ATSC2are,2.8014755555555544
ATSC3are,-1.2178106666666646
ATSC4are,-2.390163555555552
ATSC5are,-2.712577777777772
ATSC6are,-0.17653866666666823
ATSC7are,4.564000444444445
ATSC8are,-6.480773333333326
BCUTZ-1h,16.013122806729484
BCUTZ-1l,5.682006597031061
BCUTc-1h,0.44633495626303277
BCUTc-1l,-0.46600651605111815
BCUTd-1h,4.043924950610063
BCUTd-1l,0.9715561098016807
BCUTi-1h,14.56498804657852
BCUTi-1l,10.31976187764511
BCUTm-1h,32.06654400322887
BCUTm-1l,11.693321395003421
BCUTp-1h,2.9545808816565384
BCUTp-1l,0.7157154220736484
BCUTs-1h,7.01420703437278
BCUTs-1l,0.29892223492343684
BCUTv-1h,24.441831858487966
BCUTv-1l,14.681717999910063
BalabanJ,1.5948976909042574
Diameter,12
ETA_beta,34.0
GATS1are,0.605580553178497
GATS2are,0.5680999463834919
GATS3are,1.0395967064322431
GATS4are,1.3281970571558352
GATS5are,1.4285411097127791
GATS6are,1.0880886266534167
GATS7are,0.8318602841527623
GATS8are,1.9529188313918031
HybRatio,0.21052631578947367
Lipinski,True
LogEE_Dt,211.04492926007046
MATS1are,0.0635247878907815
MATS2are,0.29336979752321507
MATS3are,-0.10627401572750883
MATS4are,-0.17878379355942312
MATS5are,-0.20658941466614547
MATS6are,-0.013694136025411701
MATS7are,0.4201678674598616
MATS8are,-0.6032576993057153
MAXddssS,-3.6294349962207098
MAXssCH2,0.24817696523053656
MINddssS,-3.6294349962207098
MINssCH2,0.24817696523053656
NsssssAs,0
RotRatio,0.18518518518518517
SM1_Dzpe,1.1101591187270503
SM1_Dzse,1.0973664910406058
SMR_VSA1,12.940891921302285
SMR_VSA2,0.0
SMR_VSA3,9.878758121577533
SMR_VSA4,0.0
SMR_VSA5,32.21145148050222
SMR_VSA6,0.0
SMR_VSA7,71.11201494480979
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
SpAD_DzZ,172.2681608489001
SpAD_Dzi,200.17374221641646
SpAD_Dzm,172.2674048816793
SpAD_Dzp,213.33997258916685
SpAD_Dzv,217.0302197111609
SpAbs_Dt,422.08985852014087
SpDiam_A,4.890718007522212
SpDiam_D,188.09961176843555
SpMAD_Dt,16.88359434080564
SpMax_Dt,211.04492926007046
SsssssAs,0
VE1_Dzpe,4.924288755207408
VE1_Dzse,4.922865350277894
VE2_Dzpe,0.19697155020829635
VE2_Dzse,0.19691461401111574
VE3_Dzpe,2.510470580883017
VE3_Dzse,2.5101814811240044
VMcGowan,265.51000000000016
VR1_Dzpe,144.77966446152203
VR1_Dzse,144.89369890901168
VR2_Dzpe,5.791186578460882
VR2_Dzse,5.795747956360467
VR3_Dzpe,5.891503763161676
VR3_Dzse,5.892291094465138
mZagreb1,8.840277777777779
mZagreb2,5.402777777777777
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,10
nBondsKS,37
nFAHRing,0
nFaHRing,0
nG12Ring,0
AATSC0are,0.1193662222222222
AATSC1are,0.0075827139479905555
AATSC2are,0.03501844444444443
AATSC3are,-0.012685527777777756
AATSC4are,-0.021340746031746
AATSC5are,-0.024659797979797927
AATSC6are,-0.0016346172839506318
AATSC7are,0.05015385103785104
AATSC8are,-0.07200859259259251
AETA_beta,1.36
BCUTdv-1h,6.033457390373681
BCUTdv-1l,0.6442299841590589
BCUTpe-1h,3.537099690837852
BCUTpe-1l,2.2266699032910005
BCUTse-1h,3.7682763891284616
BCUTse-1l,2.424830285961355
ETA_alpha,12.133333333333333
ETA_dBeta,4.0
ETA_eta_B,0.5323662821080308
ETA_eta_F,25.421337514514956
ETA_eta_L,5.1478704528121675
ETA_eta_R,45.26823873934139
ETA_psi_1,0.5814696485623004
LabuteASA,147.28133161602722
LogEE_DzZ,85.80658816308961
LogEE_Dzi,100.12219115753945
LogEE_Dzm,85.80583058857512
LogEE_Dzp,105.77457085053676
LogEE_Dzv,108.1794990924826
PEOE_VSA1,4.523094936973348
PEOE_VSA2,0.0
PEOE_VSA3,13.139891848781026
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,47.62123273635672
PEOE_VSA7,43.52793314262447
PEOE_VSA8,12.10820789760957
PEOE_VSA9,10.589411470366237
SM1_Dzare,1.2038881980944245
SpAD_Dzpe,198.25934547503203
SpAD_Dzse,196.57155140040575
SpAbs_DzZ,170.87316084890017
SpAbs_Dzi,199.36138108179856
SpAbs_Dzm,170.87455401245694
SpAbs_Dzp,215.40825019942014
SpAbs_Dzv,218.0370520004547
SpDiam_Dt,303.9887438281652
SpMAD_DzZ,6.8907264339560035
SpMAD_Dzi,8.006949688656658
SpMAD_Dzm,6.890696195267172
SpMAD_Dzp,8.533598903566673
SpMAD_Dzv,8.681208788446435
SpMax_DzZ,85.80658816308961
SpMax_Dzi,100.12219115753945
SpMax_Dzm,85.80583058857512
SpMax_Dzp,105.77457085053676
SpMax_Dzv,108.1794990924826
VE1_Dzare,4.924948609049544
VE2_Dzare,0.19699794436198176
VE3_Dzare,2.5106045717330128
VR1_Dzare,144.71232339546694
VR2_Dzare,5.788492935818677
VR3_Dzare,5.8910385270232375
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,17
nAromBond,17
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.48533333333333334
AETA_dBeta,0.16
AETA_eta_B,0.021294651284321234
AETA_eta_F,1.0168535005805983
AETA_eta_L,0.20591481811248669
AETA_eta_R,1.8107295495736557
BCUTare-1h,3.5813002506050595
BCUTare-1l,2.1741066436457297
ETA_beta_s,15.0
ETA_dPsi_A,0.13253035143769953
ETA_dPsi_B,0.0
ETA_eta_BR,0.7903662821080308
ETA_eta_FL,6.7339768274528975
ETA_eta_RL,11.881847280265065
LogEE_Dzpe,99.17407910226511
LogEE_Dzse,98.32967035984449
PEOE_VSA10,5.760247418874442
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
SlogP_VSA1,4.722094864452088
SlogP_VSA2,13.574460241454382
SlogP_VSA3,16.56804755932016
SlogP_VSA4,20.771211599071872
SlogP_VSA5,22.581078397116894
SlogP_VSA6,57.949514960184004
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
SpAD_Dzare,198.56780318045665
SpAbs_Dzpe,197.2379990858033
SpAbs_Dzse,195.56197422864855
SpDiam_DzZ,126.59166953693853
SpDiam_Dzi,151.3061390780361
SpDiam_Dzm,126.58884636619649
SpDiam_Dzp,158.24611973981814
SpDiam_Dzv,163.6405744371994
SpMAD_Dzpe,7.930373819001281
SpMAD_Dzse,7.86286205601623
SpMax_Dzpe,99.17407910226511
SpMax_Dzse,98.32967035984449
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,25
AETA_beta_s,0.6
AETA_eta_BR,0.031614651284321234
AETA_eta_FL,0.2693590730981159
AETA_eta_RL,0.4752738912106026
DetourIndex,2546
EState_VSA1,10.023291153407584
EState_VSA2,11.440239881430351
EState_VSA3,11.323698910571437
EState_VSA4,22.384282469939446
EState_VSA5,0.0
EState_VSA6,19.056471336613843
EState_VSA7,50.245676810150904
EState_VSA8,9.878758121577533
EState_VSA9,4.523094936973348
ETA_beta_ns,19.0
ETA_shape_p,0.17857142857142858
ETA_shape_x,0.06868131868131869
ETA_shape_y,0.2884615384615385
GhoseFilter,True
LogEE_Dzare,99.33205711815211
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SpAbs_Dzare,197.46022603820978
SpDiam_Dzpe,149.77885144556146
SpDiam_Dzse,148.24617148326743
SpMAD_Dzare,7.942712127218266
SpMax_Dzare,99.33205711815211
TopoPSA(NO),72.2
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,30.73132793696865
VSA_EState9,31.981440392585395
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.76
EState_VSA10,8.417796984328938
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.014666666666666685
FilterItLogS,-6.56135687929072
SpDiam_Dzare,150.1523689018519
ETA_beta_ns_d,0.0
ETA_epsilon_1,0.5970370370370373
ETA_epsilon_2,0.8346666666666664
ETA_epsilon_3,0.44084507042253557
ETA_epsilon_4,0.5265536723163845
ETA_epsilon_5,0.8141025641025639
AETA_beta_ns_d,0.0
ETA_dEpsilon_A,0.1561919666145017
ETA_dEpsilon_B,0.07048336472065275
ETA_dEpsilon_C,-0.08570860189384893
ETA_dEpsilon_D,0.02056410256410257
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.8
MDEDescriptor,"0.516459056608978,4.017108913109649,6.07656353670855,0.0,9.708800280159792,14.319555025657987,0.0,6.943893025088861,0.0,0.0,0.4999999999999999,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0"
APolDescriptor,54.28185999999998
BCUTDescriptor,"11.850000000000001,31.972072252653515,-0.21741039962842376,0.24149304343511963,6.2501791814657395,12.735968137210868"
BPolDescriptor,30.916139999999995
TPSADescriptor,80.58000000000001
ALOGPDescriptor,"3.6623999999999994,13.413173759999996,99.54449999999999"
XLogPDescriptor,3.8040000000000007
VAdjMaDescriptor,5.754887502163469
WeightDescriptor,356.11946366
ChiPathDescriptor,"18.02673325856595,11.881847280265065,11.297469623179296,9.097620681349076,7.431417367320396,5.46194880617274,3.2123963989536346,2.610261483079676,14.609857462957208,8.327807238265072,6.422627467783556,4.4939303579189644,3.1131451092432725,1.9077665103655248,1.0143719743680166,0.6919599103520404"
ChiChainDescriptor,"0.0,0.0,0.09622504486493763,0.4181090996453738,0.4994181424384757,0.0,0.0,0.02282177322938192,0.1131857092446684,0.13230674855967553"
AtomCountDescriptor,45
BondCountDescriptor,27
SmallRingDescriptor,"3,3,3,3,0,0,1,2,0,0,0"
ChiClusterDescriptor,"2.3573366500459643,0.20412414523193154,0.5805415260169907,0.08333333333333333,0.9371409507129773,0.025499585890087693,0.17608292596477326,0.007361096388933056"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,0,11,4,4,0,0,0"
ZagrebIndexDescriptor,132.0
LargestChainDescriptor,13
MannholdLogPDescriptor,2.8899999999999997
WeightedPathDescriptor,"50.43272121430097,2.0173088485720387,17.40634583786609,7.951733257098951,5.977857312788367"
FractionalPSADescriptor,0.2262723839125306
WienerNumbersDescriptor,"1531.0,39.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"4.726984500738267,7.719764135609299,9.8527637196494,1.7926212785969626,2.443918320463896,2.5555272612170934"
FractionalCSP3Descriptor,0.21052631578947367
KierHallSmartsDescriptor,"0,0,0,0,0,0,3,0,1,0,0,8,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,1
LargestPiSystemDescriptor,15
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"19.753086419753085,8.347140039447732,4.6464"
AromaticAtomsCountDescriptor,17
AromaticBondsCountDescriptor,17
FragmentComplexityDescriptor,1609.06
HBondAcceptorCountDescriptor,3
HybridizationRatioDescriptor,0.21052631578947367
AutocorrelationDescriptorMass,"34.17112074762581,37.11395681943971,48.38211739489816,49.33296823435509,47.163334121800666"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,5
AutocorrelationDescriptorCharge,"0.2802736614903607,-0.10832136686862943,0.02048172032504909,-0.039012023581257126,0.01117449520488567"
EccentricConnectivityIndexDescriptor,506
AutocorrelationDescriptorPolarizability,"1958.1595270314333,2288.4213175371,3257.3663498094324,3232.4489254991363,2910.131648234772"
