DLiP-ID,C100NO
AATSC4d,-0.08976924102974523
AATSC4i,-0.29976428458778404
AATSC4m,-10.318328940776311
AATSC4p,-0.054034551064052874
AATSC4s,0.027879146883058415
AATSC4v,-8.862894990505236
AATSC5Z,-0.3553804360027841
AATSC5c,-0.0038570108524947004
AATSC5d,-0.0415123144967558
AATSC5i,0.1154350283014817
AATSC5m,-1.8457355540737725
AATSC5p,0.043232364356421464
AATSC5s,-0.7259731336701708
AATSC5v,-0.7605880753928215
AATSC6Z,1.725836167800453
AATSC6c,0.0033601187107820552
AATSC6d,-0.09814342403628114
AATSC6i,-0.02515797267146151
AATSC6m,7.915292236394559
AATSC6p,-0.026892626763605085
AATSC6s,-0.029347249595933943
AATSC6v,0.38123079656148073
AATSC7Z,-0.7808767951625097
AATSC7c,-0.004426973652029601
AATSC7d,-0.10128495842781556
AATSC7i,-0.0057262008370236326
AATSC7m,-3.9104266030234296
AATSC7p,-0.029000225024928807
AATSC7s,-0.3775288618682076
AATSC7v,-4.947697434345653
AATSC8Z,-0.17254653799504335
AATSC8c,0.004260777549574588
AATSC8d,-0.012998998048831945
AATSC8i,-0.028402281355804516
AATSC8m,-0.37044289584981455
AATSC8p,-0.010670470867916119
AATSC8s,0.9832413681256635
AATSC8v,0.9418815963710476
ATS0are,277.39739999999995
ATS1are,292.12480000000005
ATS2are,486.603
ATS3are,610.0170000000002
ATS4are,675.7429999999999
ATS5are,668.1641999999999
ATS6are,613.4630999999999
ATS7are,586.8449999999999
ATS8are,545.422
ATSC0dv,178.1716637272193
ATSC0pe,6.277590476190474
ATSC0se,4.892248476190476
ATSC1dv,13.906609557403218
ATSC1pe,-0.4602564625850335
ATSC1se,-0.007335605442176901
ATSC2dv,55.58114274516391
ATSC2pe,2.739702494331067
ATSC2se,1.9633620181405886
ATSC3dv,-18.094958147868198
ATSC3pe,-1.951902494331066
ATSC3se,-1.8909731609977318
ATSC4dv,-40.13823801125389
ATSC4pe,-0.7833816326530616
ATSC4se,-0.8685331564625856
ATSC5dv,-93.46101732874219
ATSC5pe,-4.816177097505667
ATSC5se,-3.3145973356009066
ATSC6dv,-5.77509028302679
ATSC6pe,2.4619551020408164
ATSC6se,1.73397443537415
ATSC7dv,-18.158562190308217
ATSC7pe,-0.9626414965986384
ATSC7se,-0.20569749659863984
ATSC8dv,56.874247641443404
ATSC8pe,3.1697385487528336
ATSC8se,2.331821977324262
AXp-0dv,0.576249909660047
AXp-1dv,0.3259270502508507
AXp-2dv,0.17793731173183558
AXp-3dv,0.09511294868145194
AXp-4dv,0.049465421342695604
AXp-5dv,0.0280368381370788
AXp-6dv,0.01603433823524011
AXp-7dv,0.008104278387987234
BertzCT,1340.7968653633784
ECIndex,580
ETA_eta,20.66182832339386
GATS1dv,0.6251303879191825
GATS1pe,0.666578294877066
GATS1se,0.6403851825148701
GATS2dv,0.6410899185720184
GATS2pe,0.48921539730361596
GATS2se,0.5377268836262197
GATS3dv,0.9503508072357414
GATS3pe,0.9911707979839453
GATS3se,1.0433998028897207
GATS4dv,1.0746645115960396
GATS4pe,1.0586191431546248
GATS4se,1.0906826914582837
GATS5dv,1.26969784779976
GATS5pe,1.4360875149666508
GATS5se,1.3949478573944092
GATS6dv,0.993481343006566
GATS6pe,0.7540131767837828
GATS6se,0.7508823103364057
GATS7dv,1.0403319915091123
GATS7pe,1.1085569683242131
GATS7se,1.0586175781010536
GATS8dv,0.8657397247239682
GATS8pe,0.776020508500045
GATS8se,0.7623583596391726
LogEE_A,4.28199422686069
LogEE_D,141.07231950703462
MATS1dv,0.07284829687310967
MATS1pe,-0.06842955112187918
MATS1se,-0.0013994720653879033
MATS2dv,0.17705427075539587
MATS2pe,0.24770113413162706
MATS2se,0.22777678000491208
MATS3dv,-0.045377481081893156
MATS3pe,-0.1389269736073144
MATS3se,-0.17270236903018155
MATS4dv,-0.09276171880307209
MATS4pe,-0.051384190922688984
MATS4se,-0.07310162218055828
MATS5dv,-0.2181322028992419
MATS5pe,-0.3190343048674955
MATS5se,-0.2817410876801672
MATS6dv,-0.014180717326030285
MATS6pe,0.17157942386144526
MATS6se,0.15506444923396703
MATS7dv,-0.047560849528711716
MATS7pe,-0.07156132597635019
MATS7se,-0.019621277526384553
MATS8dv,0.15589345005106653
MATS8pe,0.24659331558217898
MATS8se,0.23277574415235786
MAXaaCH,1.7753392250686622
MAXaaaC,0.6151908541194255
MAXaasC,0.4220293635003234
MAXdssC,-1.1407041551188375
MAXsCH3,1.5652600265624914
MAXssNH,2.559105253212396
MDEC-12,1.2840597283454822
MDEC-13,2.7059038265247963
MDEC-22,8.857406552071959
MDEC-23,21.879214309772358
MDEC-33,13.999196762061642
MDEO-11,1.1905507889761495
MDEO-12,0.7559289460184545
MINaaCH,1.398872931888805
MINaaaC,0.33102418745275886
MINaasC,0.007124027501011598
MINdssC,-1.1407041551188375
MINsCH3,1.5652600265624914
MINssNH,2.559105253212396
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,2.6649159663865545
SM1_Dzi,1.1356809321748011
SM1_Dzm,2.6753715436864507
SM1_Dzp,-5.271570254714655
SM1_Dzv,-2.07342951362448
SddssSe,0
SpAD_Dt,655.2890851832522
SpAbs_A,35.417439247592775
SpAbs_D,282.1446390140693
SpMAD_A,1.2649085445568848
SpMAD_D,10.076594250502476
SpMax_A,2.556012165780493
SpMax_D,141.07231950703462
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,104.99
TpiPC10,9.766994915913951
VAdjMat,5.954196310386875
VE1_DzZ,5.19996829977144
VE1_Dzi,5.2033235333270005
VE1_Dzm,5.200143959910964
VE1_Dzp,5.202963691243005
VE1_Dzv,5.210344037128194
VE2_DzZ,0.1857131535632657
VE2_Dzi,0.18583298333310716
VE2_Dzm,0.1857194271396773
VE2_Dzp,0.18582013183010732
VE2_Dzv,0.1860837156117212
VE3_DzZ,2.678271946552158
VE3_Dzi,2.678916979629327
VE3_Dzm,2.678305726983591
VE3_Dzp,2.678847821037723
VE3_Dzv,2.6802653047640193
VR1_DzZ,177.87237344120095
VR1_Dzi,177.91942050596288
VR1_Dzm,177.85405497172806
VR1_Dzp,178.46374636636196
VR1_Dzv,177.4861429317819
VR2_DzZ,6.352584765757177
VR2_Dzi,6.354265018070103
VR2_Dzm,6.351930534704573
VR2_Dzp,6.37370522737007
VR2_Dzv,6.33879081899221
VR3_DzZ,6.210685707164237
VR3_Dzi,6.210950171189752
VR3_Dzm,6.210582715269196
VR3_Dzp,6.214004896183923
VR3_Dzv,6.208511955059204
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.02551551815399144
Xch-6dv,0.13936017905043396
Xch-7dv,0.23291796064589615
Xpc-4dv,2.6063890748000547
Xpc-5dv,3.4668724402407305
Xpc-6dv,4.636719327736928
Zagreb1,156.0
Zagreb2,189.0
fragCpx,205.08
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,1
n5aRing,1
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,3
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,21
nBondsD,3
nBondsM,24
nBondsO,31
nBondsS,21
nBondsT,0
nFARing,0
nFHRing,1
nFaRing,1
nHetero,8
naHRing,1
AATS0are,6.6046999999999985
AATS1are,6.4916622222222236
AATS2are,6.575716216216216
AATS3are,6.489542553191491
AATS4are,6.624931372549019
AATS5are,6.6154871287128705
AATS6are,6.390240625
AATS7are,6.520499999999999
AATS8are,6.342116279069768
AATSC0dv,4.242182469695698
AATSC0pe,0.149466439909297
AATSC0se,0.11648210657596371
AATSC1dv,0.30903576794229376
AATSC1pe,-0.010227921390778522
AATSC1se,-0.0001630134542705978
AATSC2dv,0.751096523583296
AATSC2pe,0.03702300668014955
AATSC2se,0.026531919164062008
AATSC3dv,-0.1924995547645553
AATSC3pe,-0.02076492015245815
AATSC3se,-0.02011673575529502
AATSC4dv,-0.3935121373652342
AATSC4pe,-0.007680212084833937
AATSC4se,-0.008515030945711623
AATSC5dv,-0.9253566072152691
AATSC5pe,-0.04768492175748185
AATSC5se,-0.032817795401989175
AATSC6dv,-0.06015719044819573
AATSC6pe,0.025645365646258505
AATSC6se,0.018062233701814062
AATSC7dv,-0.20176180211453573
AATSC7pe,-0.01069601662887376
AATSC7se,-0.002285527739984887
AATSC8dv,0.6613284609470164
AATSC8pe,0.036857424985498065
AATSC8se,0.027114209038654212
AETA_eta,0.7379224401212092
ATSC0are,6.6333619047619035
ATSC1are,-0.7362068027210882
ATSC2are,3.2179052154195005
ATSC3are,-1.9176575963718812
ATSC4are,-0.4489074829931961
ATSC5are,-5.079994104308389
ATSC6are,1.726729931972788
ATSC7are,-0.9082517006802712
ATSC8are,3.6859637188208607
BCUTZ-1h,17.001104526092732
BCUTZ-1l,5.647525849501985
BCUTc-1h,0.4795999751572999
BCUTc-1l,-0.5345114858927277
BCUTd-1h,4.0438284682870735
BCUTd-1l,0.9706416702269464
BCUTi-1h,14.539660180910403
BCUTi-1l,10.319767230458714
BCUTm-1h,35.45051784150713
BCUTm-1l,11.6590876399329
BCUTp-1h,2.95458747132251
BCUTp-1l,0.7414726101976188
BCUTs-1h,7.014582390910529
BCUTs-1l,0.2989389300796629
BCUTv-1h,24.441832968312404
BCUTv-1l,14.699968349535391
BalabanJ,1.5209333243515644
Diameter,12
ETA_beta,41.0
GATS1are,0.7285469457178697
GATS2are,0.48865268949191776
GATS3are,0.9923136452406721
GATS4are,1.0758969324991716
GATS5are,1.5016534653323192
GATS6are,0.8172472650871568
GATS7are,1.1383734886999768
GATS8are,0.7617644529085819
HybRatio,0.05
Lipinski,False
LogEE_Dt,327.33426238215355
MATS1are,-0.10358644064227528
MATS2are,0.2753322767550991
MATS3are,-0.12916915236209972
MATS4are,-0.027865848472761044
MATS5are,-0.3184618638603946
MATS6are,0.11388559166292173
MATS7are,-0.06389682935081872
MATS8are,0.27137397929036117
MAXddssS,-3.9031755873645735
MINddssS,-3.9031755873645735
NsssssAs,0
RotRatio,0.12903225806451613
SM1_Dzpe,1.6594547433493954
SM1_Dzse,1.6638772710282677
SMR_VSA1,22.736012500294812
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,11.819220675208399
SMR_VSA6,4.722094864452088
SMR_VSA7,70.94363584046725
SMR_VSA8,0.0
SMR_VSA9,0.0
SpAD_DzZ,176.74423032281078
SpAD_Dzi,208.52835769782232
SpAD_Dzm,176.67905163447315
SpAD_Dzp,234.79141456521015
SpAD_Dzv,233.41809143503608
SpAbs_Dt,655.2890851832522
SpDiam_A,5.03603722490751
SpDiam_D,203.321344692376
SpMAD_Dt,23.403181613687575
SpMax_Dt,327.33426238215355
SsssssAs,0
VE1_Dzpe,5.204882043390703
VE1_Dzse,5.204884111801138
VE2_Dzpe,0.18588864440681083
VE2_Dzse,0.18588871827861206
VE3_Dzpe,2.679216456818524
VE3_Dzse,2.6792168542165835
VMcGowan,274.1400000000004
VR1_Dzpe,177.55903696975057
VR1_Dzse,177.55249607178982
VR2_Dzpe,6.341394177491091
VR2_Dzse,6.341160573992494
VR3_Dzpe,6.208922573443112
VR3_Dzse,6.2088857348876
mZagreb1,9.92361111111111
mZagreb2,5.902777777777775
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,12
nBondsKS,33
nFAHRing,0
nFaHRing,1
nG12Ring,0
AATSC0are,0.15793718820861674
AATSC1are,-0.016360151171579736
AATSC2are,0.043485205613777035
AATSC3are,-0.020400612727360438
AATSC4are,-0.004401053754835256
AATSC5are,-0.05029697132978603
AATSC6are,0.017986770124716542
AATSC7are,-0.010091685563114124
AATSC8are,0.04286004324210303
AETA_beta,1.4642857142857142
BCUTdv-1h,6.024503267122668
BCUTdv-1l,0.6442286795700247
BCUTpe-1h,3.5371895585494095
BCUTpe-1l,2.196463853062012
BCUTse-1h,3.768415424954083
BCUTse-1l,2.392447287003652
ETA_alpha,13.614285714285714
ETA_dBeta,6.0
ETA_eta_B,0.6385194319906766
ETA_eta_F,33.813548381686005
ETA_eta_L,5.223020254425421
ETA_eta_R,54.47537670507987
ETA_psi_1,0.5492795389048993
LabuteASA,164.94570003704604
LogEE_DzZ,88.10134505632432
LogEE_Dzi,104.30473888220311
LogEE_Dzm,88.06930185220465
LogEE_Dzp,115.92033822359218
LogEE_Dzv,116.19068833911192
PEOE_VSA1,9.523678331894054
PEOE_VSA2,4.722094864452088
PEOE_VSA3,13.212334168400758
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,35.866408164078955
PEOE_VSA7,37.255572541998674
PEOE_VSA8,21.181305957135713
PEOE_VSA9,10.582869750201336
SM1_Dzare,1.7062567909315889
SpAD_Dzpe,205.75385370346638
SpAD_Dzse,204.09653572772754
SpAbs_DzZ,174.46001663733654
SpAbs_Dzi,207.47379683223136
SpAbs_Dzm,174.3858760255991
SpAbs_Dzp,237.11224670189904
SpAbs_Dzv,234.45480619184832
SpDiam_Dt,446.35654505637007
SpMAD_DzZ,6.312293940100385
SpMAD_Dzi,7.447441346350797
SpMAD_Dzm,6.309966129802612
SpMAD_Dzp,8.38540766304322
SpMAD_Dzv,8.336360408394146
SpMax_DzZ,88.10134505632432
SpMax_Dzi,104.30473888220311
SpMax_Dzm,88.06930185220465
SpMax_Dzp,115.92033822359218
SpMax_Dzv,116.19068833911192
VE1_Dzare,5.203589616457794
VE2_Dzare,0.18584248630206407
VE3_Dzare,2.6789681154708624
VR1_Dzare,177.65239466916398
VR2_Dzare,6.344728381041571
VR3_Dzare,6.209448219259928
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,19
nAromBond,21
nG12ARing,0
nG12FRing,1
nG12HRing,0
nG12aRing,0
AETA_alpha,0.48622448979591837
AETA_dBeta,0.21428571428571427
AETA_eta_B,0.022804265428238452
AETA_eta_F,1.2076267279173574
AETA_eta_L,0.18653643765805075
AETA_eta_R,1.9455491680385666
BCUTare-1h,3.581243836167389
BCUTare-1l,2.146653212091858
ETA_beta_s,17.5
ETA_dPsi_A,0.16472046109510063
ETA_dPsi_B,0.0
ETA_eta_BR,0.9825194319906766
ETA_eta_FL,8.052673875956998
ETA_eta_RL,13.27569413038242
LogEE_Dzpe,102.9361930925671
LogEE_Dzse,102.10769205211479
PEOE_VSA10,16.90671905221368
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
SlogP_VSA1,4.722094864452088
SlogP_VSA2,19.493629667121493
SlogP_VSA3,10.023291153407584
SlogP_VSA4,6.923737199690624
SlogP_VSA5,16.118236094643258
SlogP_VSA6,63.90993802872561
SlogP_VSA7,5.022633313741326
SlogP_VSA8,21.74169278503663
SlogP_VSA9,0.0
SpAD_Dzare,206.14358556546114
SpAbs_Dzpe,204.21293144178478
SpAbs_Dzse,202.55150683320124
SpDiam_DzZ,126.16893594597792
SpDiam_Dzi,152.69486412958153
SpDiam_Dzm,126.13228864325816
SpDiam_Dzp,169.2964588625062
SpDiam_Dzv,171.84300187718378
SpMAD_Dzpe,7.348351917980942
SpMAD_Dzse,7.289161990275984
SpMax_Dzpe,102.9361930925671
SpMax_Dzse,102.10769205211479
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,1
nG12FaRing,1
nG12aHRing,0
nHeavyAtom,28
AETA_beta_s,0.625
AETA_eta_BR,0.03508997971395274
AETA_eta_FL,0.2875954955698928
AETA_eta_RL,0.47413193322794356
DetourIndex,4508
EState_VSA1,15.992596441359433
EState_VSA2,21.906568660772773
EState_VSA3,26.764326098777957
EState_VSA4,0.0
EState_VSA5,30.33183534230805
EState_VSA6,31.18920547353706
EState_VSA7,0.0
EState_VSA8,4.722094864452088
EState_VSA9,16.018090827285864
ETA_beta_ns,23.5
ETA_shape_p,0.1871283665617349
ETA_shape_x,0.06121021336131515
ETA_shape_y,0.3672612801678909
GhoseFilter,True
LogEE_Dzare,103.13273052526384
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SpAbs_Dzare,204.55920425959607
SpDiam_Dzpe,151.14794844622904
SpDiam_Dzse,149.71142227146484
SpMAD_Dzare,7.362270913052184
SpMax_Dzare,103.13273052526384
TopoPSA(NO),96.61
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,31.32923511618452
VSA_EState9,41.4348495144102
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,1
AETA_beta_ns,0.8392857142857143
EState_VSA10,18.318861563241462
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.013775510204081647
FilterItLogS,-6.379218181992456
SpDiam_Dzare,151.47901351781047
ETA_beta_ns_d,1.0
ETA_epsilon_1,0.6901360544217686
ETA_epsilon_2,0.8852040816326526
ETA_epsilon_3,0.4435897435897435
ETA_epsilon_4,0.5730952380952379
ETA_epsilon_5,0.8461904761904758
AETA_beta_ns_d,0.03571428571428571
ETA_dEpsilon_A,0.2465463108320251
ETA_dEpsilon_B,0.11704081632653074
ETA_dEpsilon_C,-0.12950549450549437
ETA_dEpsilon_D,0.0390136054421768
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.75
MDEDescriptor,"0.0,1.2840597283454822,2.7059038265247963,0.0,8.857406552071959,21.879214309772358,0.0,13.999196762061642,0.0,0.0,1.1905507889761495,0.7559289460184545,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
APolDescriptor,54.72510199999997
BCUTDescriptor,"11.996151423921498,34.96885419829072,-0.3465854958451179,0.31259635120754514,4.5440453938928425,12.109441342466472"
BPolDescriptor,25.734897999999998
TPSADescriptor,104.99
ALOGPDescriptor,"4.8235,23.26615225,103.18209999999998"
XLogPDescriptor,4.415
VAdjMaDescriptor,5.954196310386876
WeightDescriptor,415.0281213399999
ChiPathDescriptor,"20.051677284948287,13.275694130382421,13.119511777675815,10.629678205968847,9.39249562905332,7.4923434750701,5.773385718679115,4.190982325164346,15.522242660451832,8.990671540410796,7.100464082856093,5.0505243544557015,3.5989440897376634,2.518848841488945,1.5937349272230996,0.9367474969534869"
ChiChainDescriptor,"0.0,0.0,0.07856742013183861,0.43687240584201514,0.7933918248427714,0.0,0.0,0.025515518153991442,0.139360179050434,0.2158969937006327"
AtomCountDescriptor,42
BondCountDescriptor,31
SmallRingDescriptor,"4,4,2,2,0,0,1,3,0,0,0"
ChiClusterDescriptor,"2.874633943002613,0.20412414523193154,0.818209213345583,0.10206207261596577,1.0678126617688175,0.025499585890087693,0.18473842321234846,0.008499861963362563"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,1,14,4,1,0,0,0"
ZagrebIndexDescriptor,156.0
LargestChainDescriptor,13
MannholdLogPDescriptor,2.7800000000000002
WeightedPathDescriptor,"57.22929825324597,2.043903509044499,22.078361570170102,12.972518475193588,3.0923907910253914"
FractionalPSADescriptor,0.2529708099321538
WienerNumbersDescriptor,"1908.0,50.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"5.91786048484682,9.943902175096795,13.880092635555267,2.0183337893742355,2.7162364912544312,3.2412226907491166"
FractionalCSP3Descriptor,0.05
KierHallSmartsDescriptor,"0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,1,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,2
LargestPiSystemDescriptor,26
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,1
KappaShapeIndicesDescriptor,"21.240374609781476,8.262562245359891,4.1259765625"
AromaticAtomsCountDescriptor,19
AromaticBondsCountDescriptor,21
FragmentComplexityDescriptor,1269.08
HBondAcceptorCountDescriptor,5
HybridizationRatioDescriptor,0.05
AutocorrelationDescriptorMass,"46.07302842528,43.34235986002843,61.7240397743521,66.06287944284622,65.82250473906817"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,4
AutocorrelationDescriptorCharge,"0.5194292313629102,-0.24813064924123812,0.06102682451799316,-0.08900433655610972,0.05864307838617897"
EccentricConnectivityIndexDescriptor,580
AutocorrelationDescriptorPolarizability,"2345.995499116637,2839.282128037435,4254.139519240316,4430.523786942597,4108.7852941883175"
