DLiP-ID,J000DY
AATSC5Z,0.7283133795421127
AATSC5c,0.0004959811922773077
AATSC5d,-0.03400546103759715
AATSC5i,-0.042643234020359085
AATSC5m,3.4971961199852974
AATSC5p,0.011368876538185172
AATSC5s,0.06295596163271022
AATSC5v,4.451105202820723
AATSC6Z,-1.5611633680278776
AATSC6c,-0.00011071976886062874
AATSC6d,-0.02986425854647324
AATSC6i,-0.04530651864720035
AATSC6m,-7.4453258351686475
AATSC6p,-0.03202726211645574
AATSC6s,-0.1527901144590966
AATSC6v,-9.24739903812158
AATSC7Z,-0.021445074564167124
AATSC7c,-0.000667032852270006
AATSC7d,-0.047773576979626114
AATSC7i,0.15855612238413389
AATSC7m,-0.07879160875866502
AATSC7p,0.008990226117955937
AATSC7s,-0.01898177320357535
AATSC7v,1.2755022360032202
AATSC8Z,-0.2267713143978367
AATSC8c,-7.906469141945434e-05
AATSC8d,-0.0023629489603024514
AATSC8i,-0.2218922231455455
AATSC8m,-1.192597477764351
AATSC8p,-0.02965373825603516
AATSC8s,0.11026430464826291
AATSC8v,-5.671196056699654
ATS0are,273.4146999999999
ATS1are,304.229
ATS2are,520.5399000000001
ATS3are,653.4760000000001
ATS4are,616.652
ATS5are,536.2139999999999
ATS6are,504.6729000000001
ATS7are,520.6789
ATS8are,455.8389999999999
ATSC0dv,154.60869565217394
ATSC0pe,3.5435934782608665
ATSC0se,1.9036484347826077
ATSC1dv,43.00378071833646
ATSC1pe,0.1295743383742861
ATSC1se,-0.01980568052930016
ATSC2dv,-10.168241965973536
ATSC2pe,0.5006968336483876
ATSC2se,0.44068050094518013
ATSC3dv,-58.54253308128544
ATSC3pe,-1.3681865784499063
ATSC3se,-0.6570771266540635
ATSC4dv,-9.085066162570888
ATSC4pe,-0.40545033081285453
ATSC4se,-0.3170965576559545
ATSC5dv,-5.495274102079385
ATSC5pe,0.18968667296786107
ATSC5se,-0.17394815500945143
ATSC6dv,-56.75047258979206
ATSC6pe,-1.350749102079398
ATSC6se,-0.567689654064271
ATSC7dv,-10.32136105860113
ATSC7pe,-0.11919376181474281
ATSC7se,-0.04956406805293026
ATSC8dv,16.21550094517958
ATSC8pe,0.6417112003780736
ATSC8se,0.48567325330812805
AXp-0dv,0.5644684831717112
AXp-1dv,0.31206657462056875
AXp-2dv,0.17049477506257169
AXp-3dv,0.09343881300653316
AXp-4dv,0.051234176732718226
AXp-5dv,0.02771152413430098
AXp-6dv,0.01518095120697185
AXp-7dv,0.00849678970431379
BertzCT,861.6666369523763
ECIndex,648
ETA_eta,17.846787261338175
GATS1dv,0.5732048162347053
GATS1pe,0.7293357445232437
GATS1se,0.7395853049536666
GATS2dv,1.008428174419374
GATS2pe,0.8167232815706714
GATS2se,0.7413144632497305
GATS3dv,1.1681984354228447
GATS3pe,1.1816221759214414
GATS3se,1.1885825776936336
GATS4dv,1.0644383737747065
GATS4pe,1.1131013180903586
GATS4se,1.1568891847226948
GATS5dv,1.1205708661417322
GATS5pe,1.151232505936924
GATS5se,1.3254170013215358
GATS6dv,1.223843630991909
GATS6pe,1.4597164144245176
GATS6se,1.5985565945025229
GATS7dv,1.0219347581552303
GATS7pe,0.9810450948527442
GATS7se,0.9662944934525498
GATS8dv,0.8344872634591561
GATS8pe,0.7278360452782356
GATS8se,0.6400087449491443
LogEE_A,4.162986021909368
LogEE_D,144.31613101254882
MATS1dv,0.2611165951194874
MATS1pe,0.034327079661625334
MATS1se,-0.00976708067735001
MATS2dv,-0.035591874545093626
MATS2pe,0.07646626141820427
MATS2se,0.12527834121104542
MATS3dv,-0.15834441149401776
MATS3pe,-0.16146060616099348
MATS3se,-0.1443426750912965
MATS4dv,-0.025743210670094805
MATS4pe,-0.050125913229873705
MATS4se,-0.07297486730596343
MATS5dv,-0.0181664791901012
MATS5pe,0.0273595057611279
MATS5se,-0.04670338974263463
MATS6dv,-0.20343014352121644
MATS6pe,-0.21125672024309067
MATS6se,-0.165273784813365
MATS7dv,-0.03412073490813647
MATS7pe,-0.017191942702339945
MATS7se,-0.013307470765531794
MATS8dv,0.06106989790833107
MATS8pe,0.10544511533200399
MATS8se,0.1485553104436679
MAXaaCH,2.1343561035525322
MAXaasC,1.1773767971192424
MAXaasN,2.2397245918697037
MAXdssC,0.03941779637576914
MAXssNH,3.000497291509196
MDEC-22,20.025006552415924
MDEC-23,21.213350137408597
MDEC-33,3.8492110496340706
MDEN-22,0.16666666666666669
MDEN-23,0.5345224838248487
MINaaCH,1.952695367010427
MINaasC,1.0205204507193146
MINaasN,2.2397245918697037
MINdssC,0.03941779637576914
MINssNH,3.000497291509196
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,0.6785714285714287
SM1_Dzi,0.8488829422512447
SM1_Dzm,0.6767661145452564
SM1_Dzp,-2.636839718884606
SM1_Dzv,-1.356968362788312
SddssSe,0
SpAD_Dt,502.09012144977555
SpAbs_A,33.10091623597834
SpAbs_D,288.6322620250978
SpMAD_A,1.3240366494391336
SpMAD_D,11.545290481003912
SpMax_A,2.4391839916266393
SpMax_D,144.31613101254882
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,46.92
TpiPC10,8.40408748124843
VAdjMat,5.807354922057604
VE1_DzZ,4.931190942536856
VE1_Dzi,4.930936865273981
VE1_Dzm,4.931193905913026
VE1_Dzp,4.934311445084361
VE1_Dzv,4.933670229186068
VE2_DzZ,0.19724763770147422
VE2_Dzi,0.19723747461095925
VE2_Dzm,0.19724775623652102
VE2_Dzp,0.19737245780337442
VE2_Dzv,0.1973468091674427
VE3_DzZ,2.5118712612495915
VE3_Dzi,2.511819735398805
VE3_Dzm,2.511871862194741
VE3_Dzp,2.512503870219508
VE3_Dzv,2.512373911344358
VR1_DzZ,147.0532250760074
VR1_Dzi,147.10825055832578
VR1_Dzm,147.05319099327255
VR1_Dzp,147.05962253079466
VR1_Dzv,146.98426884220257
VR2_DzZ,5.882129003040296
VR2_Dzi,5.884330022333031
VR2_Dzm,5.882127639730902
VR2_Dzp,5.882384901231786
VR2_Dzv,5.879370753688103
VR3_DzZ,5.907085328466421
VR3_Dzi,5.907459446000618
VR3_Dzm,5.907085096694973
VR3_Dzp,5.907128831868875
VR3_Dzv,5.906616298247518
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.10792445496369077
Xch-6dv,0.19611026402697512
Xch-7dv,0.19750341316449477
Xpc-4dv,1.1706017422298174
Xpc-5dv,1.5748738593486036
Xpc-6dv,1.7038260874725837
Zagreb1,132.0
Zagreb2,153.0
fragCpx,184.04
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,1
n5FRing,0
n5HRing,2
n5aRing,1
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,2
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,1
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,17
nBondsD,1
nBondsM,18
nBondsO,28
nBondsS,31
nBondsT,0
nFARing,1
nFHRing,1
nFaRing,0
nHetero,4
naHRing,1
AATS0are,5.943797826086955
AATS1are,6.208755102040816
AATS2are,6.123998823529413
AATS3are,5.94069090909091
AATS4are,5.872876190476191
AATS5are,5.957933333333333
AATS6are,6.08039638554217
AATS7are,5.785321111111111
AATS8are,5.770113924050632
AATSC0dv,3.361058601134216
AATSC0pe,0.07703464083175797
AATSC0se,0.04138366162570886
AATSC1dv,0.8776281779252338
AATSC1pe,0.0026443742525364515
AATSC1se,-0.0004041975618224522
AATSC2dv,-0.11962637607027689
AATSC2pe,0.005890550984098677
AATSC2se,0.005184476481708002
AATSC3dv,-0.532204846193504
AATSC3pe,-0.012438059804090058
AATSC3se,-0.005973428424127849
AATSC4dv,-0.08652443964353226
AATSC4pe,-0.003861431722027186
AATSC4se,-0.0030199672157709954
AATSC5dv,-0.06105860113421539
AATSC5pe,0.0021076296996429007
AATSC5se,-0.0019327572778827936
AATSC6dv,-0.6837406336119526
AATSC6pe,-0.016274085567221663
AATSC6se,-0.006839634386316518
AATSC7dv,-0.11468178954001257
AATSC7pe,-0.0013243751312749202
AATSC7se,-0.0005507118672547806
AATSC8dv,0.20525950563518458
AATSC8pe,0.008122926587064223
AATSC8se,0.0061477627001028864
AETA_eta,0.713871490453527
ATSC0are,3.5845239130434763
ATSC1are,0.06969626654064374
ATSC2are,0.6579818998109652
ATSC3are,-1.3599680529300555
ATSC4are,-0.4977980623818523
ATSC5are,-0.016651134215500647
ATSC6are,-1.243806190926274
ATSC7are,-0.09966852551984928
ATSC8are,0.7886458884688077
BCUTZ-1h,8.022022562659888
BCUTZ-1l,5.687104105137595
BCUTc-1h,0.374891213982476
BCUTc-1l,-0.4442008204536814
BCUTd-1h,3.1893929796338027
BCUTd-1l,0.978000569776345
BCUTi-1h,14.557896817524844
BCUTi-1l,10.948000618111699
BCUTm-1h,16.010064273575537
BCUTm-1l,11.69851935516322
BCUTp-1h,1.9958954094472139
BCUTp-1l,0.7519039854609961
BCUTs-1h,7.0082706016569265
BCUTs-1l,1.3490052111935018
BCUTv-1h,20.902680444022373
BCUTv-1l,14.702709473405024
BalabanJ,1.1771168295432204
Diameter,15
ETA_beta,33.5
GATS1are,0.7469867412493436
GATS2are,0.8048275306279904
GATS3are,1.1921305473778332
GATS4are,1.1355004653805474
GATS5are,1.2135921270243275
GATS6are,1.4957297107582774
GATS7are,0.9695290321132938
GATS8are,0.6778666213056389
HybRatio,0.23809523809523808
Lipinski,True
LogEE_Dt,251.04506072488778
MATS1are,0.018253232442647933
MATS2are,0.09933936301970518
MATS3are,-0.1586581445234677
MATS4are,-0.06084014668418274
MATS5are,-0.0023742566423329507
MATS6are,-0.1923096030595351
MATS7are,-0.014211563950204963
MATS8are,0.12810948988888107
MAXssCH2,1.1905743017240633
MINssCH2,0.4110087553539934
NsssssAs,0
RotRatio,0.17857142857142858
SM1_Dzpe,0.7422735618115056
SM1_Dzse,0.6692837795551935
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,0.0
SMR_VSA5,32.35197768060318
SMR_VSA6,0.0
SMR_VSA7,77.74545466916149
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
SpAD_DzZ,231.34879602188565
SpAD_Dzi,225.4878492899067
SpAD_Dzm,231.37608775078542
SpAD_Dzp,282.37908155743463
SpAD_Dzv,266.3322972825416
SpAbs_Dt,502.0901214497756
SpDiam_A,4.735102358110323
SpDiam_D,223.52835030945016
SpMAD_Dt,20.083604857991023
SpMax_Dt,251.04506072488778
SsssssAs,0
VE1_Dzpe,4.931091287254731
VE1_Dzse,4.931205249440735
VE2_Dzpe,0.19724365149018921
VE2_Dzse,0.1972482099776294
VE3_Dzpe,2.5118510518741535
VE3_Dzse,2.5118741625534127
VMcGowan,260.42000000000013
VR1_Dzpe,147.0602708655308
VR1_Dzse,147.05229749111768
VR2_Dzpe,5.882410834621233
VR2_Dzse,5.882091899644707
VR3_Dzpe,5.90713324051141
VR3_Dzse,5.907079020629141
mZagreb1,6.027777777777779
mZagreb2,5.472222222222223
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,1
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,1
n8FHRing,1
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,9
nBondsKS,40
nFAHRing,1
nFaHRing,0
nG12Ring,0
AATSC0are,0.07792443289224948
AATSC1are,0.00142237278654375
AATSC2are,0.007740963527187826
AATSC3are,-0.012363345935727778
AATSC4are,-0.004740933927446213
AATSC5are,-0.00018501260239445162
AATSC6are,-0.01498561675814788
AATSC7are,-0.0011074280613316586
AATSC8are,0.009982859347706426
AETA_beta,1.34
BCUTdv-1h,6.021921256383539
BCUTdv-1l,1.8572201059401683
BCUTpe-1h,3.4889716562924735
BCUTpe-1l,2.2364086842153905
BCUTse-1h,3.7019002403416295
BCUTse-1l,2.4323008258731855
ETA_alpha,12.033333333333335
ETA_dBeta,1.5
ETA_eta_B,0.1382239790949935
ETA_eta_F,22.281769797969663
ETA_eta_L,5.6691782802807635
ETA_eta_R,40.12855705930784
ETA_psi_1,0.6181506849315073
LabuteASA,147.07957723668335
LogEE_DzZ,115.70154086808567
LogEE_Dzi,112.7778799626434
LogEE_Dzm,115.71511451997452
LogEE_Dzp,140.6621728349404
LogEE_Dzv,132.89475496871313
PEOE_VSA1,9.883888251797686
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,23.614091674781612
PEOE_VSA8,31.270629498061233
PEOE_VSA9,12.114749617774471
SM1_Dzare,0.8427175430432758
SpAD_Dzpe,229.9989592188058
SpAD_Dzse,231.54036808198083
SpAbs_DzZ,230.72451030759996
SpAbs_Dzi,224.70687698303556
SpAbs_Dzm,230.7534629254037
SpAbs_Dzp,283.9611853887654
SpAbs_Dzv,267.14647830021454
SpDiam_Dt,366.1830381393644
SpMAD_DzZ,9.253951840875425
SpMAD_Dzi,9.019513971596268
SpMAD_Dzm,9.255043510031417
SpMAD_Dzp,11.295163262297386
SpMAD_Dzv,10.653291891301665
SpMax_DzZ,115.70154086808567
SpMax_Dzi,112.7778799626434
SpMax_Dzm,115.71511451997452
SpMax_Dzp,140.6621728349404
SpMax_Dzv,132.89475496871313
VE1_Dzare,4.930921906129658
VE2_Dzare,0.19723687624518632
VE3_Dzare,2.511816701661521
VR1_Dzare,147.06738386912633
VR2_Dzare,5.882695354765053
VR3_Dzare,5.907181607290136
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,1
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,17
nAromBond,17
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.4813333333333334
AETA_dBeta,0.06
AETA_eta_B,0.00552895916379974
AETA_eta_F,0.8912707919187866
AETA_eta_L,0.22676713121123054
AETA_eta_R,1.6051422823723136
BCUTare-1h,3.543766040141203
BCUTare-1l,2.186580777589255
ETA_beta_s,16.0
ETA_dPsi_A,0.0958493150684927
ETA_dPsi_B,0.0
ETA_eta_BR,0.4822239790949935
ETA_eta_FL,6.606811302997339
ETA_eta_RL,12.275989583278102
LogEE_Dzpe,115.02917055187535
LogEE_Dzse,115.79695539217263
PEOE_VSA10,5.824404497999927
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,15.458257898090068
SlogP_VSA3,30.725693241748992
SlogP_VSA4,0.0
SlogP_VSA5,23.372129104319928
SlogP_VSA6,60.79414718776757
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
SpAD_Dzare,228.16923896588128
SpAbs_Dzpe,229.31606754193925
SpAbs_Dzse,230.92462700479004
SpDiam_DzZ,181.72943816069744
SpDiam_Dzi,176.9144460804016
SpDiam_Dzm,181.7512970056526
SpDiam_Dzp,222.20116768359037
SpDiam_Dzv,209.70190665033095
SpMAD_Dzpe,9.199958368752231
SpMAD_Dzse,9.261614723279234
SpMax_Dzpe,115.02917055187535
SpMax_Dzse,115.79695539217263
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,25
AETA_beta_s,0.64
AETA_eta_BR,0.01928895916379974
AETA_eta_FL,0.26427245211989353
AETA_eta_RL,0.4910395833311241
DetourIndex,3026
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,12.965578028838586
EState_VSA4,35.349860498778035
EState_VSA5,12.245226120925937
EState_VSA6,0.0
EState_VSA7,42.46456947923127
EState_VSA8,28.21346596033398
EState_VSA9,4.9839785209472085
ETA_beta_ns,17.5
ETA_shape_p,0.027700831024930744
ETA_shape_x,0.0
ETA_shape_y,0.2825484764542936
GhoseFilter,True
LogEE_Dzare,114.11832818466237
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SpAbs_Dzare,227.3939388262815
SpDiam_Dzpe,180.6338197786406
SpDiam_Dzse,181.88482236553546
SpMAD_Dzare,9.126769558635251
SpMax_Dzare,114.11832818466237
TopoPSA(NO),46.92
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,2.2397245918697037
VSA_EState9,49.76027540813031
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.7
EState_VSA10,4.794537184071822
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.0186666666666666
FilterItLogS,-5.5426078352522445
SpDiam_Dzare,179.15742435117238
ETA_beta_ns_d,0.0
ETA_epsilon_1,0.560144927536232
ETA_epsilon_2,0.7786666666666663
ETA_epsilon_3,0.4449275362318844
ETA_epsilon_4,0.4994444444444447
ETA_epsilon_5,0.76025641025641
AETA_beta_ns_d,0.0
ETA_dEpsilon_A,0.1152173913043476
ETA_dEpsilon_B,0.06070048309178733
ETA_dEpsilon_C,-0.05451690821256028
ETA_dEpsilon_D,0.018410256410256287
PetitjeanIndex,0.4666666666666667
TopoShapeIndex,0.875
CDK Descriptors
FMFDescriptor,0.96
MDEDescriptor,"0.0,0.0,0.0,0.0,20.025006552415924,21.213350137408597,0.0,3.8492110496340706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.5345224838248487,0.0"
APolDescriptor,55.06465299999997
BCUTDescriptor,"11.850000000000001,15.994921446412087,-0.28031418263280694,0.2048083269008621,4.9496432708357965,10.004473965647563"
BPolDescriptor,27.875346999999994
TPSADescriptor,46.92
ALOGPDescriptor,"2.624800000000003,6.889575040000016,97.26469999999998"
XLogPDescriptor,3.671
VAdjMaDescriptor,5.807354922057604
WeightDescriptor,331.16846246
ChiPathDescriptor,"17.062267164498692,12.275989583278102,10.897518215941732,9.045692493271536,7.645957318667768,5.843803843335085,3.7926287093909354,2.8446741262985626,14.11171207929278,8.737864089375927,6.4788014523777235,4.578501837320126,3.2789873108939678,2.050652785938274,1.153752291729861,0.7392207042752996"
ChiChainDescriptor,"0.0,0.0,0.21407617506269555,0.5437003916594756,0.6358298887049514,0.0,0.0,0.10792445496369077,0.19611026402697518,0.19750341316449477"
AtomCountDescriptor,46
BondCountDescriptor,28
SmallRingDescriptor,"4,3,3,3,0,0,2,2,0,0,0"
ChiClusterDescriptor,"1.3635900917253425,0.0,0.16666666666666666,0.0,0.6177518708505251,0.0,0.050384087605078044,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,3,10,3,2,3,0,0"
ZagrebIndexDescriptor,132.0
LargestChainDescriptor,16
MannholdLogPDescriptor,3.33
WeightedPathDescriptor,"51.87292265193576,2.0749169060774304,12.18338016434849,2.5425856394172897,9.640794524931199"
FractionalPSADescriptor,0.14168015774046483
WienerNumbersDescriptor,"1747.0,33.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"2.9613309979837643,4.661711668779159,5.705737326605242,1.1706017422298176,1.5748738593486034,1.5564930881567514"
FractionalCSP3Descriptor,0.23809523809523808
KierHallSmartsDescriptor,"0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,1
LargestPiSystemDescriptor,11
PetitjeanNumberDescriptor,0.4666666666666667
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"18.367346938775512,8.79224376731302,4.837984173261141"
AromaticAtomsCountDescriptor,17
AromaticBondsCountDescriptor,17
FragmentComplexityDescriptor,1801.04
HBondAcceptorCountDescriptor,3
HybridizationRatioDescriptor,0.23809523809523808
AutocorrelationDescriptorMass,"26.854409939370385,29.49536550939569,40.57498934091921,34.993639419708686,30.325731396841267"
PetitjeanShapeIndexDescriptor,"0.875,NaN"
RotatableBondsCountDescriptor,6
AutocorrelationDescriptorCharge,"0.32131287267039454,-0.17883291519167696,0.03700684737445627,-0.024048666244316955,0.015632443006602027"
EccentricConnectivityIndexDescriptor,648
AutocorrelationDescriptorPolarizability,"1631.0788716818201,1891.468786922067,2560.9070040539827,2230.124108922709,1875.4755243838965"
