DLiP-ID,J100HF
GATS3dv,0.7431510212847842
GATS3pe,0.7046896480596238
GATS3se,0.6400490940015892
GATS4dv,0.8633357487406311
GATS4pe,0.7532424597495206
GATS4se,0.7019637602243846
GATS5dv,1.110669189717116
GATS5pe,0.9378102033054933
GATS5se,0.9298493655249033
GATS6dv,1.4257900519725137
GATS6pe,1.2644722604301541
GATS6se,1.247710976771355
GATS7dv,1.5182006791401954
GATS7pe,1.3485166595745197
GATS7se,1.2681771297739954
GATS8dv,1.6197245282360735
GATS8pe,1.3513124438842508
GATS8se,1.2249369883880457
MATS1dv,0.5208001040084475
MATS1pe,0.19550822644284846
MATS1se,0.16347994632560725
MATS2dv,0.30952036951704653
MATS2pe,0.11805081228725942
MATS2se,0.152393987624431
MATS3dv,0.19264420991079506
MATS3pe,0.09875254977316929
MATS3se,0.08713041237820618
MATS4dv,0.13319883565366206
MATS4pe,0.10973209124403083
MATS4se,0.07521518653150622
MATS5dv,0.037832484990586474
MATS5pe,0.07374397956662618
MATS5se,0.013001336976292834
MATS6dv,-0.21231464817917067
MATS6pe,-0.20978570940058996
MATS6se,-0.22841281674324515
MATS7dv,-0.3682418055852774
MATS7pe,-0.2935513133273515
MATS7se,-0.2703575071402173
MATS8dv,-0.582776169381562
MATS8pe,-0.36409245292860287
MATS8se,-0.3190546372144999
MAXaaCH,2.0835605631141343
MAXaaaC,0.6330189436885869
MAXaasC,1.087741165910809
MAXaasN,1.831006708238851
MAXsCH3,2.112005565081864
MDEC-11,0.4999999999999999
MDEC-12,1.9283098133907475
MDEC-13,1.2867358093001702
MDEC-22,3.2056736493125406
MDEC-23,9.00861691319306
MDEC-33,3.925136389583283
MDEN-22,4.023580535599607
MDEN-23,4.837970321995926
MDEN-33,0.6850067105944414
MINaaCH,1.5292168209876542
MINaaaC,0.6330189436885869
MINaasC,0.7601823507180652
MINaasN,1.7428198223733937
MINsCH3,2.112005565081864
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SddssSe,0
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,116.42
TpiPC10,8.735388897306509
VAdjMat,5.700439718141092
Xch-3dv,0.28867513459481287
Xch-4dv,0.14433756729740643
Xch-5dv,0.19370294474483973
Xch-6dv,0.18873706716251226
Xch-7dv,0.24910110695455234
Xpc-4dv,1.6358518151792771
Xpc-5dv,1.9315986772402327
Xpc-6dv,2.435511874875861
Zagreb1,126.0
Zagreb2,150.0
fragCpx,124.11
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,1
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,2
n5aRing,2
n6ARing,0
n6FRing,0
n6HRing,1
n6aRing,1
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,1
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,15
nBondsD,0
nBondsM,15
nBondsO,26
nBondsS,29
nBondsT,0
nFARing,0
nFHRing,1
nFaRing,1
nHetero,11
naHRing,3
AATS0are,6.360871428571428
AATS1are,6.674513636363637
AATS2are,6.492364473684212
AATS3are,6.093035955056179
AATS4are,6.0909064516128995
AATS5are,6.423978048780487
AATS6are,6.743086486486486
AATS7are,6.547952702702704
AATS8are,6.354915
AATSC0dv,4.0129055737521355
AATSC0pe,0.11194518140589564
AATSC0se,0.06414161678004533
AATSC1dv,2.0899216401861906
AATSC1pe,0.021886203875489594
AATSC1se,0.010485868068439479
AATSC2dv,1.2420760160247766
AATSC2pe,0.01321521959661059
AATSC2se,0.009774796753789223
AATSC3dv,0.773063023702106
AATSC3pe,0.011054872098652175
AATSC3se,0.005588685520650219
AATSC4dv,0.5345143500118752
AATSC4pe,0.012283978860361325
AATSC4se,0.004824423670543498
AATSC5dv,0.15181818988761847
AATSC5pe,0.008255283170178629
AATSC5se,0.0008339267739616082
AATSC6dv,-0.8519986350674177
AATSC6pe,-0.02348449929521355
AATSC6se,-0.014650767359195953
AATSC7dv,-1.47771959412171
AATSC7pe,-0.03286165502236928
AATSC7se,-0.017341167616596185
AATSC8dv,-2.3386257383611886
AATSC8pe,-0.04075839569160997
AATSC8se,-0.02046468027210884
ATSC0are,4.656599999999996
ATSC1are,1.1285999999999994
ATSC2are,1.0196999999999994
ATSC3are,0.6551999999999989
ATSC4are,0.8792999999999986
ATSC5are,0.6911999999999995
ATSC6are,-1.4615999999999985
ATSC7are,-2.1014999999999975
ATSC8are,-2.5550999999999977
BalabanJ,1.6899982755518215e-06
Diameter,100000000
GATS1are,0.6521286502442283
GATS2are,0.9065952230789577
GATS3are,0.7774210290866608
GATS4are,0.8226294832308775
GATS5are,1.0309721685349826
GATS6are,1.3720708532266326
GATS7are,1.4295751104796335
GATS8are,1.461361293647726
HybRatio,0.5384615384615384
Lipinski,True
MATS1are,0.23134905295709327
MATS2are,0.1210149939983318
MATS3are,0.06639941279430857
MATS4are,0.08527750414604032
MATS5are,0.076027416632883
MATS6are,-0.1781464495032334
MATS7are,-0.2561403692056958
MATS8are,-0.3840935446463085
MAXssCH2,1.199173420975369
MAXsssCH,0.5596165554656715
MAXsssNH,1.3565253970683266
MINssCH2,0.7765202191987906
MINsssCH,0.5596165554656715
MINsssNH,1.3565253970683266
NsssssAs,0
RotRatio,0.23076923076923078
SMR_VSA1,17.306942892030456
SMR_VSA2,0.0
SMR_VSA3,39.78929167856703
SMR_VSA4,0.0
SMR_VSA5,35.48670215841594
SMR_VSA6,20.640100371266954
SMR_VSA7,18.08761513807461
SMR_VSA8,0.0
SMR_VSA9,0.0
SsssssAs,0
VMcGowan,254.05999999999983
mZagreb2,4.944444444444443
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,2
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,1
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,1
n9FaRing,1
n9aHRing,0
nBondsKD,6
nBondsKS,38
nFAHRing,0
nFaHRing,1
nG12Ring,0
AATSC0are,0.11087142857142847
AATSC1are,0.025649999999999985
AATSC2are,0.013417105263157886
AATSC3are,0.007361797752808976
AATSC4are,0.009454838709677406
AATSC5are,0.00842926829268292
AATSC6are,-0.01975135135135133
AATSC7are,-0.028398648648648616
AATSC8are,-0.04258499999999996
LabuteASA,148.80229238304602
PEOE_VSA1,17.306942892030456
PEOE_VSA2,0.0
PEOE_VSA3,9.665781456092393
PEOE_VSA4,14.598058222863868
PEOE_VSA5,5.098681808301038
PEOE_VSA6,0.0
PEOE_VSA7,41.09666545501449
PEOE_VSA8,5.917906046161393
PEOE_VSA9,32.87878477202799
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,1
nAromAtom,14
nAromBond,15
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
PEOE_VSA10,11.353280053433782
PEOE_VSA11,0.0
PEOE_VSA12,5.156436481820707
PEOE_VSA13,5.777653723919194
SlogP_VSA1,17.306942892030456
SlogP_VSA2,60.42939204983399
SlogP_VSA3,6.544756405912575
SlogP_VSA4,0.0
SlogP_VSA5,24.453477286861872
SlogP_VSA6,22.5760836037161
SlogP_VSA7,0.0
SlogP_VSA8,5.777653723919194
SlogP_VSA9,0.0
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,24
EState_VSA1,0.0
EState_VSA2,12.407033161179976
EState_VSA3,11.695559770080587
EState_VSA4,28.96583726716356
EState_VSA5,35.830758000858154
EState_VSA6,4.5153978936156225
EState_VSA7,4.681802935145185
EState_VSA8,50.753801883622224
EState_VSA9,0.0
GhoseFilter,False
SlogP_VSA10,0.0
SlogP_VSA11,0.0
TopoPSA(NO),91.12
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,3.5738265306122448
VSA_EState9,42.42209656084657
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
EState_VSA10,0.0
FilterItLogS,-3.740127712606728
PetitjeanIndex,0.0
TopoShapeIndex,0.0
CDK Descriptors
FMFDescriptor,0.75
MDEDescriptor,"0.4999999999999999,1.9283098133907475,1.2867358093001702,0.0,3.2056736493125406,9.00861691319306,0.0,3.925136389583283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.023580535599607,4.837970321995926,0.6850067105944414"
APolDescriptor,49.862274
BCUTDescriptor,"11.988376796753476,34.96885401118219,-0.3585811256679967,0.28944453198638076,2.3429959095092805,12.092570335444993"
BPolDescriptor,29.877725999999996
TPSADescriptor,116.42
XLogPDescriptor,0.891
VAdjMaDescriptor,5.700439718141093
WeightDescriptor,367.1094404000001
ChiPathDescriptor,"15.81119030894213,11.203509938206668,10.341794032084929,8.071171065924625,6.895095800744783,5.096427527437512,4.02045760882088,2.9935151640684423,15.17942814863405,9.315483416909846,7.919018942797979,4.826590596891934,3.3141213284010242,2.3087352252052296,1.6868024239153812,1.0109972461772163"
ChiChainDescriptor,"0.2886751345948129,0.16666666666666666,0.23570226039551587,0.509679700787487,0.779357397374553,0.2886751345948129,0.14433756729740646,0.045819888974716116,0.15146926753751574,0.24910110695455237"
AtomCountDescriptor,42
BondCountDescriptor,26
SmallRingDescriptor,"4,3,3,2,1,0,2,1,0,0,0"
ChiClusterDescriptor,"1.5443310539518174,0.0,0.30274943015462097,0.0,1.242243843553254,0.0,0.12135297214639802,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,1,2,0,2,2,1,0"
ZagrebIndexDescriptor,126.0
LargestChainDescriptor,12
MannholdLogPDescriptor,1.6799999999999997
WeightedPathDescriptor,"48.17009305861254,2.007087210775522,32.65156717086038,0.0,28.476648653941083"
FractionalPSADescriptor,0.3171261405676452
WienerNumbersDescriptor,"2.3000001192E10,32.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"3.1895165406076114,4.893934187227622,6.243734221797205,1.755424971048327,1.9970307337886122,2.3585116943299385"
FractionalCSP3Descriptor,0.5384615384615384
KierHallSmartsDescriptor,"0,0,0,0,0,0,2,0,3,0,0,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,3
HBondDonorCountDescriptor,1
LargestPiSystemDescriptor,9
PetitjeanNumberDescriptor,0.999000000999
AcidicGroupCountDescriptor,3
KappaShapeIndicesDescriptor,"18.781065088757398,8.131482834185537,4.411458333333333"
AromaticAtomsCountDescriptor,14
AromaticBondsCountDescriptor,15
FragmentComplexityDescriptor,1384.11
HBondAcceptorCountDescriptor,6
HybridizationRatioDescriptor,0.5384615384615384
AutocorrelationDescriptorMass,"41.08052565778711,32.939856745557684,46.35801439153966,46.39622909380455,43.642754124058904"
PetitjeanShapeIndexDescriptor,"999.000999000999,NaN"
RotatableBondsCountDescriptor,6
AutocorrelationDescriptorCharge,"0.4170807056882486,-0.30976464289302896,0.14489134432381037,-0.02753560863375877,-0.02603210098556847"
EccentricConnectivityIndexDescriptor,460392396
AutocorrelationDescriptorPolarizability,"1668.5853223341057,1984.4085116610865,2652.440848794204,2538.908421539306,2400.042593929992"
