DLiP-ID,T004JE
AATSC4c,0.003484008384926328
AATSC4d,-0.004052765416401779
AATSC4i,-0.2447791431335823
AATSC4m,-11.708475527296567
AATSC4p,-0.05195684821653946
AATSC4s,-0.4531175739088197
AATSC4v,-9.96796503212973
AATSC5Z,0.6360748244912469
AATSC5c,-0.0027719084509658593
AATSC5d,-0.012168977161645783
AATSC5i,0.24445635396899398
AATSC5m,3.2608836564249533
AATSC5p,0.03309286789538174
AATSC5s,-0.1664429799363364
AATSC5v,7.846765438617617
AATSC6Z,-2.4102203856749314
AATSC6c,-0.006432031060234844
AATSC6d,-0.07331267217630853
AATSC6i,-0.1313894532372809
AATSC6m,-10.67232810019284
AATSC6p,-0.0114348655268422
AATSC6s,-0.025100348792829182
AATSC6v,-3.5109803069700356
AATSC7Z,0.2677341597796141
AATSC7c,0.012011993871440259
AATSC7d,-0.04496671258034893
AATSC7i,0.17875222951074024
AATSC7m,0.8668295413223144
AATSC7p,-0.03418262052384892
AATSC7s,0.5676313578483427
AATSC7v,-5.134385430175634
AATSC8Z,-0.1917355371900826
AATSC8c,-0.008151949002554917
AATSC8d,-0.031213105076741434
AATSC8i,-0.2189576225369386
AATSC8m,-0.8543338015348295
AATSC8p,-0.02492649056541344
AATSC8s,-0.10808846036118772
AATSC8v,-2.573304525095526
ATS0are,290.6080999999999
ATS1are,304.6620000000001
ATS2are,498.5794000000002
ATS3are,607.6737
ATS4are,671.3459999999999
ATS5are,589.9119
ATS6are,501.9779999999999
ATS7are,469.8517999999999
ATS8are,434.2219999999999
ATSC0dv,196.1313131313131
ATSC0pe,6.452115909090907
ATSC0se,4.476200249999998
ATSC1dv,50.07988980716254
ATSC1pe,-0.8358916322314063
ATSC1se,-0.704766125
ATSC2dv,14.970156106519735
ATSC2pe,1.8227088842975192
ATSC2se,1.4301652499999995
ATSC3dv,-93.18457300275485
ATSC3pe,-1.7474271694214876
ATSC3se,-1.1269573749999995
ATSC4dv,-48.26492194674012
ATSC4pe,-1.7180444214876016
ATSC4se,-0.8963239999999993
ATSC5dv,10.050734618916442
ATSC5pe,-0.5348040805785133
ATSC5se,-0.9285469374999998
ATSC6dv,-13.112718089990832
ATSC6pe,-1.54091348140496
ATSC6se,-1.0664590624999983
ATSC7dv,18.81037649219467
ATSC7pe,2.8415035123966956
ATSC7se,2.5601327500000006
ATSC8dv,-22.188705234159773
ATSC8pe,-0.491823037190082
ATSC8se,-0.6033606250000008
AXp-0dv,0.564682067195955
AXp-1dv,0.30433021868786797
AXp-2dv,0.1660814262340193
AXp-3dv,0.09758298298155593
AXp-4dv,0.053919221971277416
AXp-5dv,0.029672549440814332
AXp-6dv,0.016219686752953724
AXp-7dv,0.009064105383545207
BertzCT,1018.9350108800664
ECIndex,684
ETA_eta,21.867810618815707
GATS1dv,0.49858763387529087
GATS1pe,0.7836632107679602
GATS1se,0.8267007510880803
GATS2dv,0.8376988558588108
GATS2pe,0.5797834874427993
GATS2se,0.5396763165718278
GATS3dv,1.1186208290826531
GATS3pe,0.9558601909167833
GATS3se,0.95358947390465
GATS4dv,1.0967899362572846
GATS4pe,1.0947338235630024
GATS4se,1.0698077012975458
GATS5dv,1.0273150509391782
GATS5pe,1.0137140481960079
GATS5se,1.0391309721240245
GATS6dv,1.1236500660932862
GATS6pe,1.3046297966852078
GATS6se,1.4119089526136968
GATS7dv,0.9275445199796284
GATS7pe,0.6804017956054584
GATS7se,0.6148691425773953
GATS8dv,1.0297360928199886
GATS8pe,0.9063455323751893
GATS8se,0.9128839354316197
LogEE_A,4.22264579231052
LogEE_D,161.81872411618323
MATS1dv,0.2442368968474511
MATS1pe,-0.12392035869349681
MATS1se,-0.1506018680833633
MATS2dv,0.044189437904386536
MATS2pe,0.16355138792142454
MATS2se,0.18497617658967266
MATS3dv,-0.22239340608525768
MATS3pe,-0.12677153417884143
MATS3se,-0.11784815989096052
MATS4dv,-0.1041127719167581
MATS4pe,-0.1126552835990296
MATS4se,-0.08471783629429892
MATS5dv,0.024244911204625606
MATS5pe,-0.03921590840514136
MATS5se,-0.0981440742223033
MATS6dv,-0.03922267428885346
MATS6pe,-0.14010947547979638
MATS6se,-0.13977390384474705
MATS7dv,0.05860986649728473
MATS7pe,0.2691325439830073
MATS7se,0.34952090658688595
MATS8dv,-0.07111147080246323
MATS8pe,-0.047913880259858335
MATS8se,-0.08472705169970907
MAXaaCH,1.572764565922519
MAXaasC,0.7165429495948981
MAXaasN,1.6810568363147729
MAXdssC,-0.08519965996921286
MAXsCH3,1.7165386605871815
MAXsNH2,5.391562427151411
MAXsssN,1.4735828543196174
MDEC-12,1.2651296296072023
MDEC-13,2.1018851385075292
MDEC-22,4.613431189507326
MDEC-23,15.203618954432164
MDEC-33,8.284489103279105
MDEN-11,0.4999999999999999
MDEN-12,0.2857142857142857
MDEN-13,0.3849001794597505
MDEN-23,0.6324555320336759
MDEN-33,0.33333333333333337
MDEO-11,0.9563464848741
MINaaCH,1.5442941925021303
MINaasC,0.34997286260183125
MINaasN,1.6810568363147729
MINdssC,-0.9587899044034744
MINsCH3,1.7165386605871815
MINsNH2,5.391562427151411
MINsssN,1.4735828543196174
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,2.3392857142857144
SM1_Dzi,1.7318841755316519
SM1_Dzm,2.3349219112386512
SM1_Dzp,-6.495948217231216
SM1_Dzv,-3.035022178277779
SddssSe,0
SpAD_Dt,488.4328700719577
SpAbs_A,33.8157905909768
SpAbs_D,323.6374482323663
SpMAD_A,1.2524366885546965
SpMAD_D,11.986572156754312
SpMax_A,2.5250065876561556
SpMax_D,161.81872411618323
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,170.08
TpiPC10,8.750960114367578
VAdjMat,5.857980995127572
VE1_DzZ,5.077330593456054
VE1_Dzi,5.084807153390183
VE1_Dzm,5.077328542790657
VE1_Dzp,5.0775040169791525
VE1_Dzv,5.086482349155177
VE2_DzZ,0.1880492812391131
VE2_Dzi,0.18832619086630306
VE2_Dzm,0.18804920528854285
VE2_Dzp,0.18805570433256122
VE2_Dzv,0.18838823515389544
VE3_DzZ,2.6180374227618466
VE3_Dzi,2.6195088771879504
VE3_Dzm,2.6180370188752424
VE3_Dzp,2.618071578615638
VE3_Dzv,2.61983827412031
VR1_DzZ,166.1665750183129
VR1_Dzi,165.32233363595293
VR1_Dzm,166.16767737353192
VR1_Dzp,167.00175085189517
VR1_Dzv,165.6479096042995
VR2_DzZ,6.154317593270848
VR2_Dzi,6.123049393924183
VR2_Dzm,6.1543584212419224
VR2_Dzp,6.185250031551673
VR2_Dzv,6.135107763122204
VR3_DzZ,6.106242522199158
VR3_Dzi,6.10114887842615
VR3_Dzm,6.106249156214226
VR3_Dzp,6.111256069515165
VR3_Dzv,6.103116282324312
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.10799379044025051
Xch-6dv,0.31968491260758025
Xch-7dv,0.4457143057524514
Xpc-4dv,2.240397805158723
Xpc-5dv,3.062390937454807
Xpc-6dv,3.8073585124254707
Zagreb1,142.0
Zagreb2,168.0
fragCpx,139.1
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,1
n5FRing,0
n5HRing,2
n5aRing,1
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,1
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,1
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,11
nBondsD,5
nBondsM,16
nBondsO,29
nBondsS,30
nBondsT,0
nFARing,1
nFHRing,1
nFaRing,0
nHetero,10
naHRing,1
AATS0are,6.604729545454544
AATS1are,6.623086956521741
AATS2are,6.560255263157897
AATS3are,6.464613829787234
AATS4are,6.455249999999999
AATS5are,6.343138709677419
AATS6are,6.693039999999999
AATS7are,6.5257194444444435
AATS8are,6.2031714285714274
AATSC0dv,4.45752984389348
AATSC0pe,0.14663899793388424
AATSC0se,0.10173182386363631
AATSC1dv,1.0886932566774465
AATSC1pe,-0.018171557222421874
AATSC1se,-0.015321002717391305
AATSC2dv,0.19697573824368073
AATSC2pe,0.023983011635493674
AATSC2se,0.018817963815789467
AATSC3dv,-0.9913252447101579
AATSC3pe,-0.018589650738526465
AATSC3se,-0.011988908244680846
AATSC4dv,-0.4640857879494242
AATSC4pe,-0.016519657898919245
AATSC4se,-0.008618499999999994
AATSC5dv,0.10807241525716604
AATSC5pe,-0.005750581511596917
AATSC5se,-0.009984375672043008
AATSC6dv,-0.17483624119987776
AATSC6pe,-0.020545513085399467
AATSC6se,-0.014219454166666645
AATSC7dv,0.2612552290582593
AATSC7pe,0.03946532656106522
AATSC7se,0.03555739930555556
AATSC8dv,-0.31698150334513964
AATSC8pe,-0.007026043388429743
AATSC8se,-0.00861943750000001
AETA_eta,0.8099189118079891
ATSC0are,7.093188636363633
ATSC1are,-1.0212994834710742
ATSC2are,1.9373537190082637
ATSC3are,-2.1271620867768597
ATSC4are,-1.5239435950413216
ATSC5are,-0.8722396177685948
ATSC6are,-1.4883283574380162
ATSC7are,3.407591322314048
ATSC8are,-0.6870910123966936
BCUTZ-1h,16.004505506272096
BCUTZ-1l,5.688493029719262
BCUTc-1h,0.443331515413231
BCUTc-1l,-0.44319411642428824
BCUTd-1h,3.276042837920837
BCUTd-1l,0.9714966968940376
BCUTi-1h,14.561551249557489
BCUTi-1l,10.311478169962243
BCUTm-1h,32.06224646180513
BCUTm-1l,11.70016804636754
BCUTp-1h,2.9366306576411985
BCUTp-1l,0.7414707924728845
BCUTs-1h,7.010460742110544
BCUTs-1l,0.6046747281620646
BCUTv-1h,24.440720504470207
BCUTv-1l,14.700468886134317
BalabanJ,1.479278154800428
Diameter,16
ETA_beta,34.0
GATS1are,0.8162096970247955
GATS2are,0.5929863184839516
GATS3are,0.9750522849170533
GATS4are,1.0760118868591526
GATS5are,1.0239466545354685
GATS6are,1.312577527160339
GATS7are,0.6610610257165547
GATS8are,0.9037805200077393
HybRatio,0.23529411764705882
Lipinski,True
LogEE_Dt,244.21643503597886
MATS1are,-0.1377229914758869
MATS2are,0.1581271688688068
MATS3are,-0.1403731019612688
MATS4are,-0.0908964078337834
MATS5are,-0.058178701919160754
MATS6are,-0.12309733761870786
MATS7are,0.2935798025328539
MATS8are,-0.06088739512815039
MAXssCH2,0.29708898534926664
MINssCH2,-0.11471081084471169
NsssssAs,0
RotRatio,0.1724137931034483
SM1_Dzpe,1.852432680538556
SM1_Dzse,1.7666502705957994
SMR_VSA1,19.490138947056174
SMR_VSA2,5.409283605791522
SMR_VSA3,9.467009378641833
SMR_VSA4,17.773744192475043
SMR_VSA5,12.965578028838586
SMR_VSA6,6.544756405912575
SMR_VSA7,50.76484909925227
SMR_VSA8,0.0
SMR_VSA9,0.0
SpAD_DzZ,232.26432201126045
SpAD_Dzi,237.89889261877101
SpAD_Dzm,232.29870564304383
SpAD_Dzp,316.1701932456528
SpAD_Dzv,296.6063510361167
SpAbs_Dt,488.43287007195767
SpDiam_A,4.836774055796658
SpDiam_D,246.7201293134302
SpMAD_Dt,18.0901062989614
SpMax_Dt,244.21643503597886
SsssssAs,0
VE1_Dzpe,5.084790493567703
VE1_Dzse,5.0838653115051935
VE2_Dzpe,0.18832557383584086
VE2_Dzse,0.18829130783352568
VE3_Dzpe,2.619505600790386
VE3_Dzse,2.6193236333636585
VMcGowan,268.84000000000015
VR1_Dzpe,165.27075973917084
VR1_Dzse,165.37786077702538
VR2_Dzpe,6.12113924959892
VR2_Dzse,6.125105954704644
VR3_Dzpe,6.1008368701099815
VR3_Dzse,6.10148469402307
mZagreb1,10.472222222222221
mZagreb2,5.861111111111112
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,1
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,1
n8FHRing,1
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,9
nBondsKS,37
nFAHRing,1
nFaHRing,0
nG12Ring,0
AATSC0are,0.16120883264462804
AATSC1are,-0.022202162684153787
AATSC2are,0.02549149630274031
AATSC3are,-0.022629383901881486
AATSC4are,-0.014653303798474246
AATSC5are,-0.009378920621167686
AATSC6are,-0.01984437809917355
AATSC7are,0.04732765725436178
AATSC8are,-0.009815585891381337
AETA_beta,1.2592592592592593
BCUTdv-1h,6.024531886129608
BCUTdv-1l,0.6531804262317775
BCUTpe-1h,3.501682821479312
BCUTpe-1l,2.237175571625005
BCUTse-1h,3.7145705497334536
BCUTse-1l,2.4330655132323002
ETA_alpha,12.666666666666668
ETA_dBeta,-2.0
ETA_eta_B,0.6404488591460265
ETA_eta_F,27.525408745916497
ETA_eta_L,5.8822507587811135
ETA_eta_R,49.393219364732204
ETA_psi_1,0.5226960110041269
LabuteASA,157.43138372982628
LogEE_DzZ,116.03442208634712
LogEE_Dzi,119.01359016773853
LogEE_Dzm,116.05083267206474
LogEE_Dzp,157.04209736778654
LogEE_Dzv,147.96595083158303
PEOE_VSA1,20.307204250644723
PEOE_VSA2,19.792895158006985
PEOE_VSA3,0.0
PEOE_VSA4,4.992404732635669
PEOE_VSA5,0.0
PEOE_VSA6,23.469520014857956
PEOE_VSA7,12.13273413692322
PEOE_VSA8,24.719331371983756
PEOE_VSA9,18.659506023687047
SM1_Dzare,2.0466057411377
SpAD_Dzpe,243.40255723151574
SpAD_Dzse,245.39981514867236
SpAbs_DzZ,230.27285048711863
SpAbs_Dzi,236.29529615994537
SpAbs_Dzm,230.31099828802778
SpAbs_Dzp,320.63698061250534
SpAbs_Dzv,298.966923841444
SpDiam_Dt,343.9613489235529
SpMAD_DzZ,8.60238229671335
SpMAD_Dzi,8.81107009699152
SpMAD_Dzm,8.603655764557178
SpMAD_Dzp,11.7100071572464
SpMAD_Dzv,10.985420408745062
SpMax_DzZ,116.03442208634712
SpMax_Dzi,119.01359016773853
SpMax_Dzm,116.05083267206474
SpMax_Dzp,157.04209736778654
SpMax_Dzv,147.96595083158303
VE1_Dzare,5.085319319795074
VE2_Dzare,0.18834515999241017
VE3_Dzare,2.619609596959071
VR1_Dzare,165.1903850184389
VR2_Dzare,6.118162408090329
VR3_Dzare,6.100350430335794
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,1
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,11
nAromBond,11
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.46913580246913583
AETA_dBeta,-0.07407407407407407
AETA_eta_B,0.023720328116519498
AETA_eta_F,1.0194595831820925
AETA_eta_L,0.21786113921411532
AETA_eta_R,1.8293784949900815
BCUTare-1h,3.555610488197576
BCUTare-1l,2.187435435554225
ETA_beta_s,18.0
ETA_dPsi_A,0.1913039889958731
ETA_dPsi_B,0.0
ETA_eta_BR,0.8984488591460265
ETA_eta_FL,6.891513944445956
ETA_eta_RL,12.77376470322707
LogEE_Dzpe,121.7698872335556
LogEE_Dzse,122.76533906583973
PEOE_VSA10,10.71276697945857
PEOE_VSA11,4.801402653462074
PEOE_VSA12,0.0
PEOE_VSA13,11.814359458703011
SlogP_VSA1,10.53507013062426
SlogP_VSA2,44.73757771180724
SlogP_VSA3,18.386965572661587
SlogP_VSA4,5.409283605791522
SlogP_VSA5,37.7078741630134
SlogP_VSA6,29.257873006482107
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
SpAD_Dzare,240.6204158956764
SpAbs_Dzpe,241.68734178657263
SpAbs_Dzse,243.76402786108366
SpDiam_DzZ,173.33188947419387
SpDiam_Dzi,179.50001067101618
SpDiam_Dzm,173.3538050940383
SpDiam_Dzp,234.19647118854786
SpDiam_Dzv,223.00915762905544
SpMAD_Dzpe,9.014909527093176
SpMAD_Dzse,9.088882042543421
SpMax_Dzpe,121.7698872335556
SpMax_Dzse,122.76533906583973
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,27
AETA_beta_s,0.6666666666666666
AETA_eta_BR,0.033275883672075054
AETA_eta_FL,0.25524125720170204
AETA_eta_RL,0.47310239641581736
DetourIndex,3230
EState_VSA1,11.876485017303356
EState_VSA2,24.70837754394736
EState_VSA3,33.0441372313184
EState_VSA4,11.336785877934737
EState_VSA5,4.899909730850478
EState_VSA6,35.88023990431498
EState_VSA7,0.0
EState_VSA8,4.992404732635669
EState_VSA9,16.249478477794412
ETA_beta_ns,16.0
ETA_shape_p,0.20789473684210524
ETA_shape_x,0.0
ETA_shape_y,0.41842105263157897
GhoseFilter,True
LogEE_Dzare,120.38600816047293
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SpAbs_Dzare,238.7254105798082
SpDiam_Dzpe,184.19970660385326
SpDiam_Dzse,185.79772821833515
SpMAD_Dzare,8.911867255395421
SpMax_Dzare,120.38600816047293
TopoPSA(NO),141.84
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.6810568363147729
VSA_EState9,71.54379385550516
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.5925925925925926
EState_VSA10,14.383611552215466
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.030864197530864154
FilterItLogS,-2.3950016159729843
SpDiam_Dzare,182.03269825605418
ETA_beta_ns_d,0.5
ETA_epsilon_1,0.6666666666666666
ETA_epsilon_2,0.8975308641975304
ETA_epsilon_3,0.44025974025974035
ETA_epsilon_4,0.6102564102564103
ETA_epsilon_5,0.8204301075268814
AETA_beta_ns_d,0.018518518518518517
ETA_dEpsilon_A,0.22640692640692628
ETA_dEpsilon_B,0.05641025641025632
ETA_dEpsilon_C,-0.16999666999666996
ETA_dEpsilon_D,0.07710075667064897
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.5925925925925926
MDEDescriptor,"0.0,1.2651296296072023,2.1018851385075292,0.0,4.613431189507326,15.203618954432164,0.0,8.284489103279105,0.0,0.0,0.9563464848741,0.0,0.0,0.4999999999999999,0.2857142857142857,0.3849001794597505,0.0,0.6324555320336759,0.33333333333333337"
APolDescriptor,52.86348099999998
BCUTDescriptor,"11.899999999999999,31.972072382135707,-0.3316319713827828,0.27907354844282567,3.8747405555457215,11.870043966962664"
BPolDescriptor,28.358518999999998
TPSADescriptor,141.84
ALOGPDescriptor,"0.9996999999999993,0.9994000899999985,95.0583"
XLogPDescriptor,1.1940000000000002
VAdjMaDescriptor,5.857980995127573
WeightDescriptor,387.10012515999995
ChiPathDescriptor,"19.714813991764814,12.773764703227073,12.140566614300065,9.890991442424676,7.676049692461167,6.0197681799682075,4.550548413901785,3.2191138464285802,15.246415814290787,8.82557634194817,6.975419901828811,5.367064063985576,3.77434553798942,2.551839251910035,1.621968675295373,1.006115697573518"
ChiChainDescriptor,"0.0,0.0,0.15713484026367722,0.5534122381445357,0.8946454667082706,0.0,0.0,0.10799379044025051,0.31968491260758025,0.44571430575245147"
AtomCountDescriptor,44
BondCountDescriptor,29
SmallRingDescriptor,"3,2,2,2,0,0,2,1,0,0,0"
ChiClusterDescriptor,"2.301016257295038,0.0,0.6896582824135327,0.0,0.9729036009869838,0.0,0.23922140579989523,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,4,6,2,2,1,0,0"
ZagrebIndexDescriptor,142.0
LargestChainDescriptor,17
MannholdLogPDescriptor,2.23
WeightedPathDescriptor,"54.267189165727174,2.0098958950269323,27.77400430066088,9.942482999449407,14.687374548325701"
FractionalPSADescriptor,0.36641682805287995
WienerNumbersDescriptor,"2090.0,42.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"5.2258000316984665,7.195458562259356,9.500560465777284,2.240397805158723,3.062390937454808,3.5047833090750187"
FractionalCSP3Descriptor,0.23529411764705882
KierHallSmartsDescriptor,"0,0,0,0,0,0,1,0,3,0,0,4,0,0,0,4,4,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,2
HBondDonorCountDescriptor,3
LargestPiSystemDescriptor,20
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,1
KappaShapeIndicesDescriptor,"21.702734839476815,9.212018140589569,4.950743801652893"
AromaticAtomsCountDescriptor,11
AromaticBondsCountDescriptor,10
FragmentComplexityDescriptor,1414.1
HBondAcceptorCountDescriptor,8
HybridizationRatioDescriptor,0.23529411764705882
AutocorrelationDescriptorMass,"38.02553068699619,35.32975764944068,54.825657157351195,56.69010965283565,46.43236735572027"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,6
AutocorrelationDescriptorCharge,"0.7338332951821332,-0.4576732491078198,0.2009511250581236,-0.18344005375387049,0.21042237863298754"
EccentricConnectivityIndexDescriptor,684
AutocorrelationDescriptorPolarizability,"1981.148614561092,2365.1731932776293,3419.4364833153318,3194.3560257076756,2562.8135799981433"
