DLiP-ID,C001SJ
AATSC4d,-0.08881185350852668
AATSC4i,-0.5226869455080397
AATSC4m,-6.635088861894472
AATSC4p,-0.032919042722244905
AATSC4s,-0.6080116578265933
AATSC4v,-2.667296264335779
AATSC5Z,-1.5519157340355496
AATSC5c,0.007235496327041422
AATSC5d,-0.002409479921000661
AATSC5i,0.349793045354507
AATSC5m,-7.421192502678176
AATSC5p,-0.002972370890274905
AATSC5s,-0.646673556357068
AATSC5v,-3.0884184573766302
AATSC6Z,-2.070536659108088
AATSC6c,-0.012099057667385775
AATSC6d,-0.016114890400604685
AATSC6i,-0.07736994523360104
AATSC6m,-10.053695196309077
AATSC6p,0.020371698898858218
AATSC6s,-1.2451456483794214
AATSC6v,2.6371649111742417
AATSC7Z,1.7683407275953866
AATSC7c,0.009011433636991832
AATSC7d,0.12876663708961847
AATSC7i,0.8079863557890851
AATSC7m,8.311962470971972
AATSC7p,0.05256652682864016
AATSC7s,1.9156808325107337
AATSC7v,1.1433836988617692
AATSC8Z,-0.5869387755102046
AATSC8c,-0.001972982898896927
AATSC8d,-0.04723562152133578
AATSC8i,-0.0049488914688897295
AATSC8m,-2.5005403566269684
AATSC8p,0.002325627253203209
AATSC8s,0.05444811203776554
AATSC8v,0.41412914496622355
ATS0are,256.4387
ATS1are,251.029
ATS2are,427.449
ATS3are,490.558
ATS4are,511.4621
ATS5are,455.4789
ATS6are,380.87899999999996
ATS7are,342.54609999999997
ATS8are,277.473
ATSC0dv,173.6416225749559
ATSC0pe,9.301754285714283
ATSC0se,6.6202116
ATSC1dv,26.004252960443438
ATSC1pe,-0.42374881632653144
ATSC1se,-0.3810071199999986
ATSC2dv,55.91946586041823
ATSC2pe,6.517679918367349
ATSC2se,4.80615036
ATSC3dv,-1.8599344923154466
ATSC3pe,-0.8044789387755129
ATSC3se,-1.0668042799999975
ATSC4dv,-56.10578987150414
ATSC4pe,-4.402758938775511
ATSC4se,-3.4722420800000005
ATSC5dv,-70.61524817334342
ATSC5pe,-2.4697904489795883
ATSC5se,-1.6841673200000022
ATSC6dv,-62.783230032753835
ATSC6pe,-5.161889469387754
ATSC6se,-3.67686904
ATSC7dv,34.47277399848827
ATSC7pe,6.121108653061227
ATSC7se,5.345231039999997
ATSC8dv,8.278044847568653
ATSC8pe,0.1434031836734667
ATSC8se,0.10649856000000377
AXp-0dv,0.5291059774875873
AXp-1dv,0.27464682040929533
AXp-2dv,0.1396249847711569
AXp-3dv,0.07599966742996331
AXp-4dv,0.03977541839609696
AXp-5dv,0.021035793906877584
AXp-6dv,0.010639263454628463
AXp-7dv,0.005293674706096331
BertzCT,944.5694318993742
ECIndex,517
ETA_eta,16.27892035364039
GATS1dv,0.4190840653562633
GATS1pe,0.5755299133261019
GATS1se,0.6316355834028351
GATS2dv,0.5680369682503537
GATS2pe,0.40321152989725306
GATS2se,0.4208336528863329
GATS3dv,0.8219331132049691
GATS3pe,0.7333732245242532
GATS3se,0.7858369766448478
GATS4dv,1.171290284322669
GATS4pe,1.2156250163311157
GATS4se,1.2433135450571788
GATS5dv,1.2708648225935542
GATS5pe,1.1957654209501773
GATS5se,1.2292397630779166
GATS6dv,1.323478350433867
GATS6pe,1.4206469933907218
GATS6se,1.4274779653848502
GATS7dv,0.8399513190868781
GATS7pe,0.4921203536547878
GATS7se,0.4341219769812322
GATS8dv,0.7275682943756008
GATS8pe,0.5515235305145904
GATS8se,0.5239183744519585
LogEE_A,4.146917133717883
LogEE_D,131.66643139066363
MATS1dv,0.14166314101715932
MATS1pe,-0.0430933200975965
MATS1se,-0.05444118138769752
MATS2dv,0.1910403968907215
MATS2pe,0.4156657090474841
MATS2se,0.43066692094293657
MATS3dv,-0.005135574068590051
MATS3pe,-0.04146627274676674
MATS3se,-0.07726059754790734
MATS4dv,-0.15491698269607174
MATS4pe,-0.2269369578169592
MATS4se,-0.2514683367522573
MATS5dv,-0.22957310556263777
MATS5pe,-0.1498896338210181
MATS5se,-0.1436116658460031
MATS6dv,-0.23434953945401377
MATS6pe,-0.3596815178903842
MATS6se,-0.35998182584666316
MATS7dv,0.15105413192476225
MATS7pe,0.500697517526982
MATS7se,0.6143343843256162
MATS8dv,0.037921831781044316
MATS8pe,0.0122633549308976
MATS8se,0.012796383069744571
MAXaaCH,1.7105506713704766
MAXaaaC,0.5912365234839985
MAXaasC,0.4386449494602458
MAXdssC,-0.9364814814814804
MAXssNH,2.2602853363567648
MDEC-22,7.913700407082503
MDEC-23,16.66801653168331
MDEC-24,1.6716106505387835
MDEC-33,6.44894465174176
MDEC-34,1.4065862087518948
MDEN-22,0.19999999999999996
MDEO-12,0.4999999999999999
MINaaCH,0.8189272066851432
MINaaaC,0.3696224384815656
MINaasC,-0.8713801950481248
MINdssC,-0.9364814814814804
MINssNH,2.2602853363567648
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,2.4327731092436977
SM1_Dzi,1.9895380358169619
SM1_Dzm,2.548083201192032
SM1_Dzp,-8.961621214504163
SM1_Dzv,-2.993328578767422
SddssSe,0
SpAD_Dt,497.722651263735
SpAbs_A,31.45228329151925
SpAbs_D,263.33286278132755
SpMAD_A,1.25809133166077
SpMAD_D,10.533314511253103
SpMax_A,2.4180929626491037
SpMax_D,131.66643139066363
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,51.22
TpiPC10,8.541100434709254
VAdjMat,5.754887502163468
VE1_DzZ,4.9418757967505575
VE1_Dzi,4.939456202268242
VE1_Dzm,4.942774399222196
VE1_Dzp,4.929970279932405
VE1_Dzv,4.942809315827871
VE2_DzZ,0.1976750318700223
VE2_Dzi,0.19757824809072969
VE2_Dzm,0.19771097596888784
VE2_Dzp,0.1971988111972962
VE2_Dzv,0.19771237263311484
VE3_DzZ,2.514035706941541
VE3_Dzi,2.51354597650218
VE3_Dzm,2.5142175247006517
VE3_Dzp,2.511623691499306
VE3_Dzv,2.5142245888471266
VR1_DzZ,142.87143765516043
VR1_Dzi,143.26096704630493
VR1_Dzm,142.762463201336
VR1_Dzp,144.22952249035922
VR1_Dzv,143.06860971222392
VR2_DzZ,5.7148575062064175
VR2_Dzi,5.730438681852197
VR2_Dzm,5.71049852805344
VR2_Dzp,5.769180899614368
VR2_Dzv,5.722744388488957
VR3_DzZ,5.8782359203810755
VR3_Dzi,5.880958643325998
VR3_Dzm,5.877472884489432
VR3_Dzp,5.887696668712927
VR3_Dzv,5.879615035269877
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.0
Xch-6dv,0.07012768525670787
Xch-7dv,0.10276738471881472
Xpc-4dv,1.2523347615768663
Xpc-5dv,1.5334297134843018
Xpc-6dv,1.8715476481214883
Zagreb1,132.0
Zagreb2,153.0
fragCpx,129.08
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,0
n5aRing,0
n6ARing,0
n6FRing,0
n6HRing,1
n6aRing,3
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,17
nBondsD,1
nBondsM,18
nBondsO,27
nBondsS,19
nBondsT,0
nFARing,0
nFHRing,1
nFaRing,1
nHetero,8
naHRing,1
AATS0are,7.32682
AATS1are,6.784567567567567
AATS2are,7.244898305084746
AATS3are,6.719972602739726
AATS4are,7.006330136986302
AATS5are,7.346433870967742
AATS6are,7.053314814814814
AATS7are,7.446654347826086
AATS8are,6.306204545454546
AATSC0dv,4.961189216427312
AATSC0pe,0.26576440816326524
AATSC0se,0.18914890285714286
AATSC1dv,0.7028176475795523
AATSC1pe,-0.011452670711527876
AATSC1se,-0.010297489729729692
AATSC2dv,0.9477875569562412
AATSC2pe,0.11046915115876862
AATSC2se,0.08146017559322034
AATSC3dv,-0.025478554689252694
AATSC3pe,-0.011020259435280998
AATSC3se,-0.014613757260273938
AATSC4dv,-0.7685724639932074
AATSC4pe,-0.060311766284596044
AATSC4se,-0.04756496
AATSC5dv,-1.1389556156990874
AATSC5pe,-0.03983532982225142
AATSC5se,-0.027163989032258102
AATSC6dv,-1.16265240801396
AATSC6pe,-0.09559054572940286
AATSC6se,-0.0680901674074074
AATSC7dv,0.749408130401919
AATSC7pe,0.1330675794143745
AATSC7se,0.11620067478260863
AATSC8dv,0.18813738289928758
AATSC8pe,0.0032591632653060612
AATSC8se,0.0024204218181819036
AETA_eta,0.6511568141456157
ATSC0are,10.545188571428568
ATSC1are,-0.5337050612244904
ATSC2are,8.032422122448976
ATSC3are,-0.9329161632653079
ATSC4are,-5.023704734693876
ATSC5are,-2.604971183673467
ATSC6are,-5.7045709387755075
ATSC7are,7.1064407346938765
ATSC8are,0.2633657959183645
BCUTZ-1h,17.001103217030078
BCUTZ-1l,5.674012992878123
BCUTc-1h,0.5093100482086355
BCUTc-1l,-0.44391312090291996
BCUTd-1h,4.022106957103572
BCUTd-1l,0.9777916276815883
BCUTi-1h,17.4306995852616
BCUTi-1l,10.936431913785638
BCUTm-1h,35.450517470466906
BCUTm-1l,11.687214046617107
BCUTp-1h,2.208258798607215
BCUTp-1l,0.5269790675800785
BCUTs-1h,8.00738908663215
BCUTs-1l,1.2189612770564888
BCUTv-1h,22.455865019268632
BCUTv-1l,13.302787436487383
BalabanJ,1.506794732895893
Diameter,12
ETA_beta,35.25
GATS1are,0.5949730211275626
GATS2are,0.3923437646492799
GATS3are,0.7185724693735174
GATS4are,1.2101709453061957
GATS5are,1.1943340163189369
GATS6are,1.4180355098027504
GATS7are,0.4904668306648059
GATS8are,0.5150067393325386
HybRatio,0.058823529411764705
Lipinski,False
LogEE_Dt,248.86132563186752
MATS1are,-0.04787549654294576
MATS2are,0.4518644822762632
MATS3are,-0.042416365378279586
MATS4are,-0.22840990859622357
MATS5are,-0.13945205805349653
MATS6are,-0.350625032914532
MATS7are,0.5127527531086328
MATS8are,0.019866455498778874
MAXssssC,-4.502087136590429
MINssssC,-4.502087136590429
NsssssAs,0
RotRatio,0.07407407407407407
SM1_Dzpe,2.1107377034374735
SM1_Dzse,1.927799759323917
SMR_VSA1,22.70264528089633
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,6.176298517443475
SMR_VSA6,5.316788604006331
SMR_VSA7,65.31386492474428
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
SpAD_DzZ,189.90198410034535
SpAD_Dzi,190.90447149658047
SpAD_Dzm,189.4163387918874
SpAD_Dzp,332.5029043436716
SpAD_Dzv,264.31931899560095
SpAbs_Dt,497.722651263735
SpDiam_A,4.836185925298207
SpDiam_D,201.86061740065293
SpMAD_Dt,19.908906050549398
SpMax_Dt,248.86132563186752
SsssssAs,0
VE1_Dzpe,4.9388884148508785
VE1_Dzse,4.93870287742951
VE2_Dzpe,0.19755553659403513
VE2_Dzse,0.1975481150971804
VE3_Dzpe,2.513431020517145
VE3_Dzse,2.5133934531758975
VMcGowan,228.32999999999984
VR1_Dzpe,143.29197917197425
VR1_Dzse,143.32347572289024
VR2_Dzpe,5.73167916687897
VR2_Dzse,5.7329390289156095
VR3_Dzpe,5.881175092859669
VR3_Dzse,5.881394875502265
mZagreb1,8.840277777777779
mZagreb2,5.333333333333332
n10ARing,0
n10FRing,1
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,0
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,1
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,9
nBondsKS,28
nFAHRing,0
nFaHRing,1
nG12Ring,0
AATSC0are,0.3012911020408162
AATSC1are,-0.014424461114175415
AATSC2are,0.13614274783811822
AATSC3are,-0.012779673469387779
AATSC4are,-0.0688178730779983
AATSC5are,-0.04201566425279785
AATSC6are,-0.10564020256991681
AATSC7are,0.15448784205856253
AATSC8are,0.005985586270871921
AETA_beta,1.41
BCUTdv-1h,7.014091966940184
BCUTdv-1l,0.774007668128335
BCUTpe-1h,4.007154911402676
BCUTpe-1l,2.218939059481143
BCUTse-1h,4.030600692654088
BCUTse-1l,2.414693337144
ETA_alpha,11.538095238095238
ETA_dBeta,2.75
ETA_eta_B,0.5718584038326746
ETA_eta_F,28.204883918776762
ETA_eta_L,4.543410163874345
ETA_eta_R,44.48380427241715
ETA_psi_1,0.48353622031530635
LabuteASA,144.744496015855
LogEE_DzZ,95.04830297454242
LogEE_Dzi,95.53181726972292
LogEE_Dzm,94.81009272399137
LogEE_Dzp,164.28607468039917
LogEE_Dzv,131.56099378204698
PEOE_VSA1,4.736862953800049
PEOE_VSA2,10.30076712495354
PEOE_VSA3,4.794537184071822
PEOE_VSA4,13.171245143024459
PEOE_VSA5,0.0
PEOE_VSA6,17.667306958694127
PEOE_VSA7,42.46456947923127
PEOE_VSA8,17.270454060761434
PEOE_VSA9,10.586084805438322
SM1_Dzare,2.2301035574832277
SpAD_Dzpe,190.0376686451731
SpAD_Dzse,192.35203220542377
SpAbs_DzZ,187.71760635106529
SpAbs_Dzi,189.18036190449143
SpAbs_Dzm,187.12582056810288
SpAbs_Dzp,337.5337705753026
SpAbs_Dzv,266.1153161428614
SpDiam_Dt,362.2463456927442
SpMAD_DzZ,7.596079364013814
SpMAD_Dzi,7.636178859863219
SpMAD_Dzm,7.576653551675496
SpMAD_Dzp,13.300116173746865
SpMAD_Dzv,10.572772759824039
SpMax_DzZ,95.04830297454242
SpMax_Dzi,95.53181726972292
SpMax_Dzm,94.81009272399137
SpMax_Dzp,164.28607468039917
SpMax_Dzv,131.56099378204698
VE1_Dzare,4.937598875324057
VE2_Dzare,0.19750395501296228
VE3_Dzare,2.5131698872829777
VR1_Dzare,143.42006754203896
VR2_Dzare,5.736802701681558
VR3_Dzare,5.882068591267247
n10AHRing,0
n10FARing,0
n10FHRing,1
n10FaRing,1
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,16
nAromBond,17
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.4615238095238095
AETA_dBeta,0.11
AETA_eta_B,0.022874336153306984
AETA_eta_F,1.1281953567510705
AETA_eta_L,0.1817364065549738
AETA_eta_R,1.7793521708966862
BCUTare-1h,4.124532374068911
BCUTare-1l,2.168972445960492
ETA_beta_s,16.25
ETA_dPsi_A,0.23046377968469361
ETA_dPsi_B,0.0
ETA_eta_BR,0.8298584038326746
ETA_eta_FL,7.298944994666076
ETA_eta_RL,11.842355158540421
LogEE_Dzpe,95.10326383072406
LogEE_Dzse,96.25312809308483
PEOE_VSA10,5.516700717616262
PEOE_VSA11,5.749511833283905
PEOE_VSA12,0.0
PEOE_VSA13,0.0
SlogP_VSA1,10.05365155780638
SlogP_VSA2,11.077218591885623
SlogP_VSA3,6.176298517443475
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,54.72778011930596
SlogP_VSA7,5.022633313741326
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
SpAD_Dzare,187.16011554403326
SpAbs_Dzpe,188.15955231358578
SpAbs_Dzse,190.63062670205449
SpDiam_DzZ,148.00734606208138
SpDiam_Dzi,148.23689558271587
SpDiam_Dzm,147.75793294876888
SpDiam_Dzp,261.95178049361897
SpDiam_Dzv,209.038423464028
SpMAD_Dzpe,7.601506745806924
SpMAD_Dzse,7.6940812882169505
SpMax_Dzpe,95.10326383072406
SpMax_Dzse,96.25312809308483
n10FAHRing,0
n10FaHRing,1
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,25
AETA_beta_s,0.65
AETA_eta_BR,0.03319433615330698
AETA_eta_FL,0.29195779978664305
AETA_eta_RL,0.47369420634161685
DetourIndex,3028
EState_VSA1,17.832990080078886
EState_VSA2,11.436898107967467
EState_VSA3,15.925558245822383
EState_VSA4,12.13273413692322
EState_VSA5,24.395944776997908
EState_VSA6,18.19910120538483
EState_VSA7,0.0
EState_VSA8,10.30076712495354
EState_VSA9,16.337802844032566
ETA_beta_ns,19.0
ETA_shape_p,0.1650846058605035
ETA_shape_x,0.04333470903838217
ETA_shape_y,0.3033429632686752
GhoseFilter,True
LogEE_Dzare,93.66926191431597
SlogP_VSA10,23.653168601779846
SlogP_VSA11,5.749511833283905
SpAbs_Dzare,185.1871467724087
SpDiam_Dzpe,147.4912849355376
SpDiam_Dzse,149.35965296372595
SpMAD_Dzare,7.486404621761331
SpMax_Dzare,93.66926191431597
TopoPSA(NO),51.22
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,38.09931886459161
VSA_EState9,30.8756463320565
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.76
EState_VSA10,17.96578232709628
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.03847619047619048
FilterItLogS,-6.047332975564858
SpDiam_Dzare,144.9418575251383
ETA_beta_ns_d,1.5
ETA_epsilon_1,0.7674829931972791
ETA_epsilon_2,0.9544761904761905
ETA_epsilon_3,0.44084507042253557
ETA_epsilon_4,0.6339164237123424
ETA_epsilon_5,0.9293040293040293
AETA_beta_ns_d,0.06
ETA_dEpsilon_A,0.3266379227747435
ETA_dEpsilon_B,0.13356656948493673
ETA_dEpsilon_C,-0.1930713532898068
ETA_dEpsilon_D,0.025172161172161145
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.76
MDEDescriptor,"0.0,0.0,0.0,0.0,7.913700407082503,16.66801653168331,1.6716106505387835,6.44894465174176,1.4065862087518948,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0"
APolDescriptor,44.24292999999999
BCUTDescriptor,"11.850000000000005,34.968853810572085,-0.262851817424069,0.41677188490044814,3.5764816894531233,10.225720270663532"
BPolDescriptor,19.815069999999995
TPSADescriptor,51.22
ALOGPDescriptor,"5.449000000000001,29.69160100000001,84.21589999999999"
XLogPDescriptor,4.663
VAdjMaDescriptor,5.754887502163469
WeightDescriptor,366.03828998000006
ChiPathDescriptor,"18.02673325856595,11.842355158540425,11.599036469305714,8.652433094958946,7.151512767797733,5.889818179234215,3.674120927344874,2.7723384604370844,13.227649437189681,7.415464151050974,5.4453744060751195,3.6479840366382392,2.426300522161913,1.5987203369226963,0.7766662321878777,0.4234939764877063"
ChiChainDescriptor,"0.0,0.0,0.0,0.2222222222222222,0.37022396238379673,0.0,0.0,0.0,0.07012768525670787,0.10276738471881472"
AtomCountDescriptor,35
BondCountDescriptor,27
SmallRingDescriptor,"3,3,2,2,0,0,0,3,0,0,0"
ChiClusterDescriptor,"2.67769670494668,0.2886751345948129,0.6528346840566897,0.14433756729740646,0.6931331186960634,0.01349873117890097,0.11227343236700492,0.004499577059633658"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,1,12,2,1,0,0,0"
ZagrebIndexDescriptor,132.0
LargestChainDescriptor,13
MannholdLogPDescriptor,2.45
WeightedPathDescriptor,"50.592346659985,2.0236938663994,21.516972705187356,5.6451285896901835,6.161871433305786"
FractionalPSADescriptor,0.13993071599913387
WienerNumbersDescriptor,"1602.0,39.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"4.420887505012236,6.4135232456936295,8.87054325244447,1.252334761576866,1.533429713484302,1.7143212239796817"
FractionalCSP3Descriptor,0.058823529411764705
KierHallSmartsDescriptor,"0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,4,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,1
LargestPiSystemDescriptor,20
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"19.753086419753085,8.347140039447732,5.041666666666667"
AromaticAtomsCountDescriptor,16
AromaticBondsCountDescriptor,17
FragmentComplexityDescriptor,769.08
HBondAcceptorCountDescriptor,3
HybridizationRatioDescriptor,0.058823529411764705
AutocorrelationDescriptorMass,"39.487980998611576,32.35812963813304,52.531514880421135,51.557035669277326,48.82247293190807"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,5
AutocorrelationDescriptorCharge,"0.660803195530389,-0.4681587998061914,0.19070355550294377,0.030056522308211462,-0.19353467891961243"
EccentricConnectivityIndexDescriptor,517
AutocorrelationDescriptorPolarizability,"1438.2208601835982,1683.1055874288215,2329.3847771326314,2315.9133316096563,1898.1220818176996"
