DLiP-ID,C002WJ
AATSC4s,-0.02125950972104818
AATSC4v,-4.8810643430642635
AATSC5Z,0.35909803294418674
AATSC5c,0.0014397034408078983
AATSC5d,0.0038701423316808074
AATSC5i,-0.0953265655535865
AATSC5m,1.595565918918919
AATSC5p,-0.012389966459240204
AATSC5s,0.2347415462800078
AATSC5v,-1.51640140802268
AATSC6Z,0.7254959143420682
AATSC6c,0.0013484732999961269
AATSC6d,-0.020883347421808942
AATSC6i,-0.0964697373131712
AATSC6m,3.4031460535714295
AATSC6p,-0.003179694965592392
AATSC6s,0.035710372248833805
AATSC6v,1.768241128791434
AATSC7Z,-0.3253801995937471
AATSC7c,-0.0009238797568578968
AATSC7d,-0.08085136447937825
AATSC7i,0.27911319654865274
AATSC7m,-1.3974354402985079
AATSC7p,0.024709253133062024
AATSC7s,-0.14196276997654722
AATSC7v,3.8377386767610786
AATSC8Z,-2.451432549351101
AATSC8c,-0.0022187068059872092
AATSC8d,-0.040582765650638945
AATSC8i,-0.21509066128641402
AATSC8m,-11.623158663865546
AATSC8p,-0.040207881052364225
AATSC8s,-0.33666208100597245
AATSC8v,-13.196297842532601
ATS0are,400.9994000000001
ATS1are,442.804
ATS2are,780.1439
ATS3are,995.3546000000001
ATS4are,1064.3459
ATS5are,1097.0879000000002
ATS6are,992.9069000000001
ATS7are,823.9538
ATS8are,729.697
ATSC0dv,255.0153846153846
ATSC0pe,7.124021538461535
ATSC0se,4.379445784615383
ATSC1dv,83.90674556213017
ATSC1pe,0.32358790532545
ATSC1se,-0.1395075559763328
ATSC2dv,13.401893491124245
ATSC2pe,-0.5680927337277999
ATSC2se,-0.3943315342011861
ATSC3dv,-18.545562130177515
ATSC3pe,-0.27155455621300995
ATSC3se,0.000994868639051627
ATSC4dv,-0.17988165680474277
ATSC4pe,-1.2204318343195237
ATSC4se,-0.7119680662721894
ATSC5dv,92.04852071005917
ATSC5pe,2.949920236686384
ATSC5se,2.036228766863907
ATSC6dv,23.791005917159758
ATSC6pe,1.7641597159763227
ATSC6se,0.6791147105325456
ATSC7dv,-128.9086390532544
ATSC7pe,-2.589444402366861
ATSC7se,-1.7620217098224864
ATSC8dv,-143.643550295858
ATSC8pe,-3.666554816568041
ATSC8se,-1.724600067218935
AXp-0dv,0.5683191368651433
AXp-1dv,0.30679957633359756
AXp-2dv,0.16168673217927076
AXp-3dv,0.08890803109399037
AXp-4dv,0.04779157417357326
AXp-5dv,0.02557335978480741
AXp-6dv,0.013858808439106295
AXp-7dv,0.008134197790185363
BertzCT,1369.6325612269227
ECIndex,1246
ETA_eta,30.376773607140105
GATS1dv,0.5310279223322703
GATS1pe,0.733544316090727
GATS1se,0.8005023754235318
GATS2dv,1.0038610038610039
GATS2pe,1.0532897712173241
GATS2se,1.0551607454353624
GATS3dv,1.0548383204633205
GATS3pe,1.0142782361043265
GATS3se,0.9930796301390802
GATS4dv,0.9472145615002759
GATS4pe,1.0123925435621033
GATS4se,1.0153196001369498
GATS5dv,0.7827402692267558
GATS5pe,0.7587405926753581
GATS5se,0.704152601083374
GATS6dv,0.935144328001471
GATS6pe,0.8844442659224026
GATS6se,0.8872635620509051
GATS7dv,1.3484700051864233
GATS7pe,1.4206632821440288
GATS7se,1.50186718455413
GATS8dv,1.2843515784692257
GATS8pe,1.394763145427185
GATS8se,1.423298102204273
LogEE_A,4.493231748090017
LogEE_D,275.4391595602512
MATS1dv,0.3099522270717923
MATS1pe,0.04278891978785031
MATS1se,-0.030008400124200165
MATS2dv,0.027999695392113392
MATS2pe,-0.04248616550351241
MATS2se,-0.04797288976594532
MATS3dv,-0.029543843508687263
MATS3pe,-0.015485500410960182
MATS3se,9.228687932032902e-05
MATS4dv,-0.00026199669056813237
MATS4pe,-0.06363024736799779
MATS4se,-0.06038327559327606
MATS5dv,0.12682125900031307
MATS5pe,0.14548783379482694
MATS5se,0.16336124799429638
MATS6dv,0.0360952869323405
MATS6pe,0.0958113042172517
MATS6se,0.059996796011870634
MATS7dv,-0.24520210842505616
MATS7pe,-0.17631526947050222
MATS7se,-0.19516442615270757
MATS8dv,-0.3076707034165018
MATS8pe,-0.28112492572404457
MATS8se,-0.21509763709982765
MAXaaCH,2.0995122692863495
MAXaaaC,0.7997059071099503
MAXaasC,1.216023807333106
MAXaasN,1.812957209166851
MAXdssC,-0.18121831114345532
MAXsCH3,1.6784661815128925
MAXssNH,2.967791264581835
MAXsssN,2.42525945872176
MDEC-12,1.8726335900463877
MDEC-13,0.6734451022501587
MDEC-22,24.721908169934864
MDEC-23,21.61387193141992
MDEC-33,3.8924669060941985
MDEN-22,0.19999999999999996
MDEN-23,1.6362109478989633
MDEN-33,0.9104803978158382
MDEO-11,0.19999999999999996
MDEO-12,0.12964074471043285
MINaaCH,1.6387905425001845
MINaaaC,0.505630499984584
MINaasC,0.8695951366144354
MINaasN,1.4567366819412948
MINdssC,-0.18121831114345532
MINsCH3,1.6784661815128925
MINssNH,2.967791264581835
MINsssN,2.384578252195392
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,1.6071428571428574
SM1_Dzi,1.8709000703807908
SM1_Dzm,1.6027978081892065
SM1_Dzp,-6.355973702108365
SM1_Dzv,-3.1129312036346497
SddssSe,0
SpAD_Dt,980.5124860208797
SpAbs_A,46.95241442094993
SpAbs_D,550.8783191205025
SpMAD_A,1.3414975548842836
SpMAD_D,15.739380546300072
SpMax_A,2.5256503331556486
SpMax_D,275.4391595602512
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,84.11
TpiPC10,9.428370952429047
VAdjMat,6.285402218862249
VE1_DzZ,5.8503778232528685
VE1_Dzi,5.846890292860765
VE1_Dzm,5.850373134629882
VE1_Dzp,5.842464075353251
VE1_Dzv,5.849290623174025
VE2_DzZ,0.1671536520929391
VE2_Dzi,0.16705400836745044
VE2_Dzm,0.16715351813228232
VE2_Dzp,0.16692754501009288
VE2_Dzv,0.1671225892335436
VE3_DzZ,3.0192692128250314
VE3_Dzi,3.0186729145337
VE3_Dzm,3.019268411402455
VE3_Dzp,3.017915607058945
VE3_Dzv,3.019083361390531
VR1_DzZ,239.76944343902417
VR1_Dzi,240.23546726410143
VR1_Dzm,239.7703448329077
VR1_Dzp,240.94132496504093
VR1_Dzv,240.0464061918864
VR2_DzZ,6.850555526829262
VR2_Dzi,6.863870493260041
VR2_Dzm,6.8505812809402205
VR2_Dzp,6.884037856144027
VR2_Dzv,6.858468748339612
VR3_DzZ,6.732440777777777
VR3_Dzi,6.734382524460403
VR3_Dzm,6.732444537190053
VR3_Dzp,6.73731640746829
VR3_Dzv,6.733595232278751
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.04303314829119352
Xch-6dv,0.15482750021456806
Xch-7dv,0.1968917047506354
Xpc-4dv,1.9754706933852635
Xpc-5dv,2.715366077807586
Xpc-6dv,3.453235052506895
Zagreb1,186.0
Zagreb2,221.0
fragCpx,331.09
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,1
n5aRing,1
n6ARing,1
n6FRing,0
n6HRing,3
n6aRing,3
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,21
nBondsD,2
nBondsM,23
nBondsO,39
nBondsS,46
nBondsT,0
nFARing,0
nFHRing,1
nFaRing,1
nHetero,9
naHRing,3
AATS0are,6.16922153846154
AATS1are,6.417449275362318
AATS2are,6.394622131147541
AATS3are,6.220966250000001
AATS4are,6.081976571428571
AATS5are,5.930204864864866
AATS6are,5.910160119047619
AATS7are,6.148908955223881
AATS8are,6.1319075630252105
AATSC0dv,3.9233136094674554
AATSC0pe,0.10960033136094668
AATSC0se,0.06737608899408282
AATSC1dv,1.2160397907555096
AATSC1pe,0.0046896797873253624
AATSC1se,-0.0020218486373381563
AATSC2dv,0.10985158599282167
AATSC2pe,-0.004656497817440983
AATSC2se,-0.0032322256901736565
AATSC3dv,-0.11590976331360947
AATSC3pe,-0.0016972159763313122
AATSC3se,6.217928994072669e-06
AATSC4dv,-0.0010278951817413874
AATSC4pe,-0.006973896196111564
AATSC4se,-0.004068388950126797
AATSC5dv,0.4975595714057252
AATSC5pe,0.015945514792899372
AATSC5se,0.011006641983048146
AATSC6dv,0.14161313045928428
AATSC6pe,0.010500950690335254
AATSC6se,0.004042349467455629
AATSC7dv,-0.9620047690541373
AATSC7pe,-0.01932421195796165
AATSC7se,-0.013149415744943929
AATSC8dv,-1.2070886579483866
AATSC8pe,-0.030811385013176814
AATSC8se,-0.014492437539654917
AETA_eta,0.8679078173468602
ATSC0are,7.546993846153843
ATSC1are,0.12386499408284499
ATSC2are,-0.6900084497041327
ATSC3are,-0.13699100591715394
ATSC4are,-1.2531049704141992
ATSC5are,3.3013390532544307
ATSC6are,1.6530943668638987
ATSC7are,-2.927984236686386
ATSC8are,-3.507622579881652
BCUTZ-1h,8.023698893692856
BCUTZ-1l,5.6989205106999306
BCUTc-1h,0.4753551409646768
BCUTc-1l,-0.5293580485935913
BCUTd-1h,3.3207904405806983
BCUTd-1l,0.9771628436293887
BCUTi-1h,14.559899168690949
BCUTi-1l,10.960203301889297
BCUTm-1h,16.011571132793364
BCUTm-1l,11.71087250093439
BCUTp-1h,1.9885328667363622
BCUTp-1l,0.748329316637456
BCUTs-1h,7.009367040447941
BCUTs-1l,1.3492803892723344
BCUTv-1h,20.885615665526537
BCUTv-1l,14.701767442096358
BalabanJ,0.991882930715032
Diameter,20
ETA_beta,44.5
GATS1are,0.7721465826046977
GATS2are,1.082382547640809
GATS3are,1.0174037711602337
GATS4are,1.011084282390351
GATS5are,0.7365464269172846
GATS6are,0.8845729574920576
GATS7are,1.455059537213047
GATS8are,1.3842426270904282
HybRatio,0.34615384615384615
Lipinski,True
LogEE_Dt,489.94107997042994
MATS1are,0.015461045430054134
MATS2are,-0.04871177321796431
MATS3are,-0.007374140921316094
MATS4are,-0.061672103952779674
MATS5are,0.15369430017768831
MATS6are,0.08474766184466052
MATS7are,-0.18819292688346853
MATS8are,-0.25386641873462856
MAXssCH2,0.9904322996481879
MINssCH2,-0.04706137625959994
NsssssAs,0
RotRatio,0.20512820512820512
SM1_Dzpe,1.7432680538555694
SM1_Dzse,1.587062359329325
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,24.168471109857165
SMR_VSA4,0.0
SMR_VSA5,12.965578028838586
SMR_VSA6,51.27824570760346
SMR_VSA7,71.27842777004287
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
SpAD_DzZ,447.0992059200502
SpAD_Dzi,426.5452759056959
SpAD_Dzm,447.2089181107675
SpAD_Dzp,650.004726218172
SpAD_Dzv,583.1954780427791
SpAbs_Dt,980.5124860208797
SpDiam_A,5.0070243943759625
SpDiam_D,436.7325626297725
SpMAD_Dt,28.01464245773942
SpMax_Dt,489.94107997042994
SsssssAs,0
VE1_Dzpe,5.850110805359975
VE1_Dzse,5.8504101817911875
VE2_Dzpe,0.167146023010285
VE2_Dzse,0.16715457662260536
VE3_Dzpe,3.019223570646928
VE3_Dzse,3.019274743826585
VMcGowan,357.39000000000135
VR1_Dzpe,239.7993945242211
VR1_Dzse,239.76598827493328
VR2_Dzpe,6.851411272120603
VR2_Dzse,6.850456807855236
VR3_Dzpe,6.732565686165749
VR3_Dzse,6.732426367313555
mZagreb1,9.472222222222221
mZagreb2,7.777777777777778
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,1
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,2
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,10
nBondsKS,59
nFAHRing,0
nFaHRing,1
nG12Ring,0
AATSC0are,0.11610759763313604
AATSC1are,0.001795144841780362
AATSC2are,-0.005655806964787973
AATSC3are,-0.0008561937869822121
AATSC4are,-0.007160599830938281
AATSC5are,0.017845075963537464
AATSC6are,0.00983984742180892
AATSC7are,-0.021850628631987955
AATSC8are,-0.02947581999900548
AETA_beta,1.2714285714285714
BCUTdv-1h,6.023554188152199
BCUTdv-1l,0.9975664088246694
BCUTpe-1h,3.493138699195799
BCUTpe-1l,2.247234542005896
BCUTse-1h,3.705666956233465
BCUTse-1l,2.443106624402111
ETA_alpha,16.4
ETA_dBeta,-4.5
ETA_eta_B,0.278851971588292
ETA_eta_F,35.2597647937646
ETA_eta_L,8.151004190470683
ETA_eta_R,65.63653840090471
ETA_psi_1,0.5616438356164385
LabuteASA,203.08729864504295
LogEE_DzZ,223.4896176068938
LogEE_Dzi,213.11795685792376
LogEE_Dzm,223.54460775768524
LogEE_Dzp,324.08347869537204
LogEE_Dzv,291.15303456372743
PEOE_VSA1,19.35425589491865
PEOE_VSA2,19.056083746785475
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,61.49651457653146
PEOE_VSA8,50.80485544747259
PEOE_VSA9,12.626498258893795
SM1_Dzare,1.9711493718008375
SpAD_Dzpe,442.0247439374824
SpAD_Dzse,447.82276475882816
SpAbs_DzZ,445.8192023792473
SpAbs_Dzi,425.09734407536087
SpAbs_Dzm,445.93233132304056
SpAbs_Dzp,654.5229310928526
SpAbs_Dzv,585.4190003310898
SpDiam_Dt,712.5919310781587
SpMAD_DzZ,12.77426302628715
SpMAD_Dzi,12.187007883019882
SpMAD_Dzm,12.777397660307644
SpMAD_Dzp,18.571563606233486
SpMAD_Dzv,16.662727944079403
SpMax_DzZ,223.4896176068938
SpMax_Dzi,213.11795685792376
SpMax_Dzm,223.54460775768524
SpMax_Dzp,324.08347869537204
SpMax_Dzv,291.15303456372743
VE1_Dzare,5.850012667642349
VE2_Dzare,0.16714321907549567
VE3_Dzare,3.0192067951457373
VR1_Dzare,239.79977343160257
VR2_Dzare,6.851422098045788
VR3_Dzare,6.7325672662659946
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,19
nAromBond,21
nG12ARing,0
nG12FRing,1
nG12HRing,0
nG12aRing,0
AETA_alpha,0.4685714285714285
AETA_dBeta,-0.12857142857142856
AETA_eta_B,0.007967199188236915
AETA_eta_F,1.0074218512504172
AETA_eta_L,0.2328858340134481
AETA_eta_R,1.8753296685972776
BCUTare-1h,3.547183416111603
BCUTare-1l,2.197598529377393
ETA_beta_s,24.5
ETA_dPsi_A,0.15235616438356148
ETA_dPsi_B,0.0
ETA_eta_BR,0.7088519715882919
ETA_eta_FL,8.98435740031412
ETA_eta_RL,17.135361590784804
LogEE_Dzpe,220.93807494600796
LogEE_Dzse,223.85334226024557
PEOE_VSA10,17.810968956812744
PEOE_VSA11,5.647177220767728
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.559266895052008
SlogP_VSA1,20.512828183708866
SlogP_VSA2,71.13719821195534
SlogP_VSA3,11.339293589984397
SlogP_VSA4,0.0
SlogP_VSA5,6.4208216229260096
SlogP_VSA6,65.71916087499085
SlogP_VSA7,0.0
SlogP_VSA8,16.68057865600025
SlogP_VSA9,0.0
SpAD_Dzare,434.95173518570675
SpAbs_Dzpe,440.6417698197221
SpAbs_Dzse,446.5580730639921
SpDiam_DzZ,364.56316281384153
SpDiam_Dzi,346.8695723330192
SpDiam_Dzm,364.6511101955581
SpDiam_Dzp,526.1717159211767
SpDiam_Dzv,474.5552882826731
SpMAD_Dzpe,12.629278398213783
SpMAD_Dzse,12.794936135966518
SpMax_Dzpe,220.93807494600796
SpMax_Dzse,223.85334226024557
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,1
nG12FaRing,1
nG12aHRing,0
nHeavyAtom,35
AETA_beta_s,0.7
AETA_eta_BR,0.0202529134739512
AETA_eta_FL,0.2566959257232606
AETA_eta_RL,0.4895817597367087
DetourIndex,8287
EState_VSA1,0.0
EState_VSA2,18.01120303031609
EState_VSA3,17.708634344296563
EState_VSA4,50.41081620338905
EState_VSA5,10.254485922474917
EState_VSA6,19.37300818135222
EState_VSA7,40.92937352018292
EState_VSA8,32.23332072357771
EState_VSA9,4.736862953800049
ETA_beta_ns,20.0
ETA_shape_p,0.07113821138211382
ETA_shape_x,0.0
ETA_shape_y,0.31097560975609756
GhoseFilter,False
LogEE_Dzare,217.3860743241339
SlogP_VSA10,5.687386274683562
SlogP_VSA11,5.749511833283905
SpAbs_Dzare,433.3943215437246
SpDiam_Dzpe,360.3525432103044
SpDiam_Dzse,365.1620597672953
SpMAD_Dzare,12.427192433877336
SpMax_Dzare,217.3860743241339
TopoPSA(NO),84.11
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,3.2696938911081457
VSA_EState9,73.39697277555855
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,1
AETA_beta_ns,0.5714285714285714
EState_VSA10,9.589074368143644
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.03142857142857147
FilterItLogS,-4.853046137150391
SpDiam_Dzare,354.5672473057366
ETA_beta_ns_d,1.0
ETA_epsilon_1,0.5876923076923067
ETA_epsilon_2,0.834285714285714
ETA_epsilon_3,0.4443298969072154
ETA_epsilon_4,0.5367088607594924
ETA_epsilon_5,0.8194444444444442
AETA_beta_ns_d,0.02857142857142857
ETA_dEpsilon_A,0.14336241078509132
ETA_dEpsilon_B,0.050983446932814314
ETA_dEpsilon_C,-0.09237896385227701
ETA_dEpsilon_D,0.014841269841269766
PetitjeanIndex,0.5
TopoShapeIndex,1.0
CDK Descriptors
FMFDescriptor,0.8857142857142857
MDEDescriptor,"0.0,1.8726335900463877,0.6734451022501587,0.0,24.721908169934864,21.61387193141992,0.0,3.8924669060941985,0.0,0.0,0.19999999999999996,0.12964074471043285,0.0,0.0,0.0,0.0,0.19999999999999996,1.6362109478989633,0.9104803978158382"
APolDescriptor,74.76978999999999
BCUTDescriptor,"11.850000000000014,15.996943486384001,-0.34879699648317325,0.2514342635633657,4.760512245706246,10.532939409626884"
BPolDescriptor,46.528209999999994
TPSADescriptor,84.11
ALOGPDescriptor,"3.0401000000000042,9.242208010000025,125.41599999999998"
XLogPDescriptor,3.7930000000000006
VAdjMaDescriptor,6.285402218862249
WeightDescriptor,474.23793906000003
ChiPathDescriptor,"24.200095366003374,17.135361590784807,14.988941031017324,13.210965909490076,11.074540407683413,9.076685912111582,6.427797634980816,4.805138856421441,19.891169790280017,11.965183477010306,8.731083537680625,6.579194300955288,4.683574269010179,3.222243332885731,1.926374373035775,1.2608006574787312"
ChiChainDescriptor,"0.0,0.0,0.11785113019775793,0.4231198005249913,0.7122889915586053,0.0,0.0,0.04303314829119352,0.15482750021456806,0.19689170475063536"
AtomCountDescriptor,65
BondCountDescriptor,39
SmallRingDescriptor,"5,4,3,2,0,0,1,4,0,0,0"
ChiClusterDescriptor,"1.903120665561656,0.0,0.46269039581923277,0.0,0.8530127017994259,0.0,0.13304575689598808,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,5,12,0,7,1,0,0"
ZagrebIndexDescriptor,186.0
LargestChainDescriptor,21
MannholdLogPDescriptor,3.33
WeightedPathDescriptor,"72.5105306607629,2.0717294474503682,28.054015825599265,7.937493822472334,20.116522003126832"
FractionalPSADescriptor,0.17735822689917372
WienerNumbersDescriptor,"4673.0,57.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"5.024907271203141,8.263611423768968,11.897483034233266,1.9754706933852633,2.7153660778075848,3.0917430778530677"
FractionalCSP3Descriptor,0.34615384615384615
KierHallSmartsDescriptor,"0,0,0,0,0,0,1,0,8,0,0,10,0,0,0,1,2,3,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,1
HBondDonorCountDescriptor,1
LargestPiSystemDescriptor,14
PetitjeanNumberDescriptor,0.5
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"26.600920447074294,12.697530864197532,6.357925493060629"
AromaticAtomsCountDescriptor,19
AromaticBondsCountDescriptor,21
FragmentComplexityDescriptor,3571.09
HBondAcceptorCountDescriptor,6
HybridizationRatioDescriptor,0.34615384615384615
AutocorrelationDescriptorMass,"39.48328891428172,42.98727883941737,59.952728134368385,63.367397527019406,58.89672477992981"
PetitjeanShapeIndexDescriptor,"1.0,NaN"
RotatableBondsCountDescriptor,9
AutocorrelationDescriptorCharge,"0.8375893641788285,-0.4901065028933593,-0.05253254911856634,0.2585040023099869,-0.25190421776998756"
EccentricConnectivityIndexDescriptor,1246
AutocorrelationDescriptorPolarizability,"2393.0177177744167,2820.129098266576,3947.238294999621,4028.721824002096,3515.517571301583"
