DLiP-ID,J000ET
AATSC4p,-0.029055937680364803
AATSC4s,-0.13438690748361531
AATSC4v,-7.660378760785751
AATSC5Z,0.637881515775034
AATSC5c,0.002680546962231838
AATSC5d,-0.009687928669410144
AATSC5i,0.01518248563981954
AATSC5m,3.002160147328317
AATSC5p,0.011143947273292966
AATSC5s,0.059425338886983675
AATSC5v,3.0022147520500613
AATSC6Z,0.0075624739070793215
AATSC6c,0.0003961311322799163
AATSC6d,0.003939285501282288
AATSC6i,-0.11447373069056774
AATSC6m,0.011423498577563553
AATSC6p,-0.012189962826423897
AATSC6s,-0.011220370039031712
AATSC6v,-1.70794845172028
AATSC7Z,-1.3610768175582992
AATSC7c,-0.001895670152711763
AATSC7d,0.01592935528120714
AATSC7i,0.17478802091364465
AATSC7m,-6.3839080376543205
AATSC7p,-9.193946723333618e-05
AATSC7s,-0.2286070149367475
AATSC7v,-3.6846608251898427
AATSC8Z,0.2828315645079778
AATSC8c,0.00047677224083942347
AATSC8d,-0.10443289293191825
AATSC8i,0.036724596589609526
AATSC8m,1.3359209558154646
AATSC8p,0.0044567258767368376
AATSC8s,0.1016342582565238
AATSC8v,1.4743003852696734
ATS0are,323.7746999999998
ATS1are,362.479
ATS2are,640.3509000000001
ATS3are,794.2159999999999
ATS4are,815.464
ATS5are,757.5800000000002
ATS6are,686.0118999999999
ATS7are,726.3968999999998
ATS8are,666.2449999999999
ATSC0dv,198.14814814814818
ATSC0pe,4.80681481481481
ATSC0se,2.835123333333331
ATSC1dv,78.98902606310011
ATSC1pe,0.21018038408779505
ATSC1se,-0.02811446913580852
ATSC2dv,31.4554183813443
ATSC2pe,0.5267048010973983
ATSC2se,0.2308458024691267
ATSC3dv,-72.62139917695474
ATSC3pe,-0.7129917695473217
ATSC3se,-0.47696703703704185
ATSC4dv,-74.88888888888891
ATSC4pe,-2.398759259259254
ATSC4se,-1.253539666666676
ATSC5dv,35.09327846364884
ATSC5pe,1.582546364883401
ATSC5se,1.0469958765432088
ATSC6dv,-41.426611796982165
ATSC6pe,0.0794388203017845
ATSC6se,-0.0902648765432123
ATSC7dv,-85.2551440329218
ATSC7pe,-2.702932921810694
ATSC7se,-1.3250251851851942
ATSC8dv,-8.164609053497943
ATSC8pe,0.47282427983538944
ATSC8se,0.2368474074074105
AXp-0dv,0.5815606838405998
AXp-1dv,0.31118763178186915
AXp-2dv,0.16670905537217262
AXp-3dv,0.09184392667315294
AXp-4dv,0.050655768352264166
AXp-5dv,0.026660635519855685
AXp-6dv,0.014682559635126716
AXp-7dv,0.008032038735239125
BertzCT,1078.000385182853
ECIndex,751
ETA_eta,25.25560056610565
GATS1dv,0.48883660973251686
GATS1pe,0.7321462371430942
GATS1se,0.7751445425573535
GATS2dv,0.9271666067577281
GATS2pe,0.8898946222480907
GATS2se,0.9190368939767559
GATS3dv,1.1499468988954966
GATS3pe,0.9891753185712767
GATS3se,0.9804953009900595
GATS4dv,1.180859813084112
GATS4pe,1.329173549898293
GATS4se,1.3748263143036568
GATS5dv,0.9696028037383175
GATS5pe,0.8964018911951783
GATS5se,0.9072160165430787
GATS6dv,1.07688419341731
GATS6pe,0.9603848601958037
GATS6se,1.0006722218612685
GATS7dv,1.228163551401869
GATS7pe,1.440727699485299
GATS7se,1.476000432667833
GATS8dv,0.9983448106246924
GATS8pe,0.8795227677890716
GATS8se,0.870953211416961
LogEE_A,4.329380201188301
LogEE_D,171.00136325021487
MATS1dv,0.3711440541411536
MATS1pe,0.04070994883807013
MATS1se,-0.00923259313700311
MATS2dv,0.08242631200575122
MATS2pe,0.05689450281888542
MATS2se,0.0422776117640052
MATS3dv,-0.14993203058623616
MATS3pe,-0.06068019310406639
MATS3se,-0.06882341818917258
MATS4dv,-0.15117757009345797
MATS4pe,-0.19961320347654543
MATS4se,-0.1768585728780773
MATS5dv,0.07471670560747665
MATS5pe,0.13889379420806883
MATS5se,0.15579618008975502
MATS6dv,-0.09817147501015847
MATS6pe,0.0077601714152479365
MATS6se,-0.014950053804883066
MATS7dv,-0.19361682242990647
MATS7pe,-0.25304070609628276
MATS7se,-0.21031230857681837
MATS8dv,-0.01951795376291195
MATS8pe,0.04659413860114123
MATS8se,0.039571780131722904
MAXaaCH,2.209388752414546
MAXaasC,1.3123027420844884
MAXaasN,2.2565436476566667
MAXdssC,-0.06248035177237887
MAXsCH3,1.9732568565520943
MAXssNH,3.2196365583270343
MDEC-11,0.25
MDEC-12,2.954227226120903
MDEC-13,3.3977488676094167
MDEC-22,13.19239549297601
MDEC-23,28.170565583894142
MDEC-33,11.28899641874033
MDEN-22,0.16666666666666669
MDEN-23,0.5345224838248487
MDEO-12,0.19999999999999996
MINaaCH,1.8091270965434996
MINaasC,0.62738985704985
MINaasN,2.2565436476566667
MINdssC,-0.06248035177237887
MINsCH3,1.6295068565520943
MINssNH,3.2196365583270343
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SM1_DzZ,0.9285714285714287
SM1_Dzi,1.022017128129546
SM1_Dzm,0.9260316936439501
SM1_Dzp,-3.719133983223758
SM1_Dzv,-1.7559628408463377
SddssSe,0
SpAD_Dt,661.8452321638929
SpAbs_A,38.36986399447642
SpAbs_D,342.00272650042996
SpMAD_A,1.3230987584302214
SpMAD_D,11.79319746553206
SpMax_A,2.483728619509771
SpMax_D,171.00136325021487
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,56.15
TpiPC10,8.893407553995182
VAdjMat,6.044394119358453
VE1_DzZ,5.30868240357446
VE1_Dzi,5.306936920608239
VE1_Dzm,5.308673450032583
VE1_Dzp,5.287342913253692
VE1_Dzv,5.3003537873315745
VE2_DzZ,0.1830580139163607
VE2_Dzi,0.18299782484855995
VE2_Dzm,0.18305770517353737
VE2_Dzp,0.1823221694225411
VE2_Dzv,0.1827708202528129
VE3_DzZ,2.734054406535649
VE3_Dzi,2.7337255546941037
VE3_Dzm,2.7340527199496476
VE3_Dzp,2.7300265718461856
VE3_Dzv,2.732484307649379
VR1_DzZ,188.6604170247581
VR1_Dzi,188.9391799609355
VR1_Dzm,188.66181653663725
VR1_Dzp,191.025877368211
VR1_Dzv,189.69038394756907
VR2_DzZ,6.5055316215433825
VR2_Dzi,6.515144136583983
VR2_Dzm,6.505579880573698
VR2_Dzp,6.587099219593483
VR2_Dzv,6.541047722329968
VR3_DzZ,6.304659400668377
VR3_Dzi,6.306135901115125
VR3_Dzm,6.304666818794078
VR3_Dzp,6.317119639465183
VR3_Dzv,6.310103921808135
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.18009323861239399
Xch-6dv,0.3037877188843719
Xch-7dv,0.3587796112797969
Xpc-4dv,2.094766089512204
Xpc-5dv,2.8590943980982066
Xpc-6dv,3.3044547549187233
Zagreb1,162.0
Zagreb2,196.0
fragCpx,277.05
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,2
n5FRing,0
n5HRing,2
n5aRing,1
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,2
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,1
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,1
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,17
nBondsD,1
nBondsM,18
nBondsO,33
nBondsS,40
nBondsT,0
nFARing,2
nFHRing,1
nFaRing,0
nHetero,5
naHRing,1
AATS0are,5.995827777777775
AATS1are,6.249637931034482
AATS2are,6.157220192307694
AATS3are,6.016787878787878
AATS4are,6.0404740740740746
AATS5are,5.918593750000001
AATS6are,5.9653208695652165
AATS7are,6.053307499999999
AATS8are,5.844254385964911
AATSC0dv,3.669410150891633
AATSC0pe,0.08901508916323723
AATSC0se,0.05250228395061724
AATSC1dv,1.3618797597086227
AATSC1pe,0.0036237997256516386
AATSC1se,-0.00048473222647945724
AATSC2dv,0.3024559459744644
AATSC2pe,0.005064469241321137
AATSC2se,0.002219671177587757
AATSC3dv,-0.5501621149769298
AATSC3pe,-0.005401452799600922
AATSC3se,-0.003613386644220014
AATSC4dv,-0.554732510288066
AATSC4pe,-0.017768587105624106
AATSC4se,-0.009285479012345749
AATSC5dv,0.2741662379972566
AATSC5pe,0.01236364347565157
AATSC5se,0.008179655285493819
AATSC6dv,-0.3602314069302797
AATSC6pe,0.0006907723504502999
AATSC6se,-0.0007849119699409765
AATSC7dv,-0.7104595336076817
AATSC7pe,-0.022524441015089117
AATSC7se,-0.011041876543209952
AATSC8dv,-0.07161937766226266
AATSC8pe,0.00414758140206482
AATSC8se,0.0020776088369071095
AETA_eta,0.8708827781415741
ATSC0are,4.9586981481481445
ATSC1are,0.11891680384087966
ATSC2are,0.5338628257887538
ATSC3are,-0.8059084362139898
ATSC4are,-2.423815740740737
ATSC5are,1.6799099451303148
ATSC6are,0.04772986968449976
ATSC7are,-2.674434773662548
ATSC8are,0.4730409465020566
BCUTZ-1h,8.022169854199907
BCUTZ-1l,5.682411393377992
BCUTc-1h,0.4055395465547068
BCUTc-1l,-0.5291513976174081
BCUTd-1h,3.210036799116004
BCUTd-1l,0.9779405255114882
BCUTi-1h,14.557903273217816
BCUTi-1l,10.943221417992902
BCUTm-1h,16.0102844464756
BCUTm-1l,11.693766417258228
BCUTp-1h,2.005281146253117
BCUTp-1l,0.7518500334101927
BCUTs-1h,7.008271748876636
BCUTs-1l,1.2505703261117154
BCUTv-1h,20.911477352816352
BCUTv-1l,14.702491860442745
BalabanJ,1.1636848264916857
Diameter,15
ETA_beta,37.0
GATS1are,0.7547406441508093
GATS2are,0.9057605716347352
GATS3are,0.9984279146662904
GATS4are,1.3520725459228589
GATS5are,0.8978037697833251
GATS6are,0.966825466874674
GATS7are,1.464709795395073
GATS8are,0.8704861520533269
HybRatio,0.3333333333333333
Lipinski,True
LogEE_Dt,330.92261608194644
MATS1are,0.022327562930332667
MATS2are,0.05590136713635775
MATS3are,-0.06648717162546759
MATS4are,-0.19552032959666443
MATS5are,0.1429229985226111
MATS6are,0.004519792486830593
MATS7are,-0.2427039541815223
MATS8are,0.04518767236802444
MAXssCH2,1.1852211374403243
MAXsssCH,0.027046222810111153
MINssCH2,0.9238228300579491
MINsssCH,0.027046222810111153
NsssssAs,0
RotRatio,0.12121212121212122
SM1_Dzpe,1.0009944920440637
SM1_Dzse,0.9177785797741316
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,0.0
SMR_VSA5,45.193620926455196
SMR_VSA6,7.109797541277533
SMR_VSA7,70.67325644717064
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
SpAD_DzZ,270.4093674845593
SpAD_Dzi,264.8349479368312
SpAD_Dzm,270.45007999467555
SpAD_Dzp,347.2681911970599
SpAD_Dzv,318.94331355834504
SpAbs_Dt,661.8452321638928
SpDiam_A,4.846408566550413
SpDiam_D,259.1262580625191
SpMAD_Dt,22.822249384961825
SpMax_Dt,330.92261608194644
SsssssAs,0
VE1_Dzpe,5.308709973683187
VE1_Dzse,5.308674242175302
VE2_Dzpe,0.18305896460976506
VE2_Dzse,0.18305773248880353
VE3_Dzpe,2.7340595999216983
VE3_Dzse,2.7340528691663337
VMcGowan,297.7000000000008
VR1_Dzpe,188.6580067036691
VR1_Dzse,188.66142329353895
VR2_Dzpe,6.505448507023072
VR2_Dzse,6.50556632046686
VR3_Dzpe,6.30464662461008
VR3_Dzse,6.304664734410945
mZagreb1,7.972222222222221
mZagreb2,6.249999999999999
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,1
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,1
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,1
n8FHRing,1
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,1
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,9
nBondsKS,49
nFAHRing,1
nFaHRing,0
nG12Ring,0
AATSC0are,0.0918277434842249
AATSC1are,0.002050289721394477
AATSC2are,0.00513329640181494
AATSC3are,-0.006105366941015074
AATSC4are,-0.01795419067215361
AATSC5are,0.013124296446330584
AATSC6are,0.0004150423450826066
AATSC7are,-0.0222869564471879
AATSC8are,0.004149481986860146
AETA_beta,1.2758620689655173
BCUTdv-1h,6.022056631634321
BCUTdv-1l,0.9955211727064569
BCUTpe-1h,3.489153321719472
BCUTpe-1l,2.231815777236267
BCUTse-1h,3.7020756006207116
BCUTse-1l,2.4277240933825293
ETA_alpha,13.866666666666667
ETA_dBeta,-1.0
ETA_eta_B,0.2956887239938979
ETA_eta_F,26.671683447989047
ETA_eta_L,7.113098174007694
ETA_eta_R,51.927284014094695
ETA_psi_1,0.6020260492040524
LabuteASA,170.28211765585087
LogEE_DzZ,135.23670344671314
LogEE_Dzi,132.45271593835113
LogEE_Dzm,135.25697212470482
LogEE_Dzp,172.99286560142247
LogEE_Dzv,159.16890456523348
PEOE_VSA1,14.620751205597735
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,61.075657748944465
PEOE_VSA8,30.289324583845655
PEOE_VSA9,18.845566365273957
SM1_Dzare,1.1284318287575617
SpAD_Dzpe,268.76729671838837
SpAD_Dzse,270.64601716683455
SpAbs_DzZ,269.5448354648548
SpAbs_Dzi,263.8834147485727
SpAbs_Dzm,269.5879125557656
SpAbs_Dzp,349.70486518606856
SpAbs_Dzv,320.09377197131346
SpDiam_Dt,468.8557652848136
SpMAD_DzZ,9.324460947743425
SpMAD_Dzi,9.132239584028662
SpMAD_Dzm,9.325864827402604
SpMAD_Dzp,11.97476521369172
SpMAD_Dzv,10.998045295115347
SpMax_DzZ,135.23670344671314
SpMax_Dzi,132.45271593835113
SpMax_Dzm,135.25697212470482
SpMax_Dzp,172.99286560142247
SpMax_Dzv,159.16890456523348
VE1_Dzare,5.308967086623077
VE2_Dzare,0.18306783057320955
VE3_Dzare,2.734108031031155
VR1_Dzare,188.6181575030638
VR2_Dzare,6.504074396657372
VR3_Dzare,6.304435377759448
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,1
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,17
nAromBond,17
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
AETA_alpha,0.4781609195402299
AETA_dBeta,-0.034482758620689655
AETA_eta_B,0.010196162896341307
AETA_eta_F,0.9197132223444499
AETA_eta_L,0.24527924737957568
AETA_eta_R,1.790596000486024
BCUTare-1h,3.5439252533591135
BCUTare-1l,2.1819631884070705
ETA_beta_s,19.0
ETA_dPsi_A,0.11197395079594752
ETA_dPsi_B,0.0
ETA_eta_BR,0.7256887239938978
ETA_eta_FL,7.0054266643715035
ETA_eta_RL,14.118524838379198
LogEE_Dzpe,134.41816541064398
LogEE_Dzse,135.35465612065087
PEOE_VSA10,11.573916331283833
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
SlogP_VSA1,10.05365155780638
SlogP_VSA2,22.5680554393676
SlogP_VSA3,19.386399651764595
SlogP_VSA4,6.923737199690624
SlogP_VSA5,51.75623172385971
SlogP_VSA6,42.595045982382736
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
SpAD_Dzare,266.3379184712137
SpAbs_Dzpe,267.83533632924383
SpAbs_Dzse,269.7915336615276
SpDiam_DzZ,207.02469746157635
SpDiam_Dzi,202.1415652782324
SpDiam_Dzm,207.05500783568954
SpDiam_Dzp,263.7731808938498
SpDiam_Dzv,243.85110289064713
SpMAD_Dzpe,9.267837817875462
SpMAD_Dzse,9.332621281614985
SpMax_Dzpe,134.41816541064398
SpMax_Dzse,135.35465612065087
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,29
AETA_beta_s,0.6551724137931034
AETA_eta_BR,0.025023749103237857
AETA_eta_FL,0.24156643670246564
AETA_eta_RL,0.4868456840820413
DetourIndex,4686
EState_VSA1,0.0
EState_VSA2,11.949020558499466
EState_VSA3,5.563451491696996
EState_VSA4,48.37756408621696
EState_VSA5,23.372129104319928
EState_VSA6,7.109797541277533
EState_VSA7,25.122838405075456
EState_VSA8,34.27983302879559
EState_VSA9,9.720841474747257
ETA_beta_ns,18.0
ETA_shape_p,0.09615384615384615
ETA_shape_x,0.0
ETA_shape_y,0.3894230769230769
GhoseFilter,True
LogEE_Dzare,133.20787067797778
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SpAbs_Dzare,265.2873095271979
SpDiam_Dzpe,205.71565649667366
SpDiam_Dzse,207.21236828501964
SpMAD_Dzare,9.184066154179783
SpMax_Dzare,133.20787067797778
TopoPSA(NO),56.15
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,2.2565436476566667
VSA_EState9,57.57678968567667
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
AETA_beta_ns,0.6206896551724138
EState_VSA10,4.794537184071822
ETA_dAlpha_A,0.0
ETA_dAlpha_B,0.021839080459770097
FilterItLogS,-6.261664917262864
SpDiam_Dzare,203.83824062733112
ETA_beta_ns_d,0.5
ETA_epsilon_1,0.5654320987654322
ETA_epsilon_2,0.7942528735632179
ETA_epsilon_3,0.44683544303797446
ETA_epsilon_4,0.5107843137254899
ETA_epsilon_5,0.7777777777777773
AETA_beta_ns_d,0.017241379310344827
ETA_dEpsilon_A,0.11859665572745776
ETA_dEpsilon_B,0.054647785039942276
ETA_dEpsilon_C,-0.06394887068751548
ETA_dEpsilon_D,0.016475095785440597
PetitjeanIndex,0.4666666666666667
TopoShapeIndex,0.875
CDK Descriptors
FMFDescriptor,0.8620689655172413
MDEDescriptor,"0.25,2.954227226120903,3.3977488676094167,0.0,13.19239549297601,28.170565583894142,0.0,11.28899641874033,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.16666666666666669,0.5345224838248487,0.0"
APolDescriptor,63.81382499999997
BCUTDescriptor,"11.889999999999997,15.995929780576436,-0.34846219562368286,0.2316940464846513,5.001079877622087,10.66934209224102"
BPolDescriptor,34.16417499999999
TPSADescriptor,56.15
ALOGPDescriptor,"2.7531000000000034,7.579559610000019,110.64439999999999"
XLogPDescriptor,4.307000000000001
VAdjMaDescriptor,6.044394119358453
WeightDescriptor,387.19467724000003
ChiPathDescriptor,"19.9574546788841,14.1185248383792,12.948773681786317,11.703255924302749,9.80155205687241,7.5499284404816525,5.69460177024047,4.095794888230229,16.865259831377394,10.269191848801684,8.002034657864288,6.153543087101247,4.508363383351513,2.879348636144413,1.8353199543908405,1.1646456166096737"
ChiChainDescriptor,"0.0,0.0,0.31030121992763315,0.6985118944300623,1.009758084193287,0.0,0.0,0.180093238612394,0.3037877188843719,0.3587796112797969"
AtomCountDescriptor,54
BondCountDescriptor,33
SmallRingDescriptor,"5,3,3,3,0,0,3,2,0,0,0"
ChiClusterDescriptor,"1.9408206176123197,0.0,0.5384516905501369,0.0,0.9349658074091726,0.0,0.16489859733448897,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,3,8,5,2,5,0,0"
ZagrebIndexDescriptor,162.0
LargestChainDescriptor,16
MannholdLogPDescriptor,3.55
WeightedPathDescriptor,"60.38427479057049,2.0822163720886375,15.077975307891661,5.355018672619244,9.722956635272407"
FractionalPSADescriptor,0.14501748939383224
WienerNumbersDescriptor,"2398.0,46.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"5.134305618819655,7.839989354319928,9.947974553783624,2.0947660895122033,2.8590943980982066,2.9738605176316706"
FractionalCSP3Descriptor,0.3333333333333333
KierHallSmartsDescriptor,"0,0,0,0,0,0,2,0,5,0,0,7,1,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,0
HBondDonorCountDescriptor,1
LargestPiSystemDescriptor,11
PetitjeanNumberDescriptor,0.4666666666666667
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"20.877869605142333,8.859375,4.21652929382936"
AromaticAtomsCountDescriptor,17
AromaticBondsCountDescriptor,17
FragmentComplexityDescriptor,2552.05
HBondAcceptorCountDescriptor,3
HybridizationRatioDescriptor,0.3333333333333333
AutocorrelationDescriptorMass,"31.62887897491133,35.159549463660824,51.40535522836478,49.65437119459982,42.322007328238946"
PetitjeanShapeIndexDescriptor,"0.875,NaN"
RotatableBondsCountDescriptor,5
AutocorrelationDescriptorCharge,"0.46617961622991877,-0.27452891266561674,0.07978688180234972,-0.04081821577332768,-0.08967418029585676"
EccentricConnectivityIndexDescriptor,751
AutocorrelationDescriptorPolarizability,"2091.215475158055,2513.123744673434,3641.332356483513,3374.5705866824137,2885.261269164915"
